françois,프랑수아,peurangsua
essonne,에손,eson
dreux,드뢰,deuroe
helicopters,헬리콥터,helrikobteo
reporters,국경,guggyeong
sans,없는,eobsneun
frontières,기자회,gijahoe
art,아르,areu
déco,데코,deko
cinémathèque,시네마테크,sinematekeu
châtillonenmichaille,샤티용앙미셰유,syatiyongangmisyeyu
nouvellecalédonie,누벨칼레도니,nubelkalredoni
gustavia,귀스타비아,gwiseutabia
mélanésie,멜라네시아,melranesia
australasie,오스트랄라시아,oseuteuralrasia
electric,일렉트릭,ilregteurig
groix,그루아섬,geuruaseom
jcdecaux,제이씨데코,jeissideko
chantilly,샹티이,syangtii
senlis,상리스,sangriseu
pénestin,페내스탱,penaeseutaeng
villejuif,빌쥐프,biljwipeu
auvergne,오베르뉴,obereunyu
camembert,카망베르,kamangbereu
calendrier,프랑스,peurangseu
républicain,혁명력,hyeogmyeongryeog
formula,포뮬러,pomyulreo
one,원,weon
group,그룹,geurub
blois,블루아,beulrua
canton,프랑스의,peurangseuyi
basseterre,바스테르,baseutereu
expresso,에스프레소,eseupeureso
béziers,베지에,bejie
mâcon,마콩,makong
pencran,펜크란,penkeuran
lunéville,뤼네빌,rwinebil
deauville,도빌,dobil
loos,로스,roseu
mende,망드,mangdeu
marigot,마리고,marigo
uzès,위제스,wijeseu
saintchamond,생샤몽,saengsyamong
aranc,아랑,arang
armix,아르믹스,areumigseu
nui,누이,nui
caraïbes,카라이브,karaibeu
guyane,기아나,giana
express,익스프레스,igseupeureseu
inter,인터,inteo
ambérieuxendombes,앙베리외앙동브,angberioeangdongbeu
carhaixplouguer,카레플루게르,karepeulrugereu
apremont,아프르몽,apeureumong
asnièressurseine,아니에르쉬르센,aniereuswireusen
sottevillelèsrouen,소트빌르루앙,soteubilreuruang
candide,캉디드,kangdideu
latin,라탱,rataeng
conques,콩크,kongkeu
yerres,이에르,iereu
ceyzérieu,세제리외,sejerioe
vendôme,방돔,bangdom
cham,참족,camjog
saintlaurentduvar,생로랑뒤바르,saengrorangdwibareu
plougonvelin,플루공블랭,peulrugongbeulraeng
manosque,마노스크,manoseukeu
villierssurmarne,빌리에쉬르마른,bilrieswireumareun
kourou,쿠루,kuru
quick,퀵,kwig
dinan,디낭,dinang
mérignac,메리냐크,merinyakeu
sèvres,세브르,sebeureu
saintomer,생토메르,saengtomereu
saintpauldevence,생폴드방스,saengpoldeubangseu
sartrouville,사르트루빌,sareuteurubil
batasuna,바타수나,batasuna
charix,샤릭스,syarigseu
camargue,카마르그,kamareugeu
gennevilliers,젠빌리에,jenbilrie
parisorly,공항,gonghang
fossurmer,포쉬르메르,poswireumereu
boulevard,생제르맹,saengjereumaeng
saintgermain,거리,geori
volvic,볼빅,bolbig
boyeuxsaintjérôme,보이외생제롬,boioesaengjerom
bonapartisme,보나파르트주의,bonapareuteujuyi
bonneuilsurmarne,봉뇌유쉬르마른,bongnoeyuswireumareun
roissyenfrance,루아시앙프랑스,ruasiangpeurangseu
cité,뮐루즈,mwilrujeu
train,박물관,bagmulgwan
livre,프랑스,peurangseu
fnac,프낙,peunag
rue,틸싯,tilsis
tilsitt,루,ru
milice,프랑스,peurangseu
paneuropéenne,범유럽,beomyureob
internationale,연합,yeonhab
municipal,아롱디스망,arongdiseumang
alliance,알리앙스,alriangseu
tomblaine,통블렌,tongbeulren
carnavalet,박물관,bagmulgwan
parlement,프랑스,peurangseu
mayottemarcelhenry,국제공항,gugjegonghang
cycle,작전,jagjeon
troupes,프랑스,peurangseu
coloniales,식민군,sigmingun
lutte,노동자,nodongja
ouvrière,투쟁,tujaeng
villa,빌라,bilra
savoye,사부아,sabua
capgemini,캡제미니,kaebjemini
chaleins,샬렝,syalreng
chavannessurreyssouze,샤반쉬르레수즈,syabanswireuresujeu
bourgsaintchristophe,부르생크리스토프,bureusaengkeuriseutopeu
cintheaux,생토,saengto
raiatea,라이아테아섬,raiateaseom
arson,아르송,areusong
toursval,드,deu
télévisions,텔레비지옹,telrebijiong
enragés,앙라제,angraje
tokyo,토쿄,tokyo
bostik,보스틱,boseutig
longchamp,롱샴,rongsyam
henriiv,앙리카트르,angrikateureu
heuliez,율리에즈,yulriejeu
bus,버스,beoseu
mobipocketcom,모비포켓,mobipokes
cinq,생크,saengkeu
théâtre,테아트르,teateureu
cérémonies,세레모니,seremoni
officiel,공식,gongsig
origines,기록,girog
félines,서적,seojeog
goyard,고야드,goyadeu
kremlinbicêtre,크레믈랭비세트르,keuremeulraengbiseteureu
futsal,유나이티드,yunaitideu
libertaire,리베르테르,ribereutereu
eurosport,유로스포츠,yuroseupoceu
saintgermainenlaye,생제르맹앙레,saengjereumaengangre
aveyron,아베롱,aberong
aquitaine,아키텐,akiten
grenoble,그르노블,geureunobeul
alsace,알자스,aljaseu
limousin,리무쟁,rimujaeng
potaufeu,포토푀,potopoe
bron,브롱,beurong
loireatlantique,루아라틀랑티크,ruarateulrangtikeu
doubs,두,du
calais,칼레,kalre
libération,리베라시옹,riberasiong
euro,유로,yuro
rouffach,루파크,rupakeu
cherbourgocteville,셰르부르옥트빌,syereubureuogteubil
oullins,울랭,ulraeng
sarreguemines,사르그민,sareugeumin
sélestat,셀레스타,selreseuta
rouen,루앙,ruang
bichelamar,비슬라마,biseulrama
neuillysurseine,뇌이쉬르센,noeiswireusen
beynost,베노,beno
nordpasdecalais,노르파드칼레,noreupadeukalre
languedocroussillon,랑그도크루시용,ranggeudokeurusiyong
astérix,아스테릭스,aseuterigseu
saintétienne,생테티엔,saengtetien
aixenprovence,엑상프로방스,egsangpeurobangseu
nanterre,낭테르,nangtereu
giverny,지베르니,jibereuni
beaune,본,bon
vénissieux,베니시외,benisioe
nyons,니옹,niong
sarcelles,사르셀,sareusel
olympique,올랭피크,olraengpikeu
grande,그랑드,geurangdeu
chartreuse,샤르트뢰즈,syareuteuroejeu
privas,프리바,peuriba
assemblée,프랑스,peurangseu
nationale,하원,haweon
agde,아그드,ageudeu
saintcloud,생클루,saengkeulru
hyères,이에르,iereu
forêt,아마존,amajon
amazonienne,우림,urim
malakoff,말라코프,malrakopeu
castelsarrasin,카스텔사라쟁,kaseutelsarajaeng
briord,브리오르,beurioreu
villefranchederouergue,빌프랑슈드루에르그,bilpeurangsyudeuruereugeu
marignane,마리냔,marinyan
talence,탈랑스,talrangseu
carpentras,카르팡트라,kareupangteura
gargeslèsgonesse,가르주레고네스,gareujuregoneseu
lambersart,랑브르사르,rangbeureusareu
ambronay,앙브로네,angbeurone
aulnaysousbois,올네수부아,olnesubua
aiguesmortes,에그모르트,egeumoreuteu
ambléon,앙블레옹,angbeulreong
artemare,아르트마르,areuteumareu
vague,바그,bageu
rhônepoulenc,론풀랑크,ronpulrangkeu
chinon,시농,sinong
istres,이스트르,iseuteureu
draguignan,드라기냥,deuraginyang
avranches,아브랑슈,abeurangsyu
fauconnerie,매사냥,maesanyang
bouligneux,불리뉴,bulrinyu
bolozon,볼로종,bolrojong
arbent,아르방,areubang
arbigny,아르비니,areubini
vélodrome,벨로드롬,belrodeurom
miramas,미라마,mirama
vallauris,발로리스,balroriseu
bruaylabuissière,브뤼에라비시에르,beurwierabisiereu
montfermeil,몽페르메유,mongpereumeyu
bezons,브종,beujong
voiron,부아롱,buarong
mandelieulanapoule,망들리외라나풀,mangdeulrioeranapul
université,신,sin
tarbes,타르브,tareubeu
fréjus,프레쥐스,peurejwiseu
villeneuvelagarenne,빌뇌브라가렌,bilnoebeuragaren
élancourt,엘랑쿠르,elrangkureu
azaylerideau,아제르리도,ajereurido
chatou,샤투,syatu
olivet,올리베,olribe
sannois,사누아,sanua
gonesse,고네스,goneseu
éditions,갈리마르,galrimareu
gallimard,출판사,culpansa
boulognebillancourt,불로뉴비양쿠르,bulronyubiyangkureu
montauban,몽토방,mongtobang
millau,미요,miyo
deuillabarre,되이라바르,doeirabareu
austral,오스트랄,oseuteural
l'abergementclémenciat,라베르즈망클레망시아,rabereujeumangkeulremangsia
languedoc,랑그도크,ranggeudokeu
brénod,브레노,beureno
vald'isère,발디제르,baldijereu
l'abergementdevarey,라베르즈망드바레,rabereujeumangdeubare
pontsaintesprit,퐁생테스프리,pongsaengteseupeuri
caluireetcuire,칼리르에키르,kalrireuekireu
savignyletemple,사비니르탕플,sabinireutangpeul
vertou,베르투,bereutu
granville,그랑빌,geurangbil
romainville,로맹빌,romaengbil
colomiers,콜로미에,kolromie
fontenayauxroses,퐁트네오로즈,pongteuneorojeu
villeparisis,빌파리지,bilpariji
sevran,세브랑,sebeurang
purisme,순수주의,sunsujuyi
centrale,상트랄,sangteural
bagnolssurcèze,바뇰쉬르세즈,banyolswireusejeu
chenonceaux,슈농소,syunongso
clairefontaineenyvelines,클레르퐁텐앙이블린,keulrereupongtenangibeulrin
quantic,퀀틱,kweontig
dream,드림,deurim
schœlcher,쇨셰르,soelsyereu
charolais,샤롤레,syarolre
chambord,샹보르,syangboreu
saintquentinfallavier,생캉탱팔라비에,saengkangtaengpalrabie
dailymotion,데일리모션,deilrimosyeon
delahaye,들라이예,deulraiye
joinvillelepont,주앵빌르퐁,juaengbilreupong
bastille,바스티유,baseutiyu
bondoufle,봉두플,bongdupeul
chauvigny,쇼비니,syobini
yvoire,이브와르,ibeuwareu
mont,바슈랭,basyuraeng
d'or,몽도르,mongdoreu
saintcyrsurmer,생시르쉬르메르,saengsireuswireumereu
charlemagne,샤를마뉴,syareulmanyu
bataclan,바타클랑,batakeulrang
saintdomingue,생도맹그,saengdomaenggeu
ceinture,알프스히말라야,alpeuseuhimalraya
alpine,조산대,josandae
petitbourg,프티부르,peutibureu
tikehau,티케하우,tikehau
champions,샹피옹,syangpiong
maine,멘,men
béréziat,베레지아,berejia
vigneuxsurseine,비뇌쉬르센,binoeswireusen
vivendi,비방디,bibangdi
un,주목할,jumoghal
certain,만한,manhan
regard,시선,siseon
rothschild,로쉴드,roswildeu
lafite,라피트,rapiteu
chamalièressurloire,샤말리에르쉬르루아르,syamalriereuswireuruareu
sorbiers,소르비에,soreubie
voie,도미티아,domitia
domitienne,가도,gado
french,프렌치,peurenci
connection,커넥션,keonegsyeon
crazy,크레이지,keureiji
horse,호스,hoseu
europacorp,유로파코프,yuropakopeu
guyanais,크리올,keuriol
accords,에비앙,ebiang
d'évian,협정,hyeobjeong
quel,켈,kel
sodexo,소덱소,sodegso
d'ambérieuenbugey,캉통,kangtong
georgesbrassens,공원,gongweon
mériel,메리엘,meriel
rhodia,로디아,rodia
solidays,솔리데이,solridei
jacobinisme,자코뱅주의,jakobaengjuyi
flan,커스터드,keoseuteodeu
pâtissier,타르트,tareuteu
studiocanal,스튀디오카날,seutwidiokanal
prix,수잔,sujan
suzannebianchetti,비앙케티상,biangketisang
croisset,크루아세,keuruase
dotemu,닷에뮤,dasemyu
logement,공영,gongyeong
social,주택,jutaeg
bal,발,bal
débutantes,데뷔탕트,debwitangteu
nouvelleaquitaine,누벨아키텐,nubelakiten
jura,쥐라,jwira
ardèche,아르데슈,areudesyu
charente,샤랑트,syarangteu
fougères,푸제르,pujereu
libourne,리부른,ribureun
wissembourg,비상부르,bisangbureu
macaron,마카롱,makarong
lyon,리옹,riong
caen,캉,kang
bordeaux,보르도,boreudo
dordogne,도르도뉴,doreudonyu
léman,레만호,remanho
roanne,로안,roan
vannes,반,ban
perpignan,페르피냥,pereupinyang
cuisine,프랑스,peurangseu
aloxecorton,알록스코르통,alrogseukoreutong
fort,보야르,boyareu
boyard,요새,yosae
saintnicolaslèscîteaux,생니콜라레시토,saengnikolraresito
amiens,아미앵,amiaeng
besançon,브장송,beujangsong
hazebrouck,아즈브루크,ajeubeurukeu
isère,이제르,ijereu
orne,오른,oreun
riviera,리비에라,ribiera
siège,알레시아,alresia
d'alésia,전투,jeontu
artois,아르투아,areutua
crécyenponthieu,크레시앙퐁티외,keuresiangpongtioe
draveil,드라베이,deurabei
petites,소앤틸리스,soaentilriseu
antilles,제도,jedo
occitanie,옥시타니아,ogsitania
bastia,바스티아,baseutia
cavaillon,카바용,kabayong
nogentsurmarne,노장쉬르마른,nojangswireumareun
brénaz,브레나즈,beurenajeu
béarn,베아른,beareun
orly,오를리,oreulri
pays,켈트,kelteu
celtiques,국가,gugga
asnièressursaône,에니에르쉬르손,eniereuswireuson
billiat,비야,biya
risorangis,리조랑지스,rijorangjiseu
toul,툴,tul
aixlesbains,엑스레뱅,egseurebaeng
alençon,알랑송,alrangsong
aubagne,오바뉴,obanyu
cabourg,카부르,kabureu
menton,망통,mangtong
tuamotu,제도,jedo
dieppe,디에프,diepeu
clamart,클라마르,keulramareu
clichysousbois,클리시수부아,keulrisisubua
arcachon,아르카숑,areukasyong
champignysurmarne,샹피니쉬르마른,syangpiniswireumareun
roquefort,로크포르,rokeuporeu
lonslesaunier,롱스르소니에,rongseureusonie
bettant,베탕,betang
champagneenvalromey,샹파뉴앙발로메,syangpanyuangbalrome
villefranchesurmer,빌프랑슈쉬르메르,bilpeurangsyuswireumereu
muret,뮈레,mwire
belmontluthézieu,벨몽뤼테지외,belmongrwitejioe
bohasmeyriatrignat,보아메리아리냐,boameriarinya
baneins,바냉,banaeng
jouélèstours,주에레투르,jueretureu
loudéac,루데아,rudea
stains,스탱,seutaeng
ancien,앙시앵,angsiaeng
régime,레짐,rejim
ciboure,시부르,sibureu
armagnacs,아르마냐크파,areumanyakeupa
échirolles,에시롤,esirol
chanay,샤네,syane
accor,아코르,akoreu
sens,상스,sangseu
vire,비르,bireu
condéenbrie,콩데앙브리,kongdeangbeuri
caumontl'éventé,코몽,komong
airesurlalys,에르쉬르라리스,ereuswireurariseu
combslaville,콩라빌,kongrabil
saintpaul,생폴,saengpol
avion,아비옹,abiong
nordwind,작전,jagjeon
parnasse,고답파,godabpa
montélimar,몽텔리마르,mongtelrimareu
villenaved'ornon,빌나브도르농,bilnabeudoreunong
challex,샬렉스,syalregseu
villierslebel,빌리에르벨,bilriereubel
brion,브리옹,beuriong
champagne,샹파뉴,syangpanyu
houilles,우일,uil
saintherblain,생테르블랭,saengtereubeulraeng
chevillard,슈비야르,syubiyareu
sochaux,소쇼,sosyo
thiais,티에,tie
époque,에포크,epokeu
lectoure,레크투르,rekeutureu
chaley,샬레,syalre
châteaugaillard,샤토게야르,syatogeyareu
elite,엘리트,elriteu
model,모델,model
management,매니지먼트,maenijimeonteu
castelmaurou,카스텔모루,kaseutelmoru
tubuai,투부아이섬,tubuaiseom
ceignes,세뉴,senyu
challeslamontagne,샬라몽타뉴,syalramongtanyu
chazeysurain,샤제쉬랭,syajeswiraeng
canal,생마르탱,saengmareutaeng
bey,베,be
bressolles,브레솔,beuresol
laragnemontéglin,라라뉴몽텔랭,raranyumongtelraeng
pontaultcombault,퐁토콩보,pongtokongbo
évacuation,됭케르크,doengkereukeu
dunkerque,작전,jagjeon
ibis,이비스,ibiseu
olympia,올랭피아,olraengpia
louisdelluc,들뤼크상,deulrwikeusang
chasselas,샤슬라,syaseulra
gaumont,고몽,gomong
comté,아르투아,areutua
deux,되,doe
magots,마고,mago
fleurylesaubrais,플뢰리레오브레,peulroerireobeure
pontaubault,퐁토보,pongtobo
saintétiennelelaus,생테티엔르로,saengtetienreuro
charlie,샤를리,syareulri
hebdo,에브도,ebeudo
génération,생태주의,saengtaejuyi
écologie,시대,sidae
francophonie,프랑스어권,peurangseueogweon
celine,셀린느,selrinneu
japan,재팬,jaepaen
expo,엑스포,egseupo
époisses,에푸아스,epuaseu
farandole,파랑돌,parangdol
monceau,공원,gongweon
appellation,아펠라시옹,apelrasiong
d'origine,도리진,dorijin
contrôlée,콩트롤레,kongteurolre
beaujolais,보졸레,bojolre
nouveau,누보,nubo
ratonneau,라토뉴,ratonyu
populisme,포퓔리슴,popwilriseum
division,프랑스,peurangseu
navale,극동,geugdong
d'extrêmeorient,전대,jeondae
brocéliande,브로셀리앙드,beuroselriangdeu
grandes,유럽의,yureobyi
villes,대,dae
d'eaux,온천,onceon
d'europe,마을,maeul
d'attignat,캉통,kangtong
chazeybons,샤제봉,syajebong
générations,운동세대,undongsedae
yachine,트로피,teuropi
hôtel,오텔,otel
parissaclay,대학교,daehaggyo
lyonnais,리요네,riyone
cahors,카오르,kaoreu
abbaye,오트콩브,oteukongbeu
d'hautecombe,수도원,sudoweon
lorraine,로렌,roren
sainttropez,생트로페,saengteurope
oise,우아즈,uajeu
pulignymontrachet,퓔리니몽트라셰,pwilrinimongteurasye
hautenormandie,오트노르망디,oteunoreumangdi
gaule,갈리아,galria
gothique,미술,misul
cantal,캉탈,kangtal
allociné,알로시네,alrosine
landes,랑드,rangdeu
nantes,낭트,nangteu
loiretcher,루아레셰르,ruaresyereu
meuse,뫼즈,moejeu
moselle,모젤,mojel
nièvre,니에브르,niebeureu
corrèze,코레즈,korejeu
vendée,방데,bangde
mayotte,마요트,mayoteu
culture,퀼튀르,kwiltwireu
cayenne,카옌,kayen
chamonixmontblanc,샤모니,syamoni
l'haÿlesroses,라이레로즈,rairerojeu
neustrie,네우스트리아,neuseuteuria
villeurbanne,빌뢰르반,bilroereuban
sarthe,사르트,sareuteu
saintmandé,생망데,saengmangde
seineetmarne,세네마른,senemareun
épinal,에피날,epinal
autun,오툉,otoeng
oyonnax,오요나,oyona
l'oréal,로레알,roreal
frères,몽골피에,monggolpie
montgolfier,몽골피에,monggolpie
nantua,낭튀아,nangtwia
lanester,라네스테르,raneseutereu
lorient,로리앙,roriang
antibes,앙티브,angtibeu
chartres,샤르트르,syareuteureu
franc,프랑스,peurangseu
eurostar,유로스타,yuroseuta
saintnazaire,생나제르,saengnajereu
niort,니오르,nioreu
brignoles,브리뇰,beurinyol
saintdizier,생디지에,saengdijie
vierzon,비에르종,biereujong
charolles,샤롤,syarol
sibiril,시비릴,sibiril
saintjeandeluz,생장드뤼즈,saengjangdeurwijeu
saintraphaël,생라파엘,saengrapael
saintjeandemaurienne,생장드모리엔,saengjangdeumorien
saintouensurseine,생투앵,saengtuaeng
bourgoinjallieu,부르고앙잘리외,bureugoangjalrioe
châteaubriant,샤토브리앙,syatobeuriang
chalamont,샬라몽,syalramong
belleydoux,벨레두,belredu
certines,세르틴,sereutin
thononlesbains,토농레뱅,tonongrebaeng
colmar,콜마르,kolmareu
pau,포,po
albertville,알베르빌,albereubil
dole,돌,dol
bagneux,바뉴,banyu
chambéry,샹베리,syangberi
romanssurisère,로망쉬르이제르,romangswireuijereu
cambrai,캉브레,kangbeure
tournefeuille,투른푀유,tureunpoeyu
saintségal,생세갈,saengsegal
alstom,알스톰,alseutom
iter,국제열핵융합실험로,gugjeyeolhaegyunghabsilheomro
bourbaki,부르바키,bureubaki
totalenergies,토탈,total
vence,방스,bangseu
chaumont,쇼몽,syomong
châteauthierry,샤토티에리,syatotieri
borabora,보라보라섬,boraboraseom
papauté,아비뇽,abinyong
vesoul,브줄,beujul
chalonsursaône,샬롱쉬르손,syalrongswireuson
châtellerault,샤텔로,syatelro
honfleur,옹플뢰르,ongpeulroereu
pierrefittesurseine,피에르피트쉬르센,piereupiteuswireusen
rosnysousbois,로니수부아,ronisubua
ségny,세니,seni
corsica,코르시카,koreusika
meudon,뫼동,moedong
champssurmarne,샹쉬르마른,syangswireumareun
vallonpontd'arc,발롱퐁다르크,balrongpongdareukeu
saintgilles,생질,saengjil
saintjeancapferrat,생장카프페라,saengjangkapeupera
bergues,베르그,bereugeu
bourglareine,부르라렌,bureuraren
coutances,쿠탕스,kutangseu
cachan,카샹,kasyang
coudekerquebranche,쿠드케르크브랑슈,kudeukereukeubeurangsyu
évianlesbains,에비앙레뱅,ebiangrebaeng
wattrelos,우아트를로,uateureulro
centre,기아나,giana
spatial,우주,uju
saintbénézet,교,gyo
colombeylesdeuxéglises,콜롱베레되제글리즈,kolrongberedoejegeulrijeu
cordon,꼬르동,ggoreudong
poste,포스트,poseuteu
meinau,메노,meno
sucyenbrie,쉬시앙브리,swisiangbeuri
cardinaux,해전,haejeon
altillac,알틸락,altilrag
hommes,옴,om
boz,보즈,bojeu
flinssurseine,플랭쉬르센,peulraengswireusen
montagne,산악파,sanagpa
d'automne,도톤,doton
donzy,동지,dongji
gameloft,게임로프트,geimropeuteu
meyzieu,메이지외,meijioe
dzaoudzi,자우지,jauji
baiemahault,베마오,bemao
nougatine,브리틀,beuriteul
dziga,베르토프,bereutopeu
vertov,집단,jibdan
châtillonlapalud,샤티용라팔뤼,syatiyongrapalrwi
gaullisme,드골주의,deugoljuyi
dragons,카탈란스,katalranseu
catalans,드래건스,deuraegeonseu
fresnessouscoucy,프렌,peuren
seyne,센,sen
australes,제도,jedo
kitsuné,메종키츠네,mejongkiceune
poitou,푸아투,puatu
saintétiennedurouvray,생테티엔뒤루브레,saengtetiendwirubeure
sword,소드,sodeu
louislegrand,루이르그랑,ruireugeurang
décinescharpieu,데신샤르피외,desinsyareupioe
dragée,드라제,deuraje
chesterfield,제도,jedo
tonneins,톤넹,tonneng
pontsaintemaxence,퐁생트막상스,pongsaengteumagsangseu
fête,페트,peteu
musique,뮈지크,mwijikeu
roazhon,로아존,roajon
park,파르크,pareukeu
villeréal,빌레알,bilreal
vinci,빈치,binci
illégalisme,일리걸리즘,ilrigeolrijeum
sudaviation,쉬드항공,swideuhanggong
montsouris,공원,gongweon
veritas,베리타스,beritaseu
hautmarbuzet,오마르뷔제,omareubwije
pissaladière,피살라디에르,pisalradiereu
agroparistech,생명과학산업환경학교,saengmyeonggwahagsaneobhwangyeonghaggyo
martell,마텔,matel
perrierjouët,주에,jue
celio,셀리오,selrio
disques,바클레이,bakeulrei
barclay,레코드,rekodeu
saintcast,전투,jeontu
jeune,젊은,jeolmeun
création,창작,cangjag
laser,레이저,reijeo
mégajoule,메가줄,megajul
place,생제르맹데프레,saengjereumaengdepeure
premier,본초,bonco
méridien,자오선,jaoseon
engie,엔지,enji
ewa,에와,ewa
barkhane,작전,jagjeon
beaulieusurdordogne,볼리외쉬르도르도뉴,bolrioeswireudoreudonyu
tempête,폭풍,pogpung
alex,알렉스,alregseu
physique,피지크,pijikeu
houches,주쉬,juswi
accord,블룸번스,beulrumbeonseu
blumbyrnes,협정,hyeobjeong
chevroux,슈브루,syubeuru
canneseries,칸시리즈,kansirijeu
cize,시즈,sijeu
cheignieulabalme,셰뇌라발므,syenoerabalmeu
civrieux,시브리외,sibeurioe
colomieu,콜로미외,kolromioe
réunionnaise,요리,yori
bougie,부지,buji
sapeur,사푀르,sapoereu
parisienne,요리,yori
viêt,비엣족,biesjog
savignylèsbeaune,사비니레본,sabinirebon
beauxbâtons,보바통,bobatong
oïrats,오이라트,oirateu
barleduc,바를르뒤크,bareulreudwikeu
figeac,피작,pijag
cochinchine,프랑스령,peurangseuryeong
orthez,오르테즈,oreutejeu
évrycourcouronnes,에브리쿠르쿠론,ebeurikureukuron
mort,나헬,nahel
nahel,살해,salhae
merzouk,사건,sageon
planoise,플라누아즈,peulranuajeu
conand,코낭,konang
condamine,콩다민,kongdamin
confort,콩포르,kongporeu
contrevoz,콩트르보,kongteureubo
cormoranchesursaône,코르모랑슈쉬르손,koreumorangsyuswireuson
confrançon,콩프랑송,kongpeurangsong
corlier,코를리에,koreulrie
corbonod,코르보노,koreubono
conzieu,콩지외,kongjioe
saintremyenbouzemontsaintgenestetisson,생레미앙부즈몽생즈네에이송,saengremiangbujeumongsaengjeuneeisong
condeissiat,콩데시아,kongdesia
andertetcondon,앙데르에콩동,angdereuekongdong
reconquête,재정복,jaejeongbog
communauté,프랑스,peurangseu
sismologique,지진학,jijinhag
euroméditerranéen,센터,senteo
nogentleroi,노겐트르로이,nogenteureuroi
gurs,귀르스,gwireuseu
archos,아코스,akoseu
lalande,랄랑드,ralrangdeu
zealandia,질랜디아,jilraendia
aÿ,아이,ai
drouant,드루앙,deuruang
transhumance,이목,imog
saintechapelle,생트샤펠,saengteusyapel
spring,작전,jagjeon
bluecoat,작전,jagjeon
cergy,세르지,sereuji
moustierssaintemarie,무스티에생트마리,museutiesaengteumari
arena,포르트,poreuteu
porte,드,deu
chapelle,아레나,arena
loiret,루아레,ruare
artmajeur,아르마죄르,areumajoereu
diptyque,딥티크,dibtikeu
dau'ia,다우이아,dauia
arkema,아케마,akema
bastié,바스티에,baseutie
mariot,마리오,mario
françoisédouard,프랑수아에두아르,peurangsuaeduareu
picot,피코,piko
couturat,쿠튀라,kutwira
brasillach,브라지야크,beurajiyakeu
verchère,베르셰르,bereusyereu
kouprianoff,쿠프리아노프,kupeurianopeu
raybaud,레보,rebo
blein,블랭,beulraeng
genevoix,준부아,junbua
lousteau,루스토,ruseuto
collomb,콜롱,kolrong
dholbach,돌바크,dolbakeu
nguémo,눈게모,nungemo
moresséepichot,모르세피쇼,moreusepisyo
onfray,옹프레,ongpeure
balavoine,발라부안,balrabuan
jalabert,잘라베르,jalrabereu
pardaillan,파르다이앙,pareudaiang
gondrin,공드렝,gongdeureng
bocuse,보퀴즈,bokwijeu
décimo,데시모,desimo
maryline,마릴린,marilrin
desbiolles,데비올,debiol
fignon,피뇽,pinyong
trombert,트롱베르,teurongbereu
cahuzac,카위자크,kawijakeu
herier,에리에,erie
teissier,테시에,tesie
bourvil,부르빌,bureubil
torchebœuf,토르슈뵈프,toreusyuboepeu
françaix,프랑세,peurangse
tournier,투르니에,tureunie
ilan,일란,ilran
boccara,보카라,bokara
triolet,트리올레,teuriolre
potier,푸아티에,puatie
hély,엘리,elri
rykiel,리키엘,rikiel
eunice,외니스,oeniseu
barber,바르베르,bareubereu
peytral,페트랄,peteural
tessa,테사,tesa
worley,월리,weolri
hallé,알레,alre
pioline,피올린,piolrin
ardisson,아르디송,areudisong
cavagnoud,카바뉴,kabanyu
landrin,랑드랭,rangdeuraeng
ismail,이스마일,iseumail
kadare,카다레,kadare
delebarre,들르바르,deulreubareu
lièvre,리에브르,riebeureu
flesselcolovic,플레셀콜로비크,peulreselkolrobikeu
chauveau,쇼보,syobo
rigal,리갈,rigal
med,메드,medeu
hondo,혼도,hondo
demongeot,드몽거트,deumonggeoteu
ledroit,르드루아,reudeurua
marchais,마르셰,mareusye
brinon,브리농,beurinong
lehmann,레만,reman
anissina,아니시나,anisina
gaymard,게마르,gemareu
sinapi,시나피,sinapi
halard,알라르드퀴지스,alrareudeukwijiseu
cavada,카바다,kabada
gaudin,고댕,godaeng
makelélé,마켈렐레,makelrelre
valery,발레리,balreri
larbaud,라르보,rareubo
carol,캐롤,kaerol
barbosa,바르보사,bareubosa
cléo,클레오,keulreo
mérode,메로드,merodeu
jeanrené,장르네,jangreune
bernaudeau,베르노도,bereunodo
bugnet,뷔녜,bwinye
lacour,라쿠르,rakureu
gélin,젤랭,jelraeng
bonnat,보나,bona
harpignies,아르피니,areupini
goulard,굴라르,gulrareu
bourdais,부르데,bureude
darcheville,다르슈빌,dareusyubil
vlasto,블라스토,beulraseuto
beltoise,벨투아즈,beltuajeu
comtesponville,콩트스퐁빌,kongteuseupongbil
wacquant,바캉,bakang
scève,세브,sebeu
d'alessio,달레시오,dalresio
auric,오리크,orikeu
bartez,바르테즈,bareutejeu
ruby,루비,rubi
charlesfrançois,샤를프랑수아,syareulpeurangsua
daubigny,도비니,dobini
philip,필립,pilrib
sainton,세인턴,seinteon
alexeï,알렉세이,alregsei
billé,빌레,bilre
barruol,바뤼올,barwiol
olympe,올림피아,olrimpia
mancini,만치니,mancini
fusiergir,퓌지에지르,pwijiejireu
lemaître,르메트르,reumeteureu
delanoë,들라노에,deulranoe
aurélie,오렐리,orelri
filippetti,필리페티,pilripeti
clostermann,클로스테르만,keulroseutereuman
vachierlagrave,바시에라그라브,basierageurabeu
reclus,르클뤼,reukeulrwi
istván,네르시,nereusi
nyers,이슈트반,isyuteuban
sylvère,실베르,silbereu
lotringer,로트랭제,roteuraengje
ballif,발리프,balripeu
aubanel,오바넬,obanel
nimier,니미에,nimie
