lionel,リオネル
finita,フィニータ
arcella,アルチェッラ
impruneta,インプルネータ
d'arno,ダルノ
lastra,ラストラ
signa,シーニャ
fucecchio,フチェッキオ
gambassi,ガンバッシ
greve,グレーヴェ
chianti,キアンティ
maradona,マラドーナ
valmalenco,ヴァルマレンコ
correzzana,コッレッツァーナ
caspoggio,カスポッジョ
nazario,ナザーリオ
villaverla,ヴィッラヴェルラ
sangineto,サンジネート
valdisotto,ヴァルディソット
gallio,ガッリオ
roana,ロアーナ
posina,ポージナ
arcugnano,アルクニャーノ
bardolino,バルドリーノ
abriola,アブリオーラ
acerenza,アチェレンツァ
guarano,グアラーノ
sosti,ソスティ
marradi,マッラーディ
esaro,エーザロ
domenica,ドメーニカ
talao,タラオ
cedro,チェドロ
sarcedo,サルチェード
schiavon,スキアヴォーン
villaga,ヴィッラーガ
santorso,サントルソ
anzi,アンツィ
armento,アルメント
atella,アテッラ
pelago,ペーラゴ
scigliano,シリアーノ
sovizzo,ソヴィッツォ
sarego,サレーゴ
balvano,バルヴァーノ
d'epiro,デピーロ
scalea,スカレーア
saracena,サラチェーナ
coeli,コエーリ
enego,エーネゴ
montaione,モンタイオーネ
palazzuolo,パラッツオーロ
senio,セーニオ
montespertoli,モンテスペルトリ
ispra,イスプラ
vergiate,ヴェルジャーテ
castana,カスターナ
spezzano,スペッツァーノ
rufina,ルーフィナ
casciano,カシャーノ
pesa,ペーザ
godenzo,ゴデンツォ
baragiano,バラジャーノ
banzi,バンツィ
barile,バリーレ
d'aiello,ダイエッロ
pontassieve,ポンタッシエーヴェ
reggello,レッジェッロ
sull'arno,スッラルノ
caronno,カロンノ
varesino,ヴァレジーノ
sedico,セーディコ
sossano,ソッサーノ
laghi,ラーギ
lazise,ラツィーゼ
arsiero,アルシエーロ
limana,リマーナ
cavarzere,カヴァルツェレ
meolo,メーオロ
spinea,スピネーア
pianiga,ピャニーガ
fossò,フォッソ
trevenzuolo,トレヴェンツオーロ
d'artico,ダルティコ
bella,ベッラ
calvello,カルヴェッロ
sieve,シエーヴェ
scandicci,スカンディッチ
scarperia,スカルペリーア
cura,クーラ
pinarolo,ピナローロ
giussago,ジュッサーゴ
tarsia,タルシア
sila,シーラ
terravecchia,テッラヴェッキア
sibari,シーバリ
calvera,カルヴェーラ
veronella,ヴェロネッラ
zimella,ジメッラ
noale,ノアーレ
trebisacce,トレビザッチェ
vaccarizzo,ヴァッカリッツォ
trenta,トレンタ
tavarnelle,タヴァルネッレ
salzano,サルツァーノ
casaleone,カザレオーネ
vendemiano,ヴェンデミアーノ
vicchio,ヴィッキオ
vaglia,ヴァーリア
cancellara,カンチェッラーラ
campomaggiore,カンポマッジョーレ
castelgrande,カステルグランデ
corteolona,コルテオローナ
vidigulfo,ヴィディグルフォ
vellezzo,ヴェッレッツォ
confienza,コンフィエンツァ
crespano,クレスパーノ
sernaglia,セルナリーア
silea,シレーア
castronuovo,カストロヌオーヴォ
castelsilano,カステルシラーノ
casabona,カザボーナ
cerenzia,チェレンツィア
asiago,アジアーゴ
quartesolo,クアルテゾーロ
sommo,ソンモ
barbianello,バルビアネッロ
matelica,マテーリカ
montefano,モンテファーノ
cotronei,コトロネーイ
crucoli,クルーコリ
montelupone,モンテルポーネ
castelsaraceno,カステルサラチェーノ
castelmezzano,カステルメッツァーノ
verbicaro,ヴェルビカーロ
villapiana,ヴィッラピアーナ
zumpano,ツンパーノ
origgio,オリッジョ
siziano,シツィアーノ
cersosimo,チェルソージモ
chiaromonte,キアロモンテ
limbiate,リンビアーテ
perticara,ペルティカーラ
episcopia,エピスコピーア
desio,デージオ
farra,ファッラ
carfizzi,カルフィッツィ
caccuri,カックーリ
sant'alessio,サンタレッシオ
vialone,ヴィアローネ
lorenzago,ロレンツァーゴ
sormano,ソルマーノ
cavargna,カヴァルニャ
segusino,セグジーノ
vercana,ヴェルカーナ
genzano,ジェンツァーノ
gallicchio,ガッリッキオ
anversa,アンヴェルサ
mesoraca,メゾラーカ
pallagorio,パッラゴリーオ
morrovalle,モッロヴァッレ
petilia,ペティーリア
policastro,ポリカストロ
rizzuto,リッツート
melissa,メリッサ
grumento,グルメント
ginestra,ジネストラ
cutro,クトロ
latronico,ラトローニコ
laurenzana,ラウレンツァーナ
aielli,アイエッリ
acciano,アッチャーノ
cavallo,カヴァッロ
rezzo,レッツォ
montecassiano,モンテカッシアーノ
montecosaro,モンテコーザロ
filiano,フィリアーノ
fardella,ファルデッラ
sinni,シンニ
forenza,フォレンツァ
cirò,チロ
neto,ネート
lauria,ラウリーア
roccabernarda,ロッカベルナルダ
pievebovigliana,ピエヴェボヴィリアーナ
torina,トリーナ
dell'alto,デッラルト
pioraco,ピオーラコ
vicino,ヴィチーノ
trichiana,トリキアーナ
giuletta,ジュレッタ
ferrera,フェッレーラ
ateleta,アテレータ
figino,フィジーノ
serenza,セレンツァ
ilarione,イラリオーネ
fumane,フマーネ
ternate,テルナーテ
mantello,マンテッロ
muccia,ムッチャ
petriolo,ペトリオーロ
zinasco,ジナスコ
cordignano,コルディニャーノ
lagonegro,ラゴネグロ
maratea,マラテーア
marsico,マルシコ
lavello,ラヴェッロ
drezzo,ドレッツォ
umbriatico,ウンブリアーティコ
strongoli,ストロンゴリ
recanati,レカナーティ
pollenza,ポッレンツァ
picena,ピチェーナ
marsicovetere,マルシコヴェーテレ
severina,セヴェリーナ
savelli,サヴェッリ
scandale,スカンダーレ
carnate,カルナーテ
belgioioso,ベルジョイオーゾ
maccagno,マッカーニョ
besana,ベザーナ
montemilone,モンテミローネ
verzino,ヴェルツィーノ
avezzano,アヴェッツァーノ
samolaco,サモーラコ
spessa,スペッサ
montecchia,モンテッキーア
crosara,クロザーラ
moliterno,モリテルノ
missanello,ミッサネッロ
morubio,モルービオ
montemurro,モンテムッロ
dizzasco,ディッツァスコ
bormio,ボルミオ
maschito,マスキート
cremia,クレーミア
nemoli,ネーモリ
agnana,アニャーナ
calabra,カーラブラ
africo,アフリコ
noepoli,ノエーポリ
oppido,オッピド
miradolo,ミラドーロ
rancio,ランチョ
morone,モローネ
pramaggiore,プラマッジョーレ
tremezzo,トレメッツォ
lurago,ルラーゴ
d'erba,デルバ
roncello,ロンチェッロ
anoia,アノーイア
ripe,リーペ
ginesio,ジネージオ
antonimina,アントニミーナ
ardore,アルドーレ
bagaladi,バガラーディ
bagnara,バニャーラ
vergato,ヴェルガート
pignola,ピニョーラ
rapolla,ラポッラ
bivongi,ビヴォンジ
bovalino,ボヴァリーノ
brancaleone,ブランカレオーネ
bruzzano,ブルッツァーノ
zeffirio,ゼッフィーリオ
concordia,コンコルディア
sagittaria,サジッターリア
stino,スティーノ
conegliano,コネリアーノ
erba,エルバ
gervasio,ジェルヴァージオ
nove,ノーヴェ
pescopagano,ペスコパガーノ
pietragalla,ピエトラガッラ
pietrapertosa,ピエトラペルトーザ
picerno,ピチェルノ
benestare,ベネスターレ
repubblica,レプッブリカ
camini,カミーニ
calanna,カランナ
asciano,アシャーノ
buonconvento,ブオンコンヴェント
castellina,カステッリーナ
montù,モントゥ
beccaria,ベッカリーア
ottobiano,オットビアーノ
trissino,トリッシノ
brusimpiano,ブルジンピアーノ
caorle,カオルレ
griante,グリアンテ
nervesa,ネルヴェーザ
rapone,ラポーネ
somma,ソンマ
lissone,リッソーネ
albiate,アルビアーテ
casteggio,カステッジョ
chianciano,キアンチャーノ
roccanova,ロッカノーヴァ
jesolo,イェーゾロ
candidoni,カンディードニ
canolo,カーノロ
macherio,マケーリオ
aicurzio,アイクルツィオ
valdagno,ヴァルダーニョ
schio,スキーオ
rionero,リオネーロ
vulture,ヴルトゥレ
ripacandida,リパカンディダ
rivello,リヴェッロ
condofuri,コンドフーリ
raparo,ラパーロ
casignana,カジニャーナ
careri,カレーリ
cosoleto,コゾレート
delianuova,デリアヌオーヴァ
caulonia,カウローニア
ciminà,チミナ
ferruzzano,フェッルッツァーノ
cittanova,チッタノーヴァ
cinquefrondi,チンクエフロンディ
fiumara,フィウマーラ
gaiole,ガイオーレ
chiusdino,キウズディーノ
montalcino,モンタルチーノ
monteriggioni,モンテリッジョーニ
montepulciano,モンテプルチャーノ
ruoti,ルオーティ
rotonda,ロトンダ
callalta,カッラルタ
longare,ロンガーレ
berardenga,ベラルデンガ
cardeto,カルデート
garzeno,ガルツェーノ
stra,ストラ
d'orcia,ドルチャ
cetona,チェトーナ
morazzone,モラッツォーネ
grosio,グロージオ
villasanta,ヴィッラサンタ
leggiuno,レッジューノ
faggeto,ファッジェート
grandate,グランダーテ
schignano,スキニャーノ
valsolda,ヴァルソルダ
monticiano,モンティチャーノ
d'arbia,ダルビア
laglio,ラーリオ
arzignano,アルツィニャーノ
fele,フェーレ
d'agri,ダグリ
mezzanino,メッツァニーノ
sumirago,スミラーゴ
dubino,ドゥビーノ
le,レ
fratte,フラッテ
galatro,ガーラトロ
gerace,ジェラーチェ
tauro,タウロ
giffone,ジッフォーネ
uboldo,ウボルド
lurate,ルラーテ
caccivio,カッチーヴィオ
torno,トルノ
lipomo,リポーモ
gioiosa,ジョイオーザ
ionica,イオーニカ
grotteria,グロッテリーア
laganadi,ラガナーディ
murlo,ムルロ
pienza,ピエンツァ
piancastagnaio,ピアンカスタニャーイオ
sant'arcangelo,サンタルカンジェロ
lasnigo,ラズニーゴ
castalda,カスタルダ
sarconi,サルコーニ
certosa,チェルトーザ
rosasco,ロザスコ
cucciago,クッチャーゴ
salimbene,サリンベーネ
dossi,ドッシ
gera,ジェーラ
veniano,ヴェニアーノ
spinoso,スピノーゾ
senise,セニーゼ
comasco,コマスコ
refrontolo,レフロントロ
valmorea,ヴァルモレーア
tavernerio,タヴェルネーリオ
vertemate,ヴェルテマーテ
minoprio,ミノプリオ
caomaggiore,カオマッジョーレ
sarteano,サルテアーノ
tolve,トルヴェ
radda,ラッダ
radicofani,ラディコーファニ
mammola,マンモラ
spriana,スプリアーナ
calende,カレンデ
locri,ロクリ
teana,テアーナ
trivigno,トリヴィーニョ
forcola,フォルコラ
venosa,ヴェノーザ
rapolano,ラポラーノ
gimignano,ジミニャーノ
radicondoli,ラディコンドリ
trecchina,トレッキナ
tramutola,トラムートラ
melicuccà,メリクッカ
melito,メリート
monasterace,モナステラーチェ
molochio,モローキオ
lirio,リーリオ
curiglia,クリーリア
monteviasco,モンテヴィアスコ
vigonovo,ヴィゴノーヴォ
marinone,マリノーネ
maropati,マローパティ
mamertina,マメルティーナ
palizzi,パリッツィ
pollino,ポッリーノ
magreglio,マグレーリオ
tarzo,タルツォ
poggibonsi,ポッジボンシ
melicucco,メリクッコ
d'asso,ダッソ
rabattone,ラバットーネ
luvinate,ルヴィナーテ
bovolone,ボヴォローネ
lonigo,ロニーゴ
viggiano,ヴィッジャーノ
viggianello,ヴィッジャネッロ
palmi,パルミ
pazzano,パッツァーノ
portigliola,ポルティリオーラ
polistena,ポリステナ
placanica,プラカーニカ
platì,プラティ
sinalunga,シナルンガ
sovicille,ソヴィチッレ
trequanda,トレクアンダ
torrita,トッリータ
langosco,ランゴスコ
scorzè,スコルツェ
turate,トゥラーテ
gironico,ジローニコ
lambrugo,ランブルーゴ
lezzeno,レッツェノ
mosto,モスト
riace,リアーチェ
bagnacavallo,バニャカヴァッロ
alfonsine,アルフォンシーネ
roccella,ロッチェッラ
rizziconi,リッツィーコニ
bosnasco,ボズナスコ
golferenzo,ゴルフェレンツォ
inarzo,イナルツォ
fusine,フジーネ
pognana,ポニャーナ
nesso,ネッソ
lucino,ルチーノ
valsenio,ヴァルセーニオ
brisighella,ブリシゲッラ
roghudi,ログーディ
rosarno,ロザルノ
samo,サーモ
morgeto,モルジェート
duno,ドゥーノ
valganna,ヴァルガンナ
gazzada,ガッツァーダ
schianno,スキアンノ
zoppè,ゾッペ
cercino,チェルチーノ
moltrasio,モルトラージオ
baricella,バリチェッラ
cotignola,コティニョーラ
conselice,コンセーリチェ
d'aspromonte,ダスプロモンテ
aspromonte,アスプロモンテ
orogel,スタディオ
stadiumdino,ディノ
manuzzi,マヌッツィ
budrio,ブドリオ
curi,クーリ
camugnano,カムニャーノ
calderara,カルデラーラ
borca,ボルカ
cuasso,クアッソ
pedavena,ペダヴェーナ
rovello,ロヴェッロ
porro,ポッロ
orsenigo,オルセニーゴ
faloppio,ファロッピオ
bazzano,バッツァーノ
bentivoglio,ベンティヴォーリオ
sorico,ソーリコ
rodero,ローデロ
bolognese,ボロニェーゼ
cervia,チェルヴィア
lombarda,ロンバルダ
riolo,リオーロ
scido,シード
pellio,ペッリオ
intelvi,インテルヴィ
menaggio,メナッジョ
montemezzo,モンテメッツォ
valdobbiadene,ヴァルドッビアーデネ
santerno,サンテルノ
russi,ルッシ
sant'ilario,サンティラーリオ
casalfiumanese,カザルフィウマネーゼ
casalecchio,カザレッキオ
d'aiano,ダイアーノ
braglia,ブラーリア
seregno,セレーニョ
besano,ベザーノ
sospirolo,ソスピローロ
caridà,カリダ
procopio,プロコーピオ
plesio,プレージオ
maser,マゼール
seren,セレーン
lillo,リーリョ
duca,ドゥーカ
tossignano,トッシニャーノ
menti,メンティ
lugo,ルーゴ
mezzegra,メッツェグラ
fusignano,フジニャーノ
ramponio,ランポーニオ
baldo,バルド
varedo,ヴァレード
angera,アンジェーラ
monguzzo,モングッツォ
oltrona,オルトローナ
mamette,マメッテ
peglio,ペーリオ
serrata,セッラータ
seminara,セミナーラ
rio,リオ
siderno,シデルノ
guelfo,グエルフォ
casio,カージオ
capriva,カプリーヴァ
cormons,コルモンス
scilla,シッラ
doberdò,ドベルド
cozzo,コッツォ
pertusella,ペルトゥゼッラ
solagna,ソラーニャ
samarate,サマラーテ
d'alfaedo,ダルファエード
zelbio,ゼルビオ
proserpio,プロゼルピオ
dolegna,ドレーニャ
fogliano,フォリアーノ
redipuglia,レディプーリア
d'isonzo,ディゾンツォ
gradisca,グラディスカ
stignano,スティニャーノ
staiti,スタイーティ
bascapè,バスカペ
vigevano,ヴィジェーヴァノ
stilo,スティーロ
d'argile,ダルジレ
castenaso,カステナーゾ
medea,メデーア
monfalcone,モンファルコーネ
taurianova,タウリアノーヴァ
dozza,ドッツァ
crespellano,クレスペッラーノ
crevalcore,クレヴァルコーレ
erbognone,エルボニョーネ
comense,コメンセ
rezzago,レッツァーゴ
pianello,ピアネッロ
sappo,サッポ
minulio,ミヌーリオ
varapodio,ヴァラポーディオ
pepoli,ペーポリ
garlasco,ガルラスコ
bereguardo,ベレグアルド
gallarate,ガッララーテ
castione,カスティオーネ
andevenno,アンデヴェンノ
ponna,ポンナ
moraro,モラーロ
luisago,ルイザーゴ
roncade,ロンカーデ
ronago,ロナーゴ
romans,ロマンス
mossa,モッサ
acquaro,アックアーロ
brognaturo,ブロニャトゥーロ
briatico,ブリアーティコ
granaglione,グラナリオーネ
gaggio,ガッジョ
fontanelice,フォンタネーリチェ
bressana,ブレッサーナ
bottarone,ボッタローネ
fino,フィーノ
mornasco,モルナスコ
limido,リーミド
legionari,レジョナーリ
pedemonte,ペデモンテ
zeno,ゼーノ
povegliano,ポヴェリアーノ
sagrado,サグラード
canzian,カンツィアン
capistrano,カピストラーノ
floriano,フロリアーノ
dasà,ダサ
cessaniti,チェッサニーティ
chies,キエース
comabbio,コマッビオ
dinami,ディナーミ
granarolo,グラナローロ
grizzana,グリッツァーナ
drapia,ドラーピア
fabrizia,ファブリーツィア
filadelfia,フィラデルフィア
filandari,フィランダーリ
saronno,サロンノ
loiano,ロイアーノ
livo,リーヴォ
bevilacqua,ベヴィラックア
stazzona,スタッツォーナ
vestenanova,ヴェステナノーヴァ
isontino,イゾンティーノ
filogaso,フィロガーゾ
angitola,アンジートラ
biandronno,ビアンドロンノ
giussano,ジュッサーノ
dolcè,ドルチェー
mareno,マレーノ
cornuda,コルヌーダ
malalbergo,マラルベルゴ
francica,フランチカ
marzabotto,マルツァボット
medicina,メディチーナ
rigamonti,リガモンティ
minerbio,ミネルビオ
savogna,サヴォーニャ
staranzano,スタランツァーノ
villesse,ヴィッレッセ
turriaco,トゥッリアーコ
pontano,ポンターノ
monghidoro,モンギドーロ
molinella,モリネッラ
frascarolo,フラスカローロ
livigno,リヴィーニョ
ossuccio,オッスッチョ
porlezza,ポルレッツァ
ionadi,ヨナーディ
gerocarne,ジェロカルネ
limbadi,リンバーディ
joppolo,ヨッポロ
dolo,ドーロ
cislago,チズラーゴ
valpolicella,ヴァルポリチェッラ
andreis,アンドレーイス
mileto,ミレート
maierato,マイエラート
sarnano,サルナーノ
monterenzio,モンテレンツィオ
sefro,セフロ
mongiana,モンジャーナ
arzene,アルゼネ
arba,アルバ
decimo,デーチモ
aviano,アヴィアーノ
sorgà,ソルガ
sona,ソーナ
donà,ドナ
all'adige,アッラーディジェ
barcis,バルチス
budoia,ブドーイア
caneva,カーネヴァ
nardodipace,ナルドディパーチェ
cusino,クジーノ
monteveglio,モンテヴェーリオ
parghelia,パルゲリーア
dongo,ドンゴ
parè,パレ
mordano,モルダーノ
monzuno,モンツーノ
d'ippona,ディッポーナ
crissa,クリッサ
montorfano,モントルファノ
casarsa,カザルサ
delizia,デリーツィア
chienti,キエンティ
bibbiano,ビッビアーノ
baiso,バイーゾ
claut,クラーウト
cimolais,チモラーイス
tolentino,トレンティーノ
rombiolo,ロンビオーロ
treia,トレイア
pianoro,ピアノーロ
cento,チェント
busana,ブザーナ
cadelbosco,カデルボスコ
campegine,カンページネ
canossa,カノッサ
cordenons,コルデノンス
clauzetto,クラウツェット
brescello,ブレシェッロ
boretto,ボレット
fenegrò,フェネグロ
pigra,ピグラ
merone,メローネ
erto,エルト
casso,カッソ
cordovado,コルドヴァード
comacina,コマチーナ
domaso,ドマーゾ
persiceto,ペルシチェート
stefanaconi,ステファナーコニ
savena,サーヴェナ
urbisaglia,ウルビザーリア
porretta,ポッレッタ
cavasso,カヴァッソ
chions,キオーンス
ussita,ウッシタ
pizzoni,ピッツォーニ
carpineti,カルピネーティ
casalgrande,カザルグランデ
polia,ポリーア
ricadi,リカーディ
casina,カジーナ
castellarano,カステッララーノ
d'intelvi,ディンテルヴィ
pusiano,プジアーノ
liro,リーロ
eupilio,エウピーリオ
lenno,レンノ
rovellasca,ロヴェッラスカ
savigno,サヴィーニョ
cavriago,カヴリアーゴ
collagna,コッラーニャ
fabbrico,ファッブリコ
correggio,コッレッジョ
gualtieri,グアルティエーリ
gattatico,ガッターティコ
pasiano,パジアーノ
valcellina,ヴァルチェッリーナ
polcenigo,ポルチェニーゴ
pinzano,ピンツァーノ
tropea,トロペーア
vallelonga,ヴァッレロンガ
zaccanopoli,ザッカノーポリ
vazzano,ヴァッツァーノ
guastalla,グアスタッラ
ligonchio,リゴンキオ
novellara,ノヴェッラーラ
longone,ロンゴーネ
segrino,セグリーノ
veleso,ヴェーレゾ
fiume,フィウーメ
frisanco,フリザンコ
fontanafredda,フォンタナフレッダ
maniago,マニアーゴ
sant'onofrio,サントノフリオ
meduno,メドゥーノ
simbario,シンバーリオ
sorianello,ソリアネッロ
spilinga,スピーリンガ
spadola,スパードラ
sambro,サンブロ
visso,ヴィッソ
palù,パルー
inverigo,インヴェリーゴ
lomazzo,ロマッツォ
richinvelda,リキンヴェルダ
sacile,サチーレ
sabato,サーバト
irpina,イルピーナ
novedrate,ノヴェドラーテ
pressana,プレッサーナ
algua,アルグア
almenno,アルメンノ
roveredo,ロヴェレード
pravisdomini,プラヴィズドーミニ
almè,アルメ
zungri,ズングリ
zambrone,ザンブローネ
zanè,ザネ
poviglio,ポヴィーリオ
quattro,クアットロ
castella,カステッラ
ramiseto,ラミゼート
sequals,セクアルス
avella,アヴェッラ
irpino,イルピーノ
roverchiara,ロヴェルキアーラ
mozzate,モッツァーテ
quirino,クイリーノ
toano,トアーノ
scandiano,スカンディアーノ
guanzate,グアンツァーテ
trezzone,トレッツォーネ
valbrona,ヴァルブローナ
aquilonia,アクイローニア
andretta,アンドレッタ
porcia,ポルチャ
atripalda,アトリパルダ
appio,アッピオ
rolo,ローロ
rubiera,ルビエーラ
adrara,アドラーラ
serrapetrona,セッラペトローナ
d'enza,デンツァ
sant'alessandro,サンタレッサンドロ
vetto,ヴェット
vezzano,ヴェッツァーノ
crostolo,クロストロ
cairano,カイラーノ
bonito,ボニート
viano,ヴィアーノ
minozzo,ミノッツォ
franciacorta,フランチャコルタ
padenghe,パデンゲ
calitri,カリトリ
calabritto,カラブリット
arzago,アルツァーゴ
ardesio,アルデージオ
averara,アヴェラーラ
aviatico,アヴィアーティコ
bisaccia,ビザッチャ
antegnate,アンテニャーテ
ambivere,アンビーヴェレ
pianezze,ピアネッツェ
maslianico,マズリアーニコ
arcene,アルチェネ
spilimbergo,スピリンベルゴ
reghena,レーゲナ
mezzane,メッツァーネ
salizzole,サリッツォーレ
paese,パエーゼ
oppeano,オッペアーノ
travesio,トラヴェージオ
candida,カンディダ
caposele,カポゼーレ
valvasone,ヴァルヴァゾーネ
vajont,ヴァイオント
d'asio,ダージオ
capriglia,カプリリーア
carife,カリーフェ
azzone,アッツォーネ
paitone,パイトーネ
paisco,パイスコ
loveno,ロヴェーノ
nogara,ノガーラ
vivaro,ヴィヴァーロ
zoppola,ゾッポラ
amaro,アマーロ
ampezzo,アンペッツォ
casalbore,カザルボレ
baronia,バロニーア
castelfranci,カステルフランチ
argenta,アルジェンタ
bondeno,ボンデーノ
berra,ベッラ
pertica,ペルティカ
roveré,ロヴェレー
paratico,パラーティコ
passirano,パッシラーノ
paspardo,パスパルド
mella,メッラ
aquileia,アクイレイア
bassa,バッサ
pezzaze,ペッツァーツェ
camuno,カムーノ
polaveno,ポラーヴェノ
polpenazze,ポルペナッツェ
piancogno,ピアンコーニョ
pisogne,ピゾーニェ
pompiano,ポンピアーノ
poncarale,ポンカラーレ
arta,アルタ
castelvetere,カステルヴェーテレ
calore,カローレ
artegna,アルテーニャ
cervinara,チェルヴィナーラ
cesinali,チェジナーリ
progno,プローニョ
malcesine,マルチェージネ
chianche,キアンケ
comacchio,コマッキオ
codigoro,コディゴーロ
arsa,アルサ
attimis,アッティミス
erbé,エルベ
mozzecane,モッツェカーネ
lupatoto,ルパトート
guà,グア
bertiolo,ベルティオーロ
basiliano,バジリアーノ
roncà,ロンカー
minerbe,ミネルベ
contrada,コントラーダ
copparo,コッパーロ
preseglie,プレゼーリエ
prestine,プレスティーネ
formignana,フォルミニャーナ
goro,ゴーロ
bicinicco,ビチニッコ
legno,レーニョ
jolanda,ヨランダ
provaglio,プロヴァーリオ
prevalle,プレヴァッレ
fontanarosa,フォンタナローザ
forino,フォリーノ
flumeri,フルーメリ
torello,トレッロ
lagosanto,ラゴザント
bordano,ボルダーノ
buja,ブーヤ
pontoglio,ポントーリオ
pontevico,ポンテヴィーコ
pozzolengo,ポッツォレンゴ
pralboino,プラルボイーノ
buttrio,ブットリオ
domicella,ドミチェッラ
soave,ソアーヴェ
cariano,カリアーノ
campoformido,カンポフォルミド
gesualdo,ジェズアルド
frigento,フリジェント
grottaminarda,グロッタミナルダ
migliaro,ミリアーロ
d'iseo,ディゼーオ
migliarino,ミリアリーノ
remedello,レメデッロ
quinzano,クインツァーノ
puegnago,プエニャーゴ
grottolella,グロットレッラ
fiscaglia,フィスカッリア
mesola,メゾーラ
cavazzo,カヴァッツォ
cercivento,チェルチヴェント
carlino,カルリーノ
tapogliano,タポリアーノ
luogosano,ルオゴザーノ
manocalzati,マノカルツァーティ
cassacco,カッサッコ
castions,カスティオンス
nola,ノーラ
lacedonia,ラチェドーニア
lapio,ラーピオ
ostellato,オステッラート
vigarano,ヴィガラーノ
mainarda,マイナルダ
tresigallo,トレジガッロ
roè,ロエ
volciano,ヴォルチャーノ
voghiera,ヴォギエーラ
renatico,レナーティコ
portomaggiore,ポルトマッジョーレ
rezzato,レッツァート
lioni,リオーニ
lauro,ラウロ
sant'agostino,サンタゴスティーノ
ro,ロ
salò,サロ
marasino,マラジーノ
quirinale,クイリナーレ
chiusaforte,キウザフォルテ
cividale,チヴィダーレ
circo,チルコ
pirelli,ピレリ
codroipo,コドローイポ
colloredo,コッロレード
roccafranca,ロッカフランカ
sabbio,サッビオ
rudiano,ルディアーノ
roncadelle,ロンカデッレ
rovato,ロヴァート
pantheon,パンテオン
bertinoro,ベルティノーロ
mercogliano,メルコリアーノ
mirabella,ミラベッラ
eclano,エクラーノ
montaguto,モンタグート
rosazzo,ロザッツォ
comeglians,コメリアンス
montefalcione,モンテファルチョーネ
coseano,コゼアーノ
dignano,ディニャーノ
cesenatico,チェゼナーティコ
sarezzo,サレッツォ
sellero,セッレロ
saviore,サヴィオーレ
dell'adamello,デッラダメッロ
montefusco,モンテフスコ
montefredane,モンテフレーダネ
castrocaro,カストロカーロ
terra,テッラ
forni,フォルニ
avoltri,アヴォルトリ
pago,パーゴ
d'alpinolo,ダルピーノロ
seniga,セニーガ
modigliana,モディリアーナ
montiano,モンティアーノ
enemonzo,エネモンツォ
faedis,ファエーディス
montemarano,モンテマラーノ
casteldelci,カステルデルチ
montescudo,モンテスクード
dogna,ドーニャ
drenchia,ドレンキア
nutella,ヌテラ
fiumicello,フィウミチェッロ
flaibano,フライバーノ
forgaria,フォルガリーア
moschiano,モスキアーノ
nusco,ヌスコ
mugnano,ムニャーノ
mondaino,モンダイーノ
montegridolfo,モンテグリドルフォ
montefiore,モンテフィオーレ
linguaglossa,リングアグロッサ
falconeria,タカガリ
longiano,ロンジャーノ
gatteo,ガッテーオ
meldola,メルドラ
saraceno,サラチェーノ
esquilino,エスクイリーノ
montemiletto,モンテミレット
monteverde,モンテヴェルデ
montoro,モントーロ
dovadola,ドヴァードラ
forlimpopoli,フォルリンポーポリ
galeata,ガレアータ
gambettola,ガンベットラ
cattolica,カットーリカ
maiolo,マイオーロ
gemmano,ジェンマーノ
misano,ミザーノ
adriatico,アドリアーティコ
rapallo,ラパッロ
gemona,ジェモーナ
parolise,パロリーゼ
paternopoli,パテルノーポリ
pietradefusi,ピエトラデフージ
petruro,ペトルーロ
ultra,ウルトラ
pietrastornina,ピエトラストルニーナ
portico,ポルティコ
predappio,プレダッピオ
premilcuore,プレミルクオーレ
pennabilli,ペンナビッリ
novafeltria,ノヴァフェルトリア
riccione,リッチョーネ
gonars,ゴナルス
grimacco,グリマッコ
majano,マヤーノ
latisana,ラティザーナ
lauco,ラウコ
manzano,マンツァーノ
quadrelle,クアドレッレ
barzana,バルザーナ
verucchio,ヴェルッキオ
serle,セルレ
rubicone,ルビコーネ
savignano,サヴィニャーノ
clemente,クレメンテ
saludecio,サルデーチョ
olimpico,オリンピコ
rotondi,ロトンディ
roccabascerana,ロッカバシェラーナ
barbata,バルバータ
bagnatica,バニャーティカ
sarsina,サルシナ
lagunare,ラグナーレ
martignacco,マルティニャッコ
sossio,ソッシオ
mereto,メレート
lignano,リニャーノ
sabbiadoro,サッビアドーロ
lestizza,レスティッツァ
quindici,クインディチ
serino,セリーノ
caudina,カウディーナ
lusevera,ルゼーヴェラ
ligosullo,リゴスッロ
roncofreddo,ロンコフレッド
pascoli,パスコリ
all'esca,アッレスカ
bedulita,ベドゥリータ
roccalbegna,ロッカルベーニャ
pitigliano,ピティリアーノ
orbetello,オルベテッロ
berzo,ベルツォ
bianzano,ビアンツァーノ
sonico,ソーニコ
sulzano,スルツァーノ
tavernole,タヴェルノレ
temù,テム
tignale,ティニャーレ
moruzzo,モルッツォ
mortegliano,モルテリアーノ
verghereto,ヴェルゲレート
tredozio,トレドーツィオ
marignano,マリニャーノ
sirmione,シルミオーネ
soiano,ソイアーノ
feltria,フェルトリア
santarcangelo,サンタルカンジェロ
manciano,マンチャーノ
torriana,トッリアーナ
talamello,タラメッロ
argentario,アルジェンターリオ
montieri,モンティエーリ
paolina,パオリーナ
moimacco,モイマッコ
montenars,モンテナルス
osoppo,オゾッポ
