제임스,ジェームズ
임표,インピョ
해경,ヘイギョン
예영,イェヨン
제균,ジェギュン
봉수,スー
그루,グル
일수,イルス
중동,シゲトウ
중돈,ナカアツシ
태술,タイジュツ
태신,ヤスノブ
성순,ヒジリアツシ
수로,スロ
진민,ジンミン
세욱,ヨアサヒ
호민,ホミン
은세,ウンセ
달호,タロ
길호,ギロ
갑태,キノエヤスシ
강일,ガンイル
겨울,ギョウル
일목,ニチキヨシ
상혁,サンヒョク
수림,スリム
태한,テハン
태환,テファン
택기,タクオコシ
판술,ハンジュツ
경룡,ギョンリョン
경언,キョウゲン
경재,ケイアズサ
경한,ケイカン
창덕,アキラトク
광균,ヒカリヒトシ
교흥,キョウキョウ
국환,グクファン
규민,ギュミン
추월,チュウォル
채하,チェハ
채빈,ビン
기방,ギバン
기수,ギス
해님,ヘニム
석환,ソックァン
주홍,ジュホン
수광,スグァン
필진,ピルジン
학민,ガクミン
학송,ツルマツ
형범,ヒョンボム
대우,ダイウ
덕규,トクケイ
경은,キョン
윤대,マコトダイ
나율,ナユル
형일,ヒョンイル
혜린,ヘリン
태욱,テウク
일출,ヒノデ
안석,ヤスイシ
홍걸,ヒロシスグル
말봉,スエオオトリ
맹곤,タケシヒツジサル
명곤,ミョンゴン
호길,ヒロシキチ
회성,カイシゲル
효재,コウザイ
훈호,フンホ
환진,ファンジン
동재,ヒガシサイ
석도,スズドウ
도언,ミチヒコ
병설,ヤマイセツ
상태,アイフト
홍업,ヒロギョウ
홍표,ホンピョ
화랑,ヒナミ
진화,チンワ
화원,ハナゲン
재관,ノカンムリ
명국,ミョングク
명규,アキラケイ
명덕,ミョンドク
명윤,イノチジュン
명자,アキコ
명제,アキラミカド
무연,タケシカ
익수,エキシュウ
갑성,ガプソン
본무,モトシゲル
천희,チョニ
시철,カワアツシ
건평,タテタイラ
덕술,トクジュツ
사연,シツバメ
영국,ヨングク
민찬,ホチャン
봉연,タテマツフチ
부선,ブソン
문부,ブントミ
승박,ウケタマワヒロシ
서운,ショウン
재익,ザイツバサ
병조,ビョンジョ
병춘,ビョンチュン
태엽,テヨプ
형욱,ヒョンウク
수란,スラン
오연,ウマフチ
한일,ハニル
창희,チャンヒ
희석,ヒソク
웅래,ユウライ
정의,ジョンエ
광명,ヒロアキ
선동,ゼンヒガシ
선형,ゼントオル
보성,ボソン
국수,クニシュウ
지덕,トモノリ
현배,ヒョンベ
난숙,ランヨシ
생민,センミン
상택,アイザワ
현섭,ケンジュン
백봉,シラミネ
법래,ボムレ
규동,ギュドン
세창,セチャン
계남,ゲナム
정창,テイアキラ
천식,チュンシク
성겸,ソンギョム
성두,キヨシト
군자,クンシ
무의,タケヨシ
승욱,カツアサヒ
수남,シュウミナミ
세민,セミン
시찬,シチャン
순선,スンソン
연두,ヨンドゥ
경락,キョンラク
경범,キョウハン
고성,ソン
고윤,コジュン
연식,ネマコト
영동,エイヒガシ
승휘,ウケタマワテル
영임,ヨンイム
맹우,タケシウ
기출,オノレデ
나래,ナレ
오장,オジャン
사용,サヨン
길부,ヨシオ
동신,アズマシン
병호,ビョンホ
경훈,ギョンフン
병권,ヒノエケン
명림,メイリン
상일,サンイル
석안,イシヤス
완태,カンヤスシ
왕호,オウトラ
용림,ヨンリム
두을,モリオツ
선숙,センヨシ
미형,ミヒョン
구윤,グユン
규점,ギュジョム
광정,クァンジョン
성필,ソンピル
소천,コイズミ
영찬,ヨンチャン
운용,クモリュウ
원길,モトヨシ
유식,ヒロシウエ
윤근,ジュンネ
윤동,ジュンヒガシ
영필,ヨンピル
예분,イェブン
예숙,イェスク
세범,セボム
시우,ソヨン
수동,ミズヒガシ
수홍,スホン
해선,ウミゼン
석우,ソグ
용완,ヨウカン
용임,ヨンイム
운태,クモフトシ
인길,ニキチ
인봉,インボン
준만,シュンバン
용학,ヨウガク
우식,アメウエ
세나,セナ
인문,インムン
신재,ノブヤ
신호,ノブヒロ
재창,アリマサ
정록,セイロク
정례,ショウフダ
정헌,ジョンホン
태기,テギ
희남,ヒナム
영빈,ヨンビン
은님,ウンニム
재득,ザイトク
주선,ハシラセン
준규,チュンギュ
의영,ヨシヒデ
지균,チギュン
희중,キチュウ
시춘,ゼハル
재동,ザイヒガシ
재완,オサムカン
종성,ジョンソン
종아,ジョンア
상지,サンジ
동업,ドンオプ
명승,アキラノボリ
명환,ミョンファン
복수,フクコトブキ
평회,タイラカイ
학서,ガクショ
혜령,ヘリョン
궁,ユミ
재이,ジェイ
자열,シゲルレツ
지회,サトシカイ
중만,ジュンマン
칠용,チリョン
응수,ウンス
제동,ジェドン
종결,ジョンギョル
주남,シュウミナミ
주승,ジュスン
주하,ハシラナツ
준배,テハン
철언,テツヒコ
도경,ドギョン
민중,ミンジュン
선택,ゼンタク
준면,ジュンミョン
준금,チュングム
진기,ススムモト
진균,チンギュン
중현,ジュンヒョン
금택,ニシキサワ
원종,モトカネ
일민,イルミン
중수,ナカシゲル
천석,テンスズ
일재,イルチェ
장호,ジャンホ
숙근,ヨシネ
승근,スングン
윤홍,ユノン
자복,シゲルフク
재응,ジェウン
휘순,フィスン
흥렬,キョウレツ
덕광,トクミツ
삼룡,サムリョン
상도,アイト
남치,ミナミオサム
년설,トシユキ
봉기,ボンギ
정세,ジョンセ
제도,セイドウ
은관,インカン
희종,マレムネ
광두,クァンドゥ
군기,キミキ
조호,チョホ
병철,ハン
주태,ハシラヤスシ
재후,ノアツ
정문,マサフミ
주실,ジュシル
찬진,チャンジン
창근,アキラネ
채은,チェウン
갑숙,ガプスク
정용,ジョンヨン
유철,ヒロシアキラ
호섭,ホソプ
지형,ジヒョン
덕한,トクカン
정국,ジョング
종완,ジョンワン
채헌,チェホン
수완,スワン
영삼,ヨンサム
희지,ヒジ
경의,ケイギ
인한,イナン
채무,チェム
태령,ヤスシヤスシ
학봉,ツルササゲ
숙향,スギャン
영교,アキラキョウ
흥순,キョウアツシ
기빈,ミノアキラ
봉춘,ボンチュン
미림,ビリン
동만,ヒガシバン
배준,ベジュン
중석,ナカスズ
연선,シカゼン
예희,イェヒ
한식,カンショク
형관,ヒョングァン
호린,ホリン
용원,リュウゲン
재건,ザイイヌイ
한철,ハンチョル
해랑,ウミナミ
이지,ヘイン
금성,クムソン
채근,アヤネ
도빈,ミチアキラ
두석,ドゥソク
호권,ゴウケン
익헌,エキケン
일봉,イルボン
현지,ヒョンジ
승운,カチクモ
무송,ムソン
철용,チョリョン
춘연,チュンヨン
양자,ヤンジャ
택중,タクシゲル
명은,ミョンウン
도심,ドウシン
호재,ホジェ
금식,グムシク
민형,ミンヒョン
예준,レイジュン
세령,ヨレイ
승대,スンデ
홍빈,ホンビン
지창,ジチャン
호균,ホギュン
낙서,ラクイトグチ
선녀,ソンニョ
홍렬,ホンリョル
화자,ハナコ
효계,コウカツラ
휘재,フィジェ
항선,ハンソン
항준,ハンジュン
갑윤,カビュン
현무,ヒョンム
영목,エイキヨシ
성직,モリキビ
강돈,カンアツシ
강두,カント
정곤,セイヒツジサル
경무,ケイブ
계륜,ケイワ
종양,ジョンヤン
재수,ノシュウ
규광,ケイコウ
규화,ギュファ
구범,ヒサノリ
몽근,ユメネ
몽원,ユメモト
종률,ジョンリュル
수민,スミン
인규,ヒトシケイ
윤소,ユンソ
강석,カンイシ
강식,ガンシク
강천,ガンチョン
건개,ケンスケ
건춘,タテハル
애연,エヨン
양석,アキラセキ
난영,ランカゲ
유화,ユファ
대엽,デヨプ
덕희,ドッキ
동관,ヒガシカン
준용,ジュニョン
중경,ジュウキョウ
일화,イルファ
문성,ムンソン
기고,ギゴ
두홍,ドゥホン
말년,マルニョン
명호,ミョンホ
동헌,アズマケン
문수,ブンコトブキ
가열,ガヨル
두일,ドゥイル
득렬,トクキヨシ
순우,ジュンウ
양락,ヤンラク
향윤,ヒャンユン
달곤,イタルヒツジサル
대로,テロ
대연,デヨン
인기,インギ
금룡,ニシキリュウ
선민,ソンミン
혜나,ヘナ
호빈,ホビン
상이,サンイ
도규,ドギュ
상목,アイアツシ
상용,アイタキ
정승,セイウケタマワ
인익,トラツバサ
재곤,ジェゴン
팽,ペン
옥근,タマネ
우택,ウザワ
운천,クモテン
운택,ウンテク
창영,ショウエイ
소성,アキラモリ
헌엽,ホニョプ
종선,ジョンソン
석현,スズゲン
달환,ダラン
명중,ミョンジュン
승리,スンリ
승엽,スンヨプ
양문,ヨシフミ
주석,シュウスズ
춘화,ハルハナ
교원,キョウモト
병욱,ビョンウク
봉걸,ボンゴル
부영,ブヨン
현탁,ヒョンタク
흥우,キョウウ
상대,アイダイ
민자,ミンジャ
해만,ウミマン
남조,ミナミアキラ
묵원,ムグォン
문재,ムンジェ
기대,モトダイ
수익,シュウツバサ
택수,サワシゲル
범선,ハンセン
훈희,カオルヒメ
성익,ソンイク
병경,ビョンギョン
수훈,シュウクン
만년,ヨロズミノル
태근,タイネ
한모,カンモ
승학,ウケタマワガク
승형,スンヒョン
숙선,ヨシゼン
재숙,ジェスク
정린,ジョンリン
정모,セイモ
선교,ゼンキョウ
신정,シンジョン
지승,ジスン
신범,シンハン
아이,アイ
애숙,アイヨシ
윤미,ユンミ
택조,テクチョ
휘웅,テルオ
희은,ヒウン
항조,ハンジョ
해녕,ウミヤスシ
현민,ヒョンミン
성득,キヨシトク
형곤,ヒョンゴン
좌,ヒダリ
예춘,イェチュン
세찬,セチャン
세형,セヒョン
라희,ラキ
문종,ブンカネ
욱환,ウックァン
학영,ハギョン
근섭,グンソプ
대석,ダイスズ
원도,モトミチ
원발,ウォンバル
외수,ソトヒデ
세완,ヨカン
구연,カメフチ
정치,ジョンチ
진래,タツライ
태열,テヨル
병선,ビョンソン
애자,アイコ
정건,カナエケン
증녀,ジュンニョ
일권,イルグォン
태항,タイツネ
서율,ソユル
학표,ハクピョ
희숙,ヒスク
재춘,キョウヨロズ
종대,ジョンデ
세의,ヨアツシ
안중,アンシゲル
일중,イルチュン
의종,ヨシムネ
인용,ジンリュウ
용애,ヨウアイ
중위,ジュウヌキ
아름,アルム
금별,ヒョウン
후,ホウ
연화,レンゲ
의장,ギタケ
규헌,ケイケン
학의,ガクヨシ
봉길,ボンギル
의현,ウイヒョン
덕린,トクトナリ
덕문,ドクムン
옥길,タマキチ
용갑,ヨウカブト
용민,ヨウサトシ
병영,ビョンヨン
병승,ビョンスン
병태,ヘイタイ
세옥,セオク
신덕,シントク
보근,ボグン
단비,ダンビ
세기,ヨモト
교진,ギョジン
형표,トオルシャク
복기,フクモト
우제,ウジェ
명헌,アキノリ
대한,デハン
하율,ハユル
해봉,ウミオオトリ
흥기,フンギ
경읍,ギョンウプ
현웅,ケンユウ
호선,ホソン
호식,ヒロシウエ
홍신,ヒロシシン
홍집,ヒロシュウ
화중,ハナナカ
태돈,ヤスシアツシ
윤선,マコトセン
혜훈,メグミカオル
세열,セヨル
승숙,ウケタマワヨシ
신자,ノブコ
철희,アキラヒロシ
춘선,ハルサキ
칸희,カンヒ
대근,デグン
봉홍,タテマツヒロシ
경익,キョウエキ
주만,ジュマン
경래,ギョンイクレイ
경하,ギョンハ
규진,ギュジン
용현,ヨンヒョン
제욱,ジェウク
이숙,イスク
진근,ジングン
준혁,チュニョク
재연,ジェヨン
남열,ナミョル
현덕,ケントク
승언,スンオン
병옥,ビョンオク
찬민,チャンミン
충선,チュンソン
해상,ウミショウ
미령,ミリョン
예솔,イェソル
규수,ギュス
광한,ヒカリカン
주은,イヨン
나운,ナウン
규용,ケイリュウ
곧,ケン
천권,ジュンテン
윤리,タカシフチ
길태,ギルテジケン
경아,キョウミヤビ
계옥,ケオク
국희,グッキ
기리,モトサト
채윤,チェユン
다안,タアン
동채,ヒガシサイ
선일,ソンイル
기채,モトサイ
단율,ダニュル
후승,アツウケタマワ
균동,ギュンドン
노홍,ノホン
성천,ショウテン
두겸,トケン
두영,ドゥヨン
점희,ジョムヒ
봉균,タテマツヒトシ
종준,ジョンジュン
하연,ハヨン
혜상,ヘサン
흥신,オキノブ
하남,カワオトコ
채환,チェファン
봉승,タテマツウケタマワ
기율,モトリツ
웅전,オタ
두열,モリレツ
만호,バンコウ
상정,ナオサダ
광기,グァンギ
정선,ジョンソン
슬비,スルビ
미성,ミソン
제윤,ヒトシジュン
해욱,ヘウク
순애,ジュンアイ
승남,ウケタマワオトコ
석용,ソギョン
석균,ソッキュン
몽윤,ユメマコト
장범,チャンボム
문헌,ブンケン
근상,ネサチ
근직,ネタダシ
구선,モトメゼン
보애,ボエ
연차,フチジ
용찬,ヨンチャン
종우,ソウアメ
찬기,サンキ
용백,リュウハク
수부,ヒデオ
우열,アメレツ
경대,ケイダイ
오석,オスズ
금열,イマレツ
남신,ミナミシン
순봉,シュンオオトリ
경선,ギョンソン
상권,ソウケン
희갑,ヒガプ
지명,ジミョン
남숙,ナムスク
상명,アイアキラ
은용,ウニョン
봉성,ミネセイ
호상,ヒロシショウ
순,スン
지루,ジル
애실,アイミ
산하,サナ
성식,ナルウエ
욱철,ウッチョル
정소,セイアキラ
두,モリ
길승,ヨシススム
화령,ファリョン
길용,キチヨウ
영배,ヨンベ
후정,アツキヨシ
강우,カンアメ
준보,シュンスケ
학기,ハッキ
연혜,シカメグミ
응경,ウンギョン
시운,シウン
양식,リョウウエ
규효,ケイコウ
균범,ヒトシハン
근희,グニ
금림,グンニム
춘모,ハルモ
우일,ウイル
성엽,ナルハ
자중,コジュウ
완국,カンクニ
완순,カンジュン
덕진,トクタツ
장미,チャンミ
영익,エイエキ
의갑,ウィガプ
병준,ビョンジュン
자홍,シゲルヒロシ
승권,ウケタマワケン
통숙,ツウヨシ
숙재,ヨシオサム
석윤,スズジュン
철기,チョルギ
진경,ジンギョン
중화,シゲカズ
진범,ススムハン
용판,ヨウバン
웅정,ウンジョン
을분,ウルブン
돈명,アツシアキラ
방방,ヨシヨシ
명렬,ミョンリョル
춘수,チュンス
관일,グァニル
수형,スヒョン
승채,スンチェ
초희,チョヒ
두식,ドゥシク
우철,ウチョル
재서,ノショ
종례,ジョンネ
규혁,ギュヒョク
성보,アキラホ
강진,ゴウツ
계윤,ギェユン
기연,ギヨン
도련,ドリョン
중우,ジュンウ
만의,ヨロズタダシ
맹기,タケシモト
문세,ムンセ
본능,ホンアヤ
장흠,ジャンフム
정자,サダコ
석조,スズハジメ
중기,ジュンギ
종열,ジョンヨル
진재,チンサイ
명회,メイカイ
윤성,ユンソン
애심,エシム
한헌,ハンホン
대웅,タイユウ
두회,トカイ
본준,モトシュン
용득,リュウトク
보원,ボウォン
포동,ポドン
원욱,モトアサヒ
인실,ジンミ
일웅,イルウン
자영,ジャヨン
희탁,ヒタク
호기,ホギ
새해,セヘ
진해,ジンヘ
민도,ミンド
승안,ウケタマワヤス
미화,ミファ
주수,シュウシゲル
성효,ジョウタカシ
형자,ヒョンジャ
용마,ヨウバ
소열,ヌマレツ
순국,スングク
판석,パンソク
화수,カズヒデ
쌍숙,ソウヨシ
오현,オヒョン
소윤,ソユン
필성,ピルソン
복현,ボクヒョン
응찬,ウンチャン
춘광,シュンコウ
행석,コウスズ
정배,ジョンベ
경이,ギョンイ
홍균,ヒロシヒトシ
경빈,ケイアキラ
재필,ジェピル
원훈,ゲンクン
대형,オオヒラ
건영,タテサカエ
세춘,ヨハル
수흥,コトブキキョウ
원선,ミナモトヨシ
익흥,エキキョウ
인명,トラアキラ
봉진,ボンジン
시아,シア
덕기,オヒョク
진부,チントミ
정출,セイシュツ
용상,リュウショウ
해현,ウミケン
경병,カガミガラ
노상,ノサン
이화,ハナレワ
대윤,デユン
응준,ウンジュン
대수,オオヒデ
임용,ミズノエリュウ
장경,ジャンギョン
형규,ヒョンギュ
모개,モゲ
도엽,ドヨプ
완정,ワンジョン
금래,ニシキライ
기표,モトシャク
다예,ダイェ
옥담,オクタム
현화,ヒョナ
자균,シゲルヒトシ
범택,ボムテク
호경,ホギョン
궁진,グンジン
흥준,キョウシュン
종이,ショウイ
인형,イニョン
낙만,ナクマン
여운,セヒョン
재화,ジェファ
지서,ジソ
덕중,トクチュウ
선신,ヨシノブ
조남,アサミナミ
남두,ミナミト
희춘,ヒチュン
오승,ワレウケタマワ
두수,トモリ
우경,グウケイ
길정,ヨシタダシ
금녀,キムオンナ
승홍,ウケタマワヒロシ
윤종,ユンジョン
운경,ウンギョン
정광,セイヒカリ
국무,クニシゲル
태림,テリム
하원,ハウォン
경욱,カノエアサヒ
태유,テユ
지상,ジサン
신효,シニョ
상겸,アイケン
현도,ヒョンド
흥만,キョウヨロズ
수명,ヒデアキ
영성,エイホシ
상곤,アイヒツジサル
문규,ブンケイ
화리,ファリ
휘준,フィジュン
홍순,ヒロシアツシ
은석,ウンソク
상전,サンジョン
윤권,ユングォン
경동,キョウヒガシ
학균,ガクヒトシ
도진,ドジン
판,パン
유걸,ユゴル
규필,ギュピル
희훈,ヒロシクン
해연,ヘヨン
명심,メイシン
윤호,ユンホ
율호,ユロ
남현,ナミョン
병천,エテン
유현,ヒロシツル
웅모,オモ
문철,ブンアキラ
대익,ダイエキ
복영,フクエ
연해,ハチスカイ
시몬,シモン
덕건,ドッコン
별이,ビョルイ
희찬,ヒチャン
샘,サム
태운,テウン
진휘,ジンフィ
상만,サンマン
요셉,ヨセプ
리후,リフ
정대,セイダイ
보옥,ボオク
완기,キ
병재,ビョンジェ
희광,ヨシミツ
인춘,ジンハル
순홍,スノン
치우,チウ
만대,マンデ
양하,ヤンハ
규호,ギュホ
신철,シンチョル
유상,ユサン
인섭,インソプ
숙이,ヨシイ
항나,ハンナ
상백,アイハク
소호,ソホ
정영,ジョンヨン
규웅,ケイユウ
사경,サギョン
종하,ソウナツ
극천,ゴクテン
유람,ユラム
혜라,ヘラ
명현,ミョンヒョン
금민,グンミン
광원,グァンウォン
성출,セイデ
정생,セイセイ
현균,ヒョンギュン
계용,カツラヒロシ
철균,テツヒトシ
응석,ウンソク
수련,スリョン
세하,セハ
화운,シヒョン
무현,ムヒョン
유준,ユジュン
용표,ヨウシャク
일원,ニチゲン
상휘,サンフィ
원치,ウォンチ
회현,フェヒョン
규미,ギュミ
본임,ボニム
석정,ソクチョン
성낙,キヨシラク
봉식,ボンシク
덕제,ドクチェ
원용,ハラオドリ
지양,ジヤン
갑식,キノエショク
광범,ミツノリ
광자,コウシ
창길,チャンギル
극성,ゴクホシ
병열,ユンジェ
현호,ケントラ
재일,ジェイル
종택,ソウサワ
정도,ジョント
지음,ジウム
순승,アツシノボリ
정제,セイスミ
상록,サンノク
항호,ハンホ
인준,トラジュン
두만,トマン
승래,ウケタマワコ
석순,セキアツシ
재문,ザイブン
래정,ライタダシ
문화,フミカズ
시채,トキサイ
선기,ゼンモト
귀희,キヒロシ
재옥,ザイタマ
병광,ビョングァン
승유,カツヒロ
인배,インベ
성만,ヒジリヨロズ
의동,ギヒガシ
세현,セヒョン
민욱,ミンユウ
귀화,グィファ
일영,ニチヤスシ
동면,アズマツトム
천만,チョンマン
홍열,ヒロシレツ
광운,コウウン
희대,キダイ
순배,スンベ
성춘,ナルハル
정향,ジョンヒャン
종임,ジョンニム
설빈,ソルビン
복래,ボクレ
주우,ジュウ
만우,バングウ
훈식,クンウエ
규정,ギュジョン
관욱,カンアサヒ
운사,クモシ
광일,グァンイル
운해,ウンカイ
대환,デファン
희승,ヒスン
시명,シミョン
미,ベイ
무상,タケサチ
훈기,フンギ
순정,スンジョン
승문,カツフミ
세휘,セフィ
길만,タダシミツル
원채,ミナモトサイ
규태,ギュテ
희령,ヒリョン
종식,ソウショク
건재,ケンザイ
민채,ミンチェ
인겸,インギョム
진형,ススムトオル
종연,ソウフカシ
석오,ソクオ
보군,ボグン
강근,コウネ
근현,クンヒョン
남호,ミナミヒロシ
준회,ジュンフェ
현광,ヒョングァン
근수,クンス
도겸,ドギョム
륜의,リュニ
장식,アキラウエ
조아,ジョア
건현,ケンケン
기재,キジェ
철훈,アキラカオル
상률,ナオリツ
창현,アキラケン
이라,イラ
갑석,キノエスズ
영해,ヤスシウミ
종섭,ジョンソプ
순만,ジュンバン
헌율,ケンリツ
철중,アキラナカ
린아,リナ
규상,ケイショウ
욱경,ウキョン
용녀,ヨンニョ
범규,ボムギュ
인곤,ジンヒツジサル
우재,ウジェ
희근,キネ
동렬,アズマレツ
대곤,ダイヒツジサル
득식,トクウエ
게,ゲ
구리,グリ
난휘,ナミ
대용,ダイヨウ
명간군,カセイグン
획수,カクスウ
동명왕릉,ヒガシミョウオウリョウ
애국가,アイコクカ
평양,ピョンヤン
타임스,タイムズ
소백수체육단,ショウシロミズタイイクダン
조선콤퓨터쎈터,チョウセンコンピューターセンター
로력영웅,チョウセンミンシュシュギジンミンキョウワコクロウリョクエイユウ
석왕사,シャクオウジ
안국사,アンコクジ
승리자동차종합기업소,ショウリジドウシャコウジョウ
독원영주원,トクゲンジチシュウドウイン
평양민속공원,ピョンヤンミンゾクコウエン
위성관제통합지휘소,エイセイカンセイソウゴウシキショ
청년호텔,セイネンホテル
동한만,ヒガシチョウセンワン
원산농업대학,モトヤマノウギョウダイガク
홍의선,ヒロシギセン
할하,ハルハ
안협군,ヤスカイグン
연백군,ノベシログン
예성강철교,レイシゲルコウテッキョウ
웅기만,ユウキワン
인민경제대학,ジンミンケイザイダイガク
한국만,ニシチョウセンワン
조선녀성,チョウセンジョセイ
철령,テツミネ
청류교,セイリュウキョウ
성불사,ジョウブツテラ
신계사,カミケイテラ
평양신의주고속도로,ピョンヤンシンヨシシュウコウソクドウロ
정백사원,サダカシワジイン
세천선,ホソカワセン
청남선,キヨシミナミセン
상감령,ウエアマミネ
량강호텔,リョウコウホテル
당창건기념탑,トウソウリツキネントウ
외국문출판사,ガイコクブンソウゴウシュッパンシャ
대외문화련락위원회,チョウセンタイガイブンカレンラクキョウカイ
평양교예극장,ピョンヤンサーカスゲキジョウ
관리소,カンリショ
서산호텔,ニシヤマホテル
조선그리스도교연맹,チョウセンキリストキョウレンメイ
양각교,ヒツジカクキョウ
군,グン
원산금강산고속도로,モトヤマコンゴウサンコウソクドウロ
남북공동연락사무소,ナンボクキョウドウレンラクジムショ
금호군,キンコグン
국제김일성상,コクサイキムイルソンショウ
리명수폭포,コイアケミバクフ
조선사회주의여성동맹,チョウセンシャカイシュギジョセイドウメイ
대동교,ダイドウキョウ
영생탑,エイセイトウ
광법사,ヒロホウテラ
안학궁,ヤスツルミヤ
인풍루,ジンフウロウ
통군정,ミツルグンテイ
숭인전,タカシヒトシドノ
부용당,フヨウドウ
두만강동,トウマンコウホラ
약산동대,クスリサントウダイ
선군절,サキグンブシ
조선중앙방송,チョウセンチュウオウホウソウイインカイ
인민봉사총국,ジンミンホウシソウキョク
강계군,コウサカイグン
리명수,コイアケミ
북한인민해방전선,ホッカンカイホウジンミンセンセン
한국휴전협정,チョウセンセンソウキュウセンキョウテイ
암실,イワムロ
개심사,ヒラキシンテラ
표훈사,オモテクンテラ
체육신문,タイイクシンブン
장산곶,ナガヤマクシ
김정일훈장,キムジョンイルクンショウ
조선정교위원회,チョウセンセイキョウイインカイ
후릉,アツリョウ
평성리과대학,ヒラジロリカダイガク
영명사,エイアキラテラ
김철주사범대학,キンショウニチシハンダイガク
아호비령산맥,オモネトラヒミネサンミャク
대원수,チョウセンミンシュシュギジンミンキョウワコクダイゲンスイ
평양호텔,ピョンヤンホテル
제릉,ヒトシリョウ
두리하나선교회,ドュリハナ
은파산체육단,ギンパヤマタイイクダン
월미도체육단,ツキミノルトウタイイクダン
만월대,マンゲツダイ
대관리선,オオダテサトセン
봉산선,オオトリヤマセン
봉천탄광선,オオトリイズミタンコウセン
도지리선,シマチサトセン
고비선,タカトビセン
평양화전선,ピョンヤンヒデンセン
대향선,オオサトセン
량천사,リョウイズミテラ
금광사,カネミツテラ
최승대,サイカチダイ
평양연극영화대학,ピョンヤンエンゲキエイガダイガク
평양건축종합대학,ピョンヤンケンチクダイガク
선죽교,ゼンタケバシ
현지지도,ゲンチシドウ
녕변선,ニョンビョンセン
북한법,チョウセンホウ
김형직사범대학,キンキョウショクシハンダイガク
창광원,アオイヒカリイン
법흥사,ホウコウジ
정양사,セイヒテラ
동림폭포,ヒガシリンバクフ
청진조차장,キヨシツソウシャジョウ
친선훈장,シンゼンクンショウ
조선기자동맹,チョウセンキシャドウメイ
홰불체육단,フェブルタイイクダン
송도원,ショウトウエン
국가우주개발국,コッカウチュウカイハツキョク
경암루,ケイイワロウ
을밀대,オツミツダイ
남포경기장,ミナミウラキョウギジョウ
평양강동고속도로,ピョンヤンコウトウコウソクドウロ
국방과학원,コクボウカガクイン
평양기계대학,ピョンヤンキカイダイガク
조선예술교류협회,チョウセンゲイジュツコウリュウキョウカイ
현릉,オウケンオウリョウ
려명거리,レイメイドオリ
국제김정일상,コクサイキムジョンイルショウ
룡곡서원,リュウタニショイン
송남청년탄광선,ソルゴルタンコウセン
중앙인민위원회,チュウオウジンミンイインカイ
보안대,ホアンタイ
보산선,ホサンセン
고려왕릉,コウライオウリョウ
룡흥사,リュウキョウテラ
령통사,レイドオリテラ
조선로동당출판사,チョウセンロウドウトウシュッパンシャ
해안경비대,カイガンケイビタイ
청화력선,キヨシカリョクセン
운하선,ウンガセン
김만유병원,キムヨロズユウビョウイン
령대선,レイデセン
로라스케트장,ピョンヤンスケートパーク
보산제철소,ホサンセイテツショ
대안중기계련합기업소,ダイアンシゲルキカイレンゴウキギョウショ
대안친선유리공장,ダイアンシンゼンガラスコウジョウ
서창선,ソチャンセン
천성탄광선,テンキヨシタンコウセン
형봉선,トオルオオトリセン
률동체조,リツドウタイソウ
신성선,シンジョウセン
신흥철도,シンコウテツドウ
보위사령부,チョウセンジンミングンヤスエシレイブ
개마총,ヨロイマヅカ
검은모루동굴유적,コムンモルドウクツ
관모봉,カンムリボウホウ
국제관계대학,コクサイカンケイダイガク
귀주사,キシュウテラ
북한민주화네트워크,キタチョウセンミンシュカネットワーク
빨치산파,パルチザンハ
사리원신천고속도로,サリインシンカワタカソクドウロ
모란봉극장,ボタンホウゲキジョウ
경성온천,カガミジョウオンセン
공민증,コウミンショウ
목란비데오,キランビデオ
평양종합병원,ピョンヤンソウゴウビョウイン
평양평야,ピョンヤンヒラノ
대동강수산물식당,ダイドウコウスイサンブツショクドウ
정릉사,テイリョウテラ
청산리방법,アオヤマサトカタシキ
마평선,ウマツボセン
강건종합군관학교,キョウケンソウゴウグンカンガッコウ
김정은국방종합대학,キムタダシオンコクボウダイガク
종다리,ジョンダリ
외국어서점,ガイコクゴショテン
청년거리,セイネンドオリ
대성산아이스크림공장,オオグスクヤマアイスクリームコウジョウ
봉화산려관,ホウカザンホテル
국가체육지도위원회,コッカタイイクシドウイインカイ
라선개발금융회사,ラサキカイハツキンユウカイシャ
조선료리협회,チョウセンリョウリキョウカイ
국가관광총국,チョウセンミンシュシュギジンミンキョウワコクコッカカンコウソウキョク
목란광명회사,キランコウミョウカイシャ
대동강철교,ダイドウコウテッキョウ
동림호텔,ヒガシリンホテル
류경동,ヤナギミヤコホラ
조선엑스포닷컴,チョウセンエキスポ
민주당,ミンシュトウゴウトウ
국가디지털콘텐츠식별체계,コッカデジタルコンテンツシキベツタイケイ
울림엔터테인먼트,ウリムレーベル
서수로,プサンカイキョウ
동수로,ツシマカイキョウ
한국과학기술연구원,カンコクカガクギジュツケンキュウイン
태안해안국립공원,タイヤスカイガンコクリツコウエン
교통방송,コウツウホウソウ
한국농수산대학교,カンコクノウスイサンダイガク
하이트,ハイトビール
코엑스몰,コエックスモール
선정릉,センヤスシリョウ
성산대교,シロヤマオオハシ
이화여자외국어고등학교,リカジョシガイコクゴコウトウガッコウ
국군간호사관학교,コクグンカンゴシカンガッコウ
금오공과대학교,キムカラスコウカダイガッコウ
서울남부버스터미널,ソウルナンブターミナル
서울서부시외버스터미널,ソウルセイブシガイバスターミナル
