álvaro,阿尔瓦罗
valdorros,巴尔多罗斯
yuncler,伊温克莱尔
magán,马甘
garciaz,加尔西亚斯
monroy,蒙罗伊
polán,波兰
navajas,纳瓦哈斯
selas,塞拉斯
cobeta,科韦塔
abiego,阿维耶戈
miraveche,米拉韦切
navacarros,纳瓦卡罗斯
erla,埃尔拉
codos,科多斯
fuentecén,丰特森
bértizarana,贝尔蒂斯阿拉纳
chilches,奇尔切斯
palomera,帕洛梅拉
cubla,库夫拉
panticosa,潘蒂科萨
renera,雷内拉
chequilla,切基利亚
olvena,奥尔韦纳
retiendas,雷蒂恩达斯
sierro,谢罗
verea,贝雷亚
somontín,索蒙廷
chiloeches,奇洛埃切斯
bañuelos,巴纽埃洛斯
cogollor,科戈略尔
navales,纳瓦莱斯
gaibiel,盖维耶尔
nules,努莱斯
piérnigas,彼尔尼加斯
monleón,蒙莱翁
trespaderne,特雷斯帕德尔内
valdezate,巴尔德萨特
puentedura,蓬特杜拉
chodos,乔多斯
gabaldón,加瓦尔东
fuentenovilla,丰特诺维利亚
palomero,帕洛梅罗
cogollos,科戈略斯
deleitosa,德莱托萨
erustes,埃鲁斯特斯
oliana,奥利亚纳
sienes,谢内斯
oya,奥亚
nombela,农韦拉
navezuelas,纳韦苏埃拉斯
zorita,索里塔
guadamur,瓜达穆尔
ramal,马德里地铁支线
bargas,巴尔加斯
ocentejo,奥森特霍
cabezarados,卡韦萨拉多斯
borox,博罗斯
cobisa,科维萨
setiles,塞蒂莱斯
barceo,巴尔塞奥
tarraco,塔拉科
camuñas,卡穆尼亚斯
confrides,孔夫里德斯
orcheta,奥尔克塞塔
cuatretondeta,夸特雷通德塔
polop,波洛普
redován,雷多万
gayanes,加亚内斯
arsegüell,阿尔塞格尔
centenera,森特内拉
riós,里奥斯
carriches,卡里切斯
lobera,洛韦拉
griegos,格列戈斯
montán,蒙坦
beade,贝亚德
melón,梅隆
bande,班德
barro,巴罗
cortegada,科尔特加达
hontoba,翁托瓦
herreruela,埃雷鲁埃拉
humada,乌马达
cabrerizos,卡夫雷里索斯
cantalapiedra,坎塔拉彼德拉
alfamén,阿尔法门
almadenejos,阿尔马德内霍斯
alforque,阿尔福尔克
casafranca,卡萨夫兰卡
vizcaínos,比斯凯诺斯
membrío,门夫里奥
hervás,埃尔瓦斯
menasalbas,梅纳萨尔瓦斯
navalmoralejo,纳瓦尔莫拉莱霍
serradilla,塞拉迪利亚
méntrida,门特里达
tamajón,塔马洪
berninches,贝尔宁切斯
sayatón,萨亚通
cantalojas,坎塔洛哈斯
atanzón,阿坦松
peralveche,佩拉尔韦切
montanejos,蒙塔内霍斯
molinos,莫利诺斯
jacarilla,哈卡里利亚
villavieja,拉维拉韦利亚
masegosa,马塞戈萨
hontecillas,翁特西利亚斯
malón,马隆
sotodosos,索托多索斯
navalcán,纳瓦尔坎
velada,贝拉达
nambroca,南夫罗卡
cobreros,科夫雷罗斯
somolinos,索莫利诺斯
bujalaro,布哈拉罗
abizanda,阿维桑达
yeles,耶莱斯
tamurejo,塔穆雷霍
villardevós,比拉尔德沃斯
huélaga,韦拉加
maladeta,马拉德塔山
lominchar,洛明查尔
esquivias,埃斯基维亚斯
montánchez,蒙坦切斯
fuensalida,丰萨利达
mazarambroz,马萨兰夫罗斯
escalonilla,埃斯卡洛尼利亚
villoruebo,比略鲁埃沃
gata,加塔
budia,布迪亚
villarramiel,比利亚拉米耶尔
mirambel,米兰韦尔
cayuela,凯韦拉
cañizar,卡尼伊萨尔
mejorada,梅霍拉达
cuerva,库埃尔瓦
salteras,萨尔特拉斯
orcera,奥尔塞拉
nerva,内尔瓦
anadón,阿纳东
cenicero,塞尼塞罗
mengíbar,门希瓦尔
utande,乌坦德
cernadilla,塞尔纳迪利亚
valdegrudas,巴尔德格鲁达斯
cigales,西加莱斯
pueblatornesa,拉波夫拉托尔内萨
hita,伊塔
villageriz,比利亚赫里斯
mahíde,马伊德
moralina,莫拉利纳
gistaín,希斯泰恩
libros,利夫罗斯
laperdiguera,拉佩尔迪格拉
chueca,丘埃卡
quero,克罗
villaviudas,比利亚维乌达斯
martiago,马尔蒂亚戈
monsagro,蒙萨格罗
herrería,埃雷里亚
villaflor,比利亚弗洛尔
abanto,阿万托
pampliega,潘普列加
gines,希内斯
pereruela,佩雷鲁埃拉
fuentelapeña,丰特拉佩尼亚
chilluévar,奇柳埃瓦尔
lamasón,拉马松
bisimbre,比辛夫雷
santiagopontones,圣地亚哥蓬托内斯
botorrita,博托里塔
espadañedo,埃斯帕达涅多
villabrázaro,比利亚布拉萨罗
prado,普拉多
villardeciervos,比利亚尔德希耶尔沃斯
alcuéscar,阿尔库埃斯卡尔
monóvar,莫诺瓦尔
liendo,连多
mijares,米哈雷斯
umbrías,温夫里亚斯
torremochuela,托雷莫丘埃拉
terzaga,特尔萨加
torrubia,托鲁维亚
traíd,特赖德
torrecuadradilla,托雷夸德拉迪利亚
larrodrigo,拉罗德里戈
valdeavellano,巴尔德亚韦利亚诺
berzocana,贝尔索卡纳
vidángoz,比丹戈斯
fuentelencina,丰特伦西纳
valdelcubo,巴尔德尔库沃
penellas,佩内利亚斯
benadalid,贝纳达利德
sayalonga,萨亚隆加
sedella,塞德利亚
cartajima,卡尔塔希马
parauta,帕劳塔
alozaina,阿洛赛纳
teba,特瓦
sacañet,萨卡涅特
soneja,索内哈
jérica,赫里卡
valdeaveruelo,巴尔德亚韦鲁埃洛
cardeña,卡尔德尼亚
traiguera,特赖格拉
tordesilos,托尔德西洛斯
juneda,胡内达
mongay,蒙盖
ciutadilla,休塔迪利亚
oliola,奥利奥拉
arróniz,阿罗尼斯
arruazu,阿鲁阿苏
valdeconcha,巴尔德孔查
fanzara,凡萨拉
tortuera,托尔图埃拉
aras,阿拉斯
aberin,阿韦林
atez,阿特斯
catí,卡蒂
aibar,艾瓦尔
belascoáin,贝拉斯科艾恩
codo,科多
cubells,库韦利斯
miralcamp,米拉尔坎普
riogordo,里奥戈尔多
artajona,阿尔塔霍纳
costur,科斯图尔
ancín,安辛
berbinzana,贝尔温萨纳
arbizu,阿尔维苏
humilladero,乌米利亚德罗
almargen,阿尔马尔亨
ochánduri,奥钱杜里
genalguacil,赫纳尔瓜西尔
llera,列拉
santurdejo,桑图尔德霍
ocón,奥孔
préjano,普雷哈诺
barillas,巴里利亚斯
azuelo,阿苏埃洛
barásoain,巴拉索艾恩
calomarde,卡洛马尔德
íscar,伊斯卡尔
cubillos,库维略斯
allueva,阿柳埃瓦
fontihoyuelo,丰蒂奥尤埃洛
areso,阿雷索
menarguéns,梅纳尔贡斯
llardecáns,利亚尔德坎斯
torms,埃尔斯托尔姆斯
ciruelos,西鲁埃洛斯
foradada,福拉达达
gotor,戈托尔
aranarache,阿拉纳拉切
caudiel,考迭尔
berriozar,贝里奥萨尔
fuliola,拉富利奥拉
borau,博劳
castellserás,卡斯特利塞拉
casabermeja,卡萨韦尔梅哈
velayos,贝莱奥斯
istán,伊斯坦
aguatón,阿瓜通
bielsa,别尔萨
bea,贝亚
tormantos,托尔曼托斯
marchamalo,马尔查马洛
bierge,别尔赫
ludiente,卢迪恩特
geldo,赫尔多
gorga,戈尔加
garaballa,加拉瓦利亚
nestares,内斯塔雷斯
tricio,特里西奥
bárcabo,巴尔卡沃
herbés,埃尔韦斯
sorzano,索尔萨诺
villatoro,比利亚托罗
riofrío,里奥夫里奥
villartaquintana,比利亚尔塔金塔纳
manjarrés,曼哈雷斯
iznate,伊斯纳特
maleján,马莱汉
ampudia,安普迪亚
galilea,加利莱亚
viñas,比尼亚斯
cárcheles,卡尔切莱斯
castalla,卡斯塔利亚
finestrat,菲内斯特拉特
jasa,哈萨
cinctorres,辛克托雷斯
castilloalbaráñez,卡斯蒂略阿尔瓦拉涅斯
marracos,马拉科斯
ciérvana,谢尔瓦纳
casarabonela,卡萨拉沃内拉
jubrique,胡夫里克
rodezno,罗德斯诺
villarroya,比利亚罗亚
benquerencia,本克伦西亚
mollina,莫利纳
bahabón,巴阿翁
bellaguarda,贝利亚瓜尔达
angüés,安格斯
algatocín,阿尔加托辛
beniarjó,贝尼亚尔霍
alfondeguilla,阿尔丰德吉利亚
abades,阿瓦德斯
espeja,埃斯佩哈
cirat,西拉特
herce,埃尔塞
enguera,恩格拉
ojacastro,奥哈卡斯特罗
antillón,安蒂利翁
endrinal,恩德里纳尔
castillejosierra,卡斯蒂列霍谢拉
benigánim,贝尼加尼姆
herramélluri,埃拉梅柳里
albudeite,阿尔武德特
sueca,苏埃卡
cheste,切斯特
pozondón,波松东
talayuelas,塔莱韦拉斯
rasueros,拉苏埃罗斯
narboneta,纳尔沃内塔
hormilleja,奥尔米列哈
eslida,埃斯利达
rágama,拉加马
macharaviaya,马查拉维亚亚
almusafes,阿尔穆萨费斯
alfarrasí,阿尔法拉西
bureta,布雷塔
salobral,萨洛夫拉尔
brozas,布罗萨斯
pizarra,皮萨拉
villalbilla,比利亚尔维利亚
colmenarejo,科尔梅纳雷霍
cercedilla,塞尔塞迪利亚
navalpino,纳瓦尔皮诺
saceruela,萨塞鲁埃拉
valderrebollo,巴尔德雷沃略
miera,米耶拉
millena,米列纳
benilloba,贝尼略瓦
picón,皮孔
terrinches,特林切斯
ruidera,鲁伊德拉
villalonso,比利亚隆索
sanchidrián,桑奇德里安
sanchorreja,桑乔雷哈
castrogonzalo,卡斯特罗贡萨洛
plasenzuela,普拉森苏埃拉
tordelrábano,托尔德尔拉瓦诺
berrocalejo,贝罗卡莱霍
aguaviva,阿瓜维瓦
casinos,卡西诺斯
épila,埃皮拉
sabiñánigo,萨维尼亚尼戈
cañada,卡尼亚达
sax,萨克斯
alcorisa,阿尔科里萨
torrevelilla,托雷韦利利亚
moralzarzal,莫拉尔萨尔萨尔
lechón,莱琼
loeches,洛埃切斯
meco,梅科
frías,弗里亚斯
jimena,希梅纳
almoharín,阿尔莫阿林
mamolar,马莫拉尔
mestanza,梅斯坦萨
benasau,贝纳绍
balones,巴洛内斯
lorcha,洛尔查
fontanarejo,丰塔纳雷霍
beniardá,贝尼亚尔达
benimasot,贝尼马索特
rubena,鲁韦纳
lubián,卢维安
quemada,克马达
torresandino,托雷桑迪诺
alcanadre,阿尔卡纳德雷
mieza,米耶萨
algerri,阿尔赫里
garvín,加尔温
valdefinjas,巴尔德芬哈斯
villalpando,比利亚尔潘多
calzadilla,卡尔萨迪利亚
cedillo,塞迪略
holguera,奥尔格拉
navasfrías,纳瓦斯夫里亚斯
coreses,科雷塞斯
cabanabona,卡瓦纳沃纳
alpicat,阿尔皮卡特
albalá,阿尔瓦拉
hermisende,埃尔米森德
alcantud,阿尔坎图德
almudaina,阿尔穆代纳
albesa,阿尔韦萨
aspa,阿斯帕
castelldans,卡斯特利丹斯
hinojal,伊诺哈尔
bovera,博韦拉
villaralbo,比利亚拉尔沃
mazuela,马苏埃拉
valmojado,巴尔莫哈多
villadiego,比利亚迭戈
valluércanes,巴柳埃尔卡内斯
beamud,贝亚穆德
benimarfull,贝尼马尔富利
alguazas,阿尔瓜萨斯
guardo,瓜尔多
garde,加尔德
haría,阿里亚
galende,加伦德
valdetorres,巴尔德托雷斯
becerreá,贝塞雷亚
mazcuerras,马斯库埃拉斯
mos,莫斯
pradosegar,普拉多塞加尔
vadocondes,巴多孔德斯
aya,阿亚
baleira,巴莱拉
abalcisqueta,阿瓦尔西斯克塔
andoáin,安多艾恩
fuentelcésped,丰特尔塞斯佩德
corbíns,科尔温斯
grijota,格里霍塔
cañaveras,卡尼亚韦拉斯
carrascalejo,卡拉斯卡莱霍
herguijuela,埃尔吉胡埃拉
mayalde,马亚尔德
granucillo,格拉努西略
robleda,罗夫莱达
castellonet,卡斯特略内特德拉孔克斯塔
carcagente,卡尔卡亨特
catarroja,卡塔罗哈
chelva,切尔瓦
enguídanos,恩吉达诺斯
albuixech,阿尔维克塞奇
pinillos,皮尼略斯
alfarrás,阿尔法拉斯
berrueco,贝鲁埃科
baltanás,巴尔塔纳斯
hoyos,奥约斯
navarredondilla,纳瓦雷东迪利亚
ezcároz,埃斯卡罗斯
albatárrech,阿尔瓦塔雷克
almenar,阿尔梅纳尔
aitona,艾托纳
izagaondoa,伊萨高恩多阿
daimiel,代米耶尔
pancorbo,潘科尔沃
piedrabuena,彼德拉武埃纳
chillón,奇利翁
ciadoncha,锡亚东查
ugena,乌赫纳
ribadumia,里瓦杜米亚
muchamiel,穆特克萨梅尔
porquera,波尔凯拉
poyo,波约
puentecaldelas,蓬特卡尔德拉斯
cerdedo,塞尔德多
estollo,埃斯托略
gimileo,希米莱奥
ollauri,奥廖里
medrano,梅德拉诺
gerena,赫雷纳
aznalcóllar,阿斯纳尔科利亚尔
matute,马图特
grávalos,格拉瓦洛斯
figueroles,菲格罗莱斯
tudelilla,图德利利亚
hormilla,奥尔米利亚
benillup,贝尼柳普
bobadilla,博瓦迪利亚
atea,阿特亚
guntín,贡廷
maside,马西德
coles,科莱斯
celanova,塞拉诺瓦
jayena,哈耶纳
ayuela,艾韦拉
brunete,布鲁内特
valdaracete,巴尔达拉塞特
batres,巴特雷斯
valdeavero,巴尔德亚韦罗
titulcia,蒂图尔西亚
ribatejada,里瓦特哈达
griñón,格里尼翁
lozoyuelanavassieteiglesias,洛索尤埃拉纳瓦斯谢泰格莱西亚斯
burgohondo,布尔戈翁多
rágol,拉戈尔
venturada,本图拉达
anchuelo,安丘埃洛
igea,伊赫亚
leiva,莱瓦
cervantes,塞万提斯
guitiriz,吉蒂里斯
salobre,萨洛夫雷
valdeolea,巴尔德奥莱亚
laza,拉萨
benatae,贝纳泰
laroco,拉罗科
cuntis,昆蒂斯
muras,穆拉斯
arnoya,阿尔诺亚
gomesende,戈梅森德
robregordo,罗夫雷戈尔多
gascones,加斯科内斯
hervías,埃尔维亚斯
chapinería,查皮内里亚
casarrubuelos,卡萨鲁武埃洛斯
zuera,苏埃拉
cazalegas,卡萨莱加斯
alamedilla,阿拉梅迪利亚
cobeja,科韦哈
almochuel,阿尔莫丘埃尔
alamillo,阿拉米略
coripe,科里佩
brazatortas,布拉萨托尔塔斯
nacimiento,纳西缅托
argés,阿尔赫斯
lagartera,拉加尔特拉
valdemeca,巴尔德梅卡
casasimarro,卡萨西马罗
pozoamargo,波索阿马尔戈
asín,阿辛
lantejuela,拉兰特胡埃拉
guillena,吉列纳
montellano,蒙特利亚诺
bormujos,博尔穆霍斯
luciana,卢西亚纳
fuencaliente,丰卡连特
miguelturra,米格尔图拉
navarrevisca,纳瓦雷维斯卡
padiernos,帕迭尔诺斯
orbara,奥尔瓦拉
ollo,奥略
taragudo,塔拉古多
alcoletge,阿尔科莱切
benisanó,贝尼萨诺
algámitas,阿尔加米塔斯
mironcillo,米龙西略
sorlada,索尔拉达
tirapu,蒂拉普
pueyo,普埃约
uztárroz,乌斯塔罗斯
legaria,莱加里亚
orozbetelu,奥罗斯贝特卢
urdiáin,乌尔迪亚因
luquin,卢金
pedreguer,佩德雷格尔
tollos,托略斯
valdemorales,巴尔德莫拉莱斯
bellvís,贝利维斯
alfés,阿尔费斯
alcohujate,阿尔科乌哈特
suflí,苏夫利
guijuelo,吉胡埃洛
navatalgordo,纳瓦塔尔戈尔多
azaila,阿赛拉
mamblas,曼夫拉斯
muñosancho,穆尼奥桑乔
navalacruz,纳瓦拉克鲁斯
valhermoso,巴尔埃尔莫索
trijueque,特里胡埃克
zaorejas,绍雷哈斯
yebra,耶夫拉
torreblascopedro,托雷夫拉斯科佩德罗
viñuelas,比纽埃拉斯
bejís,贝希斯
belmontejo,贝尔蒙特霍
pruna,普鲁纳
briñas,布里尼亚斯
urdax,乌达克斯
úcar,乌卡尔
santesteban,圣埃斯特万
ariño,阿里尼奥
arguis,阿尔吉斯
alcarrás,阿尔卡拉斯
albendea,阿尔文德亚
abando,阿万多
busot,布索特
villablino,比利亚布利诺
borrenes,博雷内斯
navahondilla,纳瓦翁迪利亚
lituénigo,利图埃尼戈
hoyocasero,奥约卡塞罗
goñi,戈尼
fustiñana,富斯蒂尼亚纳
garayoa,加拉约阿
lezáun,莱绍恩
murchante,穆尔钱特
monteagudo,蒙特阿古多
navaconcejo,纳瓦孔塞霍
oco,奥科
unzué,温苏埃
lesaca,莱萨卡
leache,莱阿切
oláibar,奥莱瓦尔
orísoain,奥里索艾恩
barjas,巴尔哈斯
logrosán,洛格罗桑
campanario,坎帕纳里奥
niharra,尼阿拉
gimialcón,希米亚尔孔
cañamero,卡尼亚梅罗
alía,阿利亚
herencia,埃伦西亚
almaraz,阿尔马拉斯
villacarrillo,比利亚卡里略
zarzacapilla,萨尔萨卡皮利亚
nazar,纳萨尔
gascueña,加斯库埃尼亚
fitero,菲特罗
villasandino,比利亚桑迪诺
rábanos,拉瓦诺斯
araiz,阿赖斯
cistierna,锡斯铁尔纳
caudete,考德特
almuradiel,阿尔穆拉迭尔
agudo,阿古多
cazalilla,卡萨利利亚
cartelle,卡尔特列
lovios,洛维奥斯
lecumberri,莱昆贝里
leoz,莱奥斯
muñopepe,穆尼奥佩佩
albaladejo,阿尔瓦拉德霍
fresnedilla,弗雷斯内迪利亚
montalbanejo,蒙塔尔瓦内霍
torregalindo,托雷加林多
amavida,阿马维达
bogarra,博加拉
aldeaquemada,阿尔德亚克马达
martiherrero,马尔蒂埃雷罗
aýna,艾纳
badarán,巴达兰
camprovín,坎普罗温
aldeaseca,阿尔德亚塞卡
castroviejo,卡斯特罗维耶霍
genevilla,赫内维利亚
truchas,特鲁查斯
cihuri,西乌里
bañares,巴尼亚雷斯
alesanco,阿莱桑科
arrúbal,阿鲁瓦尔
montalbo,蒙塔尔沃
bergasa,贝尔加萨
corera,科雷拉
quintanavides,金塔纳维德斯
relleu,雷列乌
berceo,贝尔塞奥
reinoso,雷诺索
marlín,马尔林
ceclavín,塞克拉温
muñico,穆尼伊科
navalosa,纳瓦洛萨
peguerinos,佩格里诺斯
junciana,洪西亚纳
montederramo,蒙特德拉莫
rafal,拉法尔
petrel,佩特雷尔
benferri,本费里
gilbuena,希尔武埃纳
muñana,穆尼亚纳
tibi,蒂维
valtierra,巴尔铁拉
ciordia,锡奥尔迪亚
frandovínez,弗兰多维内斯
barromán,巴罗曼
barrax,巴拉斯
rus,鲁斯
yanci,扬西
gavilanes,加维拉内斯
ciempozuelos,先波苏埃洛斯
navalagamella,纳瓦拉加梅利亚
fuenteheridos,丰特埃里多斯
almáchar,阿尔马查尔
pinoso,皮诺索
entrimo,恩特里莫
navaquesera,纳瓦克塞拉
navaescurial,纳瓦伊斯库里亚尔
mengamuñoz,门加穆尼奥斯
jatiel,哈铁尔
bueu,布埃乌
salares,萨拉雷斯
yebes,耶韦斯
siles,西莱斯
berrocal,贝罗卡尔
gelsa,赫尔萨
alcubillas,阿尔库维利亚斯
hontanar,翁塔纳尔
almedina,阿尔梅迪纳
cillaperlata,锡利亚佩尔拉塔
fuentespina,丰特斯皮纳
fontioso,丰蒂奥索
vergel,埃尔韦尔赫尔
vita,比塔
famorca,法莫尔卡
yunquera,伊温克拉
pedrezuela,佩德雷苏埃拉
valdelaguna,巴尔德拉古纳
salvacañete,萨尔瓦卡涅特
tortuero,托尔图埃罗
jalón,哈隆
quinto,金托
jarilla,哈里利亚
navahermosa,纳瓦埃尔莫萨
cavá,卡瓦
pozanco,波桑科
orbaiceta,奥尔瓦伊塞塔
huartearaquil,瓦尔特阿拉基尔
lanzahíta,兰萨伊塔
serón,塞龙
fuentemolinos,丰特莫利诺斯
hontangas,翁坦加斯
burguillos,布尔吉略斯
campolara,坎波拉拉
baralla,巴拉利亚
carrias,卡里亚斯
cillán,锡良
toril,托里尔
villalcampo,比利亚尔坎波
bretó,布雷托
venialbo,贝尼亚尔沃
illescas,伊列斯卡斯
alcazarén,阿尔卡萨伦
berceruelo,贝尔塞鲁埃洛
olóriz,奥洛里斯
guirguillano,吉尔吉利亚诺
galar,加拉尔
broto,布罗托
langa,兰加
morga,莫尔加
pedrorodríguez,佩德罗罗德里格斯
villaescusa,比利亚埃斯库萨
larráun,拉劳恩
echarriaranaz,埃查里阿拉纳斯
leiza,莱萨
murieta,穆列塔
mendigorría,门迪戈里亚
saldías,萨尔迪亚斯
peleagonzalo,佩莱亚贡萨洛
pías,皮亚斯
tábara,塔瓦拉
trefacio,特雷法西奥
fuentespreadas,丰特斯普雷亚达斯
robledacervantes,罗夫莱达塞尔万特斯
benagéber,贝纳赫韦尔
valcabado,巴尔卡瓦多
luzón,卢松
benimantell,贝尼曼特利
catral,卡特拉尔
benejúzar,贝内胡萨尔
cabó,卡沃
cerralbo,塞拉尔沃
alfoz,阿尔福斯
urnieta,乌尔涅塔
crespos,克雷斯波斯
orendáin,奥伦代恩
escoriaza,埃斯科里亚萨
cabezuela,卡韦苏埃拉
boceguillas,博塞吉利亚斯
usúrbil,乌苏维尔
arahuetes,阿拉韦特斯
gaínza,盖恩萨
lizarza,利萨尔萨
cabrero,卡夫雷罗
carazo,卡拉索
barbolla,巴尔沃利亚
brieva,布列瓦
añe,阿涅
lizoáinarriasgoiti,利索艾恩阿里亚斯戈伊蒂
barreiros,巴雷罗斯
entrambasaguas,恩特兰瓦萨瓜斯
guriezo,古列索
abusejo,阿武塞霍
agallas,阿加利亚斯
benidoleig,贝尼多莱格
bóveda,博韦达
mesía,梅西亚
babilafuente,巴维拉丰特
albocácer,阿尔沃卡塞尔
cardeñadijo,卡尔德尼亚迪霍
riaño,里亚尼奥
ayódar,艾奥达尔
agres,阿格雷斯
árchez,阿尔切斯
almogía,阿尔莫希亚
arevalillo,阿雷瓦利略
brabos,布拉沃斯
becedillas,贝塞迪利亚斯
bernuyzapardiel,贝尔努伊萨帕尔迭尔
milagros,米拉格罗斯
larraga,拉拉加
galinduste,加林杜斯特
mirafuentes,米拉丰特斯
urzainqui,乌尔赛恩基
olejua,奥莱华
lanz,兰斯
piedramillera,彼德拉米列拉
santacara,桑塔卡拉
metauten,梅陶滕
araquil,阿拉基尔
lana,拉纳
vidaurreta,比道雷塔
garínoain,加里诺艾恩
lazagurría,拉萨古里亚
erasun,埃拉孙
iturmendi,伊图尔门迪
larraona,拉劳纳
morentin,莫伦廷
ituren,伊图伦
liédena,列德纳
imoz,伊莫斯
ergoyena,埃尔戈耶纳
ribaforada,里瓦福拉达
justel,胡斯特尔
azuébar,阿苏埃瓦尔
benafigos,贝纳菲戈斯
ledrada,莱德拉达
guarrate,瓜拉特
arcediano,阿尔塞迪亚诺
boada,博阿达
guadramiro,瓜德拉米罗
candelario,坎德拉里奥
golpejas,戈尔佩哈斯
gamones,加莫内斯
juzbado,胡斯瓦多
asturianos,阿斯图里亚诺斯
carbellino,卡尔韦利诺
castellfort,卡斯特利福尔特
amusco,阿穆斯科
argujillo,阿尔古希略
agramunt,阿格拉蒙特
anglesola,安格莱索拉
tardáguila,塔尔达吉拉
blascosancho,布拉斯科桑乔
navatejares,纳瓦特哈雷斯
navadijos,纳瓦迪霍斯
tordillos,托尔迪略斯
trabanca,特拉万卡
yésero,耶塞罗
garcirrey,加尔西雷
agoncillo,阿贡西略
fuensanta,丰桑塔
camargo,卡马尔戈
poveda,波韦达
muñogrande,穆尼奥格兰德
maello,迈略
herrerías,埃雷里亚斯
luzaga,卢萨加
bacáicoa,巴凯科阿
ochagavía,奥查加维亚
villarmuerto,比利亚尔穆埃尔托
bogajo,博加霍
valderrey,巴尔德雷
neila,内拉
turcia,图尔西亚
barbadillo,巴尔瓦迪略
hornos,奥尔诺斯
villadecanes,比利亚德卡内斯
ibargoiti,伊瓦尔戈伊蒂
marmolejo,马尔莫莱霍
riaza,里亚萨
sobradillo,索夫拉迪略
valdehijaderos,巴尔德伊哈德罗斯
vegaquemada,贝加克马达
cárcar,卡尔卡尔
etayo,埃塔约
prioro,普里奥罗
valdelugueros,巴尔德卢格罗斯
cadreita,卡德雷塔
génave,赫纳韦
jamilena,哈米莱纳
poal,埃尔波阿尔
hinojares,伊诺哈雷斯
espeluy,埃斯佩卢伊
estarás,埃斯塔拉斯
pinós,皮诺斯
benasal,贝纳萨尔
vegacervera,贝加塞尔韦拉
camporrobles,坎波罗夫莱斯
cáseda,卡塞达
aldeacipreste,阿尔德亚西普雷斯特
éjeme,埃赫梅
bargota,巴尔戈塔
iznatoraf,伊斯纳托拉夫
biurrunolcoz,比乌伦奥尔科斯
azagra,阿萨格拉
barbarin,巴尔瓦林
carabias,普拉达莱斯
ventosa,本托萨
casasola,卡萨索拉
cehegín,塞埃欣
aguasal,阿瓜萨尔
grañanella,格拉尼亚内利亚
cadalso,卡达尔索
veganzones,贝甘索内斯
guixes,吉克塞尔斯
torreblanca,托雷夫兰卡
alcora,拉尔科拉
bailo,拜洛
teo,特奥
moncófar,蒙科法
alaejos,阿莱霍斯
aranaz,阿拉纳斯
carcastillo,卡尔卡斯蒂略
añorbe,阿尼奥尔韦
benichembla,贝尼亨夫拉
arguedas,阿尔格达斯
artazu,阿尔塔苏
benafer,贝纳费尔
beinzalabayen,本萨拉瓦延
almedíjar,阿尔梅迪哈尔
manises,马尼塞斯
saelices,赛利塞斯
cabezabellosa,卡韦萨韦略萨
valdeolmillos,巴尔德奥尔米略斯
pajarejos,帕哈雷霍斯
corteconcepción,科尔特孔塞普西翁
neda,内达
allo,阿略
valderrábano,巴尔德拉瓦诺
arcones,阿尔科内斯
biar,比亚尔
santiz,桑蒂斯
caballar,卡瓦利亚尔
basardilla,巴萨尔迪利亚
urueñas,乌鲁埃尼亚斯
hinojales,伊诺哈莱斯
adzaneta,阿特塞内塔德尔迈斯特拉特
altura,阿尔图拉
torresmenudas,托雷斯梅努达斯
molinillo,莫利尼略
navacerrada,纳瓦塞拉达
villalcón,比利亚尔孔
botija,博蒂哈
lugros,卢格罗斯
novallas,诺瓦利亚斯
arquillinos,阿尔基利诺斯
fresneña,弗雷斯内尼亚
mombuey,蒙武埃
cuelgamures,库埃尔加穆雷斯
coomonte,科奥蒙特
fuentesaúco,丰特绍科
allín,阿林
benlloch,本略奇
alsasua,阿尔萨苏阿
peñaparda,佩尼亚帕尔达
castellnovo,卡斯特利诺沃
abanilla,阿瓦尼利亚
cálig,卡利格
traspinedo,特拉斯皮内多
mirabel,米拉韦尔
abáigar,阿瓦伊加尔
mendavia,门达维亚
sacedatrasierra,萨塞达特拉谢拉
salmeroncillos,萨尔梅龙西略斯
argelita,阿尔赫利塔
bigastro,比加斯特罗
berrioplano,贝里奥普拉诺
arive,阿里韦
villalaco,比利亚拉科
monfloritelascasas,蒙夫洛里特拉斯卡萨斯
molacillos,莫拉西略斯
huérmeces,韦尔梅塞斯
bretocino,布雷托西诺
montamarta,蒙塔马尔塔
villaconancio,比利亚科南西奥
alfántega,阿尔凡特加
torremormojón,托雷莫尔莫洪
velilla,贝利利亚
binaced,比纳塞德
villacidaler,比利亚西达莱尔
triollo,特里奥略
ataquines,阿塔基内斯
robladillo,罗夫拉迪略
carboneros,卡尔沃内罗斯
villavelayo,比利亚韦莱奥
zarzosa,萨尔索萨
aranguren,阿兰古伦
abárzuza,阿瓦尔苏萨
ventrosa,本特罗萨
castillonuevo,卡斯蒂略努埃沃
marcilla,马尔西利亚
uruñuela,乌鲁纽埃拉
anué,阿努埃
velascálvaro,贝拉斯卡尔瓦罗
alfafar,阿尔法法尔
castejón,卡斯特洪
gallocanta,加略坎塔
leganiel,莱加涅尔
noáin,诺艾恩
almácera,阿尔马塞拉
beas,贝亚斯
torrelameo,托雷拉梅乌
viloria,比洛里亚
torralba,托拉尔瓦
torreflor,托雷费泰夫洛雷哈克斯
cosa,科萨
torregrosa,托雷格罗萨
ledaña,莱达尼亚
lagunaseca,拉古纳塞卡
albal,阿尔瓦尔
arrancacepas,阿兰卡塞帕斯
luelmo,卢埃尔莫
orio,奥里奥
alacuás,阿拉夸斯
lezo,莱索
