нюша,뉴샤,nyusha,nyusya
гидзенко,기젠코,gidzenko,gijenko
волынов,볼리노프,volynov,bolrinopeu
вик,빅,vik,big
уайлд,와일드,uayld,waildeu
медведева,메드베데바,medvedeva,medeubedeba
аркадий,아르카디,arkadiy,areukadi
дворкович,드보르코비치,dvorkovich,deuboreukobici
шейк,샤크,sheyk,syakeu
нелли,넬리,nelli,nelri
ким,킴,kim,kim
майкл,마이클,maykl,maikeul
лукас,루커스,lukas,rukeoseu
рязанцев,랴잔체프,ryazancev,ryajancepeu
василенко,바실렌코,vasilenko,basilrenko
виктория,빅토리야,viktoriya,bigtoriya
волчкова,볼치코바,volchkova,bolcikoba
андрейченко,안드레이첸코,andreychenko,andeureicenko
мастеркова,마스테르코바,masterkova,maseutereukoba
олеся,올레샤,olesya,olresya
рулин,루린,rulin,rurin
турчинская,투르친스카야,turchinskaya,tureucinseukaya
лазутина,라주티나,lazutina,rajutina
диана,디아나,diana,diana
гурцкая,구르츠카야,gurckaya,gureuceukaya
чулпан,출판,chulpan,culpan
хаматова,하마토바,hamatova,hamatoba
шолбан,숄반,sholban,syolban
караоол,카라올,karaool,karaol
харьков,하리코프,harkov,harikopeu
оксана,옥사나,oksana,ogsana
акиньшина,아킨시나,akinshina,akinsina
роднина,로드니나,rodnina,rodeunina
хоркина,호르키나,horkina,horeukina
кокляев,코클랴예프,koklyaev,kokeulryayepeu
новицкий,노비츠키,novickiy,nobiceuki
максим,막심,maksim,magsim
марина,마리나,marina,marina
ладынина,레디니나,ladynina,redinina
валова,발로바,valova,balroba
токарева,토카레바,tokareva,tokareba
чепалова,체팔로바,chepalova,cepalroba
бондаренко,본다렌코,bondarenko,bondarenko
булат,불라트,bulat,bulrateu
окуджава,오쿠자바,okudzhava,okujaba
воробьёва,보로비요바,vorobyova,borobiyoba
антоненко,안토넨코,antonenko,antonenko
янукович,야누코비치,yanukovich,yanukobici
щербаков,셰르바코프,shcherbakov,syereubakopeu
котова,코토바,kotova,kotoba
володина,볼로디나,volodina,bolrodina
катарина,카타리나,katarina,katarina
гербольдт,게르볼트,gerboldt,gereubolteu
вагит,바기트,vagit,bagiteu
алекперов,알렉페로프,alekperov,alregperopeu
вознесенский,보즈네센스키,voznesenskiy,bojeunesenseuki
авдеев,아브데예프,avdeev,abeudeyepeu
бутурлин,부투를린,buturlin,butureulrin
гризодубова,그리조두보바,grizodubova,geurijoduboba
гильерме,길례르미,gilerme,gilryereumi
маринато,마리나투,marinato,marinatu
грачёв,그라초프,grachyov,geuracopeu
вяльбе,뱔베,vyalbe,byalbe
ибрагимов,이브라기모프,ibragimov,ibeuragimopeu
чермошанская,체르모샨스카야,chermoshanskaya,cereumosyanseukaya
астафьев,아스타피예프,astafev,aseutapiyepeu
энквист,엥퀴스트,enkvist,engkwiseuteu
бастрыкин,바스트리킨,bastrykin,baseuteurikin
бекки,레베카,bekki,rebeka
хэммон,함몬,hemmon,hammon
яшин,야신,yashin,yasin
смирнов,스미르노프,smirnov,seumireunopeu
кондратьева,콘드라티예바,kondrateva,kondeuratiyeba
анисина,아니시나,anisina,anisina
боголюбов,보골류보프,bogolyubov,bogolryubopeu
антон,안톤,anton,anton
батуев,바투예프,batuev,batuyepeu
анфиса,안피사,anfisa,anpisa
резцова,레스초바,rezcova,reseucoba
нонна,논나,nonna,nonna
мордюкова,모르듀코바,mordyukova,moreudyukoba
силуанов,실루아노프,siluanov,silruanopeu
панфилов,판필로프,panfilov,panpilropeu
жанна,잔나,zhanna,janna
фриске,프리스케,friske,peuriseuke
ромашина,로마시나,romashina,romasina
чугайнов,추가이노프,chugaynov,cugainopeu
ерохин,알렉산드르,erohin,alregsandeureu
юрьевич,예로힌,yurevich,yerohin
радченко,랏첸코,radchenko,rascenko
чайка,차이카,chayka,caika
руслан,루슬란,ruslan,ruseulran
пименов,피메노프,pimenov,pimenopeu
васин,바신,vasin,basin
басаргин,바사르긴,basargin,basareugin
черышев,체리셰프,cheryshev,cerisyepeu
дина,디나,dina,dina
корзун,코르준,korzun,koreujun
инга,잉가,inga,ingga
абитова,아비토바,abitova,abitoba
пономарёва,포노마료바,ponomaryova,ponomaryoba
ласицкене,라시츠케네,lasickene,rasiceukene
подольская,포돌스카야,podolskaya,podolseukaya
любшин,륩신,lyubshin,ryubsin
федосеев,페도세예프,fedoseev,pedoseyepeu
войнович,보이노비치,voynovich,boinobici
ларионов,라리오노프,larionov,rarionopeu
пелевин,펠레빈,pelevin,pelrebin
кустинская,스틴스카야,kustinskaya,seutinseukaya
абдулхалим,압둘할림,abdulhalim,abdulhalrim
садулаев,사이둘라예프,sadulaev,saidulrayepeu
володин,볼로딘,volodin,bolrodin
сидорова,시도로바,sidorova,sidoroba
астаповский,아스타폽스키,astapovskiy,aseutapobseuki
хабиб,하비프,habib,habipeu
аллахвердиев,알라흐베르디예프,allahverdiev,alraheubereudiyepeu
розов,로조프,rozov,rojopeu
никифоров,니키포로프,nikiforov,nikiporopeu
стриженов,스트리제노프,strizhenov,seuteurijenopeu
догилева,도길레바,dogileva,dogilreba
магнитский,마그니츠키,magnitskiy,mageuniceuki
пётр,표트르,pyotr,pyoteureu
красилов,크라실로프,krasilov,keurasilropeu
филатов,필라토프,filatov,pilratopeu
болотников,볼로트니코프,bolotnikov,bolroteunikopeu
булыкин,불리킨,bulykin,bulrikin
тихонов,티호노프,tihonov,tihonopeu
ледяхов,레댜호프,ledyahov,redyahopeu
севастьянов,세바스티야노프,sevastyanov,sebaseutiyanopeu
хугаев,후가예프,hugaev,hugayepeu
афанасьев,아파나시예프,afanasev,apanasiyepeu
арнтгольц,안트골츠,arntgolc,anteugolceu
степанова,스테파노바,stepanova,seutepanoba
екимов,예키모프,ekimov,yekimopeu
лисица,리시차,lisica,risica
гамова,가모바,gamova,gamoba
костенюк,코스테뉴크,kostenyuk,koseutenyukeu
слуцкий,슬루츠키,sluckiy,seulruceuki
элла,옐라,ella,yelra
памфилова,팜필로바,pamfilova,pampilroba
любимов,류비모프,lyubimov,ryubimopeu
кондакова,콘다코바,kondakova,kondakoba
лебзяк,레브자크,lebzyak,rebeujakeu
зархи,자르히,zarhi,jareuhi
канаева,카나예바,kanaeva,kanayeba
кайдановский,카이다노프스키,kaydanovskiy,kaidanopeuseuki
рыболовлев,리볼로블레프,rybolovlev,ribolrobeulrepeu
гордеева,고르데예바,gordeeva,goreudeyeba
георгий,게오르기,georgiy,georeugi
полтавченко,폴탑첸코,poltavchenko,poltabcenko
плисецкая,플리세츠카야,pliseckaya,peulriseceukaya
вилкова,빌코바,vilkova,bilkoba
сураев,라예프,suraev,rayepeu
коблова,코블로바,koblova,kobeulroba
гульнара,굴나라,gulnara,gulnara
галкинасамитова,갈키나사미토바,galkinasamitova,galkinasamitoba
белла,벨라,bella,belra
ахмадулина,아흐마둘리나,ahmadulina,aheumadulrina
анита,아니타,anita,anita
цой,최,coy,coe
абдулов,아브둘로프,abdulov,abeudulropeu
пельтцер,펠체르,peltcer,pelcereu
голикова,골리코바,golikova,golrikoba
пахмутова,파흐무토바,pahmutova,paheumutoba
нарышкин,나리시킨,naryshkin,narisikin
алина,알리나,alina,alrina
кабаева,카바예바,kabaeva,kabayeba
плющенко,플루셴코,plyushchenko,peulrusyenko
колобков,콜롭코프,kolobkov,kolrobkopeu
рогачёва,로가초바,rogachyova,rogacoba
рустам,루스탐,rustam,ruseutam
минниханов,민니하노프,minnihanov,minnihanopeu
муртаза,무르타자,murtaza,mureutaja
рахимов,라히모프,rahimov,rahimopeu
николаева,니콜라예바,nikolaeva,nikolrayeba
бочкарёв,보치카료프,bochkaryov,bocikaryopeu
бударин,부다린,budarin,budarin
левников,레브니코프,levnikov,rebeunikopeu
тарелкин,타렐킨,tarelkin,tarelkin
макаренко,마카렌코,makarenko,makarenko
москвин,모스크빈,moskvin,moseukeubin
динара,디나라,dinara,dinara
сафина,사피나,safina,sapina
олимпиада,올림피아다,olimpiada,olrimpiada
иванова,이바노바,ivanova,ibanoba
барсукова,바르수코바,barsukova,bareusukoba
пивоварова,피보바로바,pivovarova,pibobaroba
забелинская,자벨린스카야,zabelinskaya,jabelrinseukaya
савельева,사벨리예바,saveleva,sabelriyeba
толстоганова,톨스토가노바,tolstoganova,tolseutoganoba
прохоренко,프로코렌코,prohorenko,peurokorenko
фролина,프롤리나,frolina,peurolrina
бьянка,비앙카,byanka,biangka
чиркунов,치르쿠노프,chirkunov,cireukunopeu
ивашко,이바시코,ivashko,ibasiko
бесчастных,베스차스트니흐,beschastnyh,beseucaseuteuniheu
ярыгин,야리긴,yarygin,yarigin
бутман,부트만,butman,buteuman
лыкина,리키나,lykina,rikina
хаджимурат,하지무라트,hadzhimurat,hajimurateu
гацалов,가찰로프,gacalov,gacalropeu
потапов,포타포프,potapov,potapopeu
рыбкин,립킨,rybkin,ribkin
рауш,라우슈,raush,rausyu
заурбек,자우르베크,zaurbek,jaureubekeu
байсангуров,바이산구로프,baysangurov,baisanguropeu
озеров,오제로프,ozerov,ojeropeu
арсенов,아르세노프,arsenov,areusenopeu
ваенга,바엔가,vaenga,baenga
людвиг,류드비크,lyudvig,ryudeubikeu
фаддеев,파데예프,faddeev,padeyepeu
гриньков,그린코프,grinkov,geurinkopeu
назаров,나자로프,nazarov,najaropeu
рукавишников,루카비시니코프,rukavishnikov,rukabisinikopeu
галустян,갈루스티안,galustyan,galruseutian
каспарян,카스파랸,kasparyan,kaseuparyan
демидова,데미도바,demidova,demidoba
костолевский,코스톨렙스키,kostolevskiy,koseutolrebseuki
шилклопер,실클로페르,shilkloper,silkeulropereu
фролов,프롤로프,frolov,peurolropeu
бабченко,밥첸코,babchenko,babcenko
примаков,프리마코프,primakov,peurimakopeu
журова,주로바,zhurova,juroba
бирюкова,비류코바,biryukova,biryukoba
гладышева,글라디셰바,gladysheva,geulradisyeba
греф,그레프,gref,geurepeu
соколова,소콜로바,sokolova,sokolroba
камилла,카밀라,kamilla,kamilra
гафурзянова,가푸르지아노바,gafurzyanova,gapureujianoba
ия,이야,iya,iya
саввина,사비나,savvina,sabina
илона,일로나,ilona,ilrona
броневицкая,브론비츠카야,bronevickaya,beuronbiceukaya
рем,렘,rem,rem
вяхирев,뱌히레프,vyahirev,byahirepeu
шаинский,샤인스키,shainskiy,syainseuki
стоцкая,스톡카,stockaya,seutogka
машков,마시코프,mashkov,masikopeu
зеляева,젤랴예바,zelyaeva,jelryayeba
овчаренко,오브차렌코,ovcharenko,obeucarenko
галлямова,갈랴모바,gallyamova,galryamoba
анися,아니샤,anisya,anisya
кирдяпкина,키르댭키나,kirdyapkina,kireudyabkina
юко,유코,yuko,yuko
кавагути,카바구티,kavaguti,kabaguti
золотухин,졸로투킨,zolotuhin,jolrotukin
джикия,지키야,dzhikiya,jikiya
гозман,고즈만,gozman,gojeuman
лилия,릴리야,liliya,rilriya
нурутдинова,누루트디노바,nurutdinova,nuruteudinoba
савичева,사비체바,savicheva,sabiceba
табаков,타바코프,tabakov,tabakopeu
виноградов,비노그라노프,vinogradov,binogeuranopeu
чухрай,추흐라이,chuhray,cuheurai
яковлева,야코블레바,yakovleva,yakobeulreba
макеев,마케예프,makeev,makeyepeu
миллер,밀레르,miller,milrereu
свиридов,스비리도프,sviridov,seubiridopeu
софья,소피야,sofya,sopiya
ская,스카야,skaya,seukaya
муса,무사,musa,musa
манаров,마나로프,manarov,manaropeu
аллегрова,알레그로바,allegrova,alregeuroba
габулов,가불로프,gabulov,gabulropeu
арсений,아르세니,arseniy,areuseni
ворожейкин,보로제이킨,vorozheykin,borojeikin
манский,만스키,manskiy,manseuki
руденко,루덴코,rudenko,rudenko
шведов,시베도프,shvedov,sibedopeu
фадзаев,파자예프,fadzaev,pajayepeu
вексельберг,베켈베르크,vekselberg,bekelbereukeu
фрейндлих,프라인들리히,freyndlih,peuraindeulrihi
синявский,시냡스키,sinyavskiy,sinyabseuki
спартак,스파르타크,spartak,seupareutakeu
гогниев,고그니예프,gogniev,gogeuniyepeu
келли,켈리,kelli,kelri
маккарти,매카티,makkarti,maekati
вадим,바딤,vadim,badim
любовь,류보비,lyubov,ryubobi
бурда,부르다,burda,bureuda
устинов,우스티노프,ustinov,useutinopeu
маратович,마라토비치,maratovich,maratobici
орлов,오를로프,orlov,oreulropeu
оганесян,오가네샨,oganesyan,oganesyan
аталик,아탈리크,atalik,atalrikeu
волосожар,볼로소자르,volosozhar,bolrosojareu
строев,스트로예프,stroev,seuteuroyepeu
федун,페둔,fedun,pedun
старостин,스타로스틴,starostin,seutaroseutin
шостакович,쇼스타코비치,shostakovich,syoseutakobici
водорезова,보도레조바,vodorezova,bodorejoba
бичевская,비쳅스카야,bichevskaya,bicebseukaya
матиясевич,마티야세비치,matiyasevich,matiyasebici
хуснуллин,후스눌린,husnullin,huseunulrin
толстая,톨스타야,tolstaya,tolseutaya
комбаров,콤바로프,kombarov,kombaropeu
нагибин,나기빈,nagibin,nagibin
онуфриенко,오누프리옌코,onufrienko,onupeuriyenko
радулов,라둘로프,radulov,radulropeu
тамара,타마라,tamara,tamara
данилова,다닐로바,danilova,danilroba
самохина,사모키나,samohina,samokina
лисин,리신,lisin,risin
рашид,라시트,rashid,rasiteu
черчесов,체르체소프,cherchesov,cereucesopeu
артемьев,아르테미예프,artemev,areutemiyepeu
рагозина,라고지나,ragozina,ragojina
армен,아르멘,armen,areumen
джигарханян,지가르하냔,dzhigarhanyan,jigareuhanyan
семён,세묜,semyon,semyon
могилевич,모길레비치,mogilevich,mogilrebici
стрекалов,스트레칼로프,strekalov,seuteurekalropeu
наумов,나우모프,naumov,naumopeu
плеханов,플레하노프,plehanov,peulrehanopeu
ерофеев,예로페예프,erofeev,yeropeyepeu
шафаревич,샤파레비치,shafarevich,syaparebici
анисимов,아니시모프,anisimov,anisimopeu
даниил,다닐,daniil,danil
марков,마르코프,markov,mareukopeu
туктамышева,툭타미셰바,tuktamysheva,tugtamisyeba
бочина,보치나,bochina,bocina
костецкая,드비르나,kosteckaya,deubireuna
дзюба,주바,dzyuba,juba
васильева,트루노바,vasileva,teurunoba
яна,야나,yana,yana
егорян,예고랸,egoryan,yegoryan
лепс,랩스,leps,raebseu
безруков,베즈루코프,bezrukov,bejeurukopeu
северянин,세베랴닌,severyanin,seberyanin
удальцов,우달초프,udalcov,udalcopeu
хохлов,호흘로프,hohlov,hoheulropeu
иваницкий,이바니츠키,ivanickiy,ibaniceuki
кейру,케이루,keyru,keiru
викторович,빅토로비치,viktorovich,bigtorobici
рыжиков,리지코프,ryzhikov,rijikopeu
артур,아르투르,artur,areutureu
айвазян,아이바지얀,ayvazyan,aibajiyan
соломатин,솔로마틴,solomatin,solromatin
родионова,로디오노바,rodionova,rodionoba
гришковец,그리시코베츠,grishkovec,geurisikobeceu
свидлер,스비들레르,svidler,seubideulrereu
силаев,실라예프,silaev,silrayepeu
воевода,보에보다,voevoda,boeboda
маркович,마르코비치,markovich,mareukobici
поляков,폴랴코프,polyakov,polryakopeu
влада,블라다,vlada,beulrada
рослякова,로슬랴코바,roslyakova,roseulryakoba
штыров,시티로프,shtyrov,sitiropeu
голубев,골루베프,golubev,golrubepeu
задорожная,자도로즈나야,zadorozhnaya,jadorojeunaya
моруков,모루코프,morukov,morukopeu
феклистов,페클리스토프,feklistov,pekeulriseutopeu
пресняков,프레스냐코프,presnyakov,peureseunyakopeu
добрынин,도프리닌,dobrynin,dopeurinin
павлюченкова,파블류첸코바,pavlyuchenkova,pabeulryucenkoba
иванишин,이바니신,ivanishin,ibanisin
равиль,라빌,ravil,rabil
гениатулин,게니아툴린,geniatulin,geniatulrin
бердников,베르니니체,berdnikov,bereuninice
глуховский,글루홉스키,gluhovskiy,geulruhobseuki
тактаров,타크타로프,taktarov,takeutaropeu
легков,렉코프,legkov,regkopeu
алфёрова,알표로바,alfyorova,alpyoroba
сагид,사기트,sagid,sagiteu
муртазалиев,무르타잘리예프,murtazaliev,mureutajalriyepeu
пятецкийшапиро,퍄테츠키샤피로,pyateckiyshapiro,pyateceukisyapiro
николаевич,니콜라예비치,nikolaevich,nikolrayebici
лазарев,라자레프,lazarev,rajarepeu
дмитриева,드미트리예바,dmitrieva,deumiteuriyeba
весна,베스나,vesna,beseuna
долонц,돌론츠,dolonc,dolronceu
бышовец,비쇼베츠,byshovec,bisyobeceu
собчак,솝차크,sobchak,sobcakeu
полищук,폴란드슈크,polishchuk,polrandeusyukeu
орбакайте,오르바카이테,orbakayte,oreubakaite
немоляева,네몰랴예바,nemolyaeva,nemolryayeba
ахеджакова,아헤자코바,ahedzhakova,ahejakoba
барышникова,바리시니코바,baryshnikova,barisinikoba
филипченко,필립첸코,filipchenko,pilribcenko
овчинников,옵친니코프,ovchinnikov,obcinnikopeu
лимонов,리모노프,limonov,rimonopeu
лебедь,레베디,lebed,rebedi
полянский,폴랸스키,polyanskiy,polryanseuki
дятлов,댜틀로프,dyatlov,dyateulropeu
перминов,페르미노프,perminov,pereuminopeu
сервер,세르베르,server,sereubereu
джепаров,제파로프,dzheparov,jeparopeu
филипп,필리프,filipp,pilripeu
киркоров,키르코로프,kirkorov,kireukoropeu
рамазан,라마잔,ramazan,ramajan
шахин,샤힌,shahin,syahin
юлий,율리,yuliy,yulri
райзман,라이즈만,rayzman,raijeuman
жулин,줄린,zhulin,julrin
микаэл,미카엘,mikael,mikael
таривердиев,타리베르디예프,tariverdiev,taribereudiyepeu
сычёв,시초프,sychyov,sicopeu
оноприенко,오노프리옌코,onoprienko,onopeuriyenko
чемберджи,쳄베르지,chemberdzhi,cembereuji
заходер,자호데르,zahoder,jahodereu
берестов,베레스토프,berestov,bereseutopeu
андрейкин,안드레이킨,andreykin,andeureikin
тучкин,투치킨,tuchkin,tucikin
меньшов,멘쇼프,menshov,mensyopeu
врубель,브루벨,vrubel,beurubel
торбинский,토르빈스키,torbinskiy,toreubinseuki
безматерных,베즈마테르니흐,bezmaternyh,bejeumatereuniheu
карина,카리나,karina,karina
разумовская,라주몹스카야,razumovskaya,rajumobseukaya
овечкин,오베치킨,ovechkin,obecikin
битов,비토프,bitov,bitopeu
светличная,스베트리크나야,svetlichnaya,seubeteurikeunaya
онопко,오놉코,onopko,onobko
шунин,슈닌,shunin,syunin
евтушенко,옙투셴코,evtushenko,yebtusyenko
полевщикова,폴리,polevshchikova,polri
фурсенко,푸르센코,fursenko,pureusenko
кузнецов,쿠즈네초프,kuznecov,kujeunecopeu
квачков,크바치코프,kvachkov,keubacikopeu
шаргин,샤르긴,shargin,syareugin
салижан,살리잔,salizhan,salrijan
шарипов,샤리포프,sharipov,syaripopeu
семшов,셈쇼프,semshov,semsyopeu
березовский,베레좁스키,berezovskiy,berejobseuki
цыбутович,치부토비치,cybutovich,cibutobici
чернышов,체르니쇼프,chernyshov,cereunisyopeu
букин,부킨,bukin,bukin
вертинская,베르틴스카야,vertinskaya,bereutinseukaya
богдан,보그단,bogdan,bogeudan
пищальников,피샬니코프,pishchalnikov,pisyalnikopeu
никулин,니쿨린,nikulin,nikulrin
карпин,카르핀,karpin,kareupin
скардино,스카르디노,skardino,seukareudino
белошейкин,벨로셰이킨,belosheykin,belrosyeikin
борисенко,보리센코,borisenko,borisenko
гайдай,가이다이,gayday,gaidai
владислав,블라디슬라프,vladislav,beulradiseulrapeu
крапивин,크라피빈,krapivin,keurapibin
измайлов,이즈마일로프,izmaylov,ijeumailropeu
баир,바이르,bair,baireu
бадёнов,바됴노프,badyonov,badyonopeu
шендерович,셴데로비치,shenderovich,syenderobici
коваленко,코발렌코,kovalenko,kobalrenko
ланьков,란코프,lankov,rankopeu
канчельскис,칸첼스키스,kanchelskis,kancelseukiseu
семак,세마크,semak,semakeu
малахов,코프,malahov,kopeu
шаронов,샤로노프,sharonov,syaronopeu
зубарев,주바레프,zubarev,jubarepeu
степашин,스테파신,stepashin,seutepasin
янковский,얀코브스키,yankovskiy,yankobeuseuki
андриян,안드리얀,andriyan,andeuriyan
николаев,니콜라예프,nikolaev,nikolrayepeu
мацуев,마추예프,macuev,macuyepeu
ростоцкий,로스토츠키,rostockiy,roseutoceuki
белковский,벨콥스키,belkovskiy,belkobseuki
рогозин,로고진,rogozin,rogojin
генрих,겐리히,genrih,genrihi
альтшуллер,알츠슐러,altshuller,alceusyulreo
крикалёв,크리칼료프,krikalyov,keurikalryopeu
кириенко,키리옌코,kirienko,kiriyenko
башкиров,바시키로프,bashkirov,basikiropeu
кирсан,키르산,kirsan,kireusan
илюмжинов,일륨지노프,ilyumzhinov,ilryumjinopeu
налич,날리치,nalich,nalrici
иосиф,이오시프,iosif,iosipeu
хейфиц,헤이피츠,heyfic,heipiceu
катанандов,카타난도프,katanandov,katanandopeu
мишин,미신,mishin,misin
харитонов,하리토노프,haritonov,haritonopeu
трутнев,트룻네프,trutnev,teurusnepeu
седых,세디흐,sedyh,sediheu
набабкин,나밥킨,nababkin,nababkin
мамаев,마마예프,mamaev,mamayepeu
хлопонин,흘로포닌,hloponin,heulroponin
хряпа,흐랴파,hryapa,heuryapa
замолодчиков,자몰롯치코프,zamolodchikov,jamolroscikopeu
гаврилов,가브릴로프,gavrilov,gabeurilropeu
штефанко,스테판,shtefanko,seutepan
грищук,그리추크,grishchuk,geuricukeu
бут,부트,but,buteu
алишер,알리셰르,alisher,alrisyereu
усманов,우스마노프,usmanov,useumanopeu
рустем,루스탐,rustem,ruseutam
казаков,카자코프,kazakov,kajakopeu
руцкой,루츠코이,ruckoy,ruceukoi
литвинов,리트비노프,litvinov,riteubinopeu
быстров,비스트로프,bystrov,biseuteuropeu
муратов,무라토프,muratov,muratopeu
меркушкин,메르쿠시킨,merkushkin,mereukusikin
пичушкин,피추시킨,pichushkin,picusikin
христенко,흐리스텐코,hristenko,heuriseutenko
третьяк,트레티야크,tretyak,teuretiyakeu
гранат,그라나트,granat,geuranateu
вагиз,바기즈,vagiz,bagijeu
галиулин,갈리울린,galiulin,galriulrin
глушаков,글루샤코프,glushakov,geulrusyakopeu
малкин,말킨,malkin,malkin
сердюков,세르듀코프,serdyukov,sereudyukopeu
мутко,뭇코,mutko,musko
магомедали,마고메달리,magomedali,magomedalri
окуньков,오쿤코프,okunkov,okunkopeu
дерипаска,데리파스카,deripaska,deripaseuka
миронова,미로노바,mironova,mironoba
могильный,모길니,mogilnyy,mogilni
буравчиков,부랍치코프,buravchikov,burabcikopeu
маргарита,마르가리타,margarita,mareugarita
алийчук,알리추크,aliychuk,alricukeu
соломенцев,솔로멘체프,solomencev,solromencepeu
али,알루,ali,alru
алханов,알하노프,alhanov,alhanopeu
брумель,브루멜,brumel,beurumel
кардашёв,카르다쇼프,kardashyov,kareudasyopeu
газзаев,가자예프,gazzaev,gajayepeu
листьев,리스티예프,listev,riseutiyepeu
борзаковский,보르자콥스키,borzakovskiy,boreujakobseuki
сорокин,소로킨,sorokin,sorokin
авраам,아브람,avraam,abeuram
руссо,루소,russo,ruso
корнеев,코르네예프,korneev,koreuneyepeu
собянин,소뱌닌,sobyanin,sobyanin
лавроненко,라브로넨코,lavronenko,rabeuronenko
пьеха,피에카,peha,pieka
ефим,예핌,efim,yepim
бронфман,브론프만,bronfman,beuronpeuman
бахтияр,바흐티야르,bahtiyar,baheutiyareu
ахмедов,아흐메도프,ahmedov,aheumedopeu
смолов,스몰로프,smolov,seumolropeu
кассини,카시니,kassini,kasini
кейлисборок,케일리스보로크,keylisborok,keilriseuborokeu
рохо,로호,roho,roho
юкио,유키오,yukio,yukio
вахонин,박호닌,vahonin,baghonin
петрович,폐트로비치,petrovich,pyeteurobici
демихов,데미코프,demihov,demikopeu
жаботинский,자보틴스키,zhabotinskiy,jabotinseuki
гальперин,갈페린,galperin,galperin
бойцов,보이초프,boycov,boicopeu
эдгар,에드가,edgar,edeuga
приб,프립,prib,peurib
самойлов,사모일로프,samoylov,samoilropeu
медведчук,메드베드추크,medvedchuk,medeubedeucukeu
амосов,아모소프,amosov,amosopeu
гуляев,굴랴예프,gulyaev,gulryayepeu
бикмаев,비크마예프,bikmaev,bikeumayepeu
швед,시베트,shved,sibeteu
борщевский,보르솁스키,borshchevskiy,boreusyebseuki
бушуев,부슈에프,bushuev,busyuepeu
слава,슬라바,slava,seulraba
новиков,노비코프,novikov,nobikopeu
хворостовский,흐보로스톱스키,hvorostovskiy,heuboroseutobseuki
аджубей,아주베이,adzhubey,ajubei
дарькин,다리킨,darkin,darikin
лисицын,리시친,lisicyn,risicin
теймураз,테이무라스,teymuraz,teimuraseu
габашвили,가바시빌리,gabashvili,gabasibilri
паршивлюк,세르게이,parshivlyuk,sereugei
баталов,바탈로프,batalov,batalropeu
батыршина,바티르시나,batyrshina,batireusina
глацких,글라츠키흐,glackih,geulraceukiheu
фадеев,파데예프,fadeev,padeyepeu
гусинский,구신스키,gusinskiy,gusinseuki
мостовой,모스토보이,mostovoy,moseutoboi
мудрик,무드리크,mudrik,mudeurikeu
чайковская,차이콥스카야,chaykovskaya,caikobseukaya
ахрик,아흐리크,ahrik,aheurikeu
цвейба,츠베이바,cveyba,ceubeiba
сиваков,시바코프,sivakov,sibakopeu
мехонцев,메혼체프,mehoncev,mehoncepeu
маленченко,말렌첸코,malenchenko,malrencenko
бортников,보르트니코프,bortnikov,boreuteunikopeu
дюков,듀코프,dyukov,dyukopeu
капранов,카프라노프,kapranov,kapeuranopeu
мурат,무라트,murat,murateu
насыров,나시로프,nasyrov,nasiropeu
шипулин,시풀린,shipulin,sipulrin
хрущёв,흐루쇼프,hrushchyov,heurusyopeu
бекмамбетов,베크맘베토프,bekmambetov,bekeumambetopeu
корниенко,코르니옌코,kornienko,koreuniyenko
батурин,바투린,baturin,baturin
юрчихин,유르치힌,yurchihin,yureucihin
немчинов,세르게이,nemchinov,sereugei
львович,넴치노프,lvovich,nemcinopeu
ерёменко,에레멩코,eryomenko,eremengko
леонидович,레오니도비치,leonidovich,reonidobici
громов,그로모프,gromov,geuromopeu
лукьяненко,루키야넨코,lukyanenko,rukiyanenko
говорухин,고보루힌,govoruhin,goboruhin
велько,벨코,velko,belko
кадиевич,카디예비치,kadievich,kadiyebici
бякин,뱌킨,byakin,byakin
горбатко,고르밧코,gorbatko,goreubasko
неёлова,네욜로바,neyolova,neyolroba
хазанов,카자노프,hazanov,kajanopeu
достоевская,스니트키나,dostoevskaya,seuniteukina
бароев,바로예프,baroev,baroyepeu
мамонов,마모노프,mamonov,mamonopeu
егоров,예고로프,egorov,yegoropeu
тимофей,티모페이,timofey,timopei
мозгов,모즈고프,mozgov,mojeugopeu
добровольский,도브로볼스키,dobrovolskiy,dobeurobolseuki
кир,키르,kir,kireu
булычёв,불리초프,bulychyov,bulricopeu
бородулина,보로둘리나,borodulina,borodulrina
шевченко,솁첸코,shevchenko,syebcenko
великая,벨리카야,velikaya,belrikaya
куравлёв,쿠라블료프,kuravlyov,kurabeulryopeu
фейгин,페이긴,feygin,peigin
кизим,키짐,kizim,kijim
хиль,킬,hil,kil
аленичев,알레니체프,alenichev,alrenicepeu
кинчев,킨체프,kinchev,kincepeu
домогаров,도모고로프,domogarov,domogoropeu
богиев,보기예프,bogiev,bogiyepeu
беглов,베글로프,beglov,begeulropeu
вятчанин,뱌차닌,vyatchanin,byacanin
кабо,카보,kabo,kabo
гайдарбек,가이다르베크,gaydarbek,gaidareubekeu
гайдарбеков,가이다르베코프,gaydarbekov,gaidareubekopeu
клара,클라라,klara,keulrara
румянова,루먀노바,rumyanova,rumyanoba
сухоруков,수크호루코브,suhorukov,sukeuhorukobeu
арчил,아르칠,archil,areucil
гомиашвили,고미아슈빌리,gomiashvili,gomiasyubilri
галкин,갈킨,galkin,galkin
горин,고린,gorin,gorin
тищенко,티셴코,tishchenko,tisyenko
падалка,파달카,padalka,padalka
колобнев,콜로브네프,kolobnev,kolrobeunepeu
мамут,마무트,mamut,mamuteu
