マツモトユキヒロ,松本行弘,matsumotoyukihiro
ヒラサカ,平坂,hirasaka
イサゴ,沙,isago
ニシイサム,西勇,nishiisamu
タカライツキ,宝树,takaraitsuki
ハヤシマコト,林丹,hayashimakoto
ニ,丹,ni
バンフトシ,万太,banfutoshi
ウミシゲル,海成,umishigeru
タスクジュ,佑树,tasukuju
ホリモト,堀本,horimoto
リツオ,律雄,ritsuo
カワニョゼカン,川如是闲,kawanyozekan
キテラ,木寺,kitera
セキモト,关本,sekimoto
ハヤシシゲル,林秀,hayashishigeru
サダ,贞,sada
ハヤブサフトシ,隼太,hayabusafutoshi
コウマサシ,高政,koumasashi
キダ,木田,kida
クマノ,熊野,kumano
テルミツ,辉光,terumitsu
ナガトミ,永富,nagatomi
ウエカキ,植垣,uekaki
アカツキメグミ,晓惠,akatsukimegumi
シュヨシ,朱美,shuyoshi
シュウカイ,秀介,shuukai
タニコウジ,谷浩史,tanikouji
ダンオサム,团纪,danosamu
コレタル,惟足,koretaru
シオリサト,诗织里,shiorisato
サトタダシ,敏直,satotadashi
ハラユキ,原有希,harayuki
シオン,诗音,shion
ツバキサトシ,椿理,tsubakisatoshi
アカザ,赤座,akaza
チョクホ,直保,chokuho
タカセ,高濑,takase
マツナエ,松苗,matsunae
ミツタダ,光忠,mitsutada
ヒデヒサ,秀久,hidehisa
マサユキスケ,雅之助,masayukisuke
イツ,伊津,itsu
ノヒデアキ,野英昭,nohideaki
ココロ,心,kokoro
アツシフトシ,淳太,atsushifutoshi
ニッポン,日本,nippon
オニゴ,鬼子,onigo
タダシアキラ,祯章,tadashiakira
テンキ,天木,tenki
ハツ,波津,hatsu
アンノリコ,安纪子,annoriko
アキラコウ,彬光,akirakou
ミギコウ,右光,migikou
アカツキツキ,晓月,akatsukitsuki
カザミ,风见,kazami
アキツネ,明恒,akitsune
トクナイ,德内,tokunai
アサノボリケイ,麻登佳,asanoborikei
ウキチ,卯吉,ukichi
カシン,家信,kashin
ゴンドウ,权藤,gondou
キッペイ,桔平,kippei
オイゴ,多子,oigo
タオ,田尾,tao
イエキヨシ,家清,iekiyoshi
オンダ,恩田,onda
トザワ,户泽,tozawa
セイサカリ,政盛,seisakari
アキラホ,明保,akiraho
テラマキ,寺真纪,teramaki
ヨシマキ,美真纪,yoshimaki
ケイコウ,庆幸,keikou
ギリ,义理,giri
インコウ,院光,inkou
タニサワ,谷泽,tanisawa
ニチネ,日根,nichine
インナギ,院凪,innagi
ヒキタ,疋田,hikita
ノダカキチ,野高吉,nodakakichi
ヒキ,比企,hiki
ヒナ,比奈,hina
ナニワ,浪速,naniwa
モトコ,统子,motoko
ボウチハク,坊知伯,bouchihaku
カズヒロ,和宏,kazuhiro
ワカクサ,若草,wakakusa
アオウ,亚欧,aou
ドウデンゼン,堂田善,doudenzen
コンヨウ,昆阳,konyou
イヒトシ,井仁,ihitoshi
トクアイ,得爱,tokuai
イケヨリユキ,池赖,ikeyoriyuki
ニシイサオ,西德,nishiisao
ナツキョ,夏居,natsukyo
モリシン,盛信,morishin
ハラカオリ,原香织,harakaori
ヨシサワ,芳泽,yoshisawa
コウザイ,香西,kouzai
クニヒサ,国久,kunihisa
シンハク,亲泊,shinhaku
チョウショウ,朝省,choushou
ケイツギ,景继,keitsugi
スミケン,角研,sumiken
シュンサク,俊作,shunsaku
テツノスケ,铁之助,tetsunosuke
タナオト,田尚登,tanaoto
ヒラテ,平手,hirate
ヒロシシュウ,泛秀,hiroshishuu
タンゴ,丹吴,tango
ヤスシケン,泰健,yasushiken
ヨシミキョウ,嘉恭,yoshimikyou
アキラタカシ,昭隆,akiratakashi
ムベタカシ,宜隆,mubetakashi
モトイ,本井,motoi
ミヤアサヒコシンノウ,宫朝彦亲王,miyaasahikoshinnou
モトシン,基信,motoshin
ヤヒコ,弥彦,yahiko
ソキ,曾木,soki
アコワタル,亚古弥,akowataru
マツアサヒ,松旭,matsuasahi
トキテンカツ,斋天胜,tokitenkatsu
アサイサゴビ,麻沙美,asaisagobi
トウヨウ,东洋,touyou
カツラアキラ,桂昌,katsuraakira
スエツグ,末次,suetsugu
ツジハツ,辻发,tsujihatsu
セキノ,关野,sekino
シャオ,纱织,shao
エミリ,绘美里,emiri
ウワ,宇和,uwa
カワエミ,川惠美,kawaemi
ヤマトヒメ,倭姬,yamatohime
トシジロウ,敏次郎,toshijirou
タツマロ,辰麿,tatsumaro
タニノ,谷野,tanino
トベ,户部,tobe
マヒ,真飞,mahi
シゲルノヤマカミナリ,秀乃山雷,shigerunoyamakaminari
クラナリ,仓成,kuranari
ミツヤ,满屋,mitsuya
オカヒロシ,冈宽,okahiroshi
リョウタチバナ,良橘,ryoutachibana
ユウヨ,有世,yuuyo
アラシヒロミ,岚裕美,arashihiromi
クラハシ,仓桥,kurahashi
フジマキ,藤卷,fujimaki
メグミナシハナ,惠梨华,meguminashihana
カタウラ,片浦,kataura
ツナカケ,纲挂,tsunakake
アカマ,赤间,akama
サトフ,里步,satofu
トガ,户贺,toga
サキトモノブ,崎智信,sakitomonobu
ノヤスシ,野康,noyasushi
イマザワ,今泽,imazawa
シンキヨシ,信澄,shinkiyoshi
ミギフトエモン,右太卫门,migifutoemon
チュウシゲル,忠成,chuushigeru
アンズミナミ,杏南,anzuminami
サジ,佐治,saji
アイキ,爱季,aiki
ソウシュン,宗俊,soushun
アンラク,安乐,anraku
アンサクデン,庵策传,ansakuden
サトサカリ,里盛,satosakari
ウエアズカ,上与,ueazuka
スズミ,铃见,suzumi
ミヤアキラシンノウ,宫晃亲王,miyaakirashinnou
モリフク,森福,morifuku
キンススム,琴奖,kinsusumu
キクカズヒロ,菊和弘,kikukazuhiro
ヒロシヤスシ,浩康,hiroshiyasushi
ハナイタダキ,华顶,hanaitadaki
ミヤヒロシチュウオウ,宫博忠王,miyahiroshichuuou
ヨルシ,夜诗,yorushi
リスケ,利助,risuke
アイヤマ,蓝山,aiyama
オオシタ,大下,ooshita
レツ,烈,retsu
タダハル,忠治,tadaharu
エリハナ,绘梨花,erihana
テラモト,寺本,teramoto
アシタヨシコ,明日美子,ashitayoshiko
モリシュン,盛舜,morishun
モチウジ,持氏,mochiuji
ニチコウ,日香,nichikou
オオカメ,大龟,ookame
カツナガ,胜长,katsunaga
カヤマコト,茅诚,kayamakoto
アサバ,浅羽,asaba
キョウアキラ,恭章,kyouakira
アルノ,阿尔诺,aruno
トユウ,斗雄,toyuu
イマジュク,今宿,imajuku
アイサゴビ,亚沙美,aisagobi
シケイ,氏景,shikei
ウツリコ,映莉子,utsuriko
メグミリナ,惠里奈,megumirina
ウエトオ,上远,uetoo
ノコウヘイ,野浩平,nokouhei
ツバキアヤ,椿彩,tsubakiaya
ヒロシシン,宏臣,hiroshishin
シゲルカキ,茂垣,shigerukaki
ワタルユメ,弥梦,wataruyume
サネマツ,实松,sanematsu
レイザン,灵山,reizan
ケンリョウ,贤了,kenryou
オカタカシ,冈敬,okatakashi
スズコ,铃子,suzuko
アイサゴ,亚沙子,aisago
イクコ,育子,ikuko
イコ,威子,iko
テラコウシ,寺公子,terakoushi
オオイ,大炊,ooi
ミカドレイコ,御门丽子,mikadoreiko
タツコ,立子,tatsuko
トクコ,得子,tokuko
イシュウ,伊周,ishuu
テラウレシコ,寺嬉子,teraureshiko
テイコ,呈子,teiko
ナルオヤ,成亲,naruoya
ドウバル,道原,doubaru
チョウカツ,长克,choukatsu
キカツヒコ,木胜彦,kikatsuhiko
イワオカ,岩冈,iwaoka
ヒサエ,寿枝,hisae
コスガ,小菅,kosuga
クワエ,桑江,kuwae
サキサイ,咲菜,sakisai
ミエ,美江,mie
ゼンタロウ,善太郎,zentarou
キヒロシ,木宽,kihiroshi
ヨコウ,世耕,yokou
ヒロナル,弘成,hironaru
サクラザカ,樱坂,sakurazaka
ユウヨウ,郁洋,yuuyou
シモ,志茂,shimo
フウキロウ,富贵朗,fuukirou
コトブキノリ,寿典,kotobukinori
ツイサキ,追崎,tsuisaki
フミサトシ,史敏,fumisatoshi
サコミズ,迫水,sakomizu
ヒサツネ,久常,hisatsune
カツノブ,胜信,katsunobu
サクラヨシ,樱美,sakurayoshi
ヤマキョク,山极,yamakyoku
カンシュン,康俊,kanshun
ボウドウチ,坊道知,boudouchi
タダトキ,忠刻,tadatoki
サイキ,齐木,saiki
シゲカズ,重和,shigekazu
スグル,杰,suguru
モチユイ,望结,mochiyui
ケンムネ,健旨,kenmune
センジュン,宣纯,senjun
ボウシュウハジメ,坊秀甫,boushuuhajime
ボウドウテキ,坊道的,boudouteki
アラワシ,显氏,arawashi
ボウタケサク,坊丈策,boutakesaku
ボウシュウエイ,坊秀荣,boushuuei
モトタケ,元丈,mototake
フナツ,船津,funatsu
スウコウ,崇高,suukou
ゲンボク,玄朴,genboku
カゼト,风斗,kazeto
イイヌマ,饭沼,iinuma
ヨクサイ,欲斋,yokusai
ツタナドウ,拙堂,tsutanadou
アズマトミ,东富,azumatomi
マルアユミ,丸步,maruayumi
ニチビ,日美,nichibi
ノアズサ,野梓,noazusa
タツミユウ,巽悠,tatsumiyuu
テンワタル,展弥,tenwataru
キタタカシ,北天,kitatakashi
タスクカツヒコ,佑胜彦,tasukukatsuhiko
イナヤマ,稻山,inayama
ヨシミヒロシ,嘉宽,yoshimihiroshi
キノエウマロウ,甲午郎,kinoeumarou
キタダ,北田,kitada
カワシリ,河尻,kawashiri
ワタシヤ,私屋,watashiya
カヲル,薰,kaworu
ダンゾウ,段藏,danzou
ヒカリシゲル,光繁,hikarishigeru
ヒロヨシ,博义,hiroyoshi
ナガヨシ,永芳,nagayoshi
カルベ,轻部,karube
ヤギヌマ,柳沼,yaginuma
ハギモリ,萩森,hagimori
ジュンイヤ,纯弥,juniya
カズオミ,和臣,kazuomi
トクミツ,德光,tokumitsu
ミノルサトコ,实智子,minorusatoko
マメダ,衣笠,mameda
アカエ,赤江,akae
ヤノスケ,弥之助,yanosuke
ミウ,美羽,miu
モリサコ,森迫,morisako
ナガヨ,永依,nagayo
ハルタカ,治孝,harutaka
カワミチダイ,川道大,kawamichidai
ハナワタモツ,塙保,hanawatamotsu
アキラタロウ,晃太郎,akiratarou
ケンケン,贤兼,kenken
イモウト,妹,imouto
ミイコ,美位子,miiko
ヒロシドウ,广道,hiroshidou
タダノ,只野,tadano
ヤナガ,弥永,yanaga
ソウタ,想田,souta
トリシマ,鸟嶋,torishima
アツモリ,笃守,atsumori
クラマツ,仓松,kuramatsu
シゲルフトシ,茂太,shigerufutoshi
カズナリ,和成,kazunari
カヅミ,加积,kadzumi
キンピラ,金平,kinpira
タマル,田丸,tamaru
ベンキョウ,勉强,benkyou
マンシススム,满之进,manshisusumu
ヒジリメグミ,圣惠,hijirimegumi
ユウシュン,祐舜,yuushun
モチナガ,持永,mochinaga
タダヒトシ,只仁,tadahitoshi
ムラサキイトグチ,紫绪,murasakiitoguchi
ジンハク,仁博,jinhaku
マサヤス,正保,masayasu
カズシン,和真,kazushin
リュウキチ,隆吉,ryuukichi
ソウワガ,宗我,souwaga
オオタカ,大高,ootaka
ユセイ,油井,yusei
カメミヤ,龟美也,kamemiya
ノジリ,野尻,nojiri
モチユウ,望悠,mochiyuu
シバトオル,柴畅,shibatooru
ソウタダシ,宗是,soutadashi
イトモコ,伊知子,itomoko
サキガケスグル,魁杰,sakigakesuguru
ナツヒカリ,夏光,natsuhikari
カイキ,魁辉,kaiki
カオルシゲル,薰秀,kaorushigeru
アラシケイ,岚圭,arashikei
ミア,未亚,mia
カンサイ,宽斋,kansai
サクラショウ,樱小,sakurashou
クスダ,楠田,kusuda
コウホサト,香穗里,kouhosato
アラハタ,荒畑,arahata
ヒジイ,肘井,hijii
エンサキ,园崎,ensaki
ミメグミ,未惠,mimegumi
コムカイ,小向,komukai
イエオヤ,家亲,ieoya
ナンポウ,南方,nanpou
クマグス,熊楠,kumagusu
ミネミノル,峰穗,mineminoru
トウアン,等安,touan
ノブナガ,信长,nobunaga
ウメヤ,梅屋,umeya
ササザワ,笹泽,sasazawa
ヒダリホ,左保,hidariho
フユツキ,冬月,fuyutsuki
アメノモリ,雨森,amenomori
ホウシュウ,芳洲,houshuu
シズコ,静子,shizuko
メグ,惠,megu
カナイ,金井,kanai
センシゲル,宣茂,senshigeru
ナツミノル,夏穗,natsuminoru
ヤマサキ,山崎,yamasaki
ジョウタロウ,锭太郎,joutarou
イシカケ,石挂,ishikake
ゼイショウ,势翔,zeishou
ヒカリマコト,光诚,hikarimakoto
チョクカチ,直胜,chokukachi
イクヨ,郁代,ikuyo
カツマサ,胜正,katsumasa
ハタユウ,秦郁,hatayuu
クダリシゲル,行成,kudarishigeru
タダシヤスシ,匡泰,tadashiyasushi
ホカオル,保薰,hokaoru
カリガネ,雁金,karigane
マキカ,卷加,makika
ゲンバ,玄蕃,genba
モロ,茂吕,moro
タカオル,田薰,takaoru
メンデ,面出,mende
クンペイ,君平,kunpei
リケン,履轩,riken
ヤマタカシ,山隆司,yamatakashi
コウサイコ,香菜子,kousaiko
カナエ,佳苗,kanae
テルミ,光美,terumi
アンサイ,暗斋,ansai
シツハト,室鸠,shitsuhato
ス,巢,su
カムイ,神居,kamui
セキヤマ,关山,sekiyama
ウミサキ,海咲,umisaki
スズラ,铃罗,suzura
キカリン,木花梨,kikarin
ワキタ,脇田,wakita
フルハタ,古畑,furuhata
ハナガタ,花形,hanagata
イトカズ,糸数,itokazu
アカヌマ,赤沼,akanuma
サトシゼン,智善,satoshizen
ヤマフクマツ,山福松,yamafukumatsu
ツナ,纲,tsuna
ノキンノスケ,野锦之助,nokinnosuke
エシン,惠信,eshin
イタ,到,ita
ギジョウ,义定,gijou
タサトコ,多仁子,tasatoko
ノゾエ,野副,nozoe
サキサカ,咲坂,sakisaka
イイトグチ,伊绪,iitoguchi
リョウドオリ,良通,ryoudoori
ツブセワタル,拓弥,tsubusewataru
ケイブン,庆文,keibun
オオビキ,大引,oobiki
ケンヒサシ,健永,kenhisashi
コウクチ,高口,koukuchi
セツレイ,雪岭,setsurei
シゲルアキラ,茂章,shigeruakira
マモリシン,守信,mamorishin
フミタカ,文隆,fumitaka
モリヒコ,守彦,morihiko
キドコロ,城所,kidokoro
リュウミガク,龙磨,ryuumigaku
サカミ,酒见,sakami
ワダカマモモ,蟠桃,wadakamamomo
マスハラ,增原,masuhara
ミツユキ,光幸,mitsuyuki
ツギジュン,继润,tsugijun
タカシフクテラ,崇福寺,takashifukutera
ナガサキシンチチュウカガイ,长崎新地中华街,nagasakishinchichuukagai
グラバーエン,哥拉巴园,gurabāen
フクシマケン,福岛县,fukushimaken
コナミグループ,科乐美,konamigurūpu
アオモリケン,青森县,aomoriken
ボンサイ,盆栽,bonsai
イワジンジャ,伊和神社,iwajinja
ナイカクフ,内阁府,naikakufu
ニンテンドウ,任天堂,nintendou
ホクトウアジア,东北亚,hokutouajia
ニッポングランプリ,日本大奖赛,nipponguranpuri
ダイハツコウギョウ,大发工业,daihatsukougyou
ヒロシマコウトウサイバンショ,广岛高等裁判所,hiroshimakoutousaibansho
ナンカイカダセン,加太线,nankaikadasen
オオサカコウトウサイバンショ,大阪高等裁判所,oosakakoutousaibansho
トウブノダセン,野田线,toubunodasen
セイブテツドウ,西武铁道,seibutetsudou
ケイセイデンテツ,京成电铁,keiseidentetsu
アオゾラブンコ,青空文库,aozorabunko
オダキュウデンテツ,小田急电铁,odakyuudentetsu
ヒガシアジア,东亚,higashiajia
イバラキケン,茨城县,ibarakiken
メガネバシ,眼镜桥,meganebashi
チュウゴクデンリョク,中国电力,chuugokudenryoku
ナゴヤコウトウサイバンショ,名古屋高等裁判所,nagoyakoutousaibansho
タカマツコウトウサイバンショ,高松高等裁判所,takamatsukoutousaibansho
トウキョウチホウサイバンショ,东京地方裁判所,toukyouchihousaibansho
フクオカコウトウサイバンショ,福冈高等裁判所,fukuokakoutousaibansho
サッポロコウトウサイバンショ,札幌高等裁判所,sapporokoutousaibansho
トウキョウコウトウサイバンショ,东京高等裁判所,toukyoukoutousaibansho
センダイコウトウサイバンショ,仙台高等裁判所,sendaikoutousaibansho
ゲイギ,艺妓,geigi
コンゴウグミ,金刚组,kongougumi
ナンカイタカノセン,高野线,nankaitakanosen
シズオカケンリツフジエダニシコウトウガッコウ,静冈县立藤枝西高等学校,shizuokakenritsufujiedanishikoutougakkou
ゴセイバイシキモク,御成败式目,goseibaishikimoku
トチギケン,栃木县,tochigiken
トヨダグン,丰田郡,toyodagun
カワチグン,河内郡,kawachigun
ナカガワマチ,那珂川町,nakagawamachi
アニメ,日本动画,anime
トウキョウト,东京都,toukyouto
ユニクロ,优衣库,yunikuro
ダットサン,达特桑,dattosan
ミヤギケン,宫城县,miyagiken
アイチケン,爱知县,aichiken
チンゼイタイシャスワジンジャ,镇西大社诹访神社,chinzeitaishasuwajinja
サムカワジンジャ,寒川神社,samukawajinja
マイオカジンジャ,枚冈神社,maiokajinja
ケイオウシンセン,京王新线,keioushinsen
オオノグン,大野郡,oonogun
オオサカインターナショナルチャレンジバドミントンセンシュケンタイカイ,大阪羽毛球国际挑战赛,oosakaintānashonarucharenjibadomintonsenshukentaikai
オオウチグン,大内郡,oouchigun
アイヌ,阿伊努族,ainu
イワテケン,岩手县,iwateken
フクスミテラ,福济寺,fukusumitera
コウフクジ,兴福寺,koufukuji
セイブイケブクロセン,池袋线,seibuikebukurosen
ヘイワコウエン,和平公园,heiwakouen
ホンダギケンコウギョウ,本田技研工业,hondagikenkougyou
ニンジャ,忍者,ninja
テンシンセイデンカンドリシントウリュウ,天真正传香取神道流,tenshinseidenkandorishintouryuu
トウキョウトチョウシャ,东京都厅舍,toukyoutochousha
オトギゾウシ,御伽草子,otogizoushi
クサツシラネサン,草津白根山,kusatsushiranesan
ウケタマワコヨミ,承历,uketamawakoyomi
ヨベキョウリョウ,余部桥梁,yobekyouryou
トドウフケン,都道府县,todoufuken
アキタケン,秋田县,akitaken
ヒロシマコクサイアニメーションフェスティバル,广岛国际动画影展,hiroshimakokusaianimēshonfesutibaru
ウキヨゾウシ,浮世草子,ukiyozoushi
トウシバ,东芝,toushiba
スミヨシジンジャ,住吉神社,sumiyoshijinja
インフィニティ,英菲尼迪,infiniti
ケイオウタカオセン,高尾线,keioutakaosen
キミガヨ,君之代,kimigayo
セイカントンネル,青函隧道,seikantonneru
ナゴヤテツドウ,名古屋铁道,nagoyatetsudou
オオサカトコウソウ,大阪都构想,oosakatokousou
スズカグン,铃鹿郡,suzukagun
クマノアタシカインターチェンジ,熊野新鹿交流道,kumanoatashikaintāchenji
トウキョウメトロポリタンテレビジョン,东京都会电视台,toukyoumetoroporitanterebijon
ヨシカマチ,吉贺町,yoshikamachi
チョウセンカイキョウ,朝鲜海峡,chousenkaikyou
ホッカイドウ,北海道,hokkaidou
ズイホウシンガリ,瑞凤殿,zuihoushingari
タドタイシャ,多度大社,tadotaisha
イワミマチ,岩美町,iwamimachi
トウキュウメグロセン,目黑线,toukyuumegurosen
ナゴヤテレビトウ,名古屋电视塔,nagoyaterebitou
ジョウモンジダイ,绳纹时代,joumonjidai
ツシマカイキョウ,对马海峡,tsushimakaikyou
アキュラ,讴歌,akyura
シャープ,夏普,shāpu
イケガミツウシンキ,池上通信机,ikegamitsuushinki
ホンシュウ,本州,honshuu
レクサス,凌志,rekusasu
ヒタチセイサクショ,日立制作所,hitachiseisakusho
パナソニックホールディングス,松下电器,panasonikkuhōrudingusu
アベノキョウターミナルビル,阿部野桥车站大楼,abenokyoutāminarubiru
ササゴトンネル,笹子隧道,sasagotonneru
カプコン,卡普空,kapukon
テンムラクモケン,天丛云剑,tenmurakumoken
ニッポンカイコウ,日本海沟,nipponkaikou
コニカミノルタ,柯尼卡美能达,konikaminoruta
クロシオ,黑潮,kuroshio
イワヤドイセキ,岩宿遗迹,iwayadoiseki
トヨタジドウシャ,丰田汽车,toyotajidousha
ニッシンショクヒン,日清食品,nisshinshokuhin
チョウテキ,朝敌,chouteki
キョウトフ,京都府,kyoutofu
ヤマガタテレビ,山形电视台,yamagataterebi
ナンカイホンセン,南海本线,nankaihonsen
トウキョウスカイツリー,东京晴空塔,toukyousukaitsurī
オヤシオ,亲潮,oyashio
カゴシマケン,鹿儿岛县,kagoshimaken
オオサカフ,大阪府,oosakafu
ケイハンカタノセン,交野线,keihankatanosen
ロアッソクマモト,熊本罗亚素,roassokumamoto
セガ,世嘉,sega
キタシンキュウコウデンテツ,北神急行电铁,kitashinkyuukoudentetsu
ツガルセン,津轻线,tsugarusen
フクオカケン,福冈县,fukuokaken
エヒメケン,爱媛县,ehimeken
ショウチク,松竹,shouchiku
ヤマガタケン,山形县,yamagataken
ブケショハット,武家诸法度,bukeshohatto
ホウエイダイフンカ,宝永大喷发,houeidaifunka
キチジョウジ,吉祥寺,kichijouji
ハンドボールニッポンダンシダイヒョウ,日本国家男子手球队,handobōrunippondanshidaihyou
サッポロビール,札幌啤酒,sapporobīru
オリオンデンキ,好利旺电机,oriondenki
フクオカシチカテツ,福冈市地下铁,fukuokashichikatetsu
ニシカンダ,西神田,nishikanda
ケゴンタキ,华严瀑布,kegontaki
カシマアントラーズ,鹿岛鹿角,kashimaantorāzu
カミマセ,神篱,kamimase
ビョウドウイン,平等院,byoudouin
シントウニッポン,新党日本,shintounippon
ミトセン,水户线,mitosen
ダイミョウ,大名,daimyou
キヤノン,佳能,kiyanon
ケイハンナカノシマセン,中之岛线,keihannakanoshimasen
クロイキリジケン,黑雾事件,kuroikirijiken
サムカワグン,寒川郡,samukawagun
ナゴテラ,那古寺,nagotera
テイコクホテル,帝国饭店,teikokuhoteru
キビツジンジャ,吉备津神社,kibitsujinja
ナイダイジンフ,内大臣府,naidaijinfu
ナガノケン,长野县,naganoken
ニッサンジドウシャ,日产汽车,nissanjidousha
アイチグン,爱知郡,aichigun
タケシタナイカク,竹下内阁,takeshitanaikaku
ワカシオ,若潮号列车,wakashio
テンウケタマワ,天承,tenuketamawa
ケンウッド,建伍,kenuddo
ヤマグチケン,山口县,yamaguchiken
カナガワケン,神奈川县,kanagawaken
ハンシンタイガース,阪神虎,hanshintaigāsu
ショウワジドウシャ,昭和自动车,shouwajidousha
センモウホンセン,钏网本线,senmouhonsen
サンギイン,参议院,sangiin
シンゴンシュウ,真言宗,shingonshuu
クガグン,玖珂郡,kugagun
オオサカシエイチカテツ,大阪市营地下铁,oosakashieichikatetsu
チュウゴクチホウ,中国地方,chuugokuchihou
ヒガシイズマチ,东伊豆町,higashiizumachi
ブラクモンダイ,部落民,burakumondai
カナガワヤド,神奈川宿,kanagawayado
ハイトウレイ,废刀令,haitourei
アニメインターナショナルカンパニー,动画国际公司,animeintānashonarukanpanī
カサイグン,河西郡,kasaigun
アニメーションコウベ,神户动画奖,animēshonkoube
ニッポンキョウイクシ,日本教育史,nipponkyouikushi
アイオイバシ,相生桥,aioibashi
サイタマケン,埼玉县,saitamaken
カモガワシーワールド,鸭川海洋世界,kamogawashīwārudo
マルベニ,丸红,marubeni
アカサカプリンスホテル,赤坂王子大饭店,akasakapurinsuhoteru
クロガネ,黑铁,kurogane
コウダンシャマンガショウ,讲谈社漫画奖,koudanshamangashou
フジサン,富士山,fujisan
ソニーグループ,索尼,sonīgurūpu
オオサカドーム,大阪巨蛋,oosakadōmu
トウキョウトクブ,东京都区部,toukyoutokubu
ネクソン,乐线,nekuson
カイモンダケ,开闻岳,kaimondake
イワキヤマ,岩木山,iwakiyama
イワテサン,岩手山,iwatesan
マモリレイモン,守礼门,mamorireimon
ナンキンジケンロンソウ,对南京大屠杀的否认,nankinjikenronsou
チョウカイヤマ,鸟海山,choukaiyama
ヨシダジンジャ,吉田神社,yoshidajinja
アタゴジンジャ,爱宕神社,atagojinja
ヨウテイザン,羊蹄山,youteizan
ミナトガワジンジャ,凑川神社,minatogawajinja
オキナワリョウリ,琉球料理,okinawaryouri
アイキドウ,合气道,aikidou
フクオカソフトバンクホークス,福冈软银鹰,fukuokasofutobankuhōkusu
タマサキジンジャ,玉前神社,tamasakijinja
トウホクチホウ,东北地方,touhokuchihou
チュウゴクゼメ,中国征伐,chuugokuzeme
タイヘイヨウベルト,太平洋工业带,taiheiyouberuto
アオキショテン,青木书店,aokishoten
ミヤザキケン,宫崎县,miyazakiken
クマモトケン,熊本县,kumamotoken
シュゴダイ,守护代,shugodai
タカマツコトヒラデンキテツドウ,高松琴平电气铁道,takamatsukotohiradenkitetsudou
カイジョウホアンチョウ,海上保安厅,kaijouhoanchou
カワラマチ,香春町,kawaramachi
オオイタコウツウ,大分交通,ooitakoutsuu
アヅチモモヤマジダイ,安土桃山时代,adzuchimomoyamajidai
ビャッコタイ,白虎队,byakkotai
セイナンセンソウ,西南战争,seinansensou
キタチョウセンニヨルニッポンジンラチモンダイ,朝鲜绑架日本人问题,kitachousenniyorunipponjinrachimondai
フシミイナリタイシャ,伏见稻荷大社,fushimiinaritaisha
ホッカイドウコマガダケ,北海道驹岳,hokkaidoukomagadake
ウエノセンソウ,上野战争,uenosensou
アイバニーズ,依宾尼兹结他,aibanīzu
ギフケン,岐阜县,gifuken
チュウゴクホウソウ,中国放送,chuugokuhousou
ホクリクホウソウ,北陆放送,hokurikuhousou
テレビニシニホン,西日本电视台,terebinishinihon
オキナワテレビホウソウ,冲绳电视台,okinawaterebihousou
チュウキョウテレビホウソウ,中京电视台,chuukyouterebihousou
ホクリクアサヒホウソウ,北陆朝日放送,hokurikuasahihousou
アキタホウソウ,秋田放送,akitahousou
ホッカイドウブンカホウソウ,北海道文化放送,hokkaidoubunkahousou
テレビミヤザキ,宫崎电视台,terebimiyazaki
ニイガタホウソウ,新潟放送,niigatahousou
ヤマガタホウソウ,山形放送,yamagatahousou
サッポロテレビホウソウ,札幌电视台,sapporoterebihousou
ブライス,布莱丝,buraisu
ヨサンセン,予赞线,yosansen
ニッポントランスオーシャンコウクウ,日本越洋航空,nippontoransuōshankoukuu
ミョウコウザン,妙高山,myoukouzan
アヅマコフジ,吾妻小富士,adzumakofuji
タテシナヤマ,蓼科山,tateshinayama
カンダミョウジン,神田明神,kandamyoujin
オトワマチ,音羽町,otowamachi
ラウスダケ,罗臼岳,rausudake
コクリツインサツキョク,国立印刷局,kokuritsuinsatsukyoku
グンマケン,群马县,gunmaken
シャリタケシ,斜里岳,sharitakeshi
バンダイサン,磐梯山,bandaisan
カスガタイシャ,春日大社,kasugataisha
ヒョウゴケン,兵库县,hyougoken
キリシタン,吉利支丹,kirishitan
アサガヤ,阿佐谷,asagaya
キタニホンホウソウ,北日本放送,kitanihonhousou
シンエツホウソウ,信越放送,shinetsuhousou
シズオカホウソウ,静冈放送,shizuokahousou
ヤマグチホウソウ,山口放送,yamaguchihousou
フクイホウソウ,福井放送,fukuihousou
オオイタホウソウ,大分放送,ooitahousou
ヤマナシホウソウ,山梨放送,yamanashihousou
フクオカホウソウ,福冈放送,fukuokahousou
ホッカイドウホウソウ,北海道放送,hokkaidouhousou
ナンカイホウソウ,南海放送,nankaihousou
アオモリホウソウ,青森放送,aomorihousou
イシカワケン,石川县,ishikawaken
ナラケン,奈良县,naraken
コウラタイシャ,高良大社,kourataisha
ハコカンセンソウ,箱馆战争,hakokansensou
アソジンジャ,阿苏神社,asojinja
トヨタツウショウ,丰田通商,toyotatsuushou
キュウカイチガッコウ,旧开智学校,kyuukaichigakkou
アカホウタイ,赤报队,akahoutai
スミトモショウジ,住友商事,sumitomoshouji
イトウチュウショウジ,伊藤忠商事,itouchuushouji
ソウゴウショウシャ,综合商社,sougoushousha
ワカヤマケン,和歌山县,wakayamaken
セイコーグループ,精工,seikōgurūpu
ニホンイタガラス,日本板硝子,nihonitagarasu
イトーカンパニー,伊藤公司,itōkanpanī
サイタマセイブライオンズ,埼玉西武狮,saitamaseiburaionzu
シガケン,滋贺县,shigaken
