stefano,스테파노,seutepano
paliano,팔리아노,palriano
pastena,파스테나,paseutena
patrica,파트리카,pateurika
pescosolido,페스코솔리도,peseukosolrido
arzano,아르차노,areucano
pico,피코,piko
picinisco,피치니스코,piciniseuko
boscotrecase,보스코트레카세,boseukoteurekase
boscoreale,보스코레알레,boseukorealre
anacapri,아나카프리,anakapeuri
repubblica,레푸블리카,repubeulrika
asciano,아시아노,asiano
guarcino,구아르치노,guareucino
morolo,모롤로,morolro
capri,카프리,kapeuri
cardito,카르디토,kareudito
piglio,필리오,pilrio
circo,키르쿠스,kireukuseu
pirelli,피렐리,pirelri
brusciano,브루시아노,beurusiano
cetona,체토나,cetona
ripi,리피,ripi
roccasecca,로카세카,rokaseka
casamarciano,카사마르차노,kasamareucano
caivano,카이바노,kaibano
calvizzano,칼비차노,kalbicano
camposano,캄포사노,kamposano
chiusdino,키우스디노,kiuseudino
pofi,포피,popi
montepulciano,몬테풀차노,montepulcano
monteriggioni,몬테리조니,monterijoni
casavatore,카사바토레,kasabatore
casandrino,카산드리노,kasandeurino
vecchio,다리,dari
murlo,무를로,mureulro
monticiano,몬티차노,monticano
casoria,카소리아,kasoria
sant'apollinare,산타폴리나레,santapolrinare
santopadre,산토파드레,santopadeure
serrone,세로네,serone
rapallo,라팔로,rapalro
settefrati,세테프라티,setepeurati
cicciano,치차노,cicano
cercola,체르콜라,cereukolra
comiziano,코미치아노,komiciano
cimitile,치미틸레,cimitilre
pienza,피엔차,pienca
piancastagnaio,피안카스타냐이오,piankaseutanyaio
spinete,스피네테,seupinete
sepino,세피노,sepino
frattaminore,프라타미노레,peurataminore
gragnano,그라냐노,geuranyano
ischia,이스키아,iseukia
tufara,투파라,tupara
trivento,트리벤토,teuribento
vallecorsa,발레코르사,balrekoreusa
torrice,토리체,torice
trivigliano,트리빌리아노,teuribilriano
sgurgola,스구르골라,seugureugolra
sora,소라,sora
falconeria,매사냥,maesanyang
ercolano,에르콜라노,ereukolrano
crispano,크리스파노,keuriseupano
forio,포리오,porio
radicondoli,라디콘돌리,radikondolri
radicofani,라디코파니,radikopani
frattamaggiore,프라타마조레,peuratamajore
supino,수피노,supino
strangolagalli,스트란골라갈리,seuteurangolragalri
terelle,테렐레,terelre
sarteano,사르테아노,sareuteano
liveri,리베리,riberi
nutella,누텔라,nutelra
lettere,레테레,retere
trequanda,트레콴다,teurekwanda
viticuso,비티쿠소,bitikuso
olimpico,올림피코,olrimpiko
grande,그란데,geurande
manciano,만차노,mancano
ururi,우루리,ururi
acquedotto,아쿠아,akua
appio,아피아,apia
capracotta,카프라코타,kapeurakota
costiera,아말피,amalpi
amalfitana,해안,haean
arcipelago,토스카나,toseukana
toscano,제도,jedo
mariglianella,마릴리아넬라,marilrianelra
sinalunga,시날룬가,sinalrunga
sovicille,소비칠레,sobicilre
vinchiaturo,빈키아투로,binkiaturo
tavenna,타벤나,tabenna
vallerotonda,발레로톤다,balrerotonda
vallemaio,발레마이오,balremaio
toro,토로,toro
marigliano,마릴리아노,marilriano
vicalvi,비칼비,bikalbi
meta,메타,meta
nola,놀라,nolra
ottaviano,오타비아노,otabiano
orbetello,오르베텔로,oreubetelro
castelpetroso,카스텔페트로소,kaseutelpeteuroso
latera,라테라,ratera
termoli,테르몰리,tereumolri
roccalbegna,로칼베냐,rokalbenya
pitigliano,피틸리아노,pitilriano
roccastrada,로카스트라다,rokaseuteurada
montieri,몬티에리,montieri
scansano,스칸사노,seukansano
scarlino,스카를리노,seukareulrino
roccarainola,로카라이놀라,rokarainolra
portici,포르티치,poreutici
castelverrino,카스텔베리노,kaseutelberino
castelpizzuto,카스텔피추토,kaseutelpicuto
carpinone,카르피노네,kareupinone
carovilli,카로빌리,karobilri
castellani,카스텔라니,kaseutelrani
altopascio,알토파시오,altopasio
barga,바르가,bareuga
macchiagodena,마키아고데나,makiagodena
montaquila,몬타퀼라,montakwilra
delle,델레,delre
chiauci,키아우치,kiauci
sorano,소라노,sorano
verismo,베리스모,beriseumo
seggiano,세자노,sejano
semproniano,셈프로니아노,sempeuroniano
filignano,필리냐노,pilrinyano
procida,프로치다,peurocida
pozzuoli,포추올리,pocuolri
quarto,콰르토,kwareuto
qualiano,콸리아노,kwalriano
sant'agnello,산타녤로,santanyelro
fornelli,포르넬리,poreunelri
poggiomarino,포조마리노,pojomarino
pimonte,피몬테,pimonte
frosolone,프로솔로네,peurosolrone
longano,론가노,rongano
menti,멘티,menti
curi,쿠리,kuri
pietracatella,피에트라카텔라,pieteurakatelra
sant'anastasia,산타나스타시아,santanaseutasia
sant'antimo,산탄티모,santantimo
saviano,사비아노,sabiano
fori,황제들의,hwangjedeulyi
imperiali,포룸,porum
ricotta,리코타,rikota
falconara,팔코나라,palkonara
marittima,마리티마,maritima
striano,스트리아노,seuteuriano
terzigno,테르치뇨,tereucinyo
scisciano,시시아노,sisiano
sorrento,소렌토,sorento
loreto,로레토,roreto
pietrabbondante,피에트라본단테,pieteurabondante
roccamandolfi,로카만돌피,rokamandolpi
roccasicura,로카시쿠라,rokasikura
careggine,카레지네,karejine
monteroduni,몬테로두니,monteroduni
camaiore,카마이오레,kamaiore
camporgiano,캄포르자노,kamporeujano
capannori,카판노리,kapannori
pescopennataro,페스코펜나타로,peseukopennataro
pescolanciano,페스콜란차노,peseukolrancano
pizzone,피초네,picone
trecase,트레카세,teurekase
tufino,투피노,tupino
fosciandora,포시안도라,posiandora
gallicano,갈리카노,galrikano
sant'agapito,산타가피토,santagapito
villaricca,빌라리카,bilrarika
volla,볼라,bolra
visciano,비시아노,bisiano
giuncugnano,준쿠냐노,junkunyano
massarosa,마사로사,masarosa
scapoli,스카폴리,seukapolri
montecarlo,몬테카를로,montekareulro
molazzana,몰라차나,molracana
rigamonti,리가몬티,rigamonti
minucciano,미누차노,minucano
sbarco,연합군의,yeonhabgunyi
in,시칠리아,sicilria
vastogirardi,바스토지라르디,baseutojirareudi
pescaglia,페스칼리아,peseukalria
venafro,베나프로,benapeuro
pietrasanta,피에트라산타,pieteurasanta
senigallia,세니갈리아,senigalria
porcari,포르카리,poreukari
mura,세르비아누스,sereubianuseu
serviane,성벽,seongbyeog
spini,페로니,peroni
feroni,궁전,gungjeon
aprilia,아프릴리아,apeurilria
bassiano,바시아노,basiano
campodimele,캄포디멜레,kampodimelre
castelforte,카스텔포르테,kaseutelporeute
ripabottoni,리파보토니,ripabotoni
vergemoli,베르제몰리,bereujemolri
minturno,민투르노,mintureuno
stazzema,스타체마,seutacema
lenola,레놀라,renolra
itri,이트리,iteuri
norma,노르마,noreuma
cori,코리,kori
pontinia,폰티니아,pontinia
ponza,폰차,ponca
fondi,폰디,pondi
formia,포르미아,poreumia
viareggio,비아레조,biarejo
gaeta,가에타,gaeta
agnone,아뇨네,anyone
seravezza,세라베차,serabeca
priverno,프리베르노,peuribereuno
prossedi,프로세디,peurosedi
italdesign,이탈디자인,italdijain
decimomannu,데시모마누,desimomanu
pozzilli,포칠리,pocilri
roccagorga,로카고르가,rokagoreuga
sabaudia,사바우디아,sabaudia
ascrea,아스크레아,aseukeurea
accumoli,아쿠몰리,akumolri
elmas,엘마스,elmaseu
sezze,세체,sece
sermoneta,세르모네타,sereumoneta
sperlonga,스페를론가,seupereulronga
sonnino,손니노,sonnino
antrodoco,안트로도코,anteurodoko
amatrice,아마트리체,amateurice
thales,탈레스,talreseu
alenia,알레니아,alrenia
space,스페이스,seupeiseu
casperia,카스페리아,kaseuperia
monastir,모나스티르,monaseutireu
ultima,최후의,coehuyi
cena,만찬,mancan
casaprota,카사프로타,kasapeurota
ollastra,올라스트라,olraseuteura
sforza,스포르차가,seuporeucaga
terracina,테라치나,teracina
ventotene,벤토테네,bentotene
borbona,보르보나,boreubona
borgorose,보르고로세,boreugorose
cantalice,칸탈리체,kantalrice
futurismo,미래주의,miraejuyi
cento,첸토,cento
cittaducale,치타두칼레,citadukalre
cittareale,치타레알레,citarealre
merano,메라노,merano
contigliano,콘틸리아노,kontilriano
configni,콘피니,konpini
cottanello,코타넬로,kotanelro
forano,포라노,porano
pula,풀라,pulra
collevecchio,콜레베키오,kolrebekio
collegiove,콜레조베,kolrejobe
concerviano,콘체르비아노,koncereubiano
marcetelli,마르체텔리,mareucetelri
micigliano,미칠리아노,micilriano
mompeo,몸페오,mompeo
pantheon,판테온,panteon
leonessa,레오네사,reonesa
libia,이탈리아령,italriaryeong
basilica,바실리카,basilrika
palladiana,팔라디아나,palradiana
cinisi,치니지,ciniji
suvereto,수베레토,subereto
cesenatico,체세나티코,cesenatiko
arco,아르코,areuko
labro,라브로,rabeuro
greccio,그레초,geureco
montasola,몬타솔라,montasolra
farnese,파르네세,pareunese
nespolo,네스폴로,neseupolro
zagarolo,차가롤로,cagarolro
montebuono,몬테부오노,montebuono
pescorocchiano,페스코로키아노,peseukorokiano
monteflavio,몬테플라비오,montepeulrabio
orvinio,오르비니오,oreubinio
posta,포스타,poseuta
rivodutri,리보두트리,riboduteuri
ardara,아르다라,areudara
branzi,브란치,beuranci
panavia,파나비아,panabia
tornado,토네이도,toneido
salisano,살리사노,salrisano
roccantica,로칸티카,rokantika
scandriglia,스칸드릴리아,seukandeurilria
vacone,바코네,bakone
turania,투라니아,turania
selci,셀치,selci
stimigliano,스티밀리아노,seutimilriano
toffia,토피아,topia
tarano,타라노,tarano
tirolo,티롤,tirol
alitalia,알리탈리아,alritalria
bibbona,비보나,bibona
carpi,카르피,kareupi
capoliveri,카폴리베리,kapolriberi
trenitalia,트렌이탈리아,teurenitalria
portofino,포르토피노,poreutopino
collesalvetti,콜레살베티,kolresalbeti
marciana,마르차나,mareucana
cecina,체치나,cecina
sant'antioco,산안티오카섬,sanantiokaseom
cefalù,체팔루,cepalru
maranello,마라넬로,maranelro
piombino,피옴비노,piombino
portoferraio,포르토페라이오,poreutoperaio
martis,마르티스,mareutiseu
diesel,디젤,dijel
sassetta,사세타,saseta
albenga,알벤가,albenga
affile,아필레,apilre
rothschild,로스차일드가,roseucaildeuga
acquapendente,아콰펜덴테,akwapendente
via,비아,bia
dell'ambra,길,gil
bagnoregio,바뇨레조,banyorejo
arbus,아르부스,areubuseu
bomarzo,보마르초,bomareuco
bolsena,볼세나,bolsena
tivoli,티볼리,tibolri
agosta,아고스타,agoseuta
blera,블레라,beulrera
allumiere,알루미에레,alrumiere
anzio,안치오,ancio
calcata,칼카타,kalkata
ardea,아르데아,areudea
canepina,카네피나,kanepina
canino,카니노,kanino
cappuccino,카푸치노,kapucino
ariccia,아리차,arica
arsoli,아르솔리,areusolri
bellegra,벨레그라,belregeura
artena,아르테나,areutena
carbognano,카르보냐노,kareubonyano
friuli,프리울리,peuriulri
capodimonte,카포디몬테,kapodimonte
capranica,카프라니카,kapeuranika
canterano,칸테라노,kanterano
capena,카페나,kapena
bracciano,브라차노,beuracano
caprarola,카프라롤라,kapeurarolra
sarzana,사르차나,sareucana
celleno,첼레노,celreno
cellere,첼레레,celrere
casape,카사페,kasape
ciampino,참피노,campino
cerveteri,체르베테리,cereubeteri
gallese,갈레세,galrese
gradoli,그라돌리,geuradolri
corchiano,코르키아노,koreukiano
graffignano,그라피냐노,geurapinyano
faleria,팔레리아,palreria
ciciliano,치칠리아노,cicilriano
civitavecchia,치비타베키아,cibitabekia
gerano,제라노,jerano
gorga,고르가,goreuga
baia,바이아이,baiai
sestiere,세스티에레,seseutiere
procuratie,프로쿠라티에,peurokuratie
agustawestland,아구스타웨스틀랜드,aguseutaweseuteulraendeu
formello,포르멜로,poreumelro
ansaldo,안살도,ansaldo
genazzano,제나차노,jenacano
gavignano,가비냐노,gabinyano
alghero,알게로,algero
canale,오트란토,oteuranto
d'otranto,해협,haehyeob
colleferro,콜레페로,kolrepero
filacciano,필라차노,pilracano
grottaferrata,그로타페라타,geurotaperata
bitti,비티,biti
ladispoli,라디스폴리,radiseupolri
labico,라비코,rabiko
lariano,라리아노,rariano
lanuvio,라누비오,ranubio
jenne,옌네,yenne
bortigali,보르티갈리,boreutigalri
lupa,카피톨리나,kapitolrina
capitolina,늑대상,neugdaesang
fidenza,피덴차,pidenca
coppa,코파,kopa
aceto,발사믹,balsamig
balsamico,식초,sigco
mortadella,모르타델라,moreutadelra
scuderia,스쿠데리아,seukuderia
manziana,만치아나,manciana
licenza,리첸차,ricenca
marzio,마르티우스,mareutiuseu
mandela,만델라,mandelra
marcellina,마르첼리나,mareucelrina
montelibretti,몬텔리브레티,montelribeureti
monterotondo,몬테로톤도,monterotondo
moricone,모리코네,morikone
mentana,멘타나,mentana
montelanico,몬텔라니코,montelraniko
'ndrangheta,드랑게타,deuranggeta
morlupo,모를루포,moreulrupo
palestrina,팔레스트리나,palreseuteurina
nemi,네미,nemi
nerola,네롤라,nerolra
nazzano,나차노,nacano
tomaso,토마소,tomaso
nettuno,네투노,netuno
pisoniano,피소니아노,pisoniano
pomezia,포메치아,pomecia
ferrovia,토리노밀라노,torinomilrano
torinomilano,철도,ceoldo
percile,페르칠레,pereucilre
riano,리아노,riano
riofreddo,리오프레도,riopeuredo
sacrofano,사크로파노,sakeuropano
roccagiovine,로카조비네,rokajobine
roiate,로이아테,roiate
roviano,로비아노,robiano
sambuci,삼부치,sambuci
gandino,간디노,gandino
castell'azzara,카스텔라차라,kaseutelracara
sant'oreste,산토레스테,santoreseute
cuma,쿠마에,kumae
saracinesco,사라치네스코,saracineseuko
montefiascone,몬테피아스코네,montepiaseukone
lubriano,루브리아노,rubeuriano
montevago,몬테바고,montebago
licata,리카타,rikata
vallinfreda,발린프레다,balrinpeureda
vallepietra,발레피에트라,balrepieteura
valmontone,발몬토네,balmontone
romana,로마나,romana
subiaco,수비아코,subiako
naro,나로,naro
tolfa,톨파,tolpa
leffe,레페,repe
orte,오르테,oreute
lupara,루파라,rupara
vicovaro,비코바로,bikobaro
nepi,네피,nepi
onano,오나노,onano
stracchino,스트라키노,seuteurakino
traiana,가도,gado
realmonte,레알몬테,realmonte
lucito,루치토,rucito
proceno,프로체노,peuroceno
piansano,피안사노,piansano
ronciglione,론칠리오네,roncilrione
gianicolo,자니콜로,janikolro
mozzo,모초,moco
cave,카베,kabe
sutri,수트리,suteuri
volo,볼로,bolro
bellagio,벨라조,belrajo
intimissimi,인티미시미,intimisimi
eolie,제도,jedo
tessennano,테센나노,tesennano
tarquinia,타르퀴니아,tareukwinia
corriere,코리에레,koriere
sera,세라,sera
canal,카날,kanal
vallerano,발레라노,balrerano
vasanello,바사넬로,basanelro
valentano,발렌타노,balrentano
tuscania,투스카니아,tuseukania
vejano,베야노,beyano
foro,포룸,porum
vetralla,베트랄라,beteuralra
vignanello,비냐넬로,binyanelro
vitorchiano,비토르키아노,bitoreukiano
sillano,실라노,silrano
camorra,카모라,kamora
navona,광장,gwangjang
sannio,삼니움,samnium
gondola,곤돌라,gondolra
railjet,레일젯,reiljes
tesero,테세로,tesero
pesche,페스케,peseuke
loacker,로아케르,roakereu
romagna,로마냐,romanya
bressanone,브릭센,beurigsen
arzachena,아르차케나,areucakena
arcidosso,아르치도소,areucidoso
campagnatico,캄파냐티코,kampanyatiko
aqua,아쿠아,akua
iulia,율리아,yulria
capalbio,카팔비오,kapalbio
gavorrano,가보라노,gaborano
velletri,벨레트리,belreteuri
cinigiano,치니자노,cinijano
follonica,폴로니카,polronika
valgoglio,발고글리오,balgogeulrio
san,산,san
paestum,파에스툼,paeseutum
eurostar,에우로스타,euroseuta
ducale,궁전,gungjeon
appia,가도,gado
longa,롱가,rongga
musei,카피톨리니,kapitolrini
capitolini,미술관,misulgwan
concordia,콘코르디아,konkoreudia
slow,슬로,seulro
food,푸드,pudeu
levanto,레반토,rebanto
gallerie,아카데미아,akademia
dell'accademia,미술관,misulgwan
pachino,파키노,pakino
brunico,브루네크,beurunekeu
cucina,이탈리아,italria
caltagirone,칼타지로네,kaltajirone
caldes,칼데스,kaldeseu
aggius,아주스,ajuseu
agliana,알리아나,alriana
abetone,아베토네,abetone
comuni,이탈리아의,italriayi
per,도시,dosi
popolazione,목록,mogrog
frascati,프라스카티,peuraseukati
pampepato,판페파토,panpepato
cariddi,카리브디스,karibeudiseu
cutigliano,쿠틸리아노,kutilriano
lamporecchio,람포레키오,ramporekio
buggiano,부자노,bujano
larciano,라르차노,rareucano
marliana,마를리아나,mareulriana
patti,라테라노,raterano
lateranensi,조약,joyag
brigate,붉은,bulgeun
rosse,여단,yeodan
monete,이탈리아의,italriayi
italiane,주화,juhwa
pescia,페시아,pesia
bortigiadas,보르티지아다스,boreutijiadaseu
piteglio,피텔리오,pitelrio
vipiteno,비피테노,bipiteno
quarrata,콰라타,kwarata
airole,아이롤레,airolre
uzzano,우차노,ucano
nebbiolo,네비올로,nebiolro
pianura,포,po
padana,계곡,gyegog
mole,몰레,molre
antonelliana,안토넬리아나,antonelriana
marsala,마르살라,mareusalra
alcamo,알카모,alkamo
lira,이탈리아,italria
fila,휠라,hwilra
pantelleria,판텔레리아,pantelreria
fiamignano,피아미냐노,piaminyano
etruria,에트루리아,eteururia
corleone,코를레오네,koreulreone
tirrenoadriatico,티레노아드리아티코,tirenoadeuriatiko
noto,노토,noto
sassofeltrio,사소펠트리오,sasopelteurio
mediaset,메디아셋,mediases
aldino,알디노,aldino
andriano,안드리안,andeurian
anterivo,안테리보,anteribo
chiavari,키아바리,kiabari
flaminia,가도,gado
brennero,브렌네로,beurennero
volterra,볼테라,boltera
barghe,바르게,bareuge
trevisosant'angelo,공항,gonghang
borno,보르노,boreuno
bordighera,보르디게라,boreudigera
aeronautica,이탈리아,italria
militare,공군,gonggun
ales,알레스,alreseu
strozzi,궁전,gungjeon
piazzale,로레토,roreto
dobbiaco,도비아코,dobiako
fontina,폰티나,pontina
domus,플라비아,peulrabia
occitania,옥시타니아,ogsitania
alsietina,알시에티나,alsietina
gavardo,가바르도,gabareudo
ghedi,게디,gedi
rotto,다리,dari
ranzo,란초,ranco
istria,이스트라반도,iseuteurabando
rollerblade,롤러블레이드,rolreobeulreideu
pietra,교,gyo
idro,이드로,ideuro
mestre,메스트레,meseuteure
arena,아레나,arena
seborga,세보르가,seboreuga
vasia,바시아,basia
lavazza,라바짜,rabajja
comitati,유럽,yureob
olimpici,올림픽,olrimpig
europei,위원회,wiweonhoe
vessalico,베살리코,besalriko
santa,트리니타,teurinita
trinita,다리,dari
corona,코로나,korona
ferrea,철관,ceolgwan
gelato,나폴리,napolri
napoletano,아이스크림,aiseukeurim
primavera,봄,bom
salaria,가도,gado
obelisco,라테라노,raterano
lateranense,오벨리스크,obelriseukeu
stabia,스타비아에,seutabiae
reusch,로이쉬,roiswi
miu,미우,miu
riomaggiore,리오마조레,riomajore
flaminio,오벨리스크,obelriseukeu
strade,유럽,yureob
europee,고속도로,gosogdoro
vernazza,베르나차,bereunaca
egadi,제도,jedo
pelagie,제도,jedo
baseball,베이스볼,beiseubol
club,클럽,keulreob
antemnae,안템나이,antemnai
enel,에넬,enel
andora,안도라,andora
marcantonio,마르칸토니오,mareukantonio
bentegodi,벤테고디,bentegodi
biblioteca,국립,gugrib
nazionale,마르차나,mareucana
nordorientale,북동부,bugdongbu
denominazione,데노미나치오네,denominacione
origine,오리지네,orijine
controllata,콘트롤라타,konteurolrata
rayban,레이밴,reibaen
loggia,로자,roja
rucellai,루첼라이,rucelrai
dego,데고,dego
sacra,사크라,sakeura
minestrone,미네스트로네,mineseuteurone
loano,로아노,roano
davanzati,궁전,gungjeon
sfogliatella,스폴리아텔라,seupolriatelra
pizza,나폴리,napolri
napoletana,피자,pija
dialetto,알게로,algero
algherese,방언,bangeon
rialto,리알토,rialto
gangi,간지,ganji
penzo,펜초,penco
comune,코무네,komune
d'este,데스테,deseute
cosmoskymed,코스모스카이메드,koseumoseukaimedeu
ducati,두카티,dukati
eleavelia,벨리아,belria
cinque,친퀘,cinkwe
terre,테레,tere
borsalino,보르살리노,boreusalrino
baranello,바라넬로,baranelro
bojano,보야노,boyano
bonefro,보네프로,bonepeuro
gonzaga,곤차가가,goncagaga
busso,부소,buso
campochiaro,캄포키아로,kampokiaro
campolieto,캄폴리에토,kampolrieto
campodipietra,캄포디피에트라,kampodipieteura
campomarino,캄포마리노,kampomarino
almerico,알메리코,almeriko
padania,파다니아,padania
castelbottaccio,카스텔보타초,kaseutelbotaco
casalciprano,카살치프라노,kasalcipeurano
casacalenda,카사칼렌다,kasakalrenda
castelmauro,카스텔마우로,kaseutelmauro
castropignano,카스트로피냐노,kaseuteuropinyano
corniglia,코르닐리아,koreunilria
colletorto,콜레토르토,kolretoreuto
duronia,두로니아,duronia
ferrazzano,페라차노,peracano
fossalto,포살토,posalto
wind,윈드,windeu
jet,제트,jeteu
cercepiccola,체르체피콜라,cereucepikolra
cercemaggiore,체르체마조레,cereucemajore
civitacampomarano,치비타캄포마라노,cibitakampomarano
retignano,레티그나노,retigeunano
virgo,비르고,bireugo
olivetti,올리베티,olribeti
chianti,키안티,kianti
tinetto,티네토섬,tinetoseom
rupe,타르페아,tareupea
tarpea,절벽,jeolbyeog
bulgari,불가리,bulgari
larino,라리노,rarino
limosano,리모사노,rimosano
mafalda,마팔다,mapalda
thurii,투리이,turii
guerra,동맹시,dongmaengsi
sociale,전쟁,jeonjaeng
prealpi,루가노,rugano
luganesi,프레알프스,peurealpeuseu
lega,레가,rega
pro,프로,peuro
prima,프리마,peurima
divisione,디비시오네,dibisione
sant'elia,산텔리아,santelria
montecilfone,몬테칠포네,montecilpone
montagano,몬타가노,montagano
gambatesa,감바테사,gambatesa
gildone,질도네,jildone
guardiaregia,구아르디아레자,guareudiareja
guardialfiera,구아르디알피에라,guareudialpiera
montelongo,몬텔론고,montelrongo
montemitro,몬테미트로,montemiteuro
matrice,마트리체,mateurice
dall'ara,달라라,dalrara
palmaria,팔마리아섬,palmariaseom
ca',카,ka
molise,몰리세,molrise
beauharnais,보아르네가,boareunega
monacilioni,모나칠리오니,monacilrioni
zamperla,잠펠라,jampelra
palata,팔라타,palrata
oratino,오라티노,oratino
grotta,푸른,pureun
azzurra,동굴,donggul
battaglie,이손초,isonco
dell'isonzo,전투,jeontu
campi,캄피,kampi
flegrei,플레그레이,peulregeurei
carolino,수도교,sudogyo
petacciato,페타차토,petacato
cittaslow,치타슬로,citaseulro
raschera,라스케라,raseukera
borghese,보르게세,boreugese
barilla,바릴라,barilra
signoria,란치,ranci
piaggio,피아지오,piajio
galleria,보르게세,boreugese
pietracupa,피에트라쿠파,pieteurakupa
provvidenti,프로비덴티,peurobidenti
portocannone,포르토칸노네,poreutokannone
ripalimosani,리팔리모사니,ripalrimosani
riccia,리차,rica
superga,수페르가,supereuga
euronext,유로넥스트,yuronegseuteu
rotello,로텔로,rotelro
roccavivara,로카비바라,rokabibara
salcito,살치토,salcito
mare,마레,mare
valtellina,발텔리나,baltelrina
tardini,타르디니,tareudini
massimino,마시미노,masimino
caprera,카프레라,kapeurera
marcia,마르키아,mareukia
alessandrino,알렉산드리나,alregsandeurina
aperol,아페롤,aperol
segesta,세게스타,segeseuta
bernina,베르니나,bereunina
express,익스프레스,igseupeureseu
stone,스톤,seuton
island,아일랜드,ailraendeu
veneziamarco,폴로,polro
polo,공항,gonghang
tepula,테풀라,tepulra
brioni,브리오니,beurioni
taleggio,탈레조,talrejo
selinunte,셀리눈테,selrinunte
bocconotto,보코노토,bokonoto
ara,평화의,pyeonghwayi
pacis,제단,jedan
carso,크라스,keuraseu
aureliane,방벽,bangbyeog
lotto,로토,roto
sport,스포르트,seuporeuteu
campionato,이탈리아,italria
italiano,축구,cuggu
calciopoli,칼초폴리,kalcopolri
baripalese,공항,gonghang
gewiss,게비스,gebiseu
medicea,라우렌치아나,raurenciana
laurenziana,도서관,doseogwan
riccardiana,도서관,doseogwan
operazione,악세,agse
achse,작전,jagjeon
scandalo,록히드,roghideu
lockheed,사건,sageon
aermacchi,아에르마키,aereumaki
economia,이탈리아의,italriayi
kamarina,카마리나,kamarina
bidone,비도네,bidone
d'oro,도로,doro
foscari,포스카리,poseukari
sambuca,삼부카,sambuka
casera,카세라,kasera
catenaccio,카테나치오,katenacio
caffè,카페,kape
florian,플로리안,peulrorian
cacciucco,카추코,kacuko
rete,레테,rete
ferroviaria,페로비아리아,perobiaria
palatina,미술관,misulgwan
birra,비라,bira
pigazzano,피가차노,pigacano
trebbiano,트레비아노,teurebiano
asinara,아시나라섬,asinaraseom
legionari,그리스도의,geuriseudoyi
cristo,수도회,sudohoe
illycaffè,일리카페,ilrikape
sant'angelo,다리,dari
prosecco,프로세코,peuroseko
kappa,카파,kapa
badia,바디아,badia
fiorentina,피오렌티나,piorentina
esercito,이탈리아,italria
centrale,중부,jungbu
milvio,다리,dari
centostazioni,첸토스타치오니,centoseutacioni
francofonia,프랑스어권,peurangseueogweon
gondi,궁전,gungjeon
amatriciana,아마트리차나,amateuricana
bitto,비토,bito
blue,블루,beulru
panorama,파노라마,panorama
airlines,항공,hanggong
borromeo,보로메오가,boromeoga
bottega,보테가,botega
veneta,베네타,beneta
frecce,프레체,peurece
tricolori,트리콜로리,teurikolrori
ambrosiana,도서관,doseogwan
benetton,베네톤,beneton
l'ulivo,올리브나무,olribeunamu
teatro,테아트로,teateuro
grassi,궁전,gungjeon
fortitudo,포르티투도,poreutitudo
crociere,크루즈,keurujeu
corridoio,바사리,basari
vasariano,회랑,hoerang
spedale,오스페달레,oseupedalre
innocenti,인노첸티,innocenti
oplontis,오플론티스,opeulrontiseu
crustumerium,크루스투에리움,keuruseutuerium
frazione,프라치오네,peuracione
romaciampino,공항,gonghang
camposanto,캄포산토,kamposanto
monumentale,모누멘탈레,monumentalre
romalido,선,seon
conciliazione,콘칠리아치오네,koncilriacione
breuilcervinia,브로이유체르비니아,beuroiyucereubinia
l'unione,연합,yeonhab
fortezza,포르테차,poreuteca
basso,바소,baso
casciotta,카시오타,kasiota
d'urbino,두르비노,dureubino
latium,라티움,ratium
poveglia,포베글리아,pobegeulria
lambrusco,람브루스코,rambeuruseuko
mercato,메르카토,mereukato
nuovo,누오보,nuobo
manarola,마나롤라,manarolra
castra,카스트라,kaseuteura
praetoria,프라이토리아,peuraitoria
peggy,페기,pegi
guggenheim,구겐하임,gugenhaim
collection,컬렉션,keolregsyeon
arsenale,아르세날레,areusenalre
loredan,로레단,roredan
cotechino,코테키노,kotekino
rezzonico,레초니코,reconiko
mani,마니,mani
pulite,풀리테,pulrite
meridiana,메리디아나,meridiana
vendramin,벤드라민,bendeuramin
calergi,칼레르지,kalrereuji
ladbroke,작전,jagjeon
celio,첼리오,celrio
fendi,펜디,pendi
laurea,라우레아,raurea
maresciallo,이탈리아,italria
cityliner,시티라이너,sitiraineo
funicolare,푸니콜라레,punikolrare
comobrunate,코모브루나테,komobeurunate
certosa,피렌체,pirence
opera,오페라,opera
festival,축제,cugje
malatestiana,도서관,doseogwan
metaponto,메타폰툼,metapontum
comitato,이탈리아,italria
unidroit,국제사법위원회,gugjesabeobwiweonhoe
moscato,모스카토,moseukato
d'asti,다스티,daseuti
parlamento,이탈리아,italria
doria,팜필리,pampilri
pamphilj,미술관,misulgwan
diadora,디아도라,diadora
de'longhi,드롱기,deuronggi
slapstick,작전,jagjeon
trenord,트레노르드,teurenoreudeu
fincantieri,핀칸티에리,pinkantieri
sidereus,시데레우스,sidereuseu
nuncius,눈치우스,nunciuseu
arte,이탈리아의,italriayi
museo,코레르,korereu
correr,박물관,bagmulgwan
borsa,보르사,boreusa
grana,그라나,geurana
padano,파다노,padano
luxottica,룩소티카,rugsotika
intesa,인테사,intesa
sanpaolo,상파울로,sangpaulro
angloitaliana,안글로이탈리아나,angeulroitalriana
tod's,토즈,tojeu
sacro,사크로,sakeuro
dogado,도가도,dogado
fidenae,피데나이,pidenai
mapei,마페이,mapei
città,대,dae
tricolore,트리콜로레,teurikolrore
