andrzej,アンジェイ
przyboś,プシボシ
dziewulski,ジェヴルスキ
matusiak,マトゥシャク
sandomierski,サンドミエルスキ
frasyniuk,フラシニューク
kisielewski,キシェレフスキ
löwy,レヴィ
rajzla,ライゼル
żychlińska,ジフリンスキ
dickstein,ディックスタイン
pszoniak,プショニアク
turnau,ターナウ
wojtas,ヴォイタス
nachum,ナフーム
nir,ニール
jr,ジョン
celski,セルスキー
jakóbczak,ヤコブチャク
toeplitz,テプリッツ
turowicz,トゥロヴィチ
gradus,グラデュス
szczygło,シュチグウォ
babiuch,バビュフ
rosa,ローザ
raisa,ライサ
lelewel,レレウェル
knittel,クニッテル
jaroszewicz,ヤロシェヴィチ
zdrojewski,ズドロイェフスキ
grabowska,グラボフスカ
koźmiński,コズミンスキー
jake,ジェイク
święcicki,シュヴィエンチツキ
makowska,マコウスカ
chwierut,フヴィエルト
kordylewski,コルディレフスキ
gotlib,ゴットリブ
sendzimir,ゼンジミア
althamer,アルタマー
leszczyński,レシチンスキ
falk,ファルク
joe,ジョー
pavelski,パベルスキ
sneh,スネー
dembicki,デムビキ
fornalik,フォルナリク
wilkoń,ウィルコン
orlicz,オルリッチ
vincent,ヴィンス
boryla,ボレイラ
różewicz,ロゼヴィチ
grzegorek,グジェゴレク
marceli,マーセリ
nencki,ネンキ
wielichowska,ヴィェリホフスカ
kondracki,コンドラツキ
śniadek,シニャデク
suckewer,スツケヴェル
zabludovsky,ザブルードスキー
zaruski,ザルスキ
rzymowski,ジモフスキ
spisak,スピサック
jablonski,ジャブロンスキー
lanckoroński,ランコロンスキー
peczynski,ペチンスキー
hulanicka,フラニッキ
rüdesheim,リューデスハイム
hajto,ハイト
peszkowski,ペシュコフスキ
rydygier,リディギエール
szamotulski,シャモトゥルスキ
gosia,ゴーシャ
andrzejewicz,アンジェイエヴィッチ
popko,ポプコ
badyna,バディナ
krajewski,クライェフスキ
gilarski,ギラルスキ
filipowiak,フィリポヴィアク
duninmarkiewicz,マルキエビッチ
deptuła,デプトゥワ
mąciwoda,マキオダ
siemieński,シェミェンスキ
kaczmarczyk,カチマルチク
oleg,オレグ
łatyszonek,ワティゾネク
szlachetko,シュラヘトコ
towiański,トヴィアンスキ
jagaciak,ヤガチャク
fajdek,ファジェク
błaszczak,ブワシュチャク
asnyk,アスニク
dziewoński,ジウォンスキー
dziubek,ジュペック
perkowski,ペルコフスキ
gruszynski,グラジンスキー
cywia,ツィヴィア
lubetkin,ルベトキン
ala,アラ
gertner,ガルトナー
oramus,オラムス
alojzy,アロイジ
orszulik,オルシュリク
stanislav,スタニスラフ
andreski,アンジェイエフスキー
ładysz,ワディシュ
krzesimir,クシェシミル
dębski,デプスキ
baculewski,バツレフスキ
wojtkowiak,ボジュコビァク
ferency,フェレンツィ
pomian,ポミャン
kamler,カムラー
zolynska,ゾリンスカ
boryś,ボリス
opania,オパニア
irina,イリーナ
zaricka,ザリツカヤ
kamieńska,カミエンスカ
lobel,ローベル
knapik,クナピック
frąckowiak,フラッコウィアック
lankosz,ランコシュ
skalmowski,スカルモフスキ
rychlicki,ルィフリツキ
kochanowski,コハノフスキ
trąba,トラバ
legutko,ウェグトゥコ
iwański,イヴァンスキ
żebrowski,ジェブロフスキ
hurewicz,フレヴィチ
pachałko,パハウコ
kita,キタ
maryańska,マリヤンスカ
wołłejko,ヴォレイコ
pisar,ピサール
wojtyllo,ヴォイティロ
doba,ドバ
mondszajn,モンザン
kristof,クリストフ
avigdor,アフィグドール
czok,チョク
sulkiewicz,スルキェヴィチ
kudelski,クデルスキ
durajczyk,ヴィトコフスカ
machalica,マハリツァ
abramowicz,アブラモヴィチ
alf,アルフ
francis,フランシス
laska,ラースカ
sabath,サバト
aron,アーロン
cajtlin,ゼイトリン
miodowicz,ミョドヴィチ
znamierowski,ズナミエロフスキ
dmitrij,ドミトリー
fiłosofow,フィロソフォフ
szymczewska,シムチェフスカ
tchórz,トッシュ
socha,ソハ
jaros,ヤロス
rune,ルネ
holta,ホルタ
tracz,トラッチ
paleczny,パレチニ
waś,ワス
grąbczewski,グロンブチェフスキー
fabicki,ファビツキ
sygietyński,スィギェティンスキ
fidyk,フィディック
stryjeński,ストルィイェンスキ
grzybowska,グジボフスカ
kostenko,コステンコ
eisenberger,アイゼンベルガー
dałkowska,ダウコフスカ
bonk,ボンク
markowski,マルコフスキー
dłuski,ドウズキ
mularczyk,ムラルチク
dąbal,ダンバル
zamoyski,ザモイスキ
kupczyk,クプチュク
smolik,スモリク
wąsowski,ザソフスキ
szyc,スジック
aleksy,アレクシー
antkiewicz,アントキービック
harasymowicz,ハラシュモーヴィチ
grzelak,グジェラク
biegas,ビエガス
bańka,バンカ
xawery,クサヴェリ
boguski,ボグスキー
gornostaj,ゴルノスタジ
lewoniewski,レヴォニェフスキ
patrycja,パトリチャ
maliszewska,マリジェフスカ
ania,アニア
marson,マーソン
jerzyk,イェジック
bronarski,ブロナルスキ
romantowska,ロマントフスカ
klechniowska,クレフニオフスカ
kora,コラ
kocjan,コツィアン
efimienko,エフィミエンコ
sterling,ステルラン
albrecht,アントニ
zięciowska,ジェチョフスカ
damięcki,ダミエッキ
krukowski,クルコフスキ
zawadzka,ザヴァツカ
zuber,ズベル
augustyn,アウグスティン
szczepański,シュチェバンスキ
doda,ドダ
conrad,コンラッド
karasowski,カラソフスキ
kieniewicz,キェニェーヴィチ
bartolommeo,バルトロメオ
berrecci,ベレッチ
szwarc,シュワルツ
stasys,スタシス
eidrigevičius,エイドリゲヴィチウス
christlieb,クリストリープ
kalischer,カリシャー
kamieński,カミェニスキ
buczek,ブチェク
nadolski,ナドルスキ
ruciński,ルキンスキー
elwira,エルビラ
seroczyńska,セロチンスカ
rajchman,ライヒマン
kasprzykowski,カスプシコフスキ
kłoczkowski,クウォチュコフスキ
dominik,ドミニク
rainer,レイネル
karpiniuk,カルピニュク
baruch,バルーク
lumet,ルメット
wojtowicz,ボイトビッチ
gene,ジーン
gutowski,グトウスキー
kon,コン
kontrym,コントリム
łowmiański,ウォヴミャンスキ
doroszewski,ドロシェフスキ
burza,ブーザ
pilejczyk,ピレイチク
sawa,サヴァ
wiktor,ヴィクトル
thommée,トンメー
nehrebecka,ネレベッカ
polko,ポルコ
jackiw,ジャッキウ
gawroński,ガヴロニスキ
kanty,カンティ
pawluśkiewicz,パヴルシキェヴィチ
kubicki,クビツキ
wiera,ヴェーラ
krzyżanowska,クリジャノフスカヤ
lenczewski,レンチェフスキ
gierszał,ギエルシャウ
krzewina,クジェヴィナ
franczak,フランチャク
petelski,ペテルスキ
michniewicz,ミヒニエヴィチ
kotlarska,コトラスカ
woliński,ヴォリンスキ
pietrzyk,ピエトシク
staniszewska,スタニシェフスカ
liebert,リーベルト
mozil,モジル
franke,フランケ
skowronek,スコヴロネク
mackiewicz,マッキーウィックツ
masternak,マステルナク
tomala,トマラ
lorentz,ロレンツ
zaroślińska,ザロスリンスカ
bałka,バウカ
korboński,コルボンスキ
koneczny,コネチュニ
pełczyński,ペルチンスキ
bródka,ブロドカ
kazuro,カズロ
muklewicz,ムクレヴィチ
surlit,スルリット
chorosińska,チョロシンスカ
iwan,イヴァン
monighetti,モニゲッティ
ligia,リジア
branice,ブラニツェ
halik,ホラク
wisner,ヴィスネル
minkiewicz,ミンキェヴィチ
trepczyński,トレプチンスキー
goleniewski,ゴレニフスキー
tomicki,トミツキ
dehnel,デネル
czyński,チンスキ
alex,アレックス
cisak,シサック
faury,フォーリィ
witek,ヴィテク
owron,オウロン
tymon,ティモン
zaborowski,ザブロースキー
wierzyński,ウィルチンスキー
petelska,ペテルスカ
jasiukiewicz,ジャシウキエヴィッチ
pujszo,ブジゾ
stamm,スタム
bosak,ボサク
dygasiński,ディガシンスキ
ciechanowiecki,チェハノヴィエツキ
bergson,ベルクソン
jakób,ジャーク
gniazdowski,ヒニズドフスキー
probierz,プロビエシュ
wiktoria,ヴィクトリア
gąsiewska,ゴンシェフスカ
tatja,タチア
seibt,ザイプト
madejczyk,マディチュク
madaj,マダイ
tłokiński,トロキンスキー
magin,マギン
stefaniuk,ステファニュク
bobrowski,ボブロフスキ
urbanek,ウルバネク
auguścik,アウグスチク
skłodowski,スクウォドフスキ
radecka,ラデツカ
olsza,オルシャ
arthur,アルトゥル
posnansky,ポスナンスキー
genowefa,ゲノヴェファ
wiśniowska,ヴィシニョフスカ
bogajewicz,ボガエヴィッチ
skowrońskadolata,スコブロニスカ
berent,ベレント
okuniewska,オクニェフスカ
strzemiński,ストゥシェミンスキ
tylicki,ティリッキ
kupisz,クピシュ
jażdżewski,ヤヂヂェフ
rajski,ライスキ
symcha,シムチャ
rotem,ロテム
iwo,イウォ
byczewski,ビチェフスキ
st,セント
dymna,ディムナ
polak,ポラック
walczykiewicz,ワルチズキェビッチ
cioch,チョク
krzyżanowski,クシジャノフスキ
łopata,ロパタ
jasienica,ヤシェニツァ
żurawlew,ジェラブレフ
wyrwał,ヴィルヴァウ
bielska,ビェルスカ
lisowski,リソフスキ
goldberg,ゴールドベルク
menotti,メノッティ
garibaldi,ガリバルディ
tyc,ティチ
patyra,ペティラ
szancer,シャンセル
borysewicz,ボリセヴィッチ
zniszczoł,ズニシチョル
ciepielewska,シエピエレフスカ
otrębska,オトレブスカ
pius,ピウス
rudzki,ルツキ
pieńkowski,ピエンコフスキ
król,クルル
młodożeniec,ムロドゼニエツ
spieralski,スピェラルスキ
kościukiewicz,コシチュキェヴィチ
czyżowski,チジョフスキ
zbylut,ズブルト
grzywacz,グジュヴァチ
dobrosz,ドブロシュ
sładkowski,スワトコフスキ
drapella,ドラペラ
piechociński,ピエンホチンスキ
trela,トレラ
globisz,グロビシュ
gertz,ガーツ
boberek,ボベレク
tazbir,タズビル
szpak,シュパーク
stawiarski,スタヤルスキ
łempicki,ウェンピツキ
jedlewska,イェドレフスカ
hibner,ヒブラー
wielomski,ヴィエロムスキ
hulewicz,ヒュルウィッツ
zbrojewicz,ズブロイェヴィチ
cembrzyńska,ツェンブジンスカ
cynk,ツィンク
stanienda,スタニェンダ
horodyski,ホロドゥスキ
kiliński,キリニスキ
nicholas,ニコラス
andrew,アンドリュー
rey,レイ
kruszewski,クルシェフスキ
leszczyńska,レシュチンスカ
kotański,コタンスキ
kosmowska,コスモフスカ
omar,オマル
sangare,サンガレ
borzęcki,ボルゼツキ
pożerska,ポジャースカ
eichler,アイフレル
strobl,ストローブル
szalawski,シャラフスキー
małaszyński,マワシンスキ
antonina,アントワネット
adamowskaszumowska,シュモフスカ
siekierski,シェキェルスキ
kamińska,カミンスカ
krupińska,クルピンスカ
dobek,ドベック
słowiok,スウォーヴィオク
etkin,エトキン
janotha,ヤノータ
balcerzak,バルツェジャク
janowska,ジャノフスカ
neumann,ヌーマン
ozimiński,オジミヌスキ
herbst,ヘルプスト
mączka,モンチュカ
fastnacht,ファストナフト
hen,ヘン
smoleński,スモレンスキ
kersten,ケルステン
czartoryska,チャルトリスカ
witasik,ヴィタシク
studziński,ストゥジンスキ
skrzeszewski,スクシェシェフスキ
kiereś,キエレシ
pobłocka,ポブウォツカ
ziemski,ジエムスキ
woronowicz,ヴォロノヴィチ
sokorski,ソコルスキ
fudali,ダーケン
ohme,オーメ
krzewiński,クシェヴィヌスキ
jarzyńska,ヤジンスカ
rosław,ロスワヴ
szaybo,シャイボ
błocki,ブロキ
gierżod,ギェルジョード
piwarski,ピワルスキ
zambrowski,ザンブロフスキ
gryglewski,グリグルフスキー
mijal,ミヤル
ochyra,オヒラ
adrianna,アドリアナ
godlewska,ゴドレフスカ
laszczka,ラシチカ
raczyńska,ポトツカ
ratajski,ラタイスキー
fajlhauer,ファジルハウアー
glińska,グリンスカ
przespolewski,プシェスポレフスキ
nowodworski,ノヴォドヴォルスキ
jędryka,イェンドリカ
kawiorska,カヴョルスカ
kobus,コブス
michalkiewicz,ミハルキェヴィチ
moczulski,モチュルスキ
podhorodecki,ポトホロデツキ
sitek,シテク
lichota,リコタ
bień,ビーン
samsonowicz,サムソノヴィチ
sempołowska,センポロウスカ
tytus,ティトゥス
chałubiński,ハウビンスキー
lyda,リダ
roberti,ロベルティ
kydryński,キドリンスキ
trzeciakowski,チシェチャコフスキ
rychter,ルフテル
hertz,ヘルツ
lepiato,レピャト
waldorff,ヴァルドルフ
brodzki,ブロズキ
rogacewicz,ロガチェヴィチ
gajewski,ガイェヴスキー
kotlinowski,コトリノフスキ
witkowski,ヴィトコヴスキー
kownacka,コブナッカ
maciszewski,マチセウスキー
lesiewicz,レシェウィッチ
bunsch,ブンシュ
wiszniewski,ヴィシュニェフスキ
czapliński,チャプリンスキ
zamecznik,ザメチニク
konieczna,コニェチュナ
koba,コバ
kosendiak,コセンジャク
wejtko,ウェイトコ
butenko,ブテンコ
sapryk,サプルィク
jakubik,ヤクビク
heyduk,ヘイドゥク
nogal,ノガル
bożena,ボジェナ
stachura,スタフーラ
zamilski,ザミルスキ
cofalik,コファリク
kurzaj,クルザイ
studniak,スタドニアック
cecylia,セシリア
walewska,ワレフスカ
kazejak,カゼジャク
kalczyńska,カルチンスカ
żak,ザック
bazyli,バジリ
samojlik,サモイリク
radwan,ラドヴァン
fuliński,フリンスキ
boratyński,ボラティンスキー
chrościcki,フロシチーツキ
gertruda,ゲルトルーダ
kilosówna,キロソウナ
bodo,ボーデ
kox,コックス
barszczewska,バルシュチェフスカ
policht,ポリフト
jemielniak,ジェミエルニアク
biskupski,ビスクプスキ
szermentowski,シェルメントフスキ
pławski,プワウスキ
siastacz,シアスタツ
stokłosa,ストクワサ
pacek,パセック
bogumił,ボグミウ
ogrodnik,オグロドニク
kolasińska,コラシンスカ
chrostowska,クロストフスカ
skoczyńska,スコチンスカ
winiarska,ウィニアスカ
szczotka,シュチョツカ
fabian,ファビアン
drzyzga,ジズガ
szudrowicz,シュドロヴィッチ
faustyna,ファウスティナ
morzycka,モルジツカ
maserak,マセラク
müldner,ミュルドナー
kruk,クルク
rena,レナ
rolska,ロルスカ
klawe,クラーヴェ
lipszyc,リプシッツ
barącz,バロンチ
bratkowski,ブラトコフスキ
tymański,ティマンスキ
niesiołowski,ニエショヴォフスキ
woyciechowski,ヴォイチェホフスキ
vetulani,ヴェトゥラニ
gutt,グッド
karczewski,カルチェフスキ
smoluchowski,スモルコフスキー
barwiński,バルヴィンスキ
kotas,コタス
tyszkiewicz,ティシュキエヴィッチ
teofil,テオフィル
simchowicz,シムコヴィッツ
marchewka,マルヘフカ
bulik,ブリク
dedek,デデク
adamczuk,アダムチューク
arceusz,アルツェウシュ
borkowy,ボルコヴィ
grodzki,グロツキ
tenenbaum,テネンバウム
cęckiewicz,チェンチキェヴィチ
witka,ヴィクタ
kowner,ケンプナー
krzemieński,クルゼミンスキ
bruszewski,ブルシェヴスキ
birek,ビレック
wardejn,ワルディン
dziembowski,ジエンボウスキー
czarzasty,チャジャスティ
górka,グルカ
duryasz,ドゥルヤシュ
kowalowski,コヴァロフスキー
junosza,ユノザ
mecwaldowski,メツファルドフスキ
chmielewski,チミエレフスキ
yared,ヤレド
shegumo,シェグモ
rydet,リデト
szymborski,シンボースキー
waglewski,ヴァグレフスキ
chajzer,チェイザー
garbacz,ガルバッツ
świtała,シヴィタワ
baka,バカ
blumenfeld,ブルーメンフェルド
leńczyk,レンチク
blinstrub,ブリンストルブ
mach,マック
aniela,アニエラ
zagórska,ザゴルスカ
sitarski,シタルスキー
płoszajski,プロザイスキー
pawlicki,パヴリツキ
wasiak,ヴァシャク
dźwigała,ジビガワ
gryziński,グリジンスキー
budka,ブトカ
moszkowicz,モスコヴィッツ
piernik,ピエルニク
anastasija,アナスタシヤ
wychodcewa,ヴィホドツェワ
łukaszewski,ウカシェフスキ
petrycki,ペトリツキ
kulka,クルカ
wiślicki,ウィシュリツキ
sell,セル
purchla,プルフラ
kuna,クナ
leszczyna,レシュチナ
bogusławski,ボグスワフスキ
bukowska,ブコウスカ
niedziela,ニェジェラ
fatyga,ファティガ
piłsudska,ピウスツカ
czaputowicz,チャプトヴィチ
janicka,ヤニッカ
borcuch,ボルツフ
aleksandrowiczkrasko,クリスコ
tęgowski,テゴフスキイ
erwin,エルヴィン
czerwenka,チェルヴェンカ
maj,マイ
zalasiewicz,ザラシーヴィッチ
pomiankowski,ポミャンコフスキ
miłowski,ミウォフスキ
razowski,ラゾフスキ
żardecki,ザルデツキ
garścia,ガルシチャ
borkowski,ボルコウスキ
mika,ミカ
dzięgielewski,ヂェンギェレフスキ
porazińska,ポラジンスカ
dylewska,ダイルースカ
dzik,ヂク
wronecka,ヴロネツカ
grabiec,グラビェツ
gondowicz,ゴンドヴィッチ
chabior,ハビョル
gudejko,グデイコ
kajetan,カイエタン
kajetanowicz,カイエタノヴィッチ
grusznic,グルシュニク
umecka,ウメッカ
kalibabka,カリバブカ
szeremeta,シェルメタ
komasa,コマサ
schneider,シュナイダー
mańka,マンカ
kozdryk,コズドリク
arno,アルノ
włodarski,ウォダルスキ
panek,パネク
starmach,スタルマフ
altenburg,アルテンブルク
reykowski,レイコフスキ
regulski,レグルスキ
pomianowski,ポミャノフスキ
gniewkowska,グニエフコフスカ
bargiełowska,バルギェウォフスカ
łaska,ワスカ
łaniewska,ワニェフスカ
paskuda,パスクダ
stołyhwo,ストウィフフォ
kołeczek,コジェチェク
groniec,グロニエツ
duriasz,ドゥリアス
bujwidowa,ブジウィドワ
zadura,ザドゥラ
wierchowicz,ヴィエルホヴィッチ
browicz,ブロヴィチ
herrmann,ハーマン
wituch,ウィッチ
laura,ローラ
łącz,アンチュ
zdzitowiecki,ズジトヴィエツキ
lechosław,レホスワフ
marszałek,マルシャウェク
jeka,ジェカ
żołnierowicz,ジョウニェロヴィチ
ślesicki,シレシツキ
leja,レーヤ
wichrowska,ステルマック
koc,コック
stużyńskabrauer,ストゥジンスカ
turczeniewicz,トゥルチェニエヴィチ
kopron,コプロン
margaret,マーガレット
schlauch,シュラウフ
ligocki,リゴツキ
pękala,ペンカラ
chochlew,チョークルー
hetman,ヘトマン
dulębianka,ドゥレンビアンカ
dorociński,ドロチンスキ
kierwiński,キェルヴィニスキ
kukucz,ククチ
piechotka,ピチョクトカ
maciejowska,マチェヨフスカ
perchuć,ペルチュッチ
bełc,ベウチ
turzyma,トゥジマ
masecki,マセッキ
stec,ステック
konarzewski,コナジェフスキ
breitenwald,ブレイテンヴァルト
martel,マーテル
pieczyński,ピチェンスキ
berek,ベレク
szczerbiński,シュチェルビンスキ
bocianiak,ボシアニアック
konarski,コナースキ
siemion,シェミオン
kowalik,コワリク
czyż,チシュ
kwieciński,クフィェチンスキ
milo,ミロ
kurtis,カーティス
pietrzak,ピエトゥシャック
dzięcioł,ヂェチョウ
gliński,グリンスキ
graf,グラーフ
marianna,マリアンナ
hofmański,ホフマンスキ
jurgielewicz,ユルギエレヴィチ
miłogost,ミウォゴスト
reczek,レチェク
modest,モデスト
saniternik,サニテルニク
krzywkowska,クシフコフスカ
kuszyńska,クシンスカ
muskała,ムスカラ
morański,モランスキ
dobecka,ドベッカ
bitner,ビトナー
malikowska,マリコウスカ
poznański,ポズナンスキー
nika,ニカ
strzemińska,ストゥシェミンスカ
słaby,スワビー
olaf,オラーフ
deriglasoff,デリグラソフ
wejman,ヴェイマン
mincer,ミンサル
oliwia,オリビア
jabłońska,ヤブウォニスカ
olsen,オルセン
chojnowski,ホイノフスキ
vega,ベガ
kałuża,タバツカ
wojtusiak,ヴォイトゥシャク
trzebuchowska,チュシェブホフスカ
ifi,イフィ
ude,ウデ
wereśniak,ヴェレスニャク
lićwinko,リチュウィンコ
zgorzelski,ズゴジェルスキ
nireńska,ニレンスカ
bluszcz,ブルシュチュ
chapko,ハプコ
szymkiewicz,シムキエヴィチ
bernas,ベルナス
żuchowski,ジュホフスキ
załmen,ザルマン
gradowski,グラドフスキ
puszkarski,プシュカルスキ
stippa,スティッパ
ciołkosz,チョウコス
mohr,モール
omelko,オメルコ
wiśniowski,ヴィシニオフスキ
starczewski,スタルチェフスキー
buszek,ブシェク
zawierucha,ザヴィエルチャ
kantereit,カンテライト
kowalkiewicz,コバケビッチ
roland,ローランド
sztompke,シュトンプケ
szałamacha,シャワマハ
philippe,フィリップ
oktawia,オクタヴィア
nowacka,ノヴァツカ
pezet,ペゼト
nagielski,ナギェルスキ
kciuk,クチュク
słomiński,スウォミンスキ
ciechanowski,チェハノフスキ
raczkowski,ラクツコウスキー
ziętek,ジェンテク
swoboda,スヴォボダ
sofia,ソフィア
ennaoui,エナウイ
fischbach,フィッシュバッハ
rossolińskiliebe,リーベ
mareczko,マレチュコ
coganianu,コガニアヌ
szyszkowski,シシュコフスキ
kiedrzynek,カイドリネック
poljański,ポリャンスキ
caleb,カレブ
stanko,スタンコ
smołowik,スモウォウィク
brożyna,ブロージュナ
stosz,ストーシュ
paluta,パルタ
bladyniec,ブラディネツ
leśnodorski,レシノドルスキ
wichłacz,ヴィフワチュ
szwacz,シュヴァチ
małecki,マウエツキ
świrski,シフィルスキー
milenia,ミレニャ
fiedler,フィェドレル
lewandowska,レヴァンドフスカ
bociek,ガウコフスカ
plichta,プリフタ
owsian,オフィシャン
chroscicki,クロシツキ
majchrzak,マイフシャク
grajber,グライベル
motyka,モティカ
kubicka,クビッカ
franieczek,フラニチェク
gradek,グラデク
rzymkowski,ジムコフスキ
kornaś,コルナシ
szczepaniak,スチェパニアク
sobotka,ソボトカ
niewiadoma,ニェヴャドマ
żemło,ジェムウォ
pluciński,プルチンスキー
kuciapski,クチャプスキ
mirosława,ミロスワヴァ
garlicka,ガルリツカ
jałoszyński,ヤウォシンスキ
jóźwik,ヨジュヴィク
zeman,ゼーマン
safran,サフラン
ruta,ルタ
lucyna,ルツィナ
szklener,シュクレネル
kolanowska,コラノフスカ
banaszek,バナシェク
kornhauserduda,ドゥダ
szadziewski,サジェフスキ
giłka,ギウカ
krzemiński,クシェミンスキ
czepiela,チェピエラ
kaźmierski,カジミェルスキ
krzemińska,クシェミンスカ
węgrzynowicz,ヴェングジノヴィチ
dominiak,ドミニャク
zakrzewska,ザクシェフスカ
stpiczyńska,ストピチンスカ
kornhauser,コルンハウザー
michalak,ミハラク
majchrowicz,マイフロヴィチュ
albin,アルビン
quiz,クイズ
gawkowski,ガフコフスキ
stękała,ステンカワ
moś,モシュ
sajdak,シュプリンヴァルト
ozdoba,オズドバ
szwedo,シュフェド
safirsztajn,ザファーシュタイン
rak,ラク
françoise,フランソワーズ
grzeszczuk,グジェシュチュク
pęk,ペンク
szłapka,シュワプカ
lubnauer,ルブナウェル
eder,エデル
czarnecki,チャルネツキ
nehring,ネーリング
smoczyńska,スモチンスカ
stawińska,スタウィンスカ
rachoń,ラホニュ
siedlecka,シェドレツカ
czerwińska,チェルヴィンスカ
czarnek,チャルネク
altman,アルトマン
pereira,ペレイラ
lejczyk,レイチク
skrzydlewski,スクシドレフスキ
sontag,ソンタク
książek,クションジェク
cichocki,チホツキ
olszański,オルシャンスキ
niedziałek,ニエジャウェク
tobiasz,トビアス
bernat,ベルナット
szmygin,シュミギン
moczydłowska,モチドゥウォフスカ
piwczyński,ピフチンスキ
śmiszek,シュミシェク
wieczorek,ヴィチェク
orłowski,オーロウスキ
lemieszewski,レミエシュフスキ
vladimir,ウラジーミル
yaroshenko,ヤロシェンコ
czuper,チュペル
stanislaw,スタニスワフ
knapowski,ナポウスキー
wichman,ウィフマン
gromee,グロミー
popiel,ポピエル
wawrzyk,ヴァウルツィク
sajnok,サイノク
józwowicz,ユズヴォヴィチ
rudyk,ルディク
kobiela,コビエラ
maciejuk,マチュイユク
żudziewicz,ウジェヴィチ
sochowicz,ソホウィチュ
żurowski,ジュロフスキ
szeląg,シェロンク
wojewódzka,ヴォイェヴツカ
poleski,ポレスキ
rosenblum,ローゼンブルム
müller,ミュラー
spalik,スパリク
pacut,パツト
ucherska,ウチェルスカ
kajrowicz,カイロヴィッチ
wieniawa,ウィエニアワ
łukaszewska,ウカシェフスカ
alagierska,アラギェルスカ
śmidowski,シミドフスキ
kościński,コシチンスキ
daszkiewicz,ダシュキェヴィチ
bil,ビル
kołodziejski,コロジェイスキ
gniatkowski,ニャトコフスキ
henryka,ヘンリカ
małdyk,マウディク
rdest,ルデスト
słojewska,スロジェフスカ
ritter,リッター
dziurda,ジウルダ
misiek,ミシエク
sutryk,ストリク
marlena,マレーナ
milwiw,ミルウィウ
głąbówna,グワヴォウナ
kaźmierska,カジミエルスカ
tekieli,テキエリ
roksana,ロクサナ
węgiel,ヴェンギエル
skoczek,スコチェク
błażej,ブワジョイ
dulkiewicz,ドゥルキェヴィチ
różańska,ローザンスカ
szymczykiewicz,スィムズィクヴィチ
chabel,チャチュフ
geringer,ゲーリンガー
oedenberg,エーデンベルク
biejat,ビェヤト
kotula,コトゥラ
nesteruk,ネステルク
tandyrak,タンディラク
budkiewicz,ブドキエヴィッチ
mentzen,メンツェン
kami,カミ
bokun,ボクン
buława,ブワワ
wiankowska,ヴィアンコウスカ
kowalskaleszczyńska,コヴァルスカ
meronk,メロンク
żuk,ジュク
łobacz,ウォバチュ
eliza,エリーザ
rycembel,リチェムブル
belczyński,ベルチンスキ
jama,ヤマ
glapiński,グラピンスキー
mosberg,モズベルク
romana,ロマーナ
pachucka,パフツカ
wędzikowska,ヴェンジコフスカ
dipont,ディポン
nikola,ニコラ
karczewska,カルチェフスカ
sławiński,スワヴィンスキ
bielawska,ビエラフスカ
chyczewska,チチェフスカ
treter,トレテル
musiałowski,ムシャウォフスキ
cybiński,シビンスキ
mieszalski,ミエザルスキー
niemyt,ニーミット
muller,ミュラー
drzymalska,ドルジマルスカ
voitila,ボイティラ
kapciński,カプチンスキ
waszkiewicz,ヴァシュキエヴィッツ
szczepan,シュチェパン
siekierka,シエキエルカ
frejlak,フレジラク
jancewicz,ヤンツェヴィッチ
lotka,ロトカ
lenhardt,レンハルト
dorożyński,ドロジンスキー
sierzputowski,シェルツプトウスキー
łasowski,ラソウスキー
dela,デラ
kosturkiewicz,コストゥルキエヴイッチ
kulec,クレック
jaroszyński,ヤロシンスキ
frąckiewicz,フロンツキエヴィチ
papa,パーパ
rostkowska,ロスコウスカ
bieniuk,ビエニュク
kuszlik,クシュリック
pacholec,パホレツ
łysiak,ウイッチャク
byczkowska,ビシュコフスカ
buczyńska,ブチニスカ
frajczyk,フラジク
żebrowska,ジェブロフスカ
wiśnicki,ウィスニッキ
topajew,トパジュ
marissa,マリッサ
pruban,プルバン
ścigalska,シガルスカ
bandurska,バンドゥルスカ
trill,トリル
pem,ペム
leskowicz,レスコヴィッツ
czarnecka,チャルネツカ
zemła,ゼムワ
maher,マヘル
hlima,フリマ
urzędowska,ウルゼドフスカ
sygut,スィグト
stalmierska,スタルミエルスカ
cięciara,シエンシアラ
swarzędz,スヴァルゼンツ
pobiedziska,ポビエジスカ
kluczbork,クルジュボルク
autosan,オートサン
śródmieście,シルドミエシチェ
bemowo,ベモウォ
chodzież,ホジェシ
orlica,オルリツェ
małopolska,ショウポーランド
murowana,ムロバナ
goślina,ゴシリナ
mosina,モシカ
luboń,ルーボン
konin,コニン
wąchock,ヴォンホツク
kościan,コシチャン
września,ヴゼスニャグン
szamotuły,シャモツリ
biedrusko,ヴァルテラーガーエンシュウジョウ
suchy,スヒ
kórnik,クールニク
jarocin,ヤロチン
operacja,カルパティア
wschodniokarpacka,デュクラサクセン
pułtusk,プルツスク
szczebrzeszyn,シュチェブジェシン
środa,シュロダ
wielkopolska,ヴィエルコポルスカ
golińsk,ゴリンスク
biskupiec,ビスクピェツ
pogorzela,ポゴジェラ
dębno,デンブノ
kutno,クトノ
zielonka,ジェロンカ
spisz,スピシュ
żuromin,ジュロミン
żmigród,ジュミグルト
ziębice,ジェンビツェ
żelechów,ジェレフフ
biała,ビャワ
podlaska,ポドラスカ
żychlin,ジフリン
