krzysztof,克日什托夫
zdzieszowice,兹杰绍维采
leśnica,莱希尼察
ostroróg,奥斯特罗鲁格
jutrosin,尤特罗辛
śnieżnik,克拉里茨峰
lwówek,勒武韦克
wąsosz,翁索什
wołczyn,沃乌琴
rabkazdrój,拉布卡兹德鲁伊
zalipie,萨利派
strzelno,斯切尔诺
drzewica,德热维察
ujazd,乌亚兹德
lubawka,卢巴夫卡
ogrodzieniec,奥格罗杰涅茨
drobin,德罗宾
młynary,姆维纳雷
skalbmierz,斯卡尔布梅日
barcin,巴尔钦
golina,戈利纳
tuliszków,图利什库夫
suraż,苏拉日
tłuszcz,特武什奇
oliwa,奥利瓦
pilawa,皮拉瓦
tyszowce,蒂绍夫采
planty,普兰提公园
zwierzyniec,兹维日涅茨
zagórz,扎古日
suchedniów,苏海德纽夫
tyczyn,蒂琴
pionki,皮翁基
łaskarzew,瓦斯卡热夫
blachownia,布拉霍夫尼亚
siechnice,谢赫尼采
sołectwo,村
gościno,戈希齐诺
szypliszki,希普利什基乡
plusliga,波兰男子排球联赛
zwoleń,兹沃伦
mordy,莫尔迪
łomianki,沃米安基
mogielnica,莫盖尔尼察
zabłudów,扎布武杜夫
wasilków,瓦西尔库夫
rajgród,拉伊格鲁德
stawiski,斯塔维斯基
wolbrom,沃尔布罗姆
supraśl,苏普拉希尔
łosice,沃西采
łaszczów,瓦什丘夫
nałęczów,纳文丘夫
medyka,梅迪卡
nowogród,诺沃格鲁德
zawichost,扎维霍斯特
tuchów,图胡夫
ryki,雷基
ożarów,奥扎鲁夫
tarczyn,塔尔琴
filipów,菲利普夫乡
białowieża,比亚沃维耶扎
narew,纳雷夫乡
bakałarzewo,巴卡瓦热沃乡
pruchnik,普鲁赫尼克
raczki,拉奇基乡
narewka,纳雷夫卡乡
czyże,奇热乡
czeremcha,切雷姆哈乡
lipsko,利普斯科
parczew,帕尔切夫
jeleniewo,耶莱涅沃乡
bobowa,博博瓦
tychowo,蒂霍沃
czyżew,奇热夫
wiżajny,维扎伊内乡
rutkatartak,鲁特卡塔尔塔克乡
michałowo,米哈沃沃
rymanów,雷马努夫
przecław,普热茨瓦夫
przerośl,普热罗希尔乡
bochotnica,波葛列查
narol,纳罗尔
daleszyce,达莱希采
tyniec,泰涅克
baumkuchen,年轮蛋糕
dasze,达沙村
bieńkowce,边基夫齐
brony,布罗尼
popowo,波波沃
mariampol,马里亚姆皮利
brombergost,布龙贝格东方集中营
desno,戴斯瑙
kleparz,克莱帕日
kadzidłowo,卡兹德沃沃
przewodów,普热沃杜夫
piotrowice,皮奥特罗维策
pyrkon,皮尔康奇幻节
tajwan,塔伊万
trojany,特洛疆尼
chipolbrok,中波轮船股份公司
łuczniczka,弓箭手
gamedesire,盖尼米德公司
polskibuscom,波兰人巴士
cracovia,克拉科维亚足球俱乐部
varso,华沙塔
buzz,巴兹航空
wiosna,春天
lewica,左翼
pemper,彭帕
blacha,布拉查
rutkowska,鲁特克丝卡
przybyłko,普热贝乌科
pyl,佩尔
fleischer,弗莱舍
englert,恩格勒
ehrenfeucht,伊伦弗赫特
fryderyk,弗雷德里希
scherfke,舍夫克
musiał,穆夏夫
zanussi,赞努西
linda,琳达
kukiz,库基兹
renate,雷娜特
natzmer,纳茨默
smoleń,斯莫伦
bujakiewicz,布贾基维奇
smuda,斯姆达
stuhr,斯图尔
fronczewski,弗朗切夫斯基
frycz,弗里兹
baczko,巴齐科
rubinowicz,鲁比诺维奇
thomas,汤玛斯
godoj,高德
ignace,伊格纳斯
gelb,盖尔布
albert,阿尔伯特
battel,巴特尔
famuła,法穆拉
claudia,克罗迪亚
ciesla,西斯拉
orlowski,奥洛斯基
avelon,爱娃隆
arkady,阿卡迪
fiedler,菲德勒
kęstowicz,克斯托维茨
brugger,布鲁格
hilmar,希尔马
kopper,科珀
chotecka,乔特奇卡
bajon,巴勇
benita,贝妮塔
falkenhayn,法金汉
igo,伊戈
sym,赛姆
jeżowska,杰佐斯卡
kuroń,库隆
sabbat,萨巴
sozanska,索扎斯卡
graff,格拉夫
sopoćko,索波奇科
lindner,林德纳
klecki,克列茨基
moczarski,莫察斯基
fromm,弗洛姆
zyta,齐塔
gilowska,基洛夫斯卡
pikus,皮库斯
olszewski,奥尔谢夫斯基
oleksy,奥莱克西
cimoszewicz,齐莫谢维奇
lukaschek,卢卡舍克
köbner,寇伯纳
sabine,萨拜因
kalter,卡尔特
balcerowicz,巴塞罗维茨
cichy,奇希
harry,哈利
warner,华纳
kominek,科米内克
urbański,乌尔班斯基
zawisza,扎维萨
korfanty,科尔凡蒂
chybiński,奇宾斯基
harasiewicz,哈拉谢维奇
holender,霍兰德
piesiewicz,皮耶斯沃兹
brudziński,布鲁津斯基
andzel,安佐
kawalerowicz,卡汶勒洛维兹
kaczmarski,卡兹马尔斯基
kasyna,卡瑟纳
zbyszko,斯坦尼斯劳斯
cyganiewicz,兹比史可
simlat,希姆拉特
chasyd,哈西德
schudrich,舒德里奇
wilimowski,威利莫夫斯基
sapieha,萨皮阿
przeworski,普沃斯基
gancarczyk,甘卡奇克
marczewski,马尔切夫斯基
musiałek,穆夏韦克
nawałka,纳瓦尔卡
odzimek,奥齐梅克
okulicki,奥库利斯基
schaff,沙夫
tuwim,图维姆
wielgus,维尔古斯
etgar,埃特加
keret,凯雷特
łopatka,洛帕特卡
kożuchowska,科茹霍夫斯卡
anderszewski,安德谢维斯基
iliński,伊林斯基
heller,赫勒
kleiner,克莱纳
domarski,多马尔斯基
stabrowski,斯塔布罗夫斯基
konorski,科诺尔斯基
grobelny,格罗贝尔尼
sheybal,歇博
glemp,格莱姆普
ossowski,奥索夫斯基
szal,沙尔
arnold,阿诺德
walfisz,华菲斯
chromy,高美
bartoszewski,巴托舍夫斯基
kłosiński,克罗西斯基
modrzejewski,莫杰斯基
jack,杰克
tramiel,特拉米尔
kowalewski,科瓦莱夫斯基
borys,鲍里斯
sawinkow,萨文柯夫
szmul,什穆尔
zygielbojm,齐格耶博伊姆
dygant,戴甘特
šarūnas,沙鲁纳斯
birutis,比鲁提斯
szewach,谢瓦
weiss,维斯
dobrzański,多布赞斯基
stasys,斯塔西斯
šedbaras,赛德巴拉斯
serge,塞尔日
silberman,西尔伯曼
edelman,埃德尔曼
kaper,卡帕
anton,安东
grot,哥伦
gutman,古特曼
thadée,查德
cisowski,西索瓦斯基
cecylia,塞西莉亚
lubomirska,卢博米尔斯基
światło,施维托
kmiec,基米克
toeplitz,托普利茨
mark,马克
grudzielanek,古兹拉尼克
purwiński,普尔温斯基
palikot,帕利科特
macierewicz,马切列维奇
grochowska,格罗霍夫斯卡
kosacki,科萨斯基
feliks,费利克斯
banachiewicz,巴那齐耶维茨
ilgner,伊尔格纳
adamek,阿达梅克
arctowski,阿尔茨托夫斯基
lec,莱茨
wit,维特
cybulski,齐布尔斯基
cieślik,切希利克
kuchciński,库赫钦斯基
natasza,娜塔莎
urbańska,厄本斯卡
słonimski,斯沃尼姆斯基
czeżowski,采佐斯基
średnicki,斯柯尼斯基
łomnicki,沃姆尼斯基
dziekanowski,杰卡诺夫斯基
kayah,卡雅
siemieniewski,西米涅夫斯基
piątas,皮昂塔斯
bujarski,巴盖尔斯基
bugajski,布加伊斯基
kurski,库尔斯基
ciołek,乔韦克
moe,摩
drabowsky,德拉伯斯基
antonina,安东尼娜
wyrzykowska,维日科夫斯卡
rybczyński,雷布辛斯基
znaniecki,兹纳涅茨基
gonera,戈纳拉
siudek,修德克
themerson,西默松
buncol,本措尔
baziak,巴济亚克
paetz,帕埃特兹
fortuniak,福尔图尼亚克
kliszko,克利什科
kiernikowski,基尔尼科夫斯基
karkowski,卡科夫斯基
pazura,帕祖拉
religa,雷利加
dembińska,登宾斯卡
mitoraj,米托拉伊
rozental,罗森塔尔
krakowiak,克拉科维亚克
germán,格尔曼
efromovich,叶夫罗莫维奇
antoniak,安东尼娅克
petelicki,佩特利奇基
braun,布劳恩
bahr,巴哈尔
stryjkowski,斯特雷伊科夫斯基
hirsz,希尔什
taczanowski,塔查诺斯基
jachimecki,亚齐梅斯基
kozłowski,科兹洛夫斯基
mendyk,门德克
kuba,库巴
wojewódzki,沃赫沃祖基
mykietyn,麦基丁
kalecki,卡列斯基
gintautas,金陶塔斯
kėvišas,克维沙斯
gross,格罗斯
gintaras,金塔拉斯
steponavičius,史特波奈维希亚斯
allan,艾伦
starski,斯达斯基
parandowski,帕兰多夫斯基
frank,弗兰克
fidusiewicz,菲杜西维奇
beczała,贝科扎瓦
więckiewicz,维凯威兹
gorbaniewska,戈尔巴内夫斯卡娅
zborowski,兹博罗夫斯基
wydra,怀德拉
gądecki,甘德茨基
zgliński,兹格林斯基
matyas,马提亚斯
friedman,弗里德曼
dmowskaandrzejuk,德莫夫斯卡
komeda,科梅达
kasprzycki,马科夫斯基
kruczkowski,克鲁奇科夫斯基
rené,雷内
leibowitz,莱博维兹
grodzka,格萝兹卡
leonard,伦纳德
buczkowski,布奇科夫斯基
jakimowski,亚基莫夫斯基
rasiak,拉夏克
sztompka,什托姆普卡
urbanski,乌尔班斯基
nazım,纳欣
haller,哈勒
figura,费古拉
janiszewska,索博塔
marika,马里卡
domińczyk,多米泽克
mazur,马祖尔
korowicka,科罗奇卡
ryś,雷斯
itzhak,伊萨克
estreicher,埃斯特莱赫
preis,普雷斯
jeszke,杰克
paschalska,帕沙尔斯卡
sobociński,索博钦斯基
zajączkowska,扎永奇科夫斯卡
wiktor,维克多
ormicki,奥尔米斯基
krzaklewski,克萨克莱夫斯
lisowska,利索斯卡
michalczewski,米切尔泽维斯基
jonas,若望
boruta,博鲁塔
meyer,梅耶
mazurkiewicz,马祖尔凯维奇
klaczko,克拉茨科
malczewski,马尔泽夫斯基
sawidor,萨维都
marino,马里诺
kupcewicz,库普切维奇
kutz,库茨
alex,亚历山大
czerniatynski,切尔尼亚滕斯基
winawer,威纳维尔
josef,约瑟夫
františek,弗朗蒂谢克
ostaszewska,奥丝塔泽斯卡
eligiusz,埃利尤什
niewiadomski,涅维亚多姆斯基
siemoniak,谢莫尼亚克
furtok,福托克
pasikowski,帕西科夫斯基
gruszka,格鲁什卡
lenica,连尼卡
tyrała,泰拉拉
urbanowicz,乌尔班诺维茨
młynarski,姆维纳尔斯基
trzaskalski,恰斯卡尔斯基
sperling,斯佩林
huberman,胡伯曼
rabczewska,拉布切夫斯卡
kazimiera,卡济梅拉
utrata,乌特拉塔
skubiszewski,斯库比斯夫斯基
tobollik,托伯里克
zachwatowicz,扎赫瓦托维奇
ossowska,奥索夫斯卡
karski,卡尔斯基
kornel,科内尔
makuszyński,马库申斯基
pankiewicz,潘基奇斯
teofil,泰奥菲尔
ludwika,卢德威卡
paleta,帕莱塔
krzystek,克日斯泰克
dora,多拉
diamant,迪亚曼特
chris,克里斯
pozniak,波兹尼亚克
kozidrak,科齐德雷克
pinchas,平哈斯
lawon,拉冯
denner,丹纳
dukaj,杜卡
sosnovska,宋思诺芙丝卡
szmielew,斯米勒夫
steve,史蒂夫
bartkowski,巴特考斯基
maya,玛雅
mishalska,米沙尔斯卡
rasiowa,罗修娃
kossakszczucka,科萨科什丘斯卡
henrikas,亨利卡斯
žukauskas,茹卡乌斯卡斯
klich,克利希
konon,科农
bocheński,伯亨斯基
moriz,莫里兹
rosenthal,罗森塔尔
scheliha,舍利亚
jagiellończyk,雅盖隆
shmuel,舒默凯
noah,诺亚
konstanty,康斯坦蒂
ildefons,伊尔德方斯
gałczyński,高琴斯基
abraham,亚伯拉罕
joshua,约书亚
heschel,赫舍尔
felix,菲利克斯
nussbaum,努斯鲍姆
opdyke,古特
minc,明克
chaïm,查姆
perelman,佩雷尔曼
dobrzyński,多布任斯基
wilhelm,威廉
kurtz,库尔茨
borski,博斯基
rowecki,罗维茨基
nałkowska,纳夫科夫斯卡
manfred,曼弗雷德
lachs,拉克斯
wolszczak,扎波罗夫斯卡
joseph,约瑟夫
hugo,胡戈
steinhaus,施泰因豪斯
krzywicki,克日维茨基
żmijewski,祖米卓斯基
bieńkowska,比恩寇斯卡
gowin,戈温
kopania,科帕尼亚
niemen,涅门
fabrycy,法布雷西
oswald,奥斯瓦尔德
balzer,巴尔泽
rosner,罗斯纳
mering,梅林
audrys,奥德里斯
juozas,尤奥扎斯
bačkis,巴契基斯
sulej,苏勒杰
trojanowska,特罗亚诺斯卡
ernst,恩斯特
stavro,斯塔夫罗
blofeld,布洛费德
palester,帕莱斯特
zakrzeński,扎克岑斯基
socha,索哈
bronisława,布罗尼斯拉瓦
niżyńska,尼金斯卡
niemczyk,尼姆奇克
miron,米龙
białoszewski,比亚沃谢夫斯基
elisabeth,伊丽莎白
jerichaubaumann,杰里绍鲍曼
przepiórka,普谢皮乌卡
boyżeleński,波伊热伦斯基
freier,弗赖尔
olbrychski,欧布利斯基
ordon,奥登
orlev,奥莱夫
lionginas,连吉纳斯
schaeffer,舍费尔
wesoły,维索斯
ciągliński,齐翁格林斯基
kowalczyktekieli,科瓦尔奇克
sieciech,希切赫
janiszewski,扬尼舍夫斯基
kolski,科尔斯基
szczepanik,斯泽帕尼克
maciejewski,马切耶夫斯基
tymiński,蒂明斯基
kazik,卡齐克
staszewski,斯斯泽斯基
sławik,斯瓦维克
brodzik,布罗兹克
gray,格雷
irka,伊尔卡
bochenko,波琴科
szapocznikow,萨波奇尼科夫
tewje,图维亚
bielski,别尔斯基
czura,克苏拉
walerian,瓦莱利安
borowczyk,博罗夫奇克
klaudia,克劳迪亚
jansignacik,扬斯伊格纳契克
leśniak,列希尼亚克
hübner,许布纳
malanowicz,马拉诺维茨
ivan,伊凡
putski,普兹基
koman,科曼
gebirtig,戈比尔
starewicz,史塔列维奇
michal,米歇尔
martychowiec,马蒂楚维奇
gold,戈尔德
ekert,埃克特
berman,伯曼
jezierski,耶杰尔斯基
ruziewicz,卢切维奇
kropidło,克罗毕沃
słowikowski,斯沃维科夫斯基
miłkowski,米乌科夫斯基
muchniewski,穆切涅夫斯基
baka,巴卡
izuagbe,伊祖
ugonoh,乌戈诺赫
miziński,明津斯基
car,卡尔
płażyński,普瓦任斯基
zimowski,齐莫斯基
michałowski,米哈沃夫斯基
chwistek,屈斯克特
gołaś,戈瓦斯
śliwiński,希利温斯基
wycech,维采赫
borowski,波罗斯基
dominika,多米尼卡
krzynówek,科日诺维克
artūras,阿图拉斯
melianas,梅里阿涅斯
tamara,塔玛拉
gee,吉
hołowczyc,霍沃奇奇
kraszewski,克拉舍夫斯基
głowacki,格洛瓦茨基
serwa,塞尔娃
saleta,萨莱塔
szolem,索勒姆
mandelbrojt,曼德尔布罗伊特
bialer,比亚勒
sołtyk,苏尔蒂克
jeżowski,杰佐斯基
grynberg,格林贝格
pazdan,帕兹丹
tyrmand,蒂曼德
zarankiewicz,扎兰凯维奇
hofmann,霍夫曼
krupski,克鲁普斯基
mycielski,米切尔斯基
bareja,布林贾
sobiło,索比沃
styrna,斯蒂尔纳
krall,克拉尔
zając,扎扬茨
ford,福特
otton,欧顿
nikodym,尼科迪姆
sztolcman,史托兹曼
tyssowski,蒂索夫斯基
wypych,维佩赫
kadenbandrowski,卡登班德罗夫斯基
szymanowska,希马诺夫斯卡
hlond,赫隆德
zaorski,萨斯基
szczytko,斯奇奇科
schinzel,欣策尔
erin,埃琳
mielzynski,米尔津斯基
wierzbicka,威尔宗比卡
dobroniega,多布罗涅加玛丽亚
pacuła,帕库拉
skulski,斯库尔斯基
wielicki,维利斯基
miko,美高
mokrosiński,莫克罗辛斯基
engel,恩格尔
saramonowicz,萨拉蒙诺维奇
schiller,席勒
jalu,雅鲁
saynwittgenstein,赛恩维特根斯坦
przyboś,普日博希
peter,彼得
geach,吉奇
bursche,布尔舍
narkiewicz,纳尔克维奇
jędruch,耶德鲁赫
maksymiuk,马克西米克
marconi,马可尼
hryniewski,赫里涅夫斯基
niedzwiecki,尼域斯基
kossak,科萨克
piotrowska,彼得罗夫斯卡
liliana,莉娜
komorowska,柯莫萝丝卡
maczek,马切克
trzaska,特鲁斯卡
brylska,布雷尔斯卡
woźniak,沃伊尼亚克
smutniak,丝穆妮亚柯
siwiec,西维茨
browicz,博罗维奇
petri,佩特里
mielcarz,米尔卡兹
fischer,菲舍尔
tym,蒂姆
grabowski,格拉波夫斯基
bella,贝拉
darvi,黛薇
chyra,黑拉
kondratiuk,孔德拉迪克
korzyński,柯辛斯基
janiak,亚尼亚克
osóbkamorawski,奥索布卡莫拉夫斯基
jędraszewski,延德拉谢夫斯基
rybak,雷巴克
lokajski,罗卡伊斯基
kac,卡茨
romualdas,罗穆尔达斯
sikorskis,西科尔斯基斯
braunek,布劳内克
jasiński,雅辛斯基
bielański,别兰斯基
szymanekderesz,希曼内克德雷兹
jurgis,乔吉斯
razma,拉兹玛
henri,亨利
tajfel,泰费尔
celińska,采林斯卡
mostowski,莫斯托夫斯基
munk,蒙克
wysocki,维索茨基
tarkowski,塔克斯基
trautman,特罗特曼
dziewulski,杰武尔斯基
peiper,佩帕
mateja,马特亚
sekuła,塞库拉
czaykowski,恰厄科夫斯基
wilski,维尔斯基
pilarczyk,皮拉奇克
kott,科特
szcześniak,斯泽斯尼亚克
pfeiffer,普法伊费尔
bolesławski,波列斯拉夫斯基
żabiński,萨宾斯基
marczyński,马克钦斯基
solarz,索拉兹
izrael,以色列
poznański,波兹南斯基
rosiński,罗辛斯基
syrewicz,塞鲁维奇
mejerson,迈尔森
steczkowska,斯黛驰寇夫斯卡
stenka,斯坦卡
krauze,克劳兹
chajdecki,夏德基
glinkamogentale,格林卡莫根塔尔
kowalska,克瓦尔斯卡
wach,瓦赫
hassan,哈桑
konopacki,柯诺帕奇
zdanowska,兹丹诺夫斯卡
machulski,马胡尔斯基
szapołowska,萨波洛夫斯卡
kobro,科布罗
raimundas,雷蒙达斯
alekna,阿莱克纳
adamczyk,亚雷亚当奇克
léon,利昂
glovacki,格洛瓦茨基
dejmek,德梅克
górecki,戈雷茨基
wielopolski,韦洛波尔斯基
frans,弗兰斯
krajcberg,克拉杰伯格
idziak,伊兹克
łaski,拉斯基
chlewińska,赫莱温斯卡
lipnicka,利普尼卡
gilewski,吉莱夫斯基
wat,瓦特
ochman,奥克曼
wójcicki,乌伊西奇
rowicki,罗维茨基
morgenstern,莫根施特恩
golanko,戈兰科
plawgo,普拉夫戈
szpilka,斯皮尔卡
stojowski,斯托约夫斯基
alexander,亚历山大
gruszynski,格鲁申斯基
mandelbaum,曼德尔鲍姆
gerson,格尔森
samecki,萨梅茨基
petersburski,彼得斯布尔斯基
tomasik,托马西克
pohl,波尔
jeleń,耶伦
bruskewitz,布鲁斯科维斯
porecki,赖斯
łazarkiewicz,拉扎尔凯维奇
christian,克里斯蒂安
kulik,库里克
pużak,普扎克
pudzianowski,普贾诺夫斯基
thomik,托米克
krzesimir,克热西米尔
dębski,登布斯基
konopko,科诺普科
boczarska,波扎斯卡
weber,韦伯
radziwiłowicz,拉齐维沃维奇
olère,奥列尔
abel,阿贝尔
mierosławski,米罗斯拉夫斯基
christoph,克里斯托弗
dabrowski,达布罗夫斯基
kutrzeba,库特雷兹巴
finder,芬德尔
zishe,齐希
breitbart,布雷特巴特
kosiński,科辛斯基
nizioł,尼齐奥尔
sasnal,萨奈尔
dickstein,迪克施泰因
morawskidąbrowa,莫拉夫斯基丹布罗瓦
hugon,胡冈
hanke,汉克
helfgott,赫尔夫戈特
kosiniakkamysz,科西尼亚克卡梅什
pszoniak,普佐尼亚克
polony,波洛内
pruszkowski,普鲁斯柯斯基
dale,戴尔
melczek,梅尔切克
birkenmajer,比肯迈耶尔
małek,马莱克
nowowiejski,诺沃维耶斯基
świnka,史云卡
chruściel,赫鲁希切尔
billewicz,比尔勒维茨
ważewski,瓦泽夫斯基
jankowskacieślak,扬科夫斯卡切斯拉克
wulnikowski,乌尔尼科斯基
rafael,拉斐尔
kazior,卡兹奥尔
krzeszewski,克塞斯塞维斯基
ciechowski,奇乔夫斯基
hołuj,霍乌伊
świerzy,斯威齐
henio,亨尼奥
żytomirski,奇托米尔斯基
sakowicz,萨克维茨
marceli,马塞利
nowotko,诺沃特科
witeczek,维特切克
wars,瓦尔斯
kotoński,科通斯基
ostap,奥斯塔普
ortwin,奥尔特温
łoś,沃希
leszczyński,莱什琴斯基
bardini,巴迪尼
róża,罗扎
robota,罗博塔
falk,法尔克
hlib,赫利布
łonczyna,洛恩奇纳
bortkiewicz,波特凯维茨
boruń,博润
potworowski,波特沃洛夫斯基
kulisz,库里什
pfefferberg,费佛伯格
baird,巴伊尔德
kryszak,克雷沙克
ważyk,瓦日克
wieniawadługoszowski,维涅瓦德武戈舍夫斯基
markus,马库斯
brzenska,布尔岑斯卡
borusewicz,博勒斯奇斯
sorychta,索里赫达
arciszewski,亚尔齐舍夫斯基
odzierzyński,奇兹
wiłkomirski,维乌科米尔斯卡
hoffman,霍夫曼
stachura,斯塔楚拉
rodziński,罗津斯基
gidon,吉迪恩
hausner,豪斯纳
błaszczyk,布拉什奇克
żeleński,热伦斯基
felicjan,费利茨扬
kępiński,肯平斯基
graś,格拉希
anatol,安纳托尔
stożek,斯托热克
maksymilian,马克西米利安
piotrowski,彼得罗夫斯基
kolberger,科尔伯格
olgierd,奥尔盖尔德
łukaszewicz,武卡谢维奇
iwaszkiewicz,伊瓦什基耶维奇
rajmund,雷蒙德
suckewer,苏兹克维尔
jehoszua,约书亚
pojmański,波吉勉斯基
piper,皮佩尔
spisak,什皮沙克
kutzop,库措普
grušas,格鲁沙斯
dec,德茨
piwowski,皮瓦斯基
zaremba,萨伦巴
klingberg,克林伯格
maciejowski,马切耶夫斯基
matulewicz,马图拉蒂斯马图列维休斯
badora,巴多拉
brandys,布兰迪斯
listkiewicz,利斯特基维茨
solczyński,索尔钦斯基
zacharski,卡扎尔斯基
kazimierzówna,卡齐米尔佐夫娜
rymsza,雷沙
kryszałowicz,克里扎洛维茨
kahane,卡哈恩
rydygier,李得基尔
zyskind,齐斯金德
kakowski,卡考维斯基
zajonc,扎荣茨
horszowski,霍尔绍夫斯基
parizeau,波兹南卡
sawrymowicz,索里莫维茨
gołębiewski,格勒比斯基
pałkiewicz,帕尔凯维奇
opania,奥帕尼奥
trąbalski,特兰巴尔斯基
zolynska,佐温斯卡
mucha,穆查
pieczka,毕契卡
bałabuch,巴瓦布赫
bodzek,博泽克
zumbach,赞巴赫
dziewoński,齐文斯基
hurewicz,胡列维茨
wojtyllo,沃伊蒂洛
kupczyk,柯布提克
cisło,齐斯沃
żebrowski,热布罗夫斯基
jeff,杰夫
nordgaard,诺德加德
holtz,霍尔兹
ferency,费仁希
krynke,卡瑞内克
stattler,斯塔特勒
sieroszewski,谢罗谢夫斯基
kristof,克里斯托弗
żmajło,日迈洛
gimpel,吉姆佩尔
filaret,费拉雷特
kołessa,科莱萨
laub,劳布
wesołowska,韦索沃斯卡
ania,阿尼雅
marson,马森
bańka,班卡
olaf,奥拉夫
lubaszenko,卢巴申科
moshe,墨舍
lewin,列文
wilczyński,威尔辛斯基
xawery,沙维利
sokrates,苏格拉底
starynkiewicz,斯塔林凯维奇
kotys,科蒂斯
kociniak,科西尼亚克
czapiewski,恰佩夫斯基
szyc,席克
malkin,马尔金
listowski,利索夫斯基
bogna,博尼亚
jóźwiak,尤伊维亚克
aron,亚伦
cajtlin,蔡特林
iwan,伊拉里昂
ohijenko,奥伊恩科
gancwajch,甘茨瓦伊什
kleczyński,克莱琴斯基
waś,瓦施
kord,科尔德
frenkel,弗兰克尔
bohdziewicz,波捷维奇
kridl,克里德尔
biedrzyńska,别真斯卡
agnes,安尼斯
milowka,米洛夫卡
gontarczyk,贡塔尔奇克
szumacher,舒马赫
wołejnio,沃尔尔约尼奥
żejmo,哲莫
lehrspławiński,莱尔斯普瓦文斯基
lewoniewski,列沃涅夫斯基
damięcki,达米克基
raksa,拉克萨
lamparska,兰帕斯卡
melchior,梅尔基奥尔
wańkowicz,万科维奇
łopalewski,沃帕莱夫斯基
ul,乌尔
orzech,奥尔泽奇
kieniewicz,基涅维茨
pontek,庞特克
ruciński,鲁西因斯基
delfina,德费努
potocka,波特卡
kozłowska,富拉尔奇克
bortnowski,波特劳斯基
sadowska,萨多夫斯卡
regimantas,雷吉曼塔斯
čiupaila,丘帕拉
bielecka,比利茨卡
mirosława,米罗斯拉瓦
marcheluk,马切鲁克
jackiw,贾基夫
machalica,马卡利卡
minkiewicz,明凯维茨
baruch,巴鲁克
lumet,卢梅
grzybowski,格日博夫斯基
modelska,莫德斯卡
nehrebecka,内赫雷贝茨卡
tyszkiewicz,迪斯基耶维奇
kasprzykowski,卡斯普尔兹科夫斯基
karpiński,卡尔平斯基
walendziak,瓦伦齐亚克
narębski,那兰布斯基
lenczewski,列克维斯基
limanowski,利马诺夫斯基
kon,科恩
miecław,梅斯瓦夫
talar,塔拉尔
opalinska,奥普琳斯卡
drobner,德罗布纳
willenberg,维伦贝格
gabriela,加布里埃拉
muskała,穆斯卡拉
kietlicz,基特利茨
pawlik,帕夫利克
wyrypajew,维里帕夫
romanowiczowa,古尔斯卡
magiera,马吉耶拉
franczak,弗朗扎克
radović,拉多维奇
walter,沃尔特
gierszał,盖尔沙乌
james,詹姆斯
wesolowski,韦素劳斯基
parnicki,帕尼斯基
budzik,布齐克
cyryl,齐里尔
ratajski,拉塔伊斯基
bądkowski,巴德科夫斯基
grabski,格拉布斯基
szcześniewska,什琴希涅夫斯卡
napierała,纳皮耶拉瓦
lorentz,洛伦茨
wiktoria,维多利亚
gąsiewska,贡谢夫斯卡
gębicki,盖比茨基
kozaczyk,科萨克齐克
goleniewski,戈莱涅夫斯基
jérémy,热雷米
sopalski,索帕尔斯基
kwoka,科沃卡
ciołkosz,乔乌科什
włodek,沃德克
pełczyński,佩乌琴斯基
trepczyński,特雷普钦斯基
madajczyk,马达伊奇克
ferić,费里奇
mikołajczak,米考拉扎克
jonathan,乔纳森
wisniewski,维西涅斯基
pirotte,皮罗特
kazimirowski,卡齐米罗夫斯基
dehnel,代贺纳
adamik,阿达米克
stola,斯托拉
bobrzyński,博布任斯基
zweig,茨威格
podsiadło,波德西亚德沃
datner,达特内尔
korboński,科邦斯基
szendzielarz,森德齐拉兹
klemensiewicz,克莱门谢维奇
press,普雷斯
chorosińska,乔罗辛斯卡
garliński,加林斯基
pszenicki,普谢尼茨基
gundlach,君德拉赫
płotka,布洛特卡
surlit,苏尔利特
kędzierzawska,肯杰扎夫斯卡
najder,拿吉德
magnuski,马格努斯基
montwiłł,蒙特维尔
berendt,贝伦特
bohdanowicz,博赫达诺维奇
ligia,利贾
branice,布拉尼卡
charaszkiewicz,哈拉什凯维奇
bohaterewicz,博哈季勒维茨
smorawiński,斯莫拉文斯基
wierzyński,维任斯基
skorża,斯科扎
romer,罗默
witek,维泰克
porzec,波热茨
szemplińskasobolewska,谢普林斯卡
bagiński,巴斯基
jasiukiewicz,贾修凯维茨
gil,吉尔
tatja,塔佳
seibt,塞伯特
walery,瓦列里
wichniarz,维奇尼亚尔兹
ciechanowiecki,季翰卢维斯基
dziędziel,杰奇茨
siemaszko,希玛兹科
hulewicz,胡列维茨
kuczyńska,库琴斯卡
olsza,奥萨
eryk,埃里克
lipiński,利平斯基
szarota,沙罗塔
strzembosz,斯特热姆博什
probierz,普罗比尔兹
sałacka,萨瓦卡
skorupa,斯科鲁帕
berent,贝伦特
getter,盖德尔
wodecka,沃德卡
soava,苏瓦
gallone,加隆
stalińska,斯塔林斯卡
urbanek,厄本克
münz,芒兹
soszyński,索斯亚斯基
tłokiński,托尔金斯基
skuratowicz,斯库拉托维茨
starostecka,斯塔罗斯特卡
stefaniuk,斯特凡纽克
wincenty,文岑蒂
popiel,波佩尔
styczyńska,斯蒂切斯卡
trela,瑞腊
wyrwał,韦尔瓦
ulam,乌拉姆
