ana,アナ
yadir,ヤディル
horus,ホルス
dana,ダナ
rotberg,ロットバーグ
fire,ファイヤー
leandra,リーンドラ
lumbreras,ランブラレス
glenda,グレンダ
bala,バーラ
torán,トラーン
chama,チャマ
silveyra,シルベイラ
jocelyn,ジョセリン
wendolly,ウェンドリー
dallas,ダラス
argumedo,アルグメド
gastelum,ガステラム
yanet,ヤネット
castán,カスタン
olea,オレア
palazuelos,ラモス
noemi,ノエミ
phillips,フィリップス
guirado,ギラード
mark,マーク
raso,ラソ
naian,ナイアン
langler,ラングラー
ilse,イルセ
tapias,タピアス
alzibar,アルシバル
lainez,レイネス
roberta,ロバータ
colindrez,コリンドレス
misael,ミサエル
vila,ビラ
dosal,ドーサ
mascorro,マストロ
stephanie,ステファニー
sigman,シグマン
lupercio,ルペルシオ
ancer,アンセル
aremi,アレミ
karol,カロル
melissa,メリッサ
yuya,ユヤ
cassandra,カサンドラ
baboso,モゾ
kristal,クリスタル
efrain,エフライン
alvarez,アルバレス
jaziz,ジャジズ
katie,ケイティー
johnson,ジョンソン
riestra,リエストラ
ganigan,ガニガン
morín,モリン
azarcoya,アザーコヤ
schneider,シュナイダー
meraz,メラズ
saul,ソール
sneider,スネイデル
quiroz,キロス
vale,ベール
giovanny,ジオバニー
tessa,テッサ
ia,イア
ambrosi,アンブロージー
dyana,ディアナ
ortellí,オルテッリ
edda,エッダ
everardo,エベラルド
thunder,サンダー
pavlovich,パヴロヴィッチ
aline,アリン
pettersson,ピーターソン
brayton,ブレイトン
sugey,スージー
loera,ロエラ
müller,ミュラー
licona,リコナ
conchas,コンチャス
ortizgris,オーティズグリス
fischer,フィッシャー
norma,ノルマ
carissa,カリッサ
véliz,ヴェリツ
jimena,ヒメナ
habsburgo,アブスブルゴ
cresencio,クレセンシオ
érika,エリカ
almeida,アルメイダ
candelario,カンデラリオ
ezban,エスバン
partida,パルティダ
nicolasa,ニコラサ
monasterio,モナステリオ
hoze,ホーズ
rebeil,リベイル
dario,ダリオ
yazbek,ヤズベック
cartol,カートル
ayumi,アユミ
adell,アデル
chavezmontes,チャベスモンテス
curiel,クリエル
ferrat,フェラット
minter,ミンター
miriana,ミリアナ
esquerra,エスケラ
lex,レックス
juanpa,フアンパ
cortizo,コルティソ
inglis,イングリス
tuco,トゥコ
olmeda,オルメダ
vilchis,ヴィルチス
constandse,コンスタンズ
veronica,ベロニカ
falcón,ファルコン
américo,アメリコ
egelhaaf,エゲルハーフ
rodlo,ロッド
santoyo,サントヨ
bandido,バンディード
balleza,バジェサ
valentina,ワレンチナ
benaglio,ベナグリオ
lajous,ラジュー
eliana,エリアナ
sua,スア
sabrina,サブリナ
irwin,アーウィン
daayán,ダーヤン
karonte,カロンテ
magallón,マガジョン
giovanna,ジョヴァンナ
reynaud,レイノー
yamileth,ヤミレス
teódula,テオデュラ
cleto,クレト
bayardo,バヤルド
murguia,ムルギア
kirk,カーク
lira,リラ
jhory,ジョリー
josué,ホスエ
maychi,マイチ
evelyn,エベリン
michelle,ミッチェル
couttolenc,コートレンツ
delint,デリント
galvan,ガルバン
diaz,ディアス
yoshio,ヨシオ
mara,マーラ
carlo,カルロ
ayhllón,アイロン
emali,エマリ
terrones,テローネス
barreda,バレダ
leydy,レイディ
pech,ペチ
griselda,グリセルダ
alosian,アロシアン
vivancos,ビバンコス
stefanía,ステファニア
aradillas,アラディージャス
klan,クラン
arangoiti,アランゴイティ
hyland,ハイランド
edsa,エドサ
silvana,シルヴァナ
villagómez,ヴィラゴメス
erando,エランド
quackity,クワキティ
sadoc,サドック
vazkez,バスケス
kubben,クッベン
quiñonez,キニョネス
pinche,ピンチェ
eme,エメ
malafe,マラフェ
bours,ブールス
castelo,カステロ
parera,パレラ
dali,ダリ
wong,ウォン
sole,ソール
bovelli,ボヴェッリ
grecia,グレシア
monroc,モンロック
jimenez,ヒメネス
kerbox,カーボックス
joshua,ヨシュア
okamoto,オカモト
tiscareño,ティスカレニョ
pluma,プルマ
suter,ズーター
dúrcal,ドゥルカル
bragationmukhraneli,バグラチオン
federmann,フェーダーマン
arianna,アリアンナ
ostiz,オスティス
tarradellas,タラデーリャス
bernard,バーナード
utre,フッテン
obermaier,オーベルマイアー
campoamor,カンポアモール
albornoz,アルボルノス
filbá,フィルバ
copado,コパド
leblanc,レブランク
mortensen,モーテンセン
marti,マルティ
segurola,セグローラ
renté,レンテ
farid,ファリド
rouco,ロウコ
egido,エヒド
terrero,テレロ
barea,バレア
albelo,アルベーロ
barranco,バランコ
caruana,カルアナ
santesteban,サンテステバン
callejón,カジェホン
núria,ヌリア
gispert,ヒスペルト
matilde,マティルデ
sebastià,セバスティアン
arbó,アルボー
amésquita,アメスキータ
camus,カムス
cordelia,コルデリア
edvardson,エドヴァルドソン
ledesma,レデスマ
subirachs,スビラクス
cayetano,カイエターノ
irujo,イルホ
areta,アレタ
aliuska,アリウスカ
maurín,マウリン
bermudo,ベルムード
michu,ミチュ
moratín,モラティン
suñer,スニェール
morante,モランテ
jordà,ホルダ
pradera,プラデーラ
moratinos,モラティノス
lombard,ロンバード
marrero,マレーロ
shalo,ゴンサロ
turón,トゥロン
melendi,メレンディ
cueva,クエバ
duquende,ドゥケンデ
altolaguirre,アルトラギーレ
carrafa,カラファ
capdevila,カプデビラ
guerricaechevarría,ゲリカエチェバリア
gimpera,ヒンペラ
najmánides,ナフマニデス
nicuesa,ニクエサ
beneyto,ベネイト
rostoll,ロストイ
escolà,エスコラ
zenón,セノン
somodevilla,ソモデビーリャ
bengoechea,ベンゴエチェア
argentinita,アルヘンティニータ
ximénez,ヒメーネス
estapà,エスタパ
esteve,エステベ
farías,ファリアス
gurpegui,グルペギ
goyena,ゴエナ
montrucchio,モントルッチオ
senna,セナ
guzmándávalos,グスマン
ercilla,エルシージャ
umbral,ウンブラル
heriberto,エリベルト
klamburg,クランブルグ
basiana,バシアナ
dalma,ダルマ
letizia,レティシア
calmache,カルマチェ
galbó,ガルポ
puy,ピュイ
espínola,スピノラ
anguiano,アンギアノ
marchent,マルチェント
habas,アバス
guastavino,グアスタビーノ
armero,アルメロ
d'ors,ドルス
dato,ダト
malcampo,マルカンポ
mayorga,マヨルガ
sarmiento,サルミエント
malú,マルー
sampietro,サンピエトロ
solé,ソーレ
tura,トゥーラ
wyoming,ワイオミング
ezquerra,エスケラ
alexéi,アレクセイ
shírov,シロフ
tribulietx,トリビュリエッチ
cirac,シラク
sasturáin,サストゥライン
lucrecia,ルクレツィア
bori,ボーリ
jerónimo,ヘロニモ
alderete,アルデレデ
lluis,リュイース
silverio,シルベリオ
franconetti,フランコネッティ
sartorius,サルトリウス
bocos,ボコス
argote,アルゴテ
barrufet,バルフェット
sánchezguerra,サンチェス
senel,セネル
berto,ベルト
forcades,フルカーダス
pestano,ペスタノ
espriu,アスプリウ
tonino,トニーノ
carotone,カロトーネ
pesudo,ペスド
tizón,ティソン
guindos,ギンドス
dacosta,ダコスタ
nicholas,ニコラス
wiseman,ワイズマン
arenal,アレナル
ponte,ポンテ
edmundo,エドムンド
talant,タラント
dujshebaev,ドイシェバエフ
atanes,アタネス
artola,アルトラ
isaki,イサキ
lacuesta,ラクエスタ
lucia,ルシア
toribio,ビセンテ
alcolea,トリビオ
regàs,レガス
massiel,マシエル
agirretxe,アギレチェ
guillamon,ギリャモン
aquaviva,アクアヴィーヴァ
fabiani,ファビアーニ
javierre,ハヴィエレ
ortas,オルタース
marquina,マルキーナ
caturla,カトゥルラ
giulio,ジュリオ
alberoni,アルベローニ
goiti,ゴイティ
westendorp,ウェステンドルプ
moll,モル
aragall,アラガル
prats,プラッツ
piñol,ピニョル
espert,エスペル
práxedes,プラクセデス
sagasta,サガスタ
cambó,カンボ
carbonero,カルボネーロ
pastora,パストーラ
argüello,アルグエリョ
nebrija,ネブリハ
gustau,グスタウ
mercè,マルセ
rodoreda,ルドゥレーダ
monardes,モナルデス
marculeta,マルクレタ
garcíaberlanga,ガルシア
fanshawe,ファンショー
urbano,ウルバノ
lugrís,ルグリス
payo,パヨ
cantó,カントー
asso,アッソ
orfila,オルフィラ
expósito,エスポーシト
ivana,イバナ
baquero,バケーロ
galvany,ガルヴァニー
yubero,ユベロ
baldó,バルドー
wert,ウェルト
mascolell,マスコレル
wayne,ウェイン
brabender,ブラベンダー
arnaldo,アルナルド
otegi,オテギ
ganivet,ガニベット
céspedes,セスペデス
miñón,ミニョン
peleteirocompaoré,ペレテイロ
rivadeneyra,リバデネイラ
salvochea,サルボチェア
antolínez,アントリネス
utrillo,ウトリーリョ
siarhei,シアルヘイ
rutenka,ルテンカ
piniés,パニエス
garfias,ガルフィアス
yanes,ジャネス
j,フアン
m,マヌエル
r,ロドリゲス
parrondo,パロンド
perejaume,ペレハウメ
modest,ムデスト
cuixart,クシャ
hereu,エレウ
gaínza,ガインサ
cossío,コシオ
alierta,アリエルタ
constantino,コンスタンティーノ
peral,ペラル
clares,クラーレス
epifanio,エピファニオ
perico,ペリコ
sambeat,サンビート
osa,オサ
aldehuela,アルデウエラ
filísola,フィリソラ
azanza,アサンサ
yegórov,エゴロフ
castaños,カスターニョス
raimundo,レイモンド
tarancón,タランコン
trías,トリアス
fargas,ファルガス
arocha,アロチャ
pedrolo,ペドロロ
salustiano,サルスティアーノ
olózaga,オロザガ
leguina,レギナ
flor,フロル
arreitunandia,アレイチュナンディア
castelar,カステラル
ferrándiz,フェランディス
gómara,ゴマラ
vallvey,バルベイ
oria,オリア
nino,ニーノ
zumalacárregui,スマラカレギ
iriondo,イリオンド
picón,ピコン
guijosa,ギホーサ
pemán,ペマン
pedrayo,ペドライオ
magda,マグダ
antràs,アントラス
cañas,カーニャス
yon,ヨン
segundo,セグンド
chomón,チョーモン
briz,ブリス
shlomo,シュロモ
ben,ベン
ami,アミ
durrio,ドゥリオ
touriño,トウリーニョ
ribé,リベー
caffarel,カファレル
bousada,ボウサダ
quadra,クアドラ
peirats,ペイラッツ
monteseirín,モンテセイリン
belloch,ベジョック
cernuda,セルヌーダ
trinidad,トリニダ
brossa,ブロッサ
lista,リスタ
franko,フランコ
miren,ミレン
ibarguren,イバルグレン
chapaprieta,チャパプリエータ
preysler,プレイスレル
oller,オレール
marichalar,マリチャラル
riba,リバ
renau,レナウ
nélida,ネリダ
piñón,ピニョン
ascanio,アスカーニオ
sforza,スフォルツァ
raphael,ラファエル
segismundo,セギスムント
moret,モレット
molinos,モリノス
genique,ジェニック
bibiana,ビビアナ
aído,アイド
montés,モンテス
ariadna,アリアドナ
soledad,ソレダッド
laiseka,ライセカ
rubió,ルビオ
cohen,コーエン
nina,ニーナ
zhivanevskaya,ジワネフスカヤ
baus,バウス
pou,ポウ
aladrén,アラドレン
larrea,ラレア
payá,パヤ
gaite,ガイテ
sala,サラ
lampreave,ランプレアベ
buika,ブイカ
olsen,オルセン
laforet,ラフォレット
megía,メヒア
wilfredo,ウィルフレード
mingote,ミンゴテ
bosè,ボゼー
ardavín,アルダビン
bonifacio,ボニファシオ
ondó,オンド
edú,エドゥ
estíbaliz,エスティバリス
liddell,リデル
apolinar,アポリナール
ferraz,フェハス
igartiburu,イガルティブル
lusiardo,ルシアルド
pastori,パストリ
fallarás,ファリャラス
asunción,アスンシオン
raventós,ラベントス
mañas,マニャス
carulla,カルーヤ
camps,カンプス
urtasun,ウルタスン
terenci,テレンシ
riudavets,リウダベッツ
fontbona,フォンボナ
biedma,ビエドマ
alborán,アルボラン
joane,ホアネ
somarriba,ソマリバ
lizaran,リサラン
sila,シーラ
enrik,エンリク
cuadrado,クアドラード
loriga,ロリガ
mihaela,ミアエラ
ciobanu,シオバヌ
elorza,エロルサ
silke,シルケ
pardilla,パルディーリャ
vivas,ビバス
saavedra,サーベドラ
kiti,キティ
mánver,マンベール
lerchundi,レルチュンディ
borau,ボラウ
sardà,サルダ
magüi,マギ
verbeke,ベルベケ
emilia,エミリア
dominguín,ドミンギン
margall,マルガイ
melanie,メラニー
duran,ドゥラン
lleida,リェイダ
antónio,アントニオ
luís,ルイス
oliveira,オリヴェイラ
pepón,ペポン
lerroux,レルー
urtubia,ウルトゥビア
jonatan,ジョナタン
cerrada,セラーダ
giner,ヒネル
li,リー
larroca,ラロッカ
borrachero,ボラチェロ
laia,ライア
marull,マルール
cubero,クベロ
dolera,ドレーラ
sobera,ソベラ
charo,チャロ
narcís,ナルシス
padura,パドゥーラ
batcheff,バチェフ
anquela,アンケラ
algueró,アルヘロ
barcia,バルシア
gallissà,ガリサー
jovellanos,ホベジャーノス
sesto,セスト
mato,マト
miravitlles,ミラビエス
castaño,カスターニョ
panadero,パナデーロ
colomo,コロモ
cerda,セルダ
alcover,アルクベー
forqué,フォルケ
montalà,モンターラ
oliver,オリベル
ernest,エルネスト
resines,レシネス
arniches,アルニーチェス
fuenllana,フエンリャーナ
istúriz,イストゥリズ
sanchis,サンチス
echegui,エチェーギ
casagemas,カサヘマス
manzaneque,マンサネーケ
routier,ルーチェ
valenciano,バレンシアーノ
vitores,ビトレス
eve,イヴ
gordon,ゴードン
baldeweg,バルデヴェーグ
villarías,ヴィラリャス
cabanillas,カバニージャス
dührkop,デュルコップ
ñuflo,ニュフロ
salaburu,サラブル
solbes,ソルベス
mckean,マッキーン
velencoso,ベレンコソ
demaría,デマリア
guasch,ガッシュ
chema,チェマ
madoz,マドス
elizondo,エリソンド
gamoneda,ガモネーダ
montano,モンターノ
mayáns,マヤン
noval,ノバル
neus,ネウス
mairena,マイレナ
hildegart,イルデガルト
carballeira,カルバリェイラ
yohana,ヨアナ
larra,ラーラ
natasha,ナターシャ
yarovenko,ヤロヴェンコ
rebollo,レボーヨ
margot,マルゴット
cottens,コッテンス
molino,モリノ
adrados,アドラドス
galofre,ガロフレ
colin,コリン
davies,デイビーズ
llaudet,リャウデット
fresnadillo,フレナディージョ
nerea,ネレア
marian,マリアン
nuria,ヌリア
hontañón,オンタニョン
pondal,ポンダル
bingen,ビンゲン
simone,シモーネ
oquendo,オケンド
darín,ダリン
arrabal,アラバール
clotet,クロテット
llama,リャマ
giudice,ジュディーチェ
tagle,タグレ
botto,ボト
pando,パンド
santaló,サンタロー
moliner,モリネール
romay,アラヤ
verona,ベロナ
montilla,モンティーリャ
cubillo,クビージョ
berceo,ベルセオ
aribau,アリバウ
meliá,メリア
dulce,ドゥルセ
bassols,バソル
grandizo,グランディーソ
munis,ムニス
grigory,グリゴリー
parte,パルテ
nora,ノラ
jenner,ジェナー
camarón,カマロン
forest,フォレスト
philippe,フィリペ
coutinho,コウチーニョ
garcilaso,ガルシラーソ
solà,ソラ
serrat,セラート
aganzo,アガンゾ
imperio,インペリオ
makakinho,バラガン
mabel,マベル
belda,ベルダ
borbalán,ボルバラン
generelo,ジェネレロ
álzaga,アルサガ
furiase,フリアセ
cebrián,セブリアン
somoza,ソモーサ
bartlett,バルトレット
luján,ルハン
jaenada,ハエナダ
bonome,ボノメ
labordeta,ラボルデータ
diges,ディヘス
moncada,ムンカーダ
triadú,トゥリアドゥ
schwartz,シュワルツ
kirill,キリル
jalyavin,ハリャヴィン
vinyals,ヴィニャルス
roura,ロウラ
ribero,リベイロ
topete,トペーテ
caracol,カラコール
tavaré,タバレー
penella,ペネージャ
düttmann,デュトマン
ribair,リバイル
rodríguezzz,ロドリゲス
telesforo,テレフォーロ
aranzadi,アランサディ
caamaño,カーマニョ
santolaria,サントラリア
agirregomezkorta,アギレゴメスコルタ
carlin,カーリン
etxeandía,エチェアンディア
andréi,アンドレイ
xepkin,シェプキン
somalo,ソマロ
silvela,シルヴェラ
ceinos,セイノス
dionisio,ディオニシオ
galiano,ガリアーノ
mendinueta,メンディヌエタ
eneko,エネコ
arieta,アリエタ
sagarduy,サガルドゥイ
iñurrategi,イニュラテギ
maxi,マキシ
roncali,ロンカリ
azcárraga,アスカラガ
palmero,パルメロ
brozas,ブロッサス
miaja,ミアジャ
iosu,ヘスース
olalla,オラーリャ
revuelta,レベルタ
sáiz,サイス
o'callaghan,オキャラハン
lakabeg,ラカベグ
tabuenca,タブエンカ
argensola,アルヘンソーラ
bohigas,ブイーガス
aldecoa,アルデコア
langa,ランガ
chaos,チャオス
cogolludo,コゴジュード
arilla,アリーラ
brechner,ブレッヒナー
bonetmanrique,ボネ
baptista,バティスタ
ahedo,アエード
anguita,アンギータ
bea,ビー
villarroel,ビジャロエル
evangelista,エヴァンゲリスタ
baráibar,バライバル
saravia,サラビア
ynestrillas,イネストリーリャス
bermúdez,ベルムデス
calixto,カリスト
bieito,ビエイト
galíndez,ガリンデス
coto,コト
arriaza,アリアザ
urquiaga,ウルキアガ
ellacuría,エリャクリア
egoitz,エゴイツ
verga,ヴェルガ
chozas,チョサス
terra,テラ
joachim,ヨアキム
llambi,リムビ
amargós,アマルゴス
tremosa,トレモーザ
d'antin,ダンティン
bono,ボノ
fontaneda,フォンタネダ
fabre,ファブレ
cresques,アブラアム
rahola,ラオラ
brncic,ブランシク
alterio,アルテリオ
cañete,カニェーテ
aberasturi,アベラストゥリ
unax,ウナクス
ugalde,ウガルデ
bernaola,ベルナオーラ
shen,シェン
yanfei,ヤンフェイ
noroña,ノロニャ
coello,コエーリョ
veneno,ベネーノ
cuerda,クエルダ
ammann,アンマン
zoido,ソイド
bergamín,ベルガミン
machuca,マチューカ
vizarrón,ビサロン
eguiarreta,エギアレタ
moriyón,モリジョン
bódalo,ボダロ
mangado,マンガド
lacalle,ラカージェ
maeztu,マエストゥ
forcada,フォルカーダ
piñar,ピニャール
rodil,ロディル
gayoso,カンピーリョ
tierno,ティエルノ
oiana,オイアナ
aberrucia,アベルッサ
agustí,アグスティ
villaronga,ビリャロンガ
bonillo,ボニーロ
garro,ガロ
bunbury,ブンブリー
ovalle,オバージェ
cunqueiro,クンケイロ
agurto,アグルト
higueras,イゲラス
andres,アンドレス
pagés,パジェス
lobato,ロバト
boadella,ボアデーリャ
esnal,エスナル
galiardo,ガリアード
llossas,ジョサス
milá,ミラー
fontanals,フンタナルス
montolio,モントリオ
march,マルシュ
ordinas,オルディナス
erwin,アーウィン
schrott,シュロット
salzillo,サルシーリョ
almirall,アルミライ
galo,ガロ
etxabe,エチャベ
carreto,カーラット
elduayen,エルデュアイェン
cilaurren,チラウレン
bardají,バルダヒ
úrsula,ウルスラ
corberó,コルベロ
vigón,ビゴン
espinal,エスピナル
arietaaraunabeña,アリエタ
neve,ネベ
momeñe,モメニェ
kenjito,ケンジ
uematsito,ウエマツ
boned,ボネド
guillot,ギリョット
ponz,ポンツ
amézola,アメソラ
aspizúa,アスピスア
gayarre,ガヤレ
echeberría,エチェベリア
bedia,ベディア
ito,イト
asins,アシンス
eslava,エスラバ
campión,カンピオン
cabrol,カブロル
garci,ガルシ
cubells,キュベルス
india,インディア
aristarain,アリスタライン
zarzo,ザルゾ
inaxio,イナシオ
corín,コリン
tellado,テジャード
macià,マシア
oudrid,オウドリード
fiorella,フィオレッラ
faltoyano,ファルトヤノ
laurentius,ラウレンティウス
hispanus,ヒスパヌス
meller,メラー
bucareli,ブカレリ
ursúa,ウルスア
areces,アレセス
ferry,フェリー
aroa,アロア
amaral,アマラル
villalón,ビリャロン
gomes,ゴメス
eanes,アーネス
zurara,ズララ
perera,ペレーラ
boves,ボベス
queipo,ケイポ
llano,リャノ
davit,ダヴィッド
bagrationmukhraneli,ムフラニ
kira,キラ
amondo,アモンド
pavía,パビア
lacy,レイシー
iturralde,イトゥラルデ
porcel,プルセル
pecino,ペシーノ
heceta,ヘセタ
kilian,キリアン
mohamed,モハメド
cañadas,カニャーダス
azúa,アスア
alenza,アレンサ
iturriaga,イトゥリアガ
cundi,クンディ
hispalense,ヒスパレンシス
argullol,アルグリョル
ossorio,オッソリオ
mariola,マリオラ
belbel,ベルベル
cejudo,セフード
centenera,センテネラ
lecue,レクエ
casavella,カサベリャ
suso,スソ
achúcarro,アチュカロ
oristrell,ウリステイ
piñeyro,ピニェイロ
galí,ガリ
emili,エミリ
teixidor,テシドール
tébar,テバル
sabartés,サバルテス
casagolda,カサゴルダ
peret,ペレ
pàmies,パミエス
dauder,ダウデル
asín,アシン
luppi,ルッピ
moncho,モンチョ
isidre,イシドラ
klimovsky,クリモフスキー
arrazola,アラゾラ
millares,ミリャレス
fary,ファーリー
amades,アマデス
nuño,ヌーニョ
olarra,オララ
wall,ウォール
kutschmann,クッチュマン
estibariz,エスティバリス
urtubi,ウルトゥビ
leoz,レオス
farruquito,ファルキート
alvear,アルヴェアール
maguregui,マグレギ
enciso,エンシソ
agatha,アガタ
corredera,コレデラ
elguero,エルゲロ
olavide,オラビデ
lluch,リュック
mintegi,ミンテギ
argila,アルギラ
aute,アウテ
bores,ボレス
zabalo,サバロ
xosé,ショセ
ferrín,フェリン
korta,コルタ
aizpurua,アイスプルア
donés,ドネス
alisal,アリサール
landelino,ランデリーノ
lavilla,ラビージャ
thais,タイス
henríquez,エンリケス
màrius,マリウス
espoz,エスポス
ferrandis,フェランディス
kent,ケント
gudiel,グディエル
sautuola,サウトゥオラ
xipaguazin,キシパグァジン
rudi,ルディ
llobera,リュベラ
higinio,イヒニオ
anglés,アングレス
asencio,アセンシオ
barce,バルセ
toxo,トショ
viyuela,ビジュエラ
sota,ソタ
balmes,バルメス
solchaga,ソルチャガ
baldoví,バルドビ
serrador,セラドール
fosforito,フォスフォリート
krohn,クロン
bette,ベティ
imbroda,インブローダ
correggio,コルレッジョ
catanha,カターニャ
fortunio,フォーチュニオ
bonanova,ボナノヴァ
carreter,カレテール
chabret,チャブレト
escarré,エスカレ
irazoqui,イラソキ
lersundi,レルサンディ
hormaechea,ホルメチェア
tadeo,タデオ
calomarde,カロマルデ
hoces,オセス
sietes,シエテス
wences,ウェンセス
simeón,シメオン
comadevall,コマデバール
françois,フランス
delft,ディルフト
bello,ベロ
laín,ライン
entralgo,エントラルゴ
pachín,パチン
abenia,アベニア
corredor,コレドール
ortolá,オルトラ
elosegui,エロセギ
lax,ラックス
vigodet,ヴィゴデット
valiño,ヴァリーノ
besteiro,ベステイロ
achero,アチェーロ
rincon,リンコン
bailo,バイロ
czartoryski,チャルトリスキ
arjona,アルホーナ
láinez,ライネス
ronquillo,ロンキージョ
tintín,マルケス
calvet,カルベト
montojo,モントホ
pasarón,パサローン
antonelli,アントネッリ
talavante,タラバンテ
judit,ジュディット
mascó,マスコ
aita,アイタ
donostia,ドノスティア
induni,インデュニ
saizarbitoria,シャイサルビトリア
traid,トレイド
aureli,アウレリ
caterina,ビクトル
sotto,ソット
airam,アイラム
mesonero,メソネロ
romanos,ロマノス
algis,アルギス
arlauskas,アルラスカス
lejarza,レハルサ
vayo,バイヨ
lapeña,ラペーニャ
casaux,カゾー
bustillo,ブスティージョ
morao,モラオ
romeu,ロメウ
feliu,フェリウ
yediel,イェディエル
canton,カントン
gérard,ジェラルド
nadiuska,ナデュースカ
llido,リド
marigil,マリヒル
guinjoan,ギンジュアン
margarit,マルガリット
consarnau,コンサルナウ
mayoera,マイエラ
julian,フリアン
iantzi,イアンツィ
tellería,テリェリア
uslé,ウスレ
goyeneche,ゴジェネチェ
aguerrevere,アゲレベレ
fàbrega,ファブラガ
blecua,ブレクア
perdices,ペルディセス
jusepe,ジュゼッペ
llovet,ロヴェット
arzó,アルソ
roures,ロウレス
ian,イアン
mackay,マッキー
rastrojo,ラストロホ
vizcarrondo,ビスカロンド
morral,モラル
federica,フェデリカ
escrivá,エスクリバ
castelló,カスティージョ
flaquer,フラケール
otín,オチン
tempranillo,テンプラニーリョ
blai,ブライ
mallarach,マリャラッチ
zaplana,サパラナ
nausicaa,ナウシカ
bonnín,ボニン
piñero,ピネロ
murrieta,ムリエタ
risco,リスコ
climent,クリメント
bañón,バニョン
lomas,ロマス
o'shea,オシェイ
alberni,アルバーニ
sañudo,サニュード
alborch,アルボルチ
carmencita,カルメンシータ
nóvoa,ノボア
roy,ロイ
puntí,プンティ
tirapu,ティラプ
condés,コンデス
ferrera,フェレーラ
unzué,ウンスエー
arabolaza,アラボラサ
baró,バロ
grau,グラウ
casarramona,カサラモナ
sande,サンデ
surinach,スリナッチ
ansola,アンソラ
clavero,クラベロ
uxío,ウシーオ
novoneyra,ノボネイラ
sílvia,シルビア
munt,ムント
rosendo,ロセンド
salvado,サルバド
casto,カスト
zalba,サルバ
bidegain,ビデガイン
seco,セコ
broch,ブロシュ
vicent,ビセント
aizpún,アイスプン
cide,シデ
hamete,ハメーテ
benengeli,ベネンヘーリ
gala,ガラ
cajés,カシェス
quintanal,キンタナル
gomar,セオアネ
martiño,マルチン
casás,カサス
narbona,ナルボナ
erika,エリカ
fito,フィト
cabrales,カブラレス
claude,クロード
ruizpicasso,ピカソ
lorenzale,ロレンサレ
bayarri,バジャリ
latorre,ラトーレ
lalanda,ラランダ
gaztañeta,カスタネータ
espada,エスパーダ
ors,オルス
ortego,オルテゴ
pecker,ペッカー
alberca,アルベルカ
vicenç,ビセンク
foix,フォシュ
bauzá,バウサー
pius,ピウス
quer,ケール
besada,ベサダ
fernand,フェルナンド
melgar,メルガー
espina,エスピナ
carracido,カラシード
villasante,ビリャサンテ
agirre,アギーレ
marián,マリアン
gajate,ガハテ
frederic,フレデリック
marès,マレス
mirta,ミルタ
díazbalart,ディアスバラルト
calparsoro,カルパルソロ
meseguer,メセゲール
mariam,マリアム
budia,ブディア
sádaba,サダバ
monago,モナーゴ
aurell,オーレル
lacunza,ラクンザ
brouard,ブルアール
laxe,ラシェ
albero,アルベロ
barrié,バリエ
pinilla,ピニーリャ
tamar,タマル
novas,ノバス
sojo,ソホ
pasqual,パスクアル
porlier,ポルリエル
bote,ボーテ
nalda,ナルダ
pagoaga,パゴアガ
sardá,サルダ
brines,ブリネス
boscana,ボスカーナ
anxo,アンショ
verboom,ヴェルボーム
camón,カモン
valeriano,ヴァレリアーノ
bozal,ボサル
enterría,エンテリア
gigante,ミゲル
alzo,エレイセギ
recalde,リカルデ
milagros,ミラグロス
iceta,イセタ
garzo,ガルソ
harkaitz,ハルカイツ
beiras,ベイラス
lavezaris,ラベサリス
courtois,クルトワ
pachón,パチョン
trapiello,トラピエージョ
reventós,レベントス
simancas,シマンカス
vílchez,ヴィルチェス
beleta,ベレタ
rapsusklei,ラプサスクレイ
uxía,ウシーア
frascuelo,フレスケーロ
dragó,ドラゴ
margalida,マルガリダ
crespí,クレスピ
krahn,クラン
sols,ソルス
wenceslao,ヴェンセスラオ
ayguals,アイガルス
izco,イスコ
yebra,ジェブラ
romina,ロミーナ
guino,ギノ
rim,リム
turki,トルキ
simeó,シメオ
arsuaga,アルスアガ
fontana,フォンターナ
aida,アイーダ
mai,マイ
fontcuberta,フォンクベルタ
formiguera,フルミゲーラ
pigem,ピジェム
cerezuela,セレスエラ
frutos,フルートス
magán,マガン
olañeta,オラニェタ
erquicia,エルキシア
pierola,ピエロラ
prudenci,プルデンシ
bertrana,バルトラナ
tous,トウス
bullejos,ブレヨス
abasolo,アバソロ
ajuriaguerra,アフリアゲラ
ullate,ウラーテ
salaberría,サラベリア
francho,フランチョ
barriales,バリリアレス
nicholls,ニコルズ
canterac,カンテラック
comas,コマス
iturrino,イトゥリノ
bango,バンゴ
urbiztondo,ウルビストンド
liberto,リベルト
pouso,ポウソ
carpio,カルピオ
delgrás,デルグラス
lucila,ルシーラ
pascua,パスクア
sevillano,セビリャーノ
ibn,イブン
yuzayy,ジュザイイ
alfred,アルフレッド
bosch,ボッシュ
izaskun,イサスクン
theresa,テレサ
zabell,ザベル
gorostiaga,ゴロスティアガ
eguiguren,エギグレン
gatell,ガテル
roser,ロセール
tarragó,タラゴー
frías,フリアス
amuriza,アムリサ
basco,バスコ
tenza,エンテンサ
herminio,エルミニオ
gutierre,グティエレ
hevia,エビア
aburruzaga,アブルサガ
gironella,ヒロネーラ
cuadra,クアドラ
llarena,リャレナ
cantón,カントン
