douglas,道格拉斯
bechet,贝彻
phillippe,菲利普
oden,奥登
meriwether,梅里韦瑟
redd,里德
rapinoe,拉皮诺
schaal,沙尔
lil,利尔
dennehy,丹内利
mikulski,米库斯基
sequoyah,塞阔雅
sidis,席德斯
crudup,克鲁德普
mabius,马比乌斯
chiklis,切克里斯
linley,林利
sorbo,索柏
peart,佩尔特
perot,佩罗
schwartzman,舒瓦兹曼
roxanne,洛珊
seeman,西门
cline,克莱恩
washburn,沃什伯恩
hennagan,亨纳甘
mcdougal,麦克道格
meselson,梅瑟生
randi,兰迪
raphael,拉斐尔
sbarge,斯巴格
scalzi,史卡奇
fitch,菲奇
keke,琪琪
duane,杜安
wynton,温顿
marsalis,马沙利斯
corin,科林
nemec,内美克
toole,涂尔
caruso,卡罗素
pryor,普瑞尔
arbuckle,阿布库
cab,凯伯
calloway,凯洛威
topher,托弗
hogsheadmakar,霍格斯黑德马卡尔
stormare,斯特曼
palicki,帕里奇
kruger,克鲁格
whipple,惠普尔
sambora,山伯拉
schumacher,舒马赫
gillette,吉列
knoxville,诺克斯维尔
spelling,斯班林
hawk,霍克
lakoff,莱考夫
falwell,法威尔
steichen,史泰钦
picardo,皮卡多
nouriel,鲁里埃尔
roubini,鲁比尼
littrell,莱特尔
donner,唐纳
aycox,艾考克斯
gasser,加塞
loftus,洛夫图斯
steiger,史泰格
westinghouse,威斯汀豪斯
leguizamo,李古查摩
metta,慈善
sandifordartest,辛迪福特阿堤斯
hakeem,哈基姆
olajuwon,奥拉朱旺
gantt,甘特
shirin,诗琳
neshat,娜夏特
minner,明纳
meucci,穆齐
drexler,德雷克斯勒
travie,崔维
hyneman,海纳曼
yelchin,叶尔钦
zwick,兹维克
dacascos,德可斯可
mikan,迈肯
ferrara,费拉拉
hamlin,哈姆林
verbinski,韦宾斯基
jindal,金达尔
mcclurg,迈克莱尔
hackett,哈克特
pileggi,佩勒吉
moglen,莫格林
fendick,芬迪克
magie,玛姬
spellings,斯佩林斯
ferlinghetti,弗林盖蒂
atanasoff,阿塔纳索夫
fokine,福金
witty,威蒂
hotchkiss,霍奇基斯
zelazny,泽拉兹尼
darabont,达拉本特
mikhail,米哈伊尔
baryshnikov,巴里什尼科夫
geena,吉娜
christgau,克里斯特高
enos,伊诺斯
rube,鲁布
waddell,瓦德尔
hinrich,韩瑞克
perahia,佩拉西亚
frankenheimer,法兰克海默
duenkel,丁克尔
monet,莫内
mazur,玛佐
tayshaun,泰夏安
luther,路德
averill,艾佛瑞尔
bernbach,伯恩巴克
creighton,克雷顿
abrams,艾布兰
kornberg,科恩伯格
vickrey,维克里
sharrod,沙罗德
hardeman,哈德曼
farnsworth,法恩斯沃斯
nathans,那森斯
wald,沃尔德
galecki,盖尔克奇
goffman,高夫曼
lasswell,拉斯威尔
reitman,雷特曼
rockmond,洛克蒙
gig,吉格
pellegrino,佩雷格里诺
fogerty,弗格蒂
winfield,温菲尔德
albertson,艾伯森
iacocca,艾科卡
zimbardo,津巴多
samberg,萨姆伯格
otunga,奥腾加
ferid,费瑞
jordison,乔迪森
tompkins,汤普金斯
sendak,桑达克
holbrook,贺尔布鲁克
appling,艾普林
schnabel,许纳贝
nilsson,尼尔森
silverberg,西尔柏格
stockwell,史达威尔
sahlins,萨林斯
yauch,约赫
bayh,贝赫
hennig,汉尼格
cazale,卡佐尔
pólya,波利亚
misha,米沙
sousa,苏沙
fahey,法赫
suplee,索普
favreau,法夫洛
babyface,娃娃脸
dibiase,迪比亚西
mantle,曼托
lawler,劳勒
yokozuna,横纲
boudreau,布德罗
reznor,雷泽诺
odom,奥多姆
gimelstob,吉梅尔斯托布
lovitz,拉威茨
gilman,吉尔曼
bynum,拜纳姆
stimson,史汀生
patrik,帕特里克
eliáš,埃利亚什
stump,史坦普
littell,利特尔
henryrussell,亨利罗素
shirer,夏伊勒
birkhoff,伯克霍夫
daredevil,夜魔侠
sonnier,索尼尔
thad,撒德
mellencamp,麦伦坎普
averell,埃夫里尔
piven,皮文
robards,罗巴兹
welker,维尔克
elkann,埃尔坎
lópez,洛佩斯
gata,加塔
kamsky,卡姆斯基
pasquin,帕斯昆
hulce,哈斯
lazarus,拉萨鲁斯
pantoliano,潘托利亚诺
keach,奇屈
spader,史碧达
harmon,汉蒙
peek,匹克
herrmann,赫尔曼
whitley,惠特利
diora,狄欧拉
ferber,费伯
ehrenreich,艾伦瑞克
dimaggio,迪马乔
henrie,亨利
rothbard,罗斯巴德
sarsgaard,赛斯嘉
chace,查斯
smithson,史密森
fefferman,费夫曼
chellsie,切茜尔
memmel,梅默尔
turlington,杜灵顿
glaudini,格劳蒂尼
fender,芬达
koons,昆斯
wyle,怀勒
toffler,托夫勒
russ,拉斯
momoa,莫玛
bomer,波莫
erwitt,厄威特
hanff,汉芙
vosloo,沃斯洛
smale,斯梅尔
maiman,梅曼
okounkov,奥昆科夫
gelfand,盖尔范德
bok,巴克
howie,豪儿
dorough,多罗夫
kan,阚
sauer,沙奥尔
strasberg,斯特拉斯伯格
gallup,盖洛普
bugsy,巴格西
siegel,西格尔
bakshi,巴克希
farragut,法拉格特
brouthers,布鲁瑟兹
barth,巴思
helms,赫姆斯
billingsley,比林斯利
sim,西姆
iness,伊内斯
munroe,门罗
emmanuelle,埃曼纽尔
chriqui,施莱琪
whedon,温登
chief,契夫
bender,班德
salvatore,萨尔瓦托雷
d'aquila,达奎拉
burl,伯尔
ives,艾弗斯
bischoff,比绍夫
krause,克劳斯
judge,祖德
reinhold,莱茵霍尔德
crippen,克里彭
ring,林格
verlaine,魏尔伦
hamel,哈默尔
burger,伯格
estée,雅诗
lauder,兰黛
reichs,莱克斯
gacy,盖西
zombie,僵尸
grote,格罗特
odorizzi,欧多瑞吉
newcombe,纽康伯
milestone,迈尔斯通
kurzweil,库茨魏尔
greyson,葛瑞森
chance,柴斯
liev,李佛
dahmer,丹墨
festinger,费斯廷格
bookchin,布克钦
robinett,罗宾列特
hodgman,霍奇曼
hedlund,荷德伦
nyquist,奈奎斯特
rahm,拉姆
emanuel,伊曼纽尔
genndy,格恩迪
tartakovsky,塔塔科夫斯基
brecker,布雷克
paddock,帕多克
crone,克罗内
zima,齐玛
krueger,克鲁格
bester,贝斯特
eugène,尤金
hine,海因
goldberger,戈德伯格
shigo,邵戈
klugman,克卢格曼
budinger,巴丁格
maravich,马拉维奇
lamarcus,拉玛库斯
emeka,埃米卡
okafor,奥卡福
lemieux,勒米厄
wyeth,魏斯
searcy,西塞
pais,派斯
wilmer,威尔默
valderrama,瓦尔德拉玛
ramis,雷米斯
durning,邓宁
wetterich,维特里奇
lon,朗
isiah,伊塞亚
clokey,克洛基
chauncey,昌西
billups,比卢普斯
deron,德隆
wilkens,威尔肯斯
mihaly,奇克森特米哈伊
csikszentmihalyi,米哈伊
asch,阿希
dourif,道里夫
apolo,阿波罗
ohno,大野
gorham,高哈姆
gabe,加布
teukolsky,图科斯基
djimon,杰曼
hounsou,翰苏
till,提尔
lippmann,李普曼
theroux,塞洛克斯
greenberg,加连保格
haldeman,霍尔德曼
mewes,缪斯
franzen,法兰森
filo,费罗
yablonovitch,雅布罗诺维奇
lapira,拉琵拉
reiner,雷纳
phineas,费尼斯
gage,盖吉
flatley,佛莱利
westmoreland,威斯特摩兰
maione,梅内
isidore,埃斯多
mankofsky,曼考夫斯基
felt,费尔特
montana,蒙坦拿
swigert,斯威格特
rené,雷内
auberjonois,奥柏戎诺瓦
drinker,德林克
nance,南斯
bjorken,比约肯
tillerson,蒂勒森
mandelstam,曼德尔施塔姆
leipheimer,莱法伊默
czolgosz,乔戈什
colletti,科莱迪
yorzyk,约齐克
callan,卡伦
seaton,薛顿
lind,林德
chamillionaire,天生赢家
vitaly,维塔里
scherbo,谢尔博
zant,赞特
corker,寇尔克
jameer,贾米尔
angarano,安格拉诺
tiomkin,迪奥姆金
kwame,夸梅
sorkin,索金
victoriano,维多利亚诺
benward,班沃德
danielson,布莱恩
lanza,兰沙
berenger,贝林杰
routh,劳斯
whorf,沃夫
dumars,杜马斯
dane,迪恩
cromwell,克伦威尔
forges,福格斯
leto,莱托
mccarey,麦卡瑞
mulally,穆拉利
lindbeck,林贝克
lashley,莱士利
imperioli,伊派里奥里
menken,孟肯
hardaway,哈达威
kress,克莱斯
eisenman,艾森曼
deen,迪恩
swadesh,斯瓦迪士
cadre,卡得
kirzner,柯兹纳
elston,艾尔史东
macnicol,迈克尼科尔
mcdyess,麦克戴斯
aiello,爱罗
seacrest,西克雷斯特
lysacek,莱萨塞克
helberg,黑尔贝格
suber,萨伯
brit,布里特
jelly,杰利
roll,罗尔
kyrie,凯里
taj,泰
vannevar,万尼瓦尔
elon,埃隆
musk,马斯克
benchley,本奇利
sheckley,谢克里
theremin,特雷门
korzybski,柯日布斯基
bedell,比德尔
tappin,塔平
stepfanie,斯蒂芬尼
bunshaft,邦沙夫特
mullin,穆林
sonnenfeld,索南菲尔德
como,科莫
sennett,森内特
fareed,法里德
zakaria,扎卡利亚
tudyk,图代克
liman,李曼
custis,卡斯蒂斯
chrysler,克莱斯勒
harlan,哈兰
coben,科本
carothers,卡罗瑟斯
thurston,瑟斯顿
clair,克莱尔
shiley,希利
sherry,雪莉
lansing,兰辛
othniel,奥斯尼尔
brownback,布朗巴克
hoffa,霍法
dupri,杜普里
fabolous,神奇小子
bombieri,邦别里
nassim,纳西姆
taleb,塔雷伯
saget,萨格
kaitlin,凯特琳
gotti,高蒂
efim,叶菲姆
zelmanov,泽尔曼诺夫
kemmler,凯姆勒
dorff,多尔夫
rainn,雷恩
maicel,迈塞尔
malonewallace,马隆华莱士
ram,拉姆
dass,达斯
prejean,培贞
barrese,巴瑞斯
maida,梅达
herz,赫兹
immanuel,伊曼纽尔
velikovsky,维里科夫斯基
volcker,沃克
mapother,麦鲍瑟
beast,野兽
sizemore,塞兹摩尔
debs,德布斯
dorsey,多西
stoltz,斯托尔兹
modine,莫汀
papert,派普特
corman,科曼
lawton,劳顿
harrington,哈灵顿
abe,阿贝
vigoda,维戈达
crocker,克罗克
kapono,卡波诺
myer,迈尔
prinstein,普林斯坦
peirsol,佩尔索尔
rochin,罗钦
yonatan,约纳坦
netanyahu,内塔尼亚胡
ivey,艾菲
kleene,克莱尼
belleci,贝勒奇
trainor,特雷纳
kinzinger,金辛格
lászló,洛瓦斯
lovász,拉斯洛
ellroy,艾尔罗伊
sivin,席文
forsythe,佛塞
nagel,内格尔
haysbert,赫柏特
hynek,海尼克
cantor,康托尔
chesebrough,切斯伯勒
devin,德文
tyga,泰加
ariza,亚瑞查
alessandro,亚历桑德罗
nivola,尼沃拉
engler,恩格勒
manilow,曼尼洛
staton,斯塔登
swartz,斯沃茨
cuban,库班
bram,布莱姆
mattingly,马丁利
renny,雷尼
harlin,哈林
guttenberg,古根伯格
deaver,迪佛
schock,夏克
hillenburg,海伦伯格
noth,诺斯
sandage,桑德奇
crenna,克里纳
fallon,法伦
trumbo,特朗勃
kripke,克里普基
heflin,赫夫林
mature,迈彻
cheever,齐弗
babbitt,巴比特
schollander,斯科兰德
yerman,耶尔曼
raviv,里基
pally,帕利
stahl,斯塔尔
ub,乌布
iwerks,伊沃克斯
rifkin,里夫金
mako,岩松信
walsch,沃许
finley,芬利
sessions,塞申斯
niebuhr,尼布尔
lightbody,莱特博迪
armas,阿尔马斯
yoo,柳
haise,海斯
franken,弗兰肯
limbaugh,林博
elmore,埃尔莫尔
rippon,里彭
studi,斯塔蒂
peabody,皮博迪
shada,沙达
medeiros,梅德罗斯
stephon,斯蒂芬
marbury,马布里
kring,克林
miklós,罗饶
rózsa,米克罗斯
buchwald,巴克沃德
gaylord,盖洛德
adelson,阿德尔森
fodor,福多
goldwater,高华德
vinatieri,维纳蒂耶里
tedder,泰德
keyon,基恩
dooling,杜林
schroder,斯克路德
hartnett,哈奈特
storke,斯托克
shankman,夏克曼
ratner,拉特纳
yasser,亚西尔
seirawan,塞拉万
dava,戴瓦
sobel,梭贝尔
red,阿诺
knorr,诺尔
slayton,斯雷顿
mitropoulos,米特罗普洛斯
stackhouse,斯塔克豪斯
pollak,波拉克
malamud,马拉默德
chevrolet,雪佛兰
kirstein,柯尔斯坦
tobian,托比恩
goleman,高尔曼
imahara,今原
kroc,克罗克
chakiris,查金思
sculley,斯卡利
abhijit,阿巴希
banerjee,巴纳吉
grazer,基沙
widmark,威德马克
scobee,斯科比
audie,奥迪
hamlisch,哈姆利奇
d'onofrio,诺费奥
loyd,劳埃德
gervin,格温
doc,多克
antawn,安托万
berenson,贝伦森
rikaart,里卡特
civiletti,希维勒提
hersholt,赫肖尔特
fama,法马
akaka,阿卡卡
pitirim,皮特林
sorokin,索罗金
whitford,惠特福德
muskie,马斯基
shareef,谢里夫
abdurrahim,阿布杜拉希姆
desha,德沙
peña,潘纳
valens,瓦伦斯
pass,帕斯
thorndike,桑代克
seligman,赛里格曼
abian,阿比安
songz,颂
tambor,塔伯
maxime,马克西姆
bôcher,博谢
raekwon,瑞空
beasley,比斯利
loo,卢
weathers,韦瑟斯
kaine,凯恩
bogosian,博高森
berkowitz,伯科维茨
gandolfini,甘多费尼
ignarro,伊格纳罗
wilber,威尔柏
olyphant,奥利芬特
gein,盖恩
sarnoff,沙诺夫
catton,卡顿
mcquarrie,迈考利
fine,法因
gravel,格拉韦尔
powers,鲍尔斯
macht,马赫特
shemar,薛马
weller,韦勒
holonyak,何伦亚克
pelli,佩里
ponzi,庞兹
delonte,德隆蒂
reddick,雷迪克
rapaport,拉帕波特
manker,曼科尔
abshire,艾布夏尔
yvon,伊冯
chouinard,乔伊纳德
ranan,芮南
lurie,劳瑞
breckin,布莱克金
payton,佩顿
serra,塞拉
haldan,霍尔登
keffer,凯弗
hartline,哈特兰
greengard,格林加德
beery,勃利
treat,崔特
sr,施瓦茨科夫
ahmet,艾哈迈德
ertegun,艾特根
dimas,迪马斯
couture,寇楚
mahershala,马赫夏拉
shel,谢尔
silverstein,希尔弗斯坦
lipset,利普塞特
loggia,劳吉亚
delillo,德里罗
woese,乌斯
camby,坎比
laffoon,拉冯
adolph,阿道夫
zukor,朱克
salazar,萨拉查
fillion,菲利安
tveit,特维特
condon,坎登
laine,莱恩
autry,奥崔
kittinger,基廷格
such,萨奇
mayfield,梅菲尔德
wentz,温兹
picker,皮克
levy,利维
keenen,基伦
wayans,韦恩斯
hoeffding,霍夫丁
serge,谢尔盖
koussevitzky,库塞维兹基
filsaimé,菲尔斯埃米
sturges,司图加
kenyon,凯尼恩
doolittle,都利特
arenas,阿里纳斯
huckle,哈克尔
abner,阿伯纳
zwillman,茨威尔曼
doubleday,道布尔迪
lupe,卢佩
fiasco,菲亚斯科
gilroy,格莱
barbour,巴勃
vandegrift,范德格里夫特
xander,山德
peak,皮克
ochs,奥克斯
sulzberger,苏兹伯格
lax,彼得
balanchine,巴兰奇
guth,古斯
muniz,莫尼兹
giorgi,格奥尔基
latso,拉察比泽
kip,基普
omarion,奥马里恩
isadore,艾沙道尔
snuka,史奴卡
dyke,戴克
ving,文
rhames,雷姆斯
strathairn,史崔森
adolf,阿道夫
grünbaum,格伦鲍姆
ribicoff,鲁比科夫
kloves,克罗夫斯
schwantner,施万特纳
cantalupo,坎塔卢波
dano,达诺
sasso,萨索
smokey,史摩基
adu,阿杜
coolio,库里奥
stivers,斯蒂夫斯
winkler,温克勒
erskine,厄斯金
ameche,阿米契
schurman,舒尔曼
poldek,波德克
pfefferberg,费佛伯格
hays,海斯
cowles,考尔斯
perrineau,佩里纽
rubio,鲁比欧
nathanael,纳撒尼尔
trucks,塔克斯
gallo,加洛
cy,赛
vilsack,维尔萨克
barthelme,巴塞尔姆
sternberg,史坦伯格
kyl,凯尔
ermey,艾尔米
blaine,布莱恩
strom,斯特罗姆
thurmond,瑟蒙德
shelby,谢尔比
katsulas,凯特苏拉斯
bernthal,柏恩瑟
henryk,亨里克
iwaniec,伊万尼克
englund,英格兰
alda,艾达
boozer,布泽尔
dickerson,迪克森
luján,卢扬
burleson,伯利森
abas,阿巴斯
ormandy,奥曼迪
voorhis,沃里斯
masursky,马瑟斯基
magdoff,马格多夫
mickelson,米克森
szell,乔治
catfish,凯特费许
lindelof,林道夫
stack,斯塔克
ziggler,锡格勒
apatow,阿帕托
donny,唐尼
osmond,奥斯蒙
russert,拉瑟特
hotz,霍兹
boal,鲍尔
kingdom,金德姆
zandt,赞特
rutledge,拉特利奇
bullseye,靶眼
grigory,格列戈里
kucinich,库西尼奇
jeffree,杰弗里
star,斯塔尔
worthy,沃西
pyfrom,帕夫拉姆
stills,史提尔斯
lucey,鲁西
lamborn,兰博恩
spock,斯波克
wuerl,维尔
thaler,塞勒
hickock,希柯克
sun,桑
ra,拉
lugar,卢加尔
gresham,葛瑞罕
mcgraw,麦克罗
brest,布莱斯特
cayce,凯西
tyreke,泰瑞克
dermot,德蒙特
mulroney,莫罗尼
coyote,柯尤特
lampley,兰普利
schuyler,斯凯勒
colfax,科尔法克斯
mcferrin,麦克菲林
boston,波士顿
bernardo,贝尔纳多
gálvez,加尔维斯
cherundolo,切伦多洛
chevy,切维
dinklage,丁拉基
langella,朗基拿
lefschetz,莱夫谢茨
andrus,安德勒斯
dourdan,杜尔登
degrasse,德葛拉司
amiri,阿米里
baraka,巴拉卡
sommers,桑莫斯
aless,亚历山德里尼
reyna,雷纳
armand,阿莫德
geertz,纪尔兹
mourning,莫宁
avakian,阿瓦基安
adeline,阿德琳
tremaine,特里梅因
pettitte,派提特
spellman,斯佩尔曼
fredric,弗雷德里克
krauss,克劳丝
hannum,汉纳姆
camilla,卡蜜拉
cibrian,希布莱恩
nuno,努诺
bettencourt,贝登科特
garret,加勒特
cesar,塞萨尔
chavez,查韦斯
dantley,丹特利
abell,埃布尔
altgeld,阿尔特吉尔德
henschel,韩素尔
saïd,萨伊德
taghmaoui,塔格马奥
ilman,伊尔曼
stans,斯坦斯
taissa,泰莎
meinel,迈内尔
spud,斯普德
fosbury,福斯贝里
plantinga,普兰丁格
straub,史超伯
gordy,高迪
druker,德鲁克尔
brands,布兰兹
venter,凡特
davy,大卫
crockett,克洛科特
ekman,艾克曼
doggett,多格特
rusty,拉塞尔
schweickart,施威卡特
anthuan,安图安
maybank,梅班克
race,雷斯
imboden,英博登
adelstein,阿德尔施泰因
rove,罗夫
lithgow,利思戈
vandross,范德鲁斯
kiyosaki,清崎
hannes,汉内斯
kolehmainen,科莱赫迈宁
heiden,海登
connally,康纳利
spiner,斯派尔
oz,欧兹
louganis,洛加尼斯
longstreet,隆史崔特
lachey,拉奇
krumholtz,克伦荷茨
kroeber,克罗伯
stamos,斯塔莫斯
ventura,温图拉
ditko,迪特科
rehnquist,伦奎斯特
neeme,尼姆
järvi,耶尔维
boxleitner,巴克林纳
balthazar,巴萨扎
schrader,许瑞德
takano,高野
wicker,威克
shea,谢伊
léon,莱昂
brillouin,布里渊
seger,席格
blank,布兰克
shinseki,新关
hopfield,霍普菲尔德
matsui,松井
coffin,科芬
dietzen,迪岑
heder,海德
stingray,斯丁格蕾
rafinesque,拉菲内克施马尔茨
tyrese,泰瑞斯
rundgren,朗德格伦
piatigorsky,皮亚季戈尔斯基
antal,多拉蒂
doráti,安塔尔
octave,奥克塔夫
levenspiel,列文斯比尔
horry,霍里
fossett,福塞特
oswalt,奥斯瓦尔特
schwab,施瓦布
engle,恩格
harbour,哈伯
lamo,拉莫
mokeski,莫科斯基
akin,埃金
asher,阿什
durand,杜兰德
hogenson,霍根森
darin,达林
waltz,沃尔兹
mcdivitt,麦克迪维特
spurlock,史柏路克
rosenbaum,罗森巴姆
haden,海登
napoleon,拿破仑
petty,佩蒂
blakey,布雷奇
kinney,肯尼
slywotzky,史莱渥斯基
keuchel,凯戈
armie,艾米
fogler,富勒
badgley,巴奇利
kohlberg,柯尔伯格
lehane,勒翰
joakim,乔金
reshevsky,雷谢夫斯基
tamina,塔米娜
honda,本田
eads,伊兹
urie,乌里
caitlyn,凯特琳
eliel,埃列尔
henriksen,亨利克森
kirkman,柯克曼
boo,波
weekley,威克利
mccandless,麦肯迪尼斯
petersen,彼德森
feingold,芬格尔德
throckmorton,思罗克莫顿
dubs,杜布斯
rader,雷德
wailes,韦尔斯
ratzenberger,拉岑贝格尔
masterson,马斯特森
roosa,罗萨
jaume,赞美
colletserra,哥勒施拉
akiva,阿奇瓦
goldsman,高斯曼
busey,布希
gernsback,根斯巴克
josé,何塞
ferrer,费勒
lansky,兰斯基
pinkerton,平克顿
laurinaitis,劳伦奈提斯
crist,克里斯特
burwell,伯韦尔
hoeven,霍文
cotesworth,科茨沃斯
pinckney,平克尼
leder,莱德
adham,阿德汗
pirsig,波西格
bezos,贝索斯
silva,席尔瓦
trevino,特维诺
gehrels,赫雷尔斯
erle,厄尔
badalamenti,贝德拉曼提
eugenides,尤金尼德斯
brautigan,布罗提根
breasted,布雷斯特德
thurgood,瑟古德
lópezalegría,洛佩斯阿莱格里亚
adoniram,阿多奈拉姆
zaid,扎伊德
abdulaziz,阿卜杜勒阿齐兹
bache,贝奇
vernor,弗诺
vinge,文奇
gehrig,贾里格
bedford,贝德福德
basden,巴斯登
elgin,埃尔金
baylor,贝勒
lachapelle,拉切贝尔
torrio,托里奥
tex,泰克斯
manfredini,曼佛瑞迪尼
korver,科沃尔
rami,雷米
malek,马利克
chambliss,钱布里斯
dos,多斯
passos,帕索斯
fiorello,菲奥雷洛
guardia,拉瓜迪亚
ridgway,里奇韦
brodeur,布罗德
denisof,德尼索夫
cliburn,克莱本
cussler,卡斯勒
florida,佛罗里达
fiore,菲奥雷
armistead,亚米斯德
maupin,莫平
jackée,杰凯
cotton,科顿
romualdo,罗穆阿尔多
pacheco,帕切科
thach,萨奇
polley,波利
levar,勒化
heckman,赫克曼
millan,米兰
basilone,巴西隆
ramone,雷蒙
docter,多克特
ocean,奥申
lanter,兰特尔
siloti,席洛悌
allyn,埃林
balter,巴尔特
kenney,肯尼
bourdain,波登
fabiano,法比亚诺
cafferty,卡弗蒂
tuttle,塔特尔
theobald,西奥博尔德
alfarouq,艾尔法鲁克
aminu,阿米努
saverin,萨维林
apostol,阿波斯托
arman,阿尔曼
hollins,霍林斯
frederik,弗雷德里克
pohl,波尔
holder,霍尔德
cousy,库锡
chaney,钱尼
lagat,拉加特
silas,塞拉斯
grevers,格雷弗斯
yogi,尤吉
struve,斯特鲁维
szigeti,约瑟夫
sedaka,萨达卡
rangel,兰格尔
linde,林德
zoellick,佐利克
lemond,莱蒙德
chew,丘
eliphalet,伊莱佛利
remington,雷明登
krist,克里斯特
novoselic,诺弗赛立克
mapplethorpe,梅普尔索普
imran,伊姆兰
pettit,佩蒂特
modano,莫达诺
fields,菲尔兹
vida,维达
warshaw,华沙
auer,奥尔
pigg,皮格
duflo,杜芙若
tiffeny,蒂弗妮
milbrett,米尔布雷特
kraenzlein,克伦茨莱因
marsters,马斯特斯
cannavale,坎纳瓦尔
brunson,布朗森
bechdel,贝克德尔
vechten,韦克滕
mayne,梅恩
schneier,施奈尔
krakauer,克拉库尔
dickey,迪基
chapelle,夏佩尔
inouye,井上
schlafly,施拉夫利
enders,恩德斯
castelnuovotedesco,卡斯泰尔诺沃泰代斯科
attila,凯赖斯泰什
keresztes,奥蒂洛
schatz,沙茨
casella,凯塞拉
corby,科尔比
tinashe,蒂娜雪
brendon,布伦登
fernando,费尔南多
hickenlooper,希肯卢珀
bernays,伯内斯
tennyson,谭尼森
swingle,施永高
onischuk,奥尼丘克
durbin,德宾
krasinski,卡拉辛斯基
whitmore,惠特莫尔
hardwick,哈德维克
hager,史威格
kosuth,科苏斯
krzyzewski,沙舍夫斯基
martínez,马丁内斯
monteux,蒙特
farmar,法玛尔
leiber,莱伯
borzage,鲍沙其
abelson,埃布尔森
rusk,腊斯克
wolcott,沃尔特
bobcat,鲍勃凯特
goldthwait,戈德斯韦特
kern,科恩
rutherfurd,拉瑟弗德
koresh,考雷什
ellsberg,艾尔斯伯格
meneses,梅芮赛丝
crumb,克朗姆
hagan,黑根
sandeno,桑德诺
arena,艾云拿
olcott,奥尔科特
buttons,毕顿
albom,艾尔邦
aziz,阿兹
stebbins,斯特宾斯
rochelle,萝谢尔
erdrich,厄德里奇
vallejo,瓦莱约
fosse,福斯
pastrana,帕斯特拉纳
dekker,德克
steamboat,斯廷博特
drinfeld,德林费尔德
quillen,奎伦
loggins,罗根斯
roxana,罗克萨娜
zal,扎尔
gettier,葛梯尔
chita,奇塔
sybil,西比尔
peabo,皮波
voevodsky,弗沃特斯基
loewy,洛威
maia,马娅
shibutani,涩谷
bloomer,布卢默
lyman,莱曼
timm,蒂姆
lehrer,莱勒
moskovitz,莫斯科维茨
milt,米特
jines,姬妮斯
mildrette,米尔德丽特
netter,内特
struble,斯特鲁布尔
bailes,贝尔斯
beilinson,贝林森
markkula,马库拉
gooden,古登
hutch,哈契
senge,圣吉
hersh,赫什
jeannie,珍妮
shor,秀尔
sokal,索卡尔
halmos,哈尔莫斯
glimm,格利姆
reber,雷伯
meloni,米洛尼
enzi,恩齐
tavi,妲薇
gevinson,盖文森
carlette,卡莉特
guidrywhite,吉德里怀特
alfredo,艾法度
morales,摩拉利斯
demong,德蒙
postman,波兹曼
dillard,迪拉德
davi,戴维
fort,福特
melania,梅拉尼娅
morningstar,莫宁斯塔
boitano,博伊塔诺
bannon,班农
holl,霍尔
berfield,贝菲尔德
moreau,莫罗
scooter,路易斯
sharpton,夏普顿
lipchitz,利普希茨
packard,普克德
kurtzman,寇兹曼
osborne,奥斯本
naber,内伯
poyntonhill,波因顿希尔
cormier,寇米耶
everman,艾弗曼
schmandtbesserat,施曼特贝塞拉特
dewolf,德沃尔夫
wechsler,韦克斯勒
demuth,德穆斯
byrnes,伯恩斯
niles,尼尔斯
eldredge,艾崔奇
suzie,苏齐
mcconnellserio,麦康奈尔塞里奥
cuse,库斯
devane,迪凡
damiano,达米亚诺
siebel,西贝尔
newsom,纽森
grove,葛洛夫
daschle,达施勒
corzine,科尔津
hoechlin,霍奇林
gillars,吉拉斯
liubomyr,卢博米尔
huzar,胡萨尔
levering,勒维宁
rowbury,罗伯里
holum,霍勒姆
lyon,莱恩
reichardt,莱卡特
zatonskih,扎通斯基
furtsch,弗奇
nachtwey,纳赫特韦
cristal,克里斯塔尔
schirripa,许瑞帕
schumer,舒默
unkrich,安克里奇
sandel,桑德尔
aleksa,雅莉莎
palladino,帕拉狄诺
reutter,罗伊特
rossen,罗森
breckenridge,布雷肯里奇
nion,尼恩
tocker,塔克
ortega,奥特加
lamychappuis,拉米沙皮伊
foudy,福迪
cammie,卡米
rhett,雷特
ebersole,埃伯索尔
maxie,马克西
orrin,奥林
hatch,哈奇
hanssen,汉森
leda,勒达
cosmides,科斯米德斯
badge,贝吉
jadakiss,贾达基斯
laettner,莱特纳
downey,唐尼
zariski,扎里斯基
spanier,斯潘尼尔
swin,斯温
chando,香度
polo,波洛
adamski,亚当斯基
smolin,斯莫林
overbeck,奥弗贝克
ames,艾姆斯
mable,玛布尔
fergerson,弗格森
leutze,洛伊茨
rothman,罗思曼
hagel,哈格尔
samoa,萨摩亚
heineman,海纳曼
monta,蒙塔
chip,奇普
woronov,沃伦诺夫
maude,莫德
casimir,卡齐米日
pulaski,普瓦斯基
halberstam,霍伯斯坦
welliver,威利弗
letourneau,勒图尔诺
sherrod,谢罗德
maryclaire,玛莉克莱尔
sumners,萨姆纳斯
ruthie,露茜
weatherspoon,韦瑟斯庞
vito,维托
acconci,阿肯锡
bakken,巴肯
cappie,卡皮
pondexter,庞德克斯特
debi,黛比
nettie,内蒂
vonetta,沃内塔
scurry,斯柯里
jiles,吉尔斯
rafer,拉斐尔
bandler,班德勒
musnicki,马斯尼基
mabrey,马布里
millikan,密立根
zucker,萨克
benko,本科
shope,肖普
claressa,克劳瑞莎
