陈定,チンサダ
喜灵洲,キレイシュウ
金钟,キムカネ
大良街道,ダイラカイドウ
辽河油田,リョウカワユデン
北京市地铁运营有限公司,ペキンシチテツウンエイ
北京人民艺术剧院,ペキンジンミンゲイジュツゲキイン
成都体育学院,セイトタイイクガクイン
成贵客运专线,シゲルキリョカクセンヨウセン
中国女子排球超级联赛,チュウゴクバレーボールリーグ
源深体育中心,シャンハイホトウミナモトフカシタイイクジョウ
北京现代汽车,ペキンゲンダイ
北京金融街,ペキンキンユウガイ
屯马线,タムロバセン
辽东学院,リャオトンガクイン
东湖樱花园,トウコサクラハナゾノ
广佛地铁,ヒロフツチカテツ
关闸,ボーダーゲート
圣老楞佐堂,ヒジリローレンスキョウカイ
北岳庙,キタダケビョウ
金龙联合汽车,キムリュウキャクシャ
上海共青国家森林公园,シャンハイドモアオシンリンコウエン
建国忠灵庙,ケンコクチュウレイビョウ
香港超级联赛,ホンコンプレミアリーグ
龙擡头,リュウタイトウ
中国运载火箭技术研究院,チュウゴクウンノカセンギジュツケンキュウイン
中国空间技术研究院,チュウゴククウカンギジュツケンキュウイン
交通银行大楼,キュウコウツウギンコウビル
中国足球协会会员协会冠军联赛,チュウゴクサッカーキョウカイカイインキョウカイチャンピオンズリーグ
金陵协和神学院,キムリョウキョウワシンガクイン
中国科学社,チュウゴクカガクシャ
中国国家京剧院,チュウゴクコッカキョウゲキイン
春运,ハルウン
爱州,アイシュウ
中国飞龙专业航空,チュウゴクヒリュウセンギョウコウクウ
中国通信服务股份有限公司,チュウゴクツウシンフクム
建国门,ケンコクモン
塔院寺,トウインテラ
飞濑,トビセ
仁慈堂大楼,ジンジドウダイロウ
中华老字号,チュウカロウジゴウ
大慈恩寺,ダイジオンジ
中移铁通,チュウコクテツドオリ
副阶周匝,モカイ
中国嘉陵,ヨシミリョウコウギョウ
中船防务,ヒロフネコクサイ
宝能广州国际体育演艺中心,コウシュウコクサイタイイクエンゲイチュウシン
传祺,トランプチ
建设型蒸汽机车,チュウゴクコクテツケンセツガタジョウキキカンシャ
长沙国际金融中心,チョウイサゴコクサイキンユウチュウシン
贵广客运专线,タカヒロリョカクセンヨウセン
归元寺,キモトゼンテラ
青洲,アオシュウ
长昆客运专线,チョウコンリョカクセンヨウセン
开封耶稣圣心主教座堂,カイフウイエズスセイシンカテドラル
杭长客运专线,クイチョウリョカクセンヨウセン
法雨寺,ホウウテラ
北京地铁房山线,ペキンチカテツボウヤマセン
中国女性主义,チュウゴクニオケルフェミニズム
广州大剧院,コウシュウダイゲキイン
红烧肉,ベニヤキニク
凤凰山,ホウオウザン
中国疾病预防控制中心,チュウゴクシッペイアズカボウヒカエセイチュウシン
愤青,イキドオアオ
兰亭,ランテイ
常州地铁,ツネシュウチカテツ
净居寺,キヨシキョテラ
纸馅包子虚假新闻事件,ダンボールニクマン
抵制日货,ニッポンセイヒンフバイウンドウ
太和殿,フトカズドノ
玉泉山,タマイズミヤマ
香港珠海学院,タマウミガクイン
何尊,ナニミコト
熊猫金币,パンダキンカ
扬子大楼,キュウヨウコホケンビル
上海展览中心,シャンハイテンランセンター
天安基督教堂,テンアンドウ
香港经典杯,ホンコンクラシックカップ
中联重科,チュウレンジュウカ
清江,キヨエ
海南医学院,カイナンイガクイン
香港金杯,ホンコンゴールドカップ
香港国际赛事,ホンコンコクサイキョウソウ
小肥羊,ショウコエヒツジ
耶稣圣心主教座堂,シンヨウナンカンテンシュキョウドウ
福州船政局,フクシュウセンセイキョク
欢乐干线,カンラクカンセン
马料水,バリョウスイ
腌菜,アワサイ
乌溪沙,カラスケイイサゴ
友谊商店,ユウギショウテン
恒安国际,ツネヤスコクサイ
轩尼诗道,ノキアマシドウ
海康威视,ハイクビジョン
高街,コウマチ
上海公共交通卡,シャンハイコウキョウコウツウカード
济南府学文庙,スミミナミフガクブンビョウ
城巴,シティバス
福建省奥林匹克体育中心,フッケンショウオクリンヒキカツタイイクチュウシン
高旻寺,コウミンテラ
长城脚下的公社,チョウジョウコミューン
香港时间,ホンコンジカン
董事杯,ホンコンスチュワーズカップ
进出口界功能界别,ユシュツニュウギョウ
上海野生动物园,シャンハイヤセイドウブツエン
国家食品药品监督管理局,チュウカジンミンキョウワコクコッカショクヒンヤクヒンカントクカンリキョク
中车唐山机车车辆,チュウゴクチュウシャカラヤマキドウキャクシャ
大连中山广场近代建筑群,タイレンチュウザンヒロバキンダイケンチクグン
国山碑,フウゼンクニヤマヒ
中华人民共和国移动通讯产业,チュウゴクニオケルケイタイデンワ
青泥洼桥,アオドロクボキョウ
黑龙江朝鲜语广播,コクリュウコウチョウセンゴホウソウ
万福寺,マンプクジ
陈良宇事件,シャンハイシシャカイホケンキキンジケン
鲁迅美术学院,ロジンビジュツガクイン
中国共产党中央委员会对外联络部,チュウゴクキョウサントウチュウオウタイガイレンラクブ
中华人民共和国海关总署,チュウカジンミンキョウワコクウミセキソウショ
中华人民共和国民法通则,チュウカジンミンキョウワコクミンポウツウソク
孔府,アナフ
商周太阳神鸟金饰,タイヨウシントリキンパクカザリ
中国人民解放军陆军勤务学院,チュウゴクジンミンカイホウグンゴツトムコウテイガクイン
新华书店,シンハナショテン
上海华俄道胜银行大楼,キュウロシンギンコウシャンハイシテンビル
江南贡院,コウナンミツグイン
江苏省广播电视总台,チァンスーショウホウソウテレビソウキョク
葵青货柜码头,アオイアオコンテナターミナル
中电文思海辉,パクテラ
龙井虾仁,リュウイエビヒトシ
市民日报,シミンニッポウ
中国人民解放军驻澳门部队,ジンミンカイホウグンチュウマカオブタイ
香严寺,コウイムテラ
中国人民解放军总后勤部,チュウゴクジンミンカイホウグンソウゴツトムブ
中国人民解放军总装备部,チュウゴクジンミンカイホウグンソウソウビブ
中国人民解放军总政治部,チュウゴクジンミンカイホウグンソウセイジブ
北京日本人学校,ペキンニッポンジンガッコウ
山东航空学院,サントウコウクウガクイン
金威啤酒,キムタケシビール
横滨正金银行大楼,キュウヨコハマショウキンギンコウシャンハイシテンビル
沈阳音乐学院,シンヨウオンガクガクイン
地球物理气象局,マカオチキュウブツリキショウキョク
湖南省人民体育中心,コナンショウジンミンタイイクジョウ
西陵峡,セイリョウカイ
玉珠峰,タマタマホウ
湖南理工学院,コナンリコウガクイン
湖南工程学院,コナンコウテイガクイン
中华人民共和国无线电干扰,チュウゴクニオケルツウシンボウガイ
湖南人文科技学院,コナンジンブンカギガクイン
华菱钢铁,コナンハナヒシコウテツシュウダン
湖南文理学院,コナンブンリガクイン
龙门山断层,リュウモンザンダンソウ
北京地铁亦庄线,ペキンチカテツマタソウセン
新鸿基公司,サンフンカイ
中山陵音乐台,オンガクダイ
顺丰速运,ジュンユタカエクスプレス
罗湖外语学校,ラミズウミガイゴガッコウ
马会杯,ジョッキークラブカップ
佐敦,サアツシ
马会短途锦标,ジョッキークラブスプリント
上海译文出版社,シャンハイヤクブンシュッパンシャ
启德体育园,ケイトクタイイクエン
开元街道,ヒラクモトカイドウ
景山街道,カゲヤマカイドウ
西渡滩,ニシワタルナダ
香港内河码头,ホンコンウチカワターミナル
洛阳东都商厦火灾,ラクヨウクリスマスカサイ
观龙楼,カンリュウロウ
华南国家植物园,コクリツショクブツエン
黄石街道,コウセキカイドウ
黄花岗街道,キミカゲカイドウ
作家出版社,サッカシュッパンシャ
上海辞书出版社,シャンハイジショシュッパンシャ
襄州,ジョウシュウ
西南棋王赛,セイナンオウセン
渤海贞孝公主墓,サダコウコウシュボ
朔州,ツイタチシュウ
燕子矶,ツバメコイソ
莲峰体育中心,ハチスホウスポーツセンター
上海杉达学院,シャンハイスギタチガクイン
郑家大屋,テイカヤシキ
金融街,キンユウガイ
大连中山公园,ナカヤマコウエン
人民文学出版社,ジンミンブンガクシュッパンシャ
人民网,ジンミンモウ
南海郡,ナンガイグン
江南中街道,コウナンチュウカイドウ
中华人民共和国公安部部长,チュウカジンミンキョウワコクコウアンブチョウ
建国门事件,ケンコクモンジケン
松洲街道,マツシュウカイドウ
梅花村街道,バイカムラカイドウ
蓝田,アイダ
佑民寺,タスクミンテラ
中国农业科学院,チュウゴクノウギョウカガクイン
皇冠山,スメラギカンザン
越秀地产,コシシゲルチサン
乐视控股,ラクシグループ
景泰街道,ケイタイカイドウ
天津广播电视台,テンシンデンシダイ
英皇道,エイスメラギドウ
京士柏,キョウシカシワ
蓝塘海峡,ダイトウモン
登峰街道,トウホウカイドウ
白云街道,シラクモカイドウ
珠光街道,タマコウカイドウ
流花街道,ルカカイドウ
中华人民共和国劳动合同法,チュウカジンミンキョウワコクロウドウケイヤクホウ
中华人民共和国劳动法,チュウカジンミンキョウワコクロウドウホウ
独山,ドクサン
蒙古牛肉,モンゴリアンビーフ
新市街道,シンシガイドウ
田子坊,タツコボウ
上海电影,シャンハイエイガグループ
上海商学院,シャンハイショウガクイン
雷锋街道,カミナリホコサキカイドウ
公营住宅,コウエイジュウタク
太白山,タイハクサン
上海市平和双语学校,シャンハイシミンベンヘイワガッコウ
友和道通航空,トモカズミチドオリコウクウ
米线,ベイセン
沈阳工程学院,シンヨウコウテイガクイン
南京红山森林动物园,ベニヤマモリリンドウブツエン
建设街道,ケンセツカイドウ
北京街道,ペキンカイドウ
农林街道,ノウリンカイドウ
华乐街道,ハナラクカイドウ
国家重点学科,コッカジュウテンガッカ
南翔馒头店,ミナミショウマンジュウテン
中华人民共和国国防动员法,コクボウドウインホウ
留园,トメエン
山西菜,サンセイリョウリ
裸官,ハダカカン
暮云街道,ボウンカイドウ
小号手,トランペッター
真光女书院,シンコウオンナショイン
上海无轨电车,シャンハイトロリーバス
太子道,タイシドウ
济南无轨电车,スミミナミトロリーバス
光塔街道,ヒカリトウカイドウ
民工,ミンコウ
人民街道,ジンミンカイドウ
西塔街,ニシトウ
中央企业,チュウオウキギョウ
南山寺,ミナミヤマデラ
亚星客车,アゲシュウアボシ
湘南学院,ショウナンガクイン
南阳郡,ナンヨウグン
中华人民共和国物权法,チュウカジンミンキョウワコクブッケンホウ
同和街道,ドウワカイドウ
宁波工程学院,ヤスシナミコウテイガクイン
东湖公园,トウココウエン
沧州雄狮足球俱乐部,イシカソウエイショウアシダマクラブ
东山街道,ヒガシヤマカイドウ
北京地铁燕房线,ペキンチカテツツバメボウセン
港青基信书院,ミナトアオモトシンショイン
海天中转大楼,スカイピア
京溪街道,キョウケイカイドウ
中国人民武装警察部队雪豹突击队,ユキヒョウトツゲキタイ
抢夺罪,ヒッタクリ
港湾数字,コウワンスウジ
元和郡县志,ゲンナグンケンココロザシ
有道,アリミチ
乔家大院,タカシカダイイン
青田石,アオタセキ
卧龙寺,ガリョウテラ
巫峡,ミコカイ
上海市青浦监狱,シャンハイアオウラケイムショ
铜车马,ドウシャバ
青岛滨海学院,チンタオハマウミガクイン
宣城郡,センジョウグン
濠州,ホリシュウ
狼孟县,オオカミタケシケン
云台山,クモダイヤマ
西明寺,サイミョウジ
长安铃木,ナガヤススズキ
幕府山,バクフヤマ
笼州,カゴシュウ
端州,ハジシュウ
圆洲角,エンシュウカク
通北县,ツウキタケン
宪州,ケンシュウ
屯州,タムロシュウ
元朗平原,モトロウヘイゲン
惠州,メグミシュウ
章武郡,アキラタケグン
离山县,ハナレヤマケン
广西人民出版社,ヒロセジンミンシュッパンシャ
廓州,クルワシュウ
博格达山,ボゴダサン
新城郡,シンジョウグン
新野郡,シンノグン
昆明世界园艺博览园,コンアキラセカイエンゲイハクランエン
新巴郡,シントモエグン
船政学堂,フネセイガクドウ
女皇银禧纪念杯,クイーンズシルヴァージュビリーカップ
渣打银行大厦,スタンダードチャータードギンコウビル
左江,ヒダリコウ
国家体育总局,コッカタイイクソウキョク
国家中医药管理局,コッカチュウイヤクカンリキョク
国家国防科技工业局,コッカコクボウカギコウギョウキョク
国家海洋局,コッカカイヨウキョク
睦州,ムツミシュウ
中国科学院水生生物研究所,ブカンスイセイセイブツケンキュウジョ
武汉体育学院,ブカンタイイクガクイン
武汉长江大桥,ブカンチョウコウオオハシ
武汉音乐学院,ブカンオンガクガクイン
雅州,ミヤビシュウ
雷州,イカツチシュウ
潮州,ウシオシュウ
澄城郡,キヨシグスクグン
重庆市人民大礼堂,ジンミンタイレイドウ
放鹤亭,ホウツルテイ
中华人民共和国国防部部长,チュウカジンミンキョウワコクコクボウブブチョウ
戎州,エビスシュウ
振州,フシュウ
仁州,ヒトシシュウ
晋原郡,ススムハラノグン
魏州,ギシュウ
鹿回头,シカカイアタマコウエン
高阳郡,コウヨウグン
高凉郡,コウスズカグン
桂州,カツラシュウ
高平郡,タカヒラグン
高唐州,コウトウシュウ
弘州,ヒロシュウ
甘肃人民出版社,カンセイジンミンシュッパンシャ
盐州,シオシュウ
电子工业出版社,デンシコウギョウシュッパンシャ
留县,トメケン
班氏县,ハンシケン
略阳郡,リャクヒグン
侯马盟书,ホウウマメイショ
晋康郡,ススムヤスシグン
芝州,シバシュウ
荣宝斋,サカエタカラヒトシ
芳州,ヨシシュウ
顺圣县,ジュンキヨシケン
青龙寺,セイリュウジ
面的,メンテキ
汉中郡,カンチュウグン
则天庙,ノリテンビョウ
清昭陵,アキラリョウ
西山会议,ニシヤマカイギハ
双流体育中心,ソウリュウタイイクチュウシン
进贤县,ススムカシコケン
罗县,ラケン
顿丘郡,トミオカグン
美原县,ミハラケン
洋州,ヨウシュウ
洛达庙遗址,ラクタチビョウイセキ
洺州,メイシュウ
洪化县,ヒロシカケン
万泉县,バンイズミケン
洪济桥,ヒロシスミキョウ
剧阳县,ゲキヒケン
勤州,ツトムシュウ
北京航空航天大学出版社,ペキンコウクウコウテンダイガクシュッパンシャ
龙州,リュウシュウ
兰陵郡,ランリョウグン
华中科技大学出版社,カチュウカギダイガクシュッパンシャ
海上世界,カイジョウセカイ
深州,フカシュウ
济南外国语学校,スミミナミガイコクゴガッコウ
上禅堂,ウエゼンドウ
落马洲花园,ラクバシュウコウエン
虔州,ケンシュウ
蒙州,コウムシュウ
蒲州,カバノシュウ
蓬州,ヨモギシュウ
永平郡,ナガタイラグン
殷州,インシュウ
江南机器制造总局,コウナンキキセイゾウソウキョク
武英殿,タケヒデドノ
黄州,キシュウ
黎州,ハジムシュウ
蒙古语族群,モンゴルケイミンゾク
海山县,ウミヤマケン
海之韵公园,ウミノインコウエン
原州,ハラノシュウ
台州,ウテナシュウ
上海东方汇理银行大楼,キュウインドシナギンコウシャンハイシテンビル
广仁王庙,ヒロニオウビョウ
诸县,ショケン
译林出版社,ワケリンシュッパンシャ
江汉道,コウカンドウ
泉州县,センシュウケン
中国人民解放军国防大学军事文化学院,チュウゴクジンミンカイホウグンコクボウダイガクグンジブンカガクイン
商州,ショウシュウ
同州,ドウシュウ
海平县,ウミタイラケン
海州,ウミシュウ
上海人民公园,ジンミンコウエン
上封寺,ウエフウテラ
上海国际礼拜堂,シャンハイコクサイレイハイドウ
梁水郡,ヤナスイグン
梓州,アズサシュウ
梅地亚中心,ペキンメディアセンター
横州,ヨコシュウ
襄城郡,ジョウグスクグン
东来顺,ヒガシライジュン
万利,タイケイ
云南陆军讲武堂,ウンナンリクグンコウタケドウ
恩光堂,オンコウドウ
中国围棋棋王战,キオウセン
壁州,カベシュウ
中流砥柱,チュウリュウトギバシラ
长沙航空职业技术学院,チョウイサゴコウクウショクギョウギジュツガクイン
上海街,シャンハイガイ
中国戏曲学院,チュウゴクギキョクガクイン
中国国家铁道试验中心,チュウゴクコッカテツドウシケンチュウシン
中日经济高层对话,ニチチュウケイザイハイレベルタイワ
中日关于全面推进战略互惠关系的联合声明,センリャクテキゴケイカンケイ
南京传媒学院,ミナミキョウデンナカダチガクイン
中国人民解放军上将,ウエススム
中华人民共和国人事部,チュウカジンミンキョウワコクジンジブ
中华人民共和国军事,チュウカジンミンキョウワコクブソウリキリョウ
中华人民共和国信息产业部,チュウカジンミンキョウワコクジョウホウサンギョウブ
中国少年儿童出版社,チュウゴクショウネンジドウシュッパンシャ
中国菜,チュウカリョウリ
中华人民共和国劳动和社会保障部,チュウカジンミンキョウワコクロウドウシャカイホショウブ
李克强政府,リカツキョウナイカク
中华人民共和国刑法,チュウカジンミンキョウワコクケイホウ
中华人民共和国农牧渔业部,チュウカジンミンキョウワコクノウマキギョギョウブ
龙星战,リュウボシセン
中国铁道科学研究院,チュウゴクテツドウカガクケンキュウイン
宁浦郡,ヤスシウラグン
中国电建,チュウゴクデンリョクケンセツ
国家会展中心,コッカカイテンチュウシン
仁寿寺,ジンコトブキテラ
中国电影股份,チュウゴクデンカゲ
中央大街,チュウオウダイガイ
中央门街道,チュウオウモンカイドウ
丰州,ユタカシュウ
乐坪街道,ラクツボカイドウ
乐安江,ラクヤスカワ
中华人民共和国外交部驻香港特别行政区特派员公署,ガイコウブチュウホンコントクハインオオヤケショ
丹州,ニシュウ
人民出版社,ジンミンシュッパンシャ
京信通信,キョウシンツウシン
会子,カイコ
义安郡,ヨシヤスグン
人民教育出版社,ジンミンキョウイクシュッパンシャ
乌尤寺,カラスユウテラ
云门山大觉禅寺,ウンカドジ
南昆客运专线,ミナミコンリョカクセンヨウセン
修水,オサムスイ
仙霞古道,センカスミフルミチ
丽水学院,レイスイガクイン
介州,カイシュウ
兴化禅寺,キョウカゼンテラ
保安州,ホアンシュウ
云居山,クモイヤマ
净业寺,キヨシギョウテラ
净土寺,ジョウドジ
兰州轨道交通,アララギシュウキドウコウツウ
凤凰街道,ホウオウカイドウ
关东局,カントウキョク
交通传习所,コウツウデンシュウショ
克拉玛依油田,カラマイユデン
关口街道,セキグチカイドウ
刘台子遗址,リュウダイスイセキ
关门山,カンモンヤマ
化城寺,カシロテラ
兴国禅寺,コウコクジ
北京语言大学出版社,ペキンゴゲンダイガクシュッパンシャ
北京服装学院,ペキンフクソウガクイン
刘少奇故居,リュウショウキコキョ
前门大街,ゼンモンダイガイ
兴工街道,キョウコウカイドウ
华亭寺,ハナテイテラ
华侨路街道,カキョウロカイドウ
北京大学出版社,ペキンダイガクシュッパンシャ
北京地下直径线,ペキンチカチョッケイセン
兴隆街道,コウリュウカイドウ
华清宫遗址,ハナキヨシミヤ
内人党事件,ウチモンゴルジンミンカクメイトウシュクセイジケン
南州,ミナミシュウ
北京铁路西北环线,ペキンホクセイカンジョウセン
北京铁路管理学校,ペキンテツドウカンリガッコウ
华东师范大学出版社,ハナヒガシシハンダイガクシュッパンシャ
历经铺街道,レキケイシキカイドウ
台湾银行大楼,タイワンギンコウシャンハイシテンビル
劳动公园,ロウドウコウエン
吴郡,クレグン
南苑街道,ミナミエンカイドウ
同德街道,ドウトクカイドウ
南苑航空学校,ミナミエンコウクウガッコウ
北戴河办公制度,ペイタイホウカイギ
南台寺,ミナミダイテラ
吉林动画学院,キツリンドウガガクイン
南通文庙,ミナミミチフミビョウ
南宋御街,ミナミソウゴマチ
南宁轨道交通,ミナミヤスシキドウコウツウ
南安郡,ミナミヤスグン
双桂堂,ソウカツラドウ
地藏寺,ジゾウジ
后母戊鼎,キサキハハツチノエカナエ
嘉兴圣母显灵堂,ヨシミオキテンシュキョウドウ
周河遗址,シュウカワイセキ
坊州,ボウシュウ
大小洞天,ダイショウホラテン
古琴台,コキンダイ
哈尔滨音乐广播,ハルビンオンガクホウソウ
哈尔滨经济广播,ハルビンケイザイホウソウ
哈尔滨文艺广播,ハルビンブンゲイホウソウ
哈尔滨交通广播,ハルビンコウツウホウソウ
哈尔滨新闻广播,ハルビンシンブンホウソウ
回龙山,カイタツヤマ
外滩信号台,キショウシンゴウダイ
外语教学与研究出版社,ガイゴキョウガクアズカケンキュウシュッパンシャ
圆明讲堂,エンメイコウドウ
国际骑师锦标赛,インターナショナルジョッキーズチャンピオンシップ
国家奥林匹克体育中心,コッカオリンピックスポーツセンター
中华人民共和国国家新闻出版广电总局,コッカシンブンシュッパンヒロデンソウキョク
复旦大学附属中山医院,シャンハイチュウザンイイン
唐蕃会盟碑,トウシゲルカイメイヒ
大托铺街道,ダイタクシキカイドウ
滨海快速,テンシンハマカイカイソクハッテン
太原地铁,フトゲンチカテツ
太原郡,フトハラノグン
大北电报公司大楼,キュウオオギタデンポウコウシビル
大沙河水库,カイヘイクジャクミズウミコクリツシッチコウエン
城际直通车,シロギワチョクツウシャ
圣玛利亚女中,キヨシマリアジョシチュウガク
圣爱堂,ヒジリアイドウ
大科街道,ダイカカイドウ
大栗子街道,ダイクリゴカイドウ
大仁县,オオヒトケン
大东街道,ダイトウカイドウ
孙志刚事件,マゴココロザシツヨシジケン
大同观音堂,カンノンドウ
大同关帝庙,セキテイビョウ
天津金城银行大楼,テンシンキンジョウギンコウダイロウ
天瑞仪器,コウソタカシミズギキ
太原府文庙,フトハラノフブンビョウ
太原县文庙,ススムゲンブンビョウ
太原圣母无染原罪主教座堂,フトゲンセイボムゲンザイダイセイドウ
大连职业技术学院,タイレンショクギョウギジュツガクイン
太平山,タイヘイザン
天童寺,テンドウテラ
天门山寺,テンモンヤマデラ
奉仙观,タテマツセンカン
大辛庄遗址,ダイカラシショウイセキ
天台寺,テンダイジ
孤峰山,コミネヤマ
弘福寺,ヒロフクテラ
天水郡,テンスイグン
小汤山医院,コヨウザンイイン
宁海路街道,ヤスシカイロカイドウ
天津人民出版社,テンシンジンミンシュッパンシャ
始州,ハジメシュウ
妙果寺,ミョウハテテラ
天府穴,テンフアナ
安德鲁饼店,ケンズパス
始安郡,ハジメヤスグン
安国寺,アンコクジ
宜都郡,ムベミヤコグン
平复帖,ヘイフクジョウ
常州县文庙,ツネシュウケンブンビョウ
常平关帝庙,セキテイビョウ
平遥文庙,タイラハルカブンビョウ
平阳郡,タイラヨウグン
平越府,タイラエツフ
广仁寺,ヒロジンテラ
宣平县,センタイラケン
延庆寺,ノベケイジ
宝塔桥街道,ホウトウキョウカイドウ
岩泉街道,イワイズミカイドウ
少林寺传奇,ショウリンジデンキ
富宁花园,フーニンガーデン
幕府山街道,バクフヤマカイドウ
康州,ヤスシシュウ
密印寺,ミツシルシテラ
广教寺,ヒロキョウテラ
中国人民解放军南部战区总医院,コウシュウソウゴウビョウイン
广宗寺,ヒロムネテラ
峡州,カイシュウ
莲花净土实胜寺,ジツカチテラ
宝通寺,タカラトオルテラ
雪峰崇圣寺,タカシキヨシテラ
延庆州,ノベケイシュウ
崇福寺,タカシフクテラ
崇善寺,タカシゼンテラ
山东女子学院,サントウジョシガクイン
山东交通学院,サントウコウツウガクイン
徐州地铁,ジョシュウチカテツ
嵩阳书院,カサミヨウショイン
川沙县,カワイサゴケン
广西师范大学出版社,ヒロセシハンダイガクシュッパンシャ
庐山云雾茶,イオリヤマウンム
建宁路街道,タテヤスシロカイドウ
开福寺,ヒラキフクテラ
开明书店,カイメイショテン
岚州,アラシシュウ
广州起义烈士陵园,コウシュウオコシギレツシリョウエン
径山寺,キンザンジ
敦煌雅丹国家地质公园,トンコウヤルダンコッカチシツコウエン
巫州,ミコシュウ
铁路管理传习所,ペキンテツドウカンリデンシュウショ
徐达墓,ジョイタルハカ
呼张客运专线,コチョウリョカクセンヨウセン
护国法轮寺,ゴコクホウリンジ
文殊院,モンジュイン
文星街道,ブンボシカイドウ
新生事件,シンセイジケン
新京报,シンキョウホウ
文州,ブンシュウ
恩城街道,オンジョウカイドウ
明教寺,アキラキョウテラ
报国寺,ホウコクテラ
春州,ハルシュウ
山西残留日本军队,チュウゴクサンセイショウニッポングンザンリュウモンダイ
晋江龙山寺,タツヤマテラ
显通寺,アラワドオリテラ
惠同廊桥,メグミドウロウキョウ
普通高等学校,フツウコウトウガッコウ
新街堂,シンマチドウ
方山定林寺,テイリンテラ
方广寺,ホウコウジ
旅顺支线,リョジュンシセン
旅顺军港公园,リョジュングンコウコウエン
惠州学院,メグミシュウガクイン
愚公移山,グオオヤケヤマヲウツス
怀州,フトコロシュウ
怀化学院,フトコロカガクイン
成绵乐客运专线,ナルメンラクリョカクセンヨウセン
新大屿山巴士堕崖事故,シンランタオトウバステンラクジコ
慧济禅寺,トシスミテラ
慧居寺,トシキョテラ
李白墓,リハクハカ
李文忠墓,リフミタダハカ
日驻华大使座车国旗被抢事件,チュウゴクタイシコウヨウシャシュウゲキジケン
昂曲,ノボルキョク
昌化县,アキラカケン
昌江,マサエ
桂林市基督教堂,カツラリンシキリストキョウドウ
林虑山,ハヤシオモンバカヤマ
朗州,ロウシュウ
机场快线穿梭巴士,キジョウカイセンシャトルバス
橘子洲,タチバナコシュウ
橘子洲大桥,タチバナコシュウオオハシ
朱家尖街道,シュカトガカイドウ
民政总署,ミンセイソウショ
正定县文庙,セイテイケンブンビョウ
东堤湾畔,ヒガシツツミワンホトリ
东莞郡,ヒガシフトイグン
东角道,ヒガシカクドウ
武侯祠,ナンヨウブコウホコラ
梅村街道,ウメムラカイドウ
格林邮船大楼,キュウグレンラインビル
江天禅寺,キンザンジ
永平街道,エイヒラカイドウ
格非堂,エイコウドウ
武灵丛台,タケレイクサムラダイ
历阳郡,レキヒグン
殊像寺,コトゾウテラ
河北唐山外国语学校,カホクカラヤマガイコクゴガッコウ
河北教育出版社,カワキタキョウイクシュッパンシャ
毛公鼎,モウコウカナエ
江苏人民出版社,コウソジンミンシュッパンシャ
江浦县,エノウラケン
鸣沙山,ナイサゴヤマ
江心寺,コウココロテラ
江心洲街道,コウココロシュウカイドウ
河东郡,カトウグン
江东街道,コウトウカイドウ
海宝塔寺,カイホウトウデラ
江苏路基督教堂,チァンスーロキリストキョウドウ
京津城际延伸线,ツハマトシカンテツドウ
洣水,ベイスイ
海隆软件,シャンハイハイロンソフトウェア
江阴文庙,コウインブンビョウ
洗象池,アライゾウチ
洗石庵,アライセキアン
鸭绿江断桥,カモミドリコウダンキョウ
黑龙江乡村广播,コクリュウコウゴウムラホウソウ
黑龙江交通广播,コクリュウコウコウツウホウソウ
麓山寺,フモトヤマデラ
麦加利银行大楼,キュウチャータードギンコウシャンハイシテンビル
龙兴寺,リュウキョウテラ
龙鼓水道,リュウコスイドウ
洛阳轨道交通,ラクヨウキドウコウツウ
洪椿坪,ヒロシツバキツボ
洪德,ヒロシトク
洪州,ヒロシシュウ
沙逊大厦,キュウサッスーンハウス
涌泉寺,ユウイズミデラ
涟滨街道,サザナミハマカイドウ
黄兴墓,キキョウボ
鹫峰禅寺,ワシホウゼンテラ
张学良旧居,チョウシソチフ
鹳雀楼,コウノトリカササギロウ
济源大明寺,ダイミョウジ
黄材水库,キザイミズコ
沙洲街道,イサゴシュウカイドウ
浙江音乐学院,セッコウオンガクガクイン
浦东县,ホトウケン
浏阳文庙,リュウヒブンビョウ
清凉寺,セイリョウジ
凤州,オオトリシュウ
龙泉寺,リュウセンジ
朝鲜语系,チョウセンゴゾク
渤海中京城遗址,チュウキョウケントクフ
延边广播电视台,ノベアタリテレビジョンホウソウ
龟山,カメヤマ
曾国藩故居,ソコクハンコキョ
中国知识基础设施工程,チュウゴクチモウ
网龙网络,ネットドラゴンウェブソフト
大陆委员会香港办事处,チュウホンコンタイペイケイザイブンカベンゴトショ
石家庄地铁,イシカソウチカテツ
涟水,サザナミスイ
民族出版社,ミンゾクシュッパンシャ
火天,ヒテン
日本驻沈阳总领事馆闯馆事件,シンヨウソウリョウジカンキタチョウセンジンボウメイシャカケコミジケン
浙江树人学院,セッコウジュジンダイガク
湖南美术出版社,コナンビジュツシュッパンシャ
永川体育中心,エイカワタイイクチュウシン
济宁道,スミヤスシドウ
熊州,クマシュウ
桂花陈酒,カツラハナチンサケ
日月山,ニチツキヤマ
松江省,マツエショウ
广州,コウシュウ
昌州,アキラシュウ
东风能迪,コチノウススムキシャ
巴州,トモエシュウ
暗剑无人机,クラケン
重庆文革墓群,ブンカクハカグン
晋州,ススムシュウ
炮击天安门案,モウタクトウアンサツインボウジケン
合江省,ゴウエショウ
上海钻石交易所,シャンハイダイヤモンドトリヒキショ
