セッシュウ,셋슈,sesshuu,sessyu
オノレ,하루미,onore,harumi
カツエイ,가쓰에이,katsuei,gasseuei
カツアキ,가쓰아키,katsuaki,gasseuaki
カザミ,가자미,kazami,gajami
アカツキツキ,아카츠키,akatsukitsuki,akaceuki
オイズミ,오이즈미,oizumi,oijeumi
ワタリマサル,와타리,watarimasaru,watari
ウメイ,우메이,umei,umei
オギワラ,오기하라,ogiwara,ogihara
ヤマギワ,야마기와,yamagiwa,yamagiwa
ヒカリジョウ,고조,hikarijou,gojo
セアラ,세아라,seara,seara
トリタニ,도리타니,toritani,doritani
ワタシヤ,와타시야,watashiya,watasiya
カヲル,카오루,kaworu,kaoru
スウコウ,무네타카,suukou,munetaka
カゼト,카자토,kazeto,kajato
マレアキラ,히초리,mareakira,hicori
シュウタカシ,지카무네,shuutakashi,jikamune
カミジョウ,가미조,kamijou,gamijo
ヒアガリ,아키라,hiagari,akira
トラロウ,도라오,torarou,dorao
カズナリ,가즈나리,kazunari,gajeunari
カンカズ,간,kankazu,gan
ハン,가즈노리,han,gajeunori
イシヅ,이시즈,ishidzu,isijeu
シンコ,마고,shinko,mago
サカキスグル,사카키,sakakisuguru,sakaki
カンザキ,간자키,kanzaki,ganjaki
キモリ,기모리,kimori,gimori
キノヒロシ,노리히로,kinohiroshi,norihiro
サイワイタダシ,고세이,saiwaitadashi,gosei
タケトミ,다케토미,taketomi,daketomi
セラヤスシカイ,고스케,serayasushikai,goseuke
オカマサル,오카,okamasaru,oka
ヒロシタダシ,히로키,hiroshitadashi,hiroki
ヨシコウワ,히로카즈,yoshikouwa,hirokajeu
アキラタカシ,아키타카,akiratakashi,akitaka
シオジリ,시오지리,shiojiri,siojiri
ヤマイ,야마이,yamai,yamai
ソウハジメ,무네모토,souhajime,munemoto
ナンショク,단쇼쿠,nanshoku,dansyoku
ディーノ,디노,dīno,dino
ハレタカシ,하루무네,haretakashi,harumune
ヒトシムネ,나리무네,hitoshimune,narimune
ヒトシクニ,나리쿠니,hitoshikuni,narikuni
モリヨウ,모리,moriyou,mori
ヨシスグル,요시히데,yoshisuguru,yosihide
ヒロヒデ,히로히데,hirohide,hirohide
ミヤワキ,미야와키,miyawaki,miyawaki
シオン,시온,shion,sion
ヒロシヤ,고야,hiroshiya,goya
ヒラダケ,히라,hiradake,hira
アラシヒロミ,히로미,arashihiromi,hiromi
トシジロウ,도시지로,toshijirou,dosijiro
タニノ,다니노,tanino,danino
アンセイ,야스마사,ansei,yaseumasa
アカバ,아카바,akaba,akaba
メイドウ,묘도,meidou,myodo
クンヒロ,구니히로,kunhiro,gunihiro
インナギ,나기,innagi,nagi
スミケン,스미,sumiken,seumi
チョクモト,나오모토,chokumoto,naomoto
ハラアヤコ,레이코,haraayako,reiko
シオノタニハヤ,시오노야,shionotanihaya,sionoya
ブモトサカエ,기에,bumotosakae,gie
オオシタ,오시타,ooshita,osita
ヒロシツブセ,히로타쿠,hiroshitsubuse,hirotaku
タメダ,다메다,tameda,dameda
ヨコウ,세코,yokou,seko
ヒロナル,히로시게,hironaru,hirosige
ケイサトル,게이고,keisatoru,geigo
オオビキ,오비키,oobiki,obiki
ケイキ,게이키,keiki,geiki
メケイコ,케이코,mekeiko,keiko
ニチナン,히나미,nichinan,hinami
スサキ,스자키,susaki,seujaki
コセ,오제,kose,oje
ネヅ,네즈,nedzu,nejeu
ヒカリサムライ,코지,hikarisamurai,koji
タニハジメ,다니모토,tanihajime,danimoto
ケイアキラ,게이스케,keiakira,geiseuke
モトツナ,모토쓰나,mototsuna,motosseuna
ナガフサ,나가후사,nagafusa,nagahusa
ヒカリヤスシ,미쓰야스,hikariyasushi,misseuyaseu
ヨアキラ,료스케,yoakira,ryoseuke
ミヤノリジンシンノウ,스케히토,miyanorijinshinnou,seukehito
ムロゾノ,무로조노,murozono,murojono
タケヒロシ,타케히로,takehiroshi,takehiro
ヒジリヨウ,세이요,hijiriyou,seiyo
コミナミヨシ,코나미,kominamiyoshi,konami
タツミユウ,타츠미,tatsumiyuu,taceumi
ハナイタダキ,가초노미야,hanaitadaki,gaconomiya
ミヤヒロシチュウオウ,히로타다,miyahiroshichuuou,hirotada
コウリキ,고리키,kouriki,goriki
ヨルロウ,야로,yorurou,yaro
ハカ,하카세,haka,hakase
セラタロウ,타로,seratarou,taro
カンアツシ,야스코와,kanatsushi,yaseukowa
ヨカオル,요시카,yokaoru,yosika
テラサネノリ,사네쓰네,terasanenori,sanesseune
オオウラ,오우라,ooura,oura
カネタケ,가네타케,kanetake,ganetake
センケン,아사미,senken,asami
トシハル,토시하루,toshiharu,tosiharu
スガモト,스가모토,sugamoto,seugamoto
トモヨナシ,치요리,tomoyonashi,ciyori
イケイ,이케이도,ikei,ikeido
トジュン,준,tojun,jun
タダトキ,다다토키,tadatoki,dadatoki
ダイケン,다이,daiken,dai
トオルタロウ,쿄타로,toorutarou,kyotaro
ユイトウト,유키,yuitouto,yuki
ギブ,기부,gibu,gibu
セキド,세키도,sekido,sekido
ワカミヤ,와카미야,wakamiya,wakamiya
ヨシイロドリ,미사,yoshiirodori,misa
イズル,이즈루,izuru,ijeuru
エイタロウ,에이타로,eitarou,eitaro
エイフトシ,에이타,eifutoshi,eita
テラサキ,테라사키,terasaki,terasaki
タケジ,다케지,takeji,dakeji
キタル,기타루,kitaru,gitaru
ヨタダシ,요시나오,yotadashi,yosinao
カツヂ,카츠지,katsudji,kaceuji
ウモウ,하케타,umou,haketa
タタケシ,타케후미,tatakeshi,takehumi
カゼミガク,후마,kazemigaku,huma
ジツテル,사네테루,jitsuteru,saneteru
ジツコウ,사네타카,jitsukou,sanetaka
ヒサトミ,히사토미,hisatomi,hisatomi
ケンタイラ,겐페이,kentaira,genpei
ホソイ,호소이,hosoi,hosoi
ワタルサト,미사토,watarusato,misato
タルスケ,타루스케,tarusuke,taruseuke
ダイトナリ,오토나리,daitonari,otonari
チュウマ,주만,chuuma,juman
カノエ,가나에,kanoe,ganae
ナオハル,나오지,naoharu,naoji
アラホリ,아라보리,arahori,arabori
ツツミケン,쓰쓰미,tsutsumiken,sseusseumi
ワキタ,와키타,wakita,wakita
ハザマツトム,쓰토무,hazamatsutomu,sseutomu
チュウカン,나카마,chuukan,nakama
アツシフトシ,준타,atsushifutoshi,junta
イワナガ,이와나가,iwanaga,iwanaga
ツキノ,츠키노,tsukino,ceukino
タダシアキラ,사다아키,tadashiakira,sadaaki
カモン,카몬,kamon,kamon
アサリナ,마리나,asarina,marina
タイツキ,주리,taitsuki,juri
サオリサイ,리오나,saorisai,riona
ナイミシャ,미사,naimisha,misa
サトシヒ,지사키,satoshihi,jisaki
コハ,고바,koha,goba
ユウヨシミ,유카,yuuyoshimi,yuka
トクモト,토쿠모토,tokumoto,tokumoto
タダヨリ,다다마사,tadayori,dadamasa
タダミツ,다다미쓰,tadamitsu,dadamisseu
フユツキ,후유츠키,fuyutsuki,huyuceuki
カンスグル,야스히데,kansuguru,yaseuhide
アナイ,아나이,anai,anai
ニシウチ,니시우치,nishiuchi,nisiuci
ゲンミズ,겐즈이,genmizu,genjeui
シナシ,시나하마,shinashi,sinahama
ハマサエビ,사에미,hamasaebi,saemi
ユウアイ,유아,yuuai,yua
キスミエ,스미에,kisumie,seumie
エモリ,에모리,emori,emori
キタヤマ,키타야마,kitayama,kitayama
タシンヤ,신야,tashinya,sinya
ジョウメグミ,죠,joumegumi,jyo
アヤノゾミ,유이리,ayanozomi,yuiri
キダイ,타카히로,kidai,takahiro
ホッピー,홋피,hoppī,hospi
ホリケン,호리,horiken,hori
セキケン,세키,sekiken,seki
イズミケン,이즈미,izumiken,ijeumi
ニ,탄탄,ni,tantan
ユウアオイ,유키,yuuaoi,yuki
キダ,기다,kida,gida
スケノ,스케노,sukeno,seukeno
ホリモト,호리모토,horimoto,horimoto
クマノ,구마노,kumano,gumano
テルミツ,데루미쓰,terumitsu,derumisseu
メアリージュン,메리준,mearījun,merijun
シラタニ,시라타니,shiratani,siratani
マサエ,마사에,masae,masae
クチセイアキラ,마사아키,kuchiseiakira,masaaki
ジョウミヤビ,조,joumiyabi,jo
ミヤバン,미야사카,miyaban,miyasaka
バンオサム,사카,banosamu,saka
イシワタ,이시와타,ishiwata,isiwata
シャコ,이에코,shako,ieko
コマダ,고마다,komada,gomada
トクヒロ,노리히로,tokuhiro,norihiro
コウソン,미쓰타카,kouson,misseutaka
バンフトシ,만타,banfutoshi,manta
タカドノ,타카도노,takadono,takadono
ウミシゲル,미나리,umishigeru,minari
フジシン,후지마,fujishin,hujima
ユイガ,유이가,yuiga,yuiga
プリッツ,프리츠,purittsu,peuriceu
マヒ,마토부,mahi,matobu
ヒジリユウ,히지리,hijiriyuu,hijiri
シオリサト,시오리,shiorisato,siori
ダンオサム,단,danosamu,dan
エト,에토,eto,eto
マリアヤ,마리아,mariaya,maria
クラナリ,구라나리,kuranari,guranari
タキグチ,타키구치,takiguchi,takiguci
ミラ,미라,mira,mira
カワショウダイ,마사히로,kawashoudai,masahiro
セイヨウ,마사히로,seiyou,masahiro
ツネタイラ,고헤이,tsunetaira,gohei
タコウヘイ,고헤이,takouhei,gohei
アツタイラ,고헤이,atsutaira,gohei
ハルヒトシ,이치조,haruhitoshi,icijo
オウヒナオコ,나오코,ouhinaoko,naoko
ナシタ,나시다,nashita,nasida
ハナワタモツ,하나와,hanawatamotsu,hanawa
コビ,후루오야,kobi,huruoya
タケヤマ,지쿠잔,takeyama,jikujan
トベ,도베,tobe,dobe
ヒロユウ,고스케,hiroyuu,goseuke
オバナ,오바나,obana,obana
ヨシサワ,요시자와,yoshisawa,yosijawa
カシン,이에노부,kashin,ienobu
テッペイ,쓰치야,teppei,sseuciya
エミコ,에미코,emiko,emiko
オイゴ,마사루코,oigo,masaruko
イケミズ,이케미즈,ikemizu,ikemijeu
チュウセイ,다다키요,chuusei,dadakiyo
ゴンドウ,곤도,gondou,gondo
イエモト,이에모토,iemoto,iemoto
キッペイ,킷페이,kippei,kispei
タオ,다오,tao,dao
イエキヨシ,이에키요,iekiyoshi,iekiyo
ミヤハルニオウ,스미히토,miyaharuniou,seumihito
ミヤアイジンシンノウ,나루히토,miyaaijinshinnou,naruhito
タカ,타카,taka,taka
カヨウ,가야,kayou,gaya
ミヤヒサシケンオウ,쓰네노리,miyahisashikenou,sseunenori
ミヤクニケンオウ,구니노리,miyakunikenou,guninori
ミヤヒロシケイシンノウ,히로쓰네,miyahiroshikeishinnou,hirosseune
ミヤホウカシンノウ,구니이에,miyahoukashinnou,guniie
ソウアツシ,무네아쓰,souatsushi,muneasseu
ミヤヒロアツシンノウ,히로아쓰,miyahiroatsushinnou,hiroasseu
ハギュウ,하기우다,hagyuu,hagiuda
オキミヤビ,오키,okimiyabi,oki
オウヒノブコナイシンノウ,왕비,ouhinobukonaishinnou,wangbi
リシ,도시코,rishi,dosiko
ヤマシナ,야마시나,yamashina,yamasina
ミヤタケヒコオウ,다케히코,miyatakehikoou,dakehiko
ゲキダン,게키단,gekidan,gekidan
ヒトリ,히토리,hitori,hitori
ケンヂ,겐지,kendji,genji
ココロ,에이신,kokoro,eisin
ヤスユキススム,다이노신,yasuyukisusumu,dainosin
クニリツ,코쿠류,kuniritsu,kokuryu
ニッポン,히노모토,nippon,hinomoto
オニゴ,오니코,onigo,oniko
カワタケヒコ,다케히코,kawatakehiko,dakehiko
マサツネ,마사쓰네,masatsune,masasseune
セイモト,마사모토,seimoto,masamoto
ケイウラ,가게우라,keiura,gageura
キワコ,키와코,kiwako,kiwako
アメノモリ,아메노모리,amenomori,amenomori
ホウシュウ,호슈,houshuu,hosyu
ライオネス,라이오네스,raionesu,raioneseu
ヒロシシ,고지,hiroshishi,goji
ガコウジ,고지,gakouji,goji
マンコトブキジロウ,마스지로,mankotobukijirou,maseujiro
イエタダシ,이에타다,ietadashi,ietada
タダフミ,다다후미,tadafumi,dadahumi
ホリサカエ,호리,horisakae,hori
アンサイ,안사이,ansai,ansai
デンシンワレ,신고,denshinware,singo
ムカイマコト,무카이,mukaimakoto,mukai
タカシヒロ,다카히로,takashihiro,dakahiro
カナオ,카나오,kanao,kanao
トミシゲル,도미나리,tomishigeru,dominari
センゴク,센고쿠,sengoku,sengoku
レン,렌,ren,ren
シンシュク,노부토키,shinshuku,nobutoki
シンイサオ,노부쓰네,shinisao,nobusseune
ノコトブキ,노리나가,nokotobuki,norinaga
エンサキ,소노자키,ensaki,sonojaki
ミメグミ,미에,mimegumi,mie
リラ,리라,rira,rira
オダカ,오다카,odaka,odaka
ユウソノ,아리조노,yuusono,arijono
ヒロシキチ,고키치,hiroshikichi,gokici
ヒロジロウ,고지로,hirojirou,gojiro
シンフク,노부나오,shinfuku,nobunao
アキラオヤ,요시노리,akiraoya,yosinori
ロクザン,로쿠잔,rokuzan,rokujan
ノジマ,노지마,nojima,nojima
ヒラデ,히라이데,hirade,hiraide
セキハラ,세키하라,sekihara,sekihara
リョウカワ,료가,ryoukawa,ryoga
ヨシハマ,요시하마,yoshihama,yosihama
リョウツカサ,료지,ryoutsukasa,ryoji
チョクヨリユキ,나오요리,chokuyoriyuki,naoyori
アスケ,아스케,asuke,aseuke
ハヤサカ,하야사카,hayasaka,hayasaka
オコシコ,유키코,okoshiko,yukiko
リライ,리쿠,rirai,riku
シゲユキ,시게유키,shigeyuki,sigeyuki
ハヤオ,하야오,hayao,hayao
ヒサシマ,히사지마,hisashima,hisajima
テルマレ,데루키,terumare,deruki
フルハタ,후루하타,furuhata,huruhata
カワナベ,가와나베,kawanabe,gawanabe
ヨユウ,료스케,yoyuu,ryoseuke
トネ,도네,tone,done
ムネハル,무네하루,muneharu,muneharu
ヨシトモ,요시토모,yoshitomo,yositomo
ヨシチカ,요시치카,yoshichika,yosicika
ギタカシ,요시타카,gitakashi,yositaka
カベ,가베,kabe,gabe
ミラン,미란,miran,miran
セノオ,세노오,senoo,senoo
リュウタスク,류스케,ryuutasuku,ryuseuke
リュウスケ,류스케,ryuusuke,ryuseuke
ヤナギザキ,야나기자키,yanagizaki,yanagijaki
キムリュウ,긴류,kimuryuu,ginryu
ケンヒサシ,켄토,kenhisashi,kento
ヒロシヒサシ,히로나가,hiroshihisashi,hironaga
リョウフトシ,료타,ryoufutoshi,ryota
サチ,쇼,sachi,syo
リュウシ,류지,ryuushi,ryuji
ショウサトル,쇼고,shousatoru,syogo
サチワレ,쇼고,sachiware,syogo
コムカイ,코무카이,komukai,komukai
ナンポウ,미나카타,nanpou,minakata
クマグス,구마구스,kumagusu,gumaguseu
セキヒカリ,세키,sekihikari,seki
マツサチコ,사치코,matsusachiko,saciko
シュウツヨシ,슈고,shuutsuyoshi,syugo
トミ,토미,tomi,tomi
ノガキ,노가이토,nogaki,nogaito
ウチシュン,슌,uchishun,syun
タカシマモル,슌고,takashimamoru,syungo
ヨリモト,요리모토,yorimoto,yorimoto
ヨリユキイ,요리타카,yoriyukii,yoritaka
ヨリユキタカシ,요리타카,yoriyukitakashi,yoritaka
ヨリユキユウ,요리오,yoriyukiyuu,yorio
ブオウジョ,히메미코,buoujo,himemiko
トモヒト,도모히토,tomohito,domohito
ツギジュン,게이준,tsugijun,geijun
マンショウ,만쇼,manshou,mansyo
テイキョウ,사다야스,teikyou,sadayaseu
シラサキ,시라사키,shirasaki,sirasaki
シドモ,우지타카,shidomo,ujitaka
ヒデヒト,슈토,hidehito,syuto
ススムフトシ,쇼타,susumufutoshi,syota
ゴアキラ,고,goakira,go
イココロザシ,이시미네,ikokorozashi,isimine
ミネショウダイ,쇼타,mineshoudai,syota
アキラミガク,쇼마,akiramigaku,syoma
ショウミヤビ,쇼마,shoumiyabi,syoma
ヒジリシン,쇼마,hijirishin,syoma
イヌカイ,이누카이,inukai,inukai
トキヒサシ,도키오,tokihisashi,dokio
ミナミシゲル,미나미,minamishigeru,minami
サカキショウ,사카키,sakakishou,sakaki
テルミ,미쓰미,terumi,misseumi
メイケ,메이케,meike,meike
カワミツ,미쓰루,kawamitsu,misseuru
イサゴトモコ,사치코,isagotomoko,saciko
キクヤ,키쿠야,kikuya,kikuya
アキヤ,아키야,akiya,akiya
ナカトモ,나카,nakatomo,naka
カワナ,카와나,kawana,kawana
シゲオカ,시게오카,shigeoka,sigeoka
ダイアツシ,다이키,daiatsushi,daiki
フミタカ,후미타카,fumitaka,humitaka
カンマサル,야스카쓰,kanmasaru,yaseukasseu
ケンシオヒメ,키타시히메,kenshiohime,kitasihime
タダキヨ,다다키요,tadakiyo,dadakiyo
セツレイ,세쓰레이,setsurei,sesseurei
ミズエ,미즈에,mizue,mijeue
リュウケイ,류케이,ryuukei,ryukei
タトシユキ,도모유키,tatoshiyuki,domoyuki
タダヒデ,다다테루,tadahide,dadateru
タダハル,다다하루,tadaharu,dadaharu
ヒサエダ,히사에다,hisaeda,hisaeda
タニシゲル,다니시게,tanishigeru,danisige
モトノブ,모토노부,motonobu,motonobu
シンシゲル,지카시게,shinshigeru,jikasige
アカホリ,아카호리,akahori,akahori
モトユキ,모토유키,motoyuki,motoyuki
バンノ,사카노,banno,sakano
シンジツ,마미,shinjitsu,mami
カツナガ,가쓰나가,katsunaga,gasseunaga
ナオセイ,나오마사,naosei,naomasa
シンチョ,노부아키,shincho,nobuaki
シンアシ,지카타리,shinashi,jikatari
ノブヒサ,노부히사,nobuhisa,nobuhisa
ウケタマワジョ,쓰구미치,uketamawajo,sseugumici
ヤスシオヤ,야스치카,yasushioya,yaseucika
ウケタマワアキラ,쓰구아키라,uketamawaakira,sseuguakira
ウケタマワホ,쓰구야스,uketamawaho,sseuguyaseu
ゲンイ,겐이,geni,geni
ヒカリダカ,미쓰타카,hikaridaka,misseutaka
ゲンヒロシ,모토히로,genhiroshi,motohiro
ミナモトブン,모토후미,minamotobun,motohumi
オオヤケノ,기미노,ooyakeno,gimino
サクラコ,사쿠라코,sakurako,sakurako
カドマツ,카도마츠,kadomatsu,kadomaceu
ツネハネ,쓰네하,tsunehane,sseuneha
カワトシオ,도시로,kawatoshio,dosiro
キシン,도시노부,kishin,dosinobu
ユメノ,유메노,yumeno,yumeno
ハラタダオ,다다오,haratadao,dadao
シンナカ,신추,shinnaka,sincu
ヒデヒサ,히데히사,hidehisa,hidehisa
アミタ,오다,amita,oda
キセイ,다카마사,kisei,dakamasa
ササモト,사사모토,sasamoto,sasamoto
ムツミヒロシ,무쓰히로,mutsumihiroshi,musseuhiro
ムツミ,무쓰미,mutsumi,musseumi
スミコ,스미코,sumiko,seumiko
スミエ,스미에,sumie,seumie
アキフサ,아키후사,akifusa,akihusa
サヨリ,사요리,sayori,sayori
サツキ,사쓰키,satsuki,sasseuki
チョウダイ,나가시로,choudai,nagasiro
サトシノカイ,소노스케,satoshinokai,sonoseuke
ヒロモン,히로카도,hiromon,hirokado
ハタダ,하타다,hatada,hatada
ジュウジカ,시게나오,juujika,sigenao
ノセ,노세,nose,nose
オウサカ,오사카,ousaka,osaka
ユウキチ,유키,yuukichi,yuki
コデラ,고테라,kodera,gotera
ナガハタ,나가하타,nagahata,nagahata
キタイ,기타이,kitai,gitai
タスクキ,유키,tasukuki,yuki
セイラ,세이라,seira,seira
フジタダシ,후지,fujitadashi,huji
イナミ,이나미,inami,inami
モリヤスシ,모리,moriyasushi,mori
カセイ,이에마사,kasei,iemasa
フトトウト,다이키,futotouto,daiki
オスダニ,오시타니,osudani,ositani
オマレ,유키,omare,yuki
ナツメタスク,나쓰메,natsumetasuku,nasseume
ハツ,하지메,hatsu,hajime
ムネジ,노무라,muneji,nomura
タイミギ,다이스케,taimigi,daiseuke
ユウセイ,유세이,yuusei,yusei
ウメハチ,우메바치,umehachi,umebaci
キシュウ,다카히데,kishuu,dakahide
キチ,다카하루,kichi,dakaharu
ユウボシ,유세이,yuuboshi,yusei
マエサワ,마에자와,maesawa,maejawa
トモサク,유사쿠,tomosaku,yusaku
タカシヒロシ,다카히로,takashihiroshi,dakahiro
セイテン,다카노리,seiten,dakanori
シンカサ,니가사,shinkasa,nigasa
カジモト,가지모토,kajimoto,gajimoto
チョウヒロシ,나가히로,chouhiroshi,nagahiro
タダアツ,다다아쓰,tadaatsu,dadaasseu
ナガドミ,나가토미,nagadomi,nagatomi
シュウサトル,슈고,shuusatoru,syugo
ツルタモツ,쓰루호,tsurutamotsu,sseuruho
ウシノ,우시노하마,ushino,usinohama
オウギ,오기,ougi,ogi
コウサカリ,유키모리,kousakari,yukimori
タケサトシ,다케아키라,takesatoshi,dakeakira
トクマツ,도쿠마쓰,tokumatsu,dokumasseu
カツキヨシ,가쓰,katsukiyoshi,gasseu
ツナエダ,쓰나에다,tsunaeda,sseunaeda
ヨリユキジュン,요리즈미,yoriyukijun,yorijeumi
シマシゲル,시마,shimashigeru,sima
ジングウ,진구지,jinguu,jinguji
ツカサヤヨイ,야요이,tsukasayayoi,yayoi
ヒナタ,히나타,hinata,hinata
ヒロシラ,유라,hiroshira,yura
アミノ,아미노,amino,amino
イケノボウ,이케노보,ikenobou,ikenobo
ハタミヤ,하타미야,hatamiya,hatamiya
チョウサチ,나가아키,chousachi,nagaaki
セイハル,마사하루,seiharu,masaharu
シゲヒデ,시게히데,shigehide,sigehide
マモリシン,모리노부,mamorishin,morinobu
ユウタロウ,유타로,yuutarou,yutaro
キミヅカ,기미즈카,kimidzuka,gimijeuka
イワカミ,이와카미,iwakami,iwakami
フナツ,후나쓰,funatsu,hunasseu
モリカミ,모리,morikami,mori
カズノリ,가즈노리,kazunori,gajeunori
メイセイ,아키나리,meisei,akinari
ギャル,갸루,gyaru,gyaru
ソネ,소네,sone,sone
ナリカツ,나리카쓰,narikatsu,narikasseu
ツナノリ,쓰나노리,tsunanori,sseunanori
ネンジ,넨지,nenji,nenji
ハラサイ,하라,harasai,hara
ハルサダ,하루사다,harusada,harusada
ナリユキ,나리유키,nariyuki,nariyuki
ソウタダシ,무네나오,soutadashi,munenao
ツルマツ,쓰루마쓰,tsurumatsu,sseurumasseu
ヨコオ,요코오,yokoo,yokoo
コマタニ,고마타니,komatani,gomatani
ナンバラ,난바라,nanbara,nanbara
オリイ,오리이,orii,orii
ショウモエビ,도모미,shoumoebi,domomi
ミズサワ,미즈사와,mizusawa,mijeusawa
キクオカ,기쿠오카,kikuoka,gikuoka
タタクヤ,다쿠야,tatakuya,dakuya
ミガクヤ,다쿠야,migakuya,dakuya
カツベ,카츠베,katsube,kaceube
テンノベコウ,노부타카,tennobekou,nobutaka
クワノ,쿠와노,kuwano,kuwano
キヨモト,기요모토,kiyomoto,giyomoto
タクオノレ,다쿠미,takuonore,dakumi
ツブセシン,다쿠마,tsubuseshin,dakuma
タクミガク,다쿠마,takumigaku,dakuma
ミガクブン,다쿠미,migakubun,dakumi
ハカイ,요스케,hakai,yoseuke
シバミユキ,시바,shibamiyuki,siba
シロカン,시로마,shirokan,siroma
ハラナガシゲ,나가시게,haranagashige,nagasige
ハラタダザネ,다다자네,haratadazane,dadajane
ギカ,요시이에,gika,yosiie
サトシマナブ,지가쿠,satoshimanabu,jigaku
ハタケナカ,하타나카,hatakenaka,hatanaka
ヨリユキコトブキ,요리나가,yoriyukikotobuki,yorinaga
チュウオッシャ,다다스케,chuuossha,dadaseuke
ヨネヒコ,요네히코,yonehiko,yonehiko
ツカサヨウ,츠카사,tsukasayou,ceukasa
ジツシン,사네노부,jitsushin,sanenobu
ホタダチカ,다다치카,hotadachika,dadacika
マスタニ,마스타니,masutani,maseutani
シゲゾウ,주조,shigezou,jujo
キリモト,키리모토,kirimoto,kirimoto
ホリシゲル,호리,horishigeru,hori
ホチュウレイ,다다노리,hochuurei,dadanori
スケハル,스케토모,sukeharu,seuketomo
ホチュウアサ,다다토모,hochuuasa,dadatomo
ハルナガ,하루나가,harunaga,harunaga
シムネ,스케무네,shimune,seukemune
ウチリュウ,우치,uchiryuu,uci
テラタツヤ,다쓰야,teratatsuya,dasseuya
ケイコトブキ,요시히사,keikotobuki,yosihisa
エツダイ,요시히로,etsudai,yosihiro
タダシヒサ,요시히사,tadashihisa,yosihisa
ナガツカ,나쓰카,nagatsuka,nasseuka
セイイエ,마사이에,seiie,masaie
チョウコン,나가치카,choukon,nagacika
シュウムネ,히데무네,shuumune,hidemune
タニツ,야쓰,tanitsu,yasseu
キタサキ,키타자키,kitasaki,kitajaki
クサカリ,쿠사카리,kusakari,kusakari
タミヨ,타미요,tamiyo,tamiyo
ルリカ,루리카,rurika,rurika
キノエ,기가미,kinoe,gigami
マスジ,요시지,masuji,yosiji
ツバス,츠바스,tsubasu,ceubaseu
エンサチ,소노,ensachi,sono
タカサワ,다카자와,takasawa,dakajawa
カンニング,컨닝,kanningu,keonning
イタルオノレ,다쓰미,itaruonore,dasseumi
ムラオ,무라오,murao,murao
リュウヤ,다쓰야,ryuuya,dasseuya
カシワヨシミ,가시와,kashiwayoshimi,gasiwa
トリンドル,트린들,torindoru,teurindeul
サクタ,사쿠다,sakuta,sakuda
ユウツカサ,유지,yuutsukasa,yuji
ゲンミヤビ,하루마사,genmiyabi,harumasa
ナミキ,나미키,namiki,namiki
ユメサキ,유메사키,yumesaki,yumesaki
ネネ,네네,nene,nene
ソトキ,소토코바,sotoki,sotokoba
バヨシオ,요시로,bayoshio,yosiro
オオスミ,오스미,oosumi,oseumi
ケイテン,요시노리,keiten,yosinori
ジュンケイ,준케이,junkei,junkei
ハルミ,하루미,harumi,harumi
シゲマサ,시게마사,shigemasa,sigemasa
アンズビ,아즈미,anzubi,ajeumi
ウメゾノ,바이엔,umezono,baien
セイジョウ,마사노리,seijou,masanori
セイカン,마사카네,seikan,masakane
ヨネツ,요네키쓰,yonetsu,yonekisseu
セイリン,마사시게,seirin,masasige
セイイン,마사타다,seiin,masatada
マサナガ,마사나가,masanaga,masanaga
セイジュン,마사즈미,seijun,masajeumi
カツイタル,가쓰사토,katsuitaru,gasseusato
タネキョウ,다네유키,tanekyou,daneyuki
マコトタネ,도모타네,makototane,domotane
セイツネ,마사쓰네,seitsune,masasseune
ヒロシダイ,유다이,hiroshidai,yudai
リュウコ,다쓰코,ryuuko,dasseuko
テラハラ,데라하라,terahara,derahara
ミヤジ,미야지,miyaji,miyaji
ヒロシリ,히로미치,hiroshiri,hiromici
カモココロザシ,가모시다,kamokokorozashi,gamosida
ユウブ,이사무,yuubu,isamu
ユウフジ,아리토,yuufuji,arito
ミチヨ,미치요,michiyo,miciyo
エイタスク,에이스케,eitasuku,eiseuke
キミシマ,키미지마,kimishima,kimijima
イヌキ,이누키,inuki,inuki
イマナカ,이마나카,imanaka,imanaka
モリエ,모리,morie,mori
ナシケイ,에리카,nashikei,erika
サヤマ,사야마,sayama,sayama
トマシノ,도마시노,tomashino,domasino
ジツコレ,미유키,jitsukore,miyuki
ケイシ,가게스케,keishi,gageseuke
ホウタロウ,도요타로,houtarou,doyotaro
テンドウ,텐도,tendou,tendo
テンクウ,덴쿠,tenkuu,denku
ココロユウ,코코로,kokoroyuu,kokoro
ココロザシアサコ,시마코,kokorozashiasako,simako
ナガコレ,나가유키,nagakore,nagayuki
カツサキ,가쓰자키,katsusaki,gasseujaki
アネショウ,아네가코지,aneshou,anegakoji
ミチサダコ,사다코,michisadako,sadako
ブー,부,bū,bu
マゴヤスシ,손,magoyasushi,son
クラ,다이조,kura,daijo
キョウダ,쿄다,kyouda,kyoda
ナカツ,나카츠,nakatsu,nakaceu
ミヒサ,미쿠,mihisa,miku
ヨコノ,요코노,yokono,yokono
ジュンタカ,준키,juntaka,junki
リュウカミナリ,류,ryuukaminari,ryu
ハギヤ,하기야,hagiya,hagiya
トシサトル,케이고,toshisatoru,keigo
ハナキララ,키라라,hanakirara,kirara
メグミワ,요시카즈,megumiwa,yosikajeu
ワガマゴ,아비코,wagamago,abiko
コタケマル,다케마루,kotakemaru,dakemaru
ソラビ,쿠미,sorabi,kumi
