глюкоза,グリュコーザ,glyukoza
куличков,クーリッコフ,kulichkov
купцов,クプツォフ,kupcov
мороз,モロズ,moroz
носов,ノソフ,nosov
овсиенко,オビシェンコ,ovsienko
лядова,リャドワ,lyadova
кустарова,クスタロワ,kustarova
курашов,クラショフ,kurashov
ободзинский,オボジンスキー,obodzinskiy
лёвкин,レフキン,lyovkin
кутепова,クテポワ,kutepova
маршал,マーシャル,marshal
кухарешин,クカレシン,kuhareshin
равшана,ラヴシャナ,ravshana
куркова,クルコワ,kurkova
одинцов,オジンツォーフ,odincov
пиманов,ピマノフ,pimanov
марцевич,マルツェビッチ,marcevich
кучерена,クチェレナ,kucherena
окуневская,オクネフスカヤ,okunevskaya
пирогов,キリル,pirogov
альфредович,ピロゴフ,alfredovich
олешко,オレシコ,oleshko
мурзаев,ムルザエフ,murzaev
писаренко,ピサレンコ,pisarenko
дагун,ダグン,dagun
омаев,オマエフ,omaev
письменный,ピズメンニー,pismennyy
масленникова,マスレニコワ,maslennikova
фарид,ファリド,farid
мухаметшин,ムハメトシン,muhametshin
плахов,プラーホフ,plahov
муров,ムロフ,murov
муромов,ムロモフ,muromov
мазепин,マゼピン,mazepin
мазуркевич,マズルケビッチ,mazurkevich
маковецкий,マコヴェツキー,makoveckiy
маховиков,マホビコフ,mahovikov
агата,アガテ,agata
муцениеце,ムツェニエツェ,muceniece
плотников,プロトニコフ,plotnikov
машная,マッシュナヤ,mashnaya
повереннова,ポヴェレノヴァ,poverennova
погодін,オレグ,pogodin
георгійович,ポゴーディン,georgiyovich
ревва,リェブバ,revva
зенкова,ゼンコワ,zenkova
синицын,シニツィン,sinicyn
плетнёв,プレトニョフ,pletnyov
плетнёва,プレトニョワ,pletnyova
исхак,イシャク,ishak
машбаш,マッシュバッシュ,mashbash
регина,レジーナ,regina
мянник,ミアニク,myannik
погудин,ポーグディン,pogudin
репетур,レペトゥール,repetur
осин,オシン,osin
мельников,メルニコフ,melnikov
надеждин,ナジェージュジン,nadezhdin
надеждина,ナジェージュジナ,nadezhdina
назарьева,ナザレワ,nazareva
наздратенко,ナズドラチェンコ,nazdratenko
полежаев,ポレジャエフ,polezhaev
полеванов,ボレヴァノフ,polevanov
подкаминская,ポドカミンスカヤ,podkaminskaya
мень,メン,men
аронович,アロノヴィチ,aronovich
полиенко,ポリエンコ,polienko
половцев,ポロフチェフ,polovcev
полоз,ポロズ,poloz
полозков,ポロスコフ,polozkov
гела,ゲラ,gela
месхи,メスキー,meshi
месхиев,メスヒエフ,meshiev
меньшова,メニショワ,menshova
меняйло,メニャイロ,menyaylo
мельникова,メルニコワ,melnikova
рогожкина,ロゴジナ,rogozhkina
робак,ロバク,robak
кай,ケイ,kay
метов,メトフ,metov
меншагин,メンシャギン,menshagin
нахапетов,ナハペトフ,nahapetov
розанова,ロザノワ,rozanova
мизулина,ミズリナ,mizulina
миклушевский,ミクルシェフスキー,miklushevskiy
ройзман,ロイズマン,royzman
эрнст,エルヌスト,ernst
ромашин,ロマシン,romashin
полторанин,ポルトラーニン,poltoranin
ролдугин,ロルドゥーギン,roldugin
полынников,ポリニコフ,polynnikov
ева,エヴァ,eva
польна,ポルナ,polna
понаровская,ポナロフスカヤ,ponarovskaya
попков,ポプコフ,popkov
милюзина,ミリーザ,milyuzina
милкина,ミルキナ,milkina
мешков,メンシコフ,meshkov
немоляев,ネモリャエフ,nemolyaev
немухин,ネムーヒン,nemuhin
минаков,ミナコフ,minakov
парфенчиков,パルフェンチコフ,parfenchikov
низовой,ニゾボイ,nizovoy
паршин,パクシン,parshin
руденский,ルジェンスキー,rudenskiy
милонов,ミロノフ,milonov
рубцов,ルプツォフ,rubcov
рубцова,ルツォバ,rubcova
пенкин,ペンキン,penkin
рудковская,ルドコフスカヤ,rudkovskaya
рудная,ルドナヤ,rudnaya
пастернак,パステルナーク,pasternak
миркурбанов,ミルクルバノフ,mirkurbanov
мироненко,ミロネンコ,mironenko
паслер,パスラー,pasler
никитина,ニキティナ,nikitina
никищихина,ニキシチキナ,nikishchihina
митрофанов,ミトロファノフ,mitrofanov
потапенко,ポタペンコ,potapenko
перов,ペーロフショウサ,perov
пересильд,ペレシルド,peresild
рудова,ルドワ,rudova
русланова,ルスラノワ,ruslanova
русских,ルスキーフ,russkih
песков,ペスコフ,peskov
гелий,ゲリー,geliy
рябов,リャボフ,ryabov
руткевич,ルトケヴィチ,rutkevich
пресняков,プレスニヤコフ,presnyakov
преснякова,プレスニヤコワ,presnyakova
степанов,ステパノフ,stepanov
приёмыхов,プリヨミホフ,priyomyhov
проводников,プロボドニコフ,provodnikov
никонов,ニコノフ,nikonov
сегалович,セガロビッチ,segalovich
прокофьев,プロコフィエフ,prokofev
проценко,プロツェンコ,procenko
рябков,リャブコフ,ryabkov
спиваковский,スピヴァコフスキー,spivakovskiy
муза,ムザ,muza
ниязова,アレクセーエヴナ,niyazova
новак,ノヴァク,novak
старосельцев,スタセルツェフ,staroselcev
семакин,セマキン,semakin
спиридонов,スピリドノフ,spiridonov
стариков,スタリコフ,starikov
рябова,リャボワ,ryabova
прудникова,プルドニコワ,prudnikova
савельев,サヴェリエフ,savelev
торкунов,トルクノフ,torkunov
торсуев,トルスイェフ,torsuev
старшенбаум,スタルシェンバウム,starshenbaum
стас,スタス,stas
намин,ナミン,namin
лионелла,リオネラ,lionella
пырьева,プイリエワ,pyreva
печерникова,ペクレチコワ,pechernikova
стебунов,ステブノーフ,stebunov
сенчина,センチナ,senchina
торшин,トルシン,torshin
радаев,ラダーエフ,radaev
сергеева,セルゲヴァ,sergeeva
стеклов,ステクロフ,steklov
пушкарёв,プシカリョフ,pushkaryov
ангелина,アンジェリーナ,angelina
тоцкий,トーツキー,tockiy
сайкин,サイキン,saykin
разина,ラジーナ,razina
разлогов,ラズロゴフ,razlogov
салюков,サリュコフ,salyukov
райкина,ライキナ,raykina
салтыков,サルティコフ,saltykov
айдан,アイダン,aydan
салахова,サラホバ,salahova
стерникова,ステルニコワ,sternikova
троицкий,トロイツキー,troickiy
стефанович,ステファノヴィチ,stefanovich
стержаков,スターザコフ,sterzhakov
разбегаев,ラズベガエフ,razbegaev
сторожик,ストロジク,storozhik
урал,ウラル,ural
стржельчик,ストルジェリチク,strzhelchik
трубинер,トゥルビネア,trubiner
трубников,トルブニコフ,trubnikov
стрельников,ストレルニコフ,strelnikov
троянова,トロワノワ,troyanova
синдеева,シンデイェワ,sindeeva
стрелков,ストレルコフ,strelkov
марианна,マリアンナ,marianna
стриженова,ストリジェノワ,strizhenova
стручков,ストルチコフ,struchkov
сатановский,サタノフスキー,satanovskiy
ратников,ラトニコフ,ratnikov
маргарита,マルガリータ,margarita
симоньян,シモニャン,simonyan
санаева,サネイエワ,sanaeva
туровская,マイヤ,turovskaya
иосифовна,トウロフスカヤ,iosifovna
саульский,サウリスキー,saulskiy
ситников,シトニコフ,sitnikov
стругачёв,ストルガチョフ,strugachyov
тютин,トゥーチン,tyutin
файзулла,ファイズッラ,fayzulla
султанов,スルタノフ,sultanov
тяжлов,チャジロフ,tyazhlov
мэлор,メロル,melor
стуруа,ストゥルア,sturua
стычкин,スタヒキン,stychkin
сунгоркин,サンゴルキン,sungorkin
харитонова,ハリトーノワ,haritonova
харламов,ハラモフ,harlamov
хлебникова,クレブニコワ,hlebnikova
хлебородов,フレバロードフ,hleborodov
туркин,トゥルキンショウイ,turkin
хижа,ヒージャ,hizha
хилькевич,キルケビッチ,hilkevich
химичев,キミチェフ,himichev
бату,バツ,batu
хасиков,ハシコフ,hasikov
светов,スヴェトフ,svetov
сладковский,スラドコフスキー,sladkovskiy
сафонов,サフォンオーブ,safonov
ульянова,ウリヤノヴァ,ulyanova
суркова,スルコワ,surkova
сутулова,スチュワバ,sutulova
суханкина,スタンキナ,suhankina
суханов,スハーノフ,suhanov
слюсарёва,スリュサレワ,slyusaryova
сливников,スリヴニコフ,slivnikov
сурикова,スリコワ,surikova
бусаргин,ブサルギン,busargin
рогволд,ログヴォルド,rogvold
суховерко,スコヴェルコ,suhoverko
суходрев,スホドレフ,suhodrev
уральский,ウラルスキー,uralskiy
хубиев,フビエフ,hubiev
хоралов,ホラロフ,horalov
хорошавин,ホロシャーヴィン,horoshavin
сличенко,スリチェンコ,slichenko
табакова,タバコワ,tabakova
усатова,ウサトワ,usatova
устинова,ウスティノヴァ,ustinova
швецова,シュヴェツォヴァ,shvecova
усс,ウスス,uss
уткин,ウトキン,utkin
уфимцев,ウフィムツェフ,ufimcev
цапник,ツァプニック,capnik
урсуляк,ウルスリアック,ursulyak
шварцман,シュヴァルツマン,shvarcman
хучиев,フーチエフ,huchiev
тарабукин,タラブキン,tarabukin
цаликов,ツァリコフ,calikov
джахонгир,ジャニック,dzhahongir
файзиев,フェイジエフ,fayziev
смоленский,スモレンスキー,smolenskiy
шевченко,シェフチェンコ,shevchenko
татосов,タトソフ,tatosov
смоляков,スモイヤコフ,smolyakov
цурило,ツリーロ,curilo
авдотья,アヴドーチア,avdotya
целиковская,ツェリコフスカヤ,celikovskaya
фархутдинов,ファルフトジノフ,farhutdinov
ушаков,ウシャコフ,ushakov
фатеева,ファテワ,fateeva
чадов,チャドフ,chadov
совчи,ソフチ,sovchi
сморчков,スモルチコフ,smorchkov
снаткина,スナトキナ,snatkina
тараторкина,タラトキナ,taratorkina
чаптынов,チャプトィノフ,chaptynov
федорцов,フェルドソフ,fedorcov
цыганов,ツィガーノフ,cyganov
федотов,フェドートフ,fedotov
шиманская,シマンスカヤ,shimanskaya
федункив,フェドゥンキフ,fedunkiv
чеважевский,チェヴァゼフスキー,chevazhevskiy
теличкина,テリチキナ,telichkina
шитова,シトワ,shitova
темрезов,テムレゾフ,temrezov
аглая,アグラヤ,aglaya
шиловская,シロフスカヤ,shilovskaya
шило,シロ,shilo
ширвиндт,シルビント,shirvindt
ташков,タシュコフ,tashkov
терентьев,チェレンチエフ,terentev
чаплин,チャップリン,chaplin
шкловский,シュクロフスキー,shklovskiy
терлеева,テレエワ,terleeva
терёшина,テレシナ,teryoshina
филипенко,フィリペンコ,filipenko
шлеменко,シュレメンコ,shlemenko
тимофеев,ティモフェエフ,timofeev
тимофеева,ティモフェーブナ,timofeeva
сошальский,ソシャーリスキー,soshalskiy
шнирельман,シュニレルマン,shnirelman
кужугетовна,クズゲトフナ,kuzhugetovna
черепков,チェレプコフ,cherepkov
финягин,フィニャギン,finyagin
фомина,フロミナ,fomina
черкасов,チェルカソフ,cherkasov
фонда,フォンダ,fonda
сотникова,ソトニコワ,sotnikova
шохин,ショーヒン,shohin
тизяков,チジャコフ,tizyakov
тиличеев,ティリチェーエフ,tilicheev
черневич,チェルニェヴィッチ,chernevich
черниченко,チェルニチェンコ,chernichenko
султан,スルタン,sultan
сосналиев,ソスナリエフ,sosnaliev
сосина,ソシナ,sosina
чернушенко,チェルヌシェンコ,chernushenko
шпица,シュピサ,shpica
шпорт,シュポルト,shport
шолохов,ショーロホフ,sholohov
фроловцева,フロロフツェワ,frolovceva
марьяна,マリアナ,maryana
спивак,スピヴァク,spivak
ярин,ヤリン,yarin
фокин,フォーキン,fokin
шубина,シュビナ,shubina
яновская,ヤノフスカヤ,yanovskaya
черняк,チェルニャク,chernyak
франчук,フランチュク,franchuk
чижиков,チジコフ,chizhikov
чигинская,チギンスカヤ,chiginskaya
шумейко,シュメイコ,shumeyko
толоконников,トルコニコフ,tolokonnikov
толоконский,トロコンスキー,tolokonskiy
ярмольник,ヤルモルニク,yarmolnik
чинарёв,シャニョフ,chinaryov
радий,ラディー,radiy
хабиров,ハビロフ,habirov
хабилов,ハビロフ,habilov
токмакова,トクマコーワ,tokmakova
толмачёва,トルマチェバ,tolmachyova
ярушин,ヤルシン,yarushin
топалов,トパロフ,topalov
чонишвили,チョニシュビリ,chonishvili
тонева,トーンバ,toneva
толстой,トルストイ,tolstoy
хазанова,カザノワ,hazanova
шуранова,シュラーノワ,shuranova
саламбек,サラムベク,salambek
хаджиев,カジエフ,hadzhiev
яценко,ヤツェンコ,yacenko
ясулович,ヤスロビッチ,yasulovich
щедровицкий,シュチェドロヴィツキー,shchedrovickiy
щербак,シチェルバク,shcherbak
ахмед,ラバザノフ,ahmed
лабазанов,アフメッド,labazanov
топилин,トピリン,topilin
адьям,アジャム,adyam
кузяев,クジャエフ,kuzyaev
числов,チスロフ,chislov
данилина,ダニリーナ,danilina
дроздов,ドロズドフ,drozdov
толстунов,トルストゥノフ,tolstunov
эйрамджан,エイラムシャン,eyramdzhan
саритов,サリトフ,saritov
телегина,テレジナ,telegina
требунская,トレブンスカヤ,trebunskaya
чуйченко,チュイチェンコ,chuychenko
кальзатти,カルツァッティ,kalzatti
чумаков,ツマコフ,chumakov
эльдаров,エルダロフ,eldarov
элькис,エルキス,elkis
шакунов,シャクノフ,shakunov
шалаева,シャレイエバ,shalaeva
аршинов,アルシノフ,arshinov
шершак,シェルシャク,shershak
эткинд,エトキント,etkind
андреевич,アンドレイヴィチ,andreevich
юганова,ユガノワ,yuganova
токарев,トカレフ,tokarev
юматов,ユマトフ,yumatov
эпштейн,エプシュテイン,epshteyn
заболотный,ザボロトニー,zabolotnyy
юшкевич,ユシケーヴィチ,yushkevich
юнникова,ユニコワ,yunnikova
чигвинцев,チグビントセブ,chigvincev
юрченко,ユルチェンコ,yurchenko
нечае,ネチャーエフ,nechae
потдыкова,ポトディコワ,potdykova
бич,ビッチ,bich
хрущёва,フルシチョワ,hrushchyova
монько,モンコ,monko
яковлевич,ヤーコブレビッチ,yakovlevich
фекан,フェカン,fekan
шумских,シュムスキフ,shumskih
азиз,アジズ,aziz
бейшеналиев,ベイシェナリエフ,beyshenaliev
третьяков,トレチャコフ,tretyakov
якушев,ヤクーシェフ,yakushev
волобуев,ヴォロブエフ,volobuev
гундорина,マリア,gundorina
сен,セン,sen
локомотив,マルコフ,lokomotiv
карбовская,カルボフスカヤ,karbovskaya
татауров,タタウロフ,tataurov
далер,ダレル,daler
самуцевич,サムツェヴィッチ,samucevich
джо,ジョー,dzho
борисоглебский,ボリソグレブスキー,borisoglebskiy
симакова,シマコワ,simakova
старыгина,スタリギナ,starygina
кичин,キチン,kichin
любич,ルビック,lyubich
рамазанов,ラマザノフ,ramazanov
джон,ジョン,dzhon
арнатт,アーネット,arnatt
козлова,コズロワ,kozlova
камилла,カミラ,kamilla
гайнетдинова,ガイネトディノワ,gaynetdinova
попова,ポポワ,popova
луи,ルイス,lui
доценко,ドーセンコ,docenko
шарутенко,シャルテンコ,sharutenko
леушин,レウシン,leushin
петухов,ペチュホフ,petuhov
борзенкова,ボルゼンコワ,borzenkova
макс,マックス,maks
самарин,サマリン,samarin
кравчук,クラフチュク,kravchuk
лещенко,レシェンコ,leshchenko
горшкова,ゴルシュコワ,gorshkova
верзилов,ヴェルジロフ,verzilov
москвин,アナトリー,moskvin
шкадов,シュカドフ,shkadov
кепинг,ケピング,keping
бакирова,バキロワ,bakirova
нелидина,ネリディナ,nelidina
шаракоис,シャラコイ,sharakois
чувиляев,チュヴィラエフ,chuvilyaev
головкин,ゴロフキン,golovkin
козырева,コズイレワ,kozyreva
сезганов,セズガノフ,sezganov
северный,セヴェリン,severnyy
кунц,クンツ,kunc
свирина,スヴィリナ,svirina
пингачева,ピンガチェワ,pingacheva
рябчук,リアブチュク,ryabchuk
наговицин,ナゴヴィツィン,nagovicin
гилельс,ギレリス,gilels
этери,エテリ,eteri
тутберидзе,トゥトベリーゼ,tutberidze
феодосий,フェオドシー,feodosiy
ефременков,エフレメンコフ,efremenkov
кочеткова,コチェトコワ,kochetkova
алёхина,アリョーヒナ,alyohina
наврузов,ナヴルゾフ,navruzov
руденя,ルデンヤ,rudenya
курзанов,クルザーノフ,kurzanov
конягин,コンヤギン,konyagin
коляда,コリヤダ,kolyada
яков,ヤコフ,yakov
эрлих,エールリフ,erlih
самсова,サムソワ,samsova
сантос,クニツカヤ,santos
анжелика,アンジェリカ,anzhelika
гордей,ゴルジェイ,gordey
горшков,ゴルシュコフ,gorshkov
кошелев,コシェレフ,koshelev
лазутин,ラズチン,lazutin
орешкин,オレシュキン,oreshkin
дюпин,デュピン,dyupin
газинский,ガジンスキー,gazinskiy
чемезов,チェメゾフ,chemezov
есенина,エセーニナ,esenina
романюта,ロマニウタ,romanyuta
салихов,サリコフ,salihov
юри,ユーリ,yuri
киллиан,キリアン,killian
ляцкий,リャツキィー,lyackiy
лодыгин,ロディーギン,lodygin
сокити,ニシヤマ,sokiti
нисияма,ソウキチ,nisiyama
ёркина,ジャーンナ,yorkina
дмитриевна,ヨールキナ,dmitrievna
зиявудин,ジヤブディン,ziyavudin
мазаева,マザエワ,mazaeva
арслан,アースラン,arslan
гросс,グロス,gross
большов,ボルショフ,bolshov
шляхова,シリアホワ,shlyahova
тимченко,ティムチェンコ,timchenko
кустова,クストワ,kustova
миранчук,ミランチュク,miranchuk
ляпина,リアピナ,lyapina
кокорева,ココレワ,kokoreva
петровский,グリゴリー,petrovskiy
скоропышный,スコロプイシュヌイ,skoropyshnyy
кошкин,ユーリ,koshkin
дженнет,ジェネット,dzhennet
абдурахманова,アブドラフマノワ,abdurahmanova
букарева,ブカレワ,bukareva
ткачук,トカチュク,tkachuk
межуева,メジューエワ,mezhueva
лелюх,レルフ,lelyuh
елены,エレーナ,eleny
калис,カリス,kalis
ковалёва,コバレワ,kovalyova
басова,バソワ,basova
строкова,ストロコワ,strokova
забелин,ザベリン,zabelin
головин,ゴロヴィン,golovin
уколова,ウコロワ,ukolova
фандера,ファンデラ,fandera
жаров,ジャロフ,zharov
рыжов,リジョフ,ryzhov
максимова,マクシモワ,maksimova
мазур,マズール,mazur
крючкова,クルチコワ,kryuchkova
минов,ミノフ,minov
сноуден,スノーデン,snouden
мингазетдинова,ミンガゼトディノバ,mingazetdinova
дубровицкий,ドゥブロヴィツキー,dubrovickiy
фальков,ファルコフ,falkov
будимир,ブジミール,budimir
метальников,メタリニコフ,metalnikov
васьянов,ヴァシャノフ,vasyanov
багаутинов,バガウティノフ,bagautinov
чиповская,オルガ,chipovskaya
евгеньевна,チポフスカヤ,evgenevna
рифат,リファト,rifat
жемалетдинов,ジェマレトジノフ,zhemaletdinov
грешнова,リューバヴァ,greshnova
станиславовна,グレシノヴァ,stanislavovna
монгайт,モンガイト,mongayt
аниханов,アニハーノフ,anihanov
смольникова,スモルニコワ,smolnikova
карлов,カルロフ,karlov
мамун,マムン,mamun
конева,コネワ,koneva
фам,ファム,fam
айсен,アイセン,aysen
оксентян,オクセンチアン,oksentyan
труханов,トゥルハノフ,truhanov
картаполов,カルタポロフ,kartapolov
шурочкина,シュロチキナ,shurochkina
востоков,ヴォストコフ,vostokov
подгаевский,ポドゲイエフスキー,podgaevskiy
фигуровский,フィグロフスキー,figurovskiy
колесниченко,コレスニチェンコ,kolesnichenko
макар,マカール,makar
запорожский,ザポロジスキー,zaporozhskiy
шульжцкий,シュルジッツスキー,shulzhckiy
забоев,ザボエフ,zaboev
паршута,パルシュタ,parshuta
кравиц,クラヴィッツ,kravic
соболь,ソボル,sobol
сотскова,ソツコワ,sotskova
могилевец,モギレヴェツ,mogilevec
кудерметова,クデルメトバ,kudermetova
бетина,ベティナ,betina
шкляров,シクリャローフ,shklyarov
раева,ラエワ,raeva
рябинкина,リャビンキナ,ryabinkina
сергунина,セルグニーナ,sergunina
проскурякова,プロスチュアコワ,proskuryakova
фолифоров,フォリフォロフ,foliforov
рудзевич,ルドゼヴィッチ,rudzevich
дрон,ドロン,dron
туренко,トゥレンコ,turenko
мигран,ミグラン,migran
арутюнян,アルテュニャン,arutyunyan
романовна,ゴリコワ,romanovna
малининафедькина,フェドキナ,malininafedkina
беспутин,ベスプーチン,besputin
чалый,チャリイイ,chalyy
темиргалиев,テミガリエフ,temirgaliev
цыплаков,ツィプラコフ,cyplakov
колясева,コリアシーヴァ,kolyaseva
рукавицын,ルカヴィツィン,rukavicyn
поклонская,ポクロンスカヤ,poklonskaya
кузьмина,クズミナ,kuzmina
котюков,コチュコフ,kotyukov
глухов,グルホフ,gluhov
иппэи,イッペイ,ippei
синодзука,シノヅカ,sinodzuka
дубровский,ドゥブロフスキー,dubrovskiy
абашкина,アバチキナ,abashkina
гореславский,ゴレスラフスキー,goreslavskiy
фетисова,フェティソワ,fetisova
пикалова,ピカロワ,pikalova
сутормин,ストルミン,sutormin
абдулрашид,アブドゥルラシド,abdulrashid
шарип,シャリップ,sharip
умханов,ウムハノフ,umhanov
туменов,トゥメノフ,tumenov
лобода,ロボダ,loboda
дрозд,ドロースト,drozd
данил,ダニル,danil
караваев,カラバエフ,karavaev
аласханов,アラシャノフ,alashanov
умаханов,ウマハノフ,umahanov
калалб,カラブ,kalalb
чернышева,チェルニショワ,chernysheva
анин,アニン,anin
анненкова,アンネンコヴァ,annenkova
виталик,ヴィタリック,vitalik
бутерин,ブテリン,buterin
мустафин,イスハコフ,mustafin
ицков,イツコフ,ickov
саша,サッシャ,sasha
лусс,ルス,luss
новосельцев,ノボセルツェフ,novoselcev
жирнов,ジルノフ,zhirnov
декапри,ディカープリ,dekapri
натали,ナタリー,natali
джоя,ジオイア,dzhoya
ильянкова,イリヤンコワ,ilyankova
мирзаев,ミルザエフ,mirzaev
майкин,マイキン,maykin
лайла,ライラ,layla
третиков,トレティコフ,tretikov
трескунов,トレスクノフ,treskunov
фоланд,フォランド,foland
зубайра,ズバイラ,zubayra
тухугов,ツフゴフ,tuhugov
коряковский,コリャコフスキー,koryakovskiy
моисеева,モイセーワ,moiseeva
водолазкин,ヴォドラスキン,vodolazkin
лазукин,ラズキン,lazukin
бородай,ボロダイ,boroday
меликов,メリコフ,melikov
лисовский,リソフスキー,lisovskiy
касаткина,カサトキナ,kasatkina
токтаулова,トクタロヴァ,toktaulova
шишкова,シシュコヴァ,shishkova
ильзат,イルザト,ilzat
ахметов,アフメトフ,ahmetov
гвоздкова,グボズコーワ,gvozdkova
кулакова,クラコワ,kulakova
алима,アリマ,alima
гершкович,ゲルシュコヴィチ,gershkovich
ланде,ランデ,lande
пушилин,プシーリン,pushilin
сергеевна,ショイグ,sergeevna
шарапов,シャラポフ,sharapov
рудольфович,ナウモフ,rudolfovich
кужугет,クジュゲト,kuzhuget
сереевич,セレエビッチ,sereevich
щербинин,シェービービン,shcherbinin
хориняк,ホリニャック,horinyak
ныч,ニッチ,nych
катерли,カテルリ,katerli
бурцев,ブルツェフ,burcev
коряков,コリャコフ,koryakov
чернявская,チェルニャフスカヤ,chernyavskaya
синцов,シンツォフ,sincov
рублёв,ルブレフ,rublyov
каюмова,カユモワ,kayumova
чернов,チェルノフ,chernov
богомаз,ボゴマズ,bogomaz
махачев,マカチェフ,mahachev
сафиуллин,サフィウリン,safiullin
бречалов,ブレシャロフ,brechalov
кенин,ケニン,kenin
пампушный,パンプーシュニー,pampushnyy
пименова,ピメノヴァ,pimenova
акакий,アカキ,akakiy
кибордзалидзе,キボルザリゼ,kibordzalidze
вороненков,ボロネンコフ,voronenkov
молтенинов,モルテニノフ,molteninov
ефимович,エフィモヴィッチ,efimovich
курочкин,クロツキン,kurochkin
воронцова,ヴォロンツォワ,voroncova
гапонов,ガポノフ,gaponov
халмурзаев,ハルムルザエフ,halmurzaev
алякина,アリャキナ,alyakina
дудаков,デュダコフ,dudakov
невский,ネフスキー,nevskiy
якушевский,ヤクシェフスキー,yakushevskiy
чудинов,チュディノフ,chudinov
бортич,ボルティチ,bortich
кикина,キキナ,kikina
захлевных,ザフレヴニィフ,zahlevnyh
моргина,モルギナ,morgina
краснов,クラスノフ,krasnov
балахничёв,バラフニチェフ,balahnichyov
рыбалкин,リャバルキン,rybalkin
андрианова,アンドリアノワ,andrianova
алибек,アリベク,alibek
басурин,バスリン,basurin
мальцев,マリツェフ,malcev
гельтман,ゲルトマン,geltman
зеленская,エレナ,zelenskaya
эмильевна,ゼレンツカヤ,emilevna
зелимхан,ゼリムハン,zelimhan
бакаев,バカエフ,bakaev
шенгели,シェンゲリ,shengeli
пицхелаури,ピツヘラウリ,pichelauri
катерина,カチェリーナ,katerina
тихонова,チホノワ,tihonova
григорьева,グリゴリエバ,grigoreva
спиридонович,スピリドノヴィチ,spiridonovich
путина,シェロモワ,putina
пригожин,プリゴジン,prigozhin
фердинанд,フェルディナンド,ferdinand
карапетян,カラペティアン,karapetyan
карацев,カラツェフ,karacev
кулижников,クリズニコフ,kulizhnikov
красножон,アレクセイ,krasnozhon
вадеева,ヴァデーヴァ,vadeeva
мохнаткин,ミハイル,mohnatkin
давит,ダビット,davit
калинская,カリンスカヤ,kalinskaya
матвей,マトヴェイ,matvey
мамыкин,マミキン,mamykin
каменский,カメンスキー,kamenskiy
амина,アミナ,amina
атаханова,アタハノワ,atahanova
федичкина,フェディチキナ,fedichkina
митрофанова,エカテリーナ,mitrofanova
капризов,カプリゾフ,kaprizov
немков,ネムコフ,nemkov
шулепов,シュレポフ,shulepov
левинталь,レヴィンタル,levintal
лопатёнок,ロパトノク,lopatyonok
лёвин,リョヴィン,lyovin
зенфира,ゼンフィラ,zenfira
магомедалиева,マゴメダリエワ,magomedalieva
абдулманап,アブドゥルマナプ,abdulmanap
серёгин,セリョーギン,seryogin
прокопьева,プロコペワ,prokopeva
гайдулян,ゲイドゥリアン,gaydulyan
крид,クリード,krid
первушкина,ディアナ,pervushkina
михайловна,ペルブシュキナ,mihaylovna
борисова,ボリソワ,borisova
сопот,ソポト,sopot
полуянова,ポルヤノワ,poluyanova
коротков,コロトコフ,korotkov
чупков,チュプコフ,chupkov
сергачёв,セルガチェフ,sergachyov
ильсия,イルシヤ,ilsiya
бадретдинова,バドレディノワ,badretdinova
бразговка,ブラズゴフカ,brazgovka
базин,バジン,bazin
евдокимова,エフドキモワ,evdokimova
ватутин,アレクセイ,vatutin
юлдус,ユルドゥス,yuldus
бахтиозина,バハショージナ,bahtiozina
геннадьевич,ゲンナディエヴィッチ,gennadevich
либерман,リーベルマン,liberman
львович,リヴォウヴィッチ,lvovich
шварцбрейм,シュヴァルツブレイム,shvarcbreym
рамиль,ラミール,ramil
сабитов,サビトフ,sabitov
скопцова,スコプツォワ,skopcova
чепурченко,チェルツィチェンコ,chepurchenko
соня,ソーニャ,sonya
башта,バシタ,bashta
риналь,リナール,rinal
мухаметов,ムハメトモフ,muhametov
митюшина,ミティシナ,mityushina
семенчук,セグチク,semenchuk
коробов,コロボフ,korobov
шамалов,シャマロフ,shamalov
старовойт,スタロヴォイト,starovoyt
жданов,ジダーノフ,zhdanov
жданова,ジダーノワ,zhdanova
гаэль,ガエル,gael
ондуа,オンドゥア,ondua
дадашев,ダダシェフ,dadashev
блинкова,ブリンコワ,blinkova
мурад,ムラッド,murad
османн,オスマン,osmann
битаров,ヴィタロフ,bitarov
устимкина,ウスティムキナ,ustimkina
даша,ダーシャ,dasha
чаруша,チャルーシャ,charusha
вокс,ヴォックス,voks
коврижных,コヴリジニフ,kovrizhnyh
петрухин,ペトルキン,petruhin
гассиев,ガシエフ,gassiev
добрынина,ドブリニナ,dobrynina
зиничев,エフゲニー,zinichev
ермолаев,エルモラーエフ,ermolaev
ростова,ロストワ,rostova
шпилевая,シュピレワヤ,shpilevaya
мирзоев,ミルゾエフ,mirzoev
мишина,ミーシナ,mishina
вита,ヴィタ,vita
сидоркина,シドルキナ,sidorkina
катасонов,カタソノフ,katasonov
овсянников,オフシアンニコフ,ovsyannikov
джоэль,ジョエル,dzhoel
боломбой,ボロンボーイ,bolomboy
тамерлан,タメルラン,tamerlan
башаев,バシャエフ,bashaev
сиваков,シヴァコフ,sivakov
квасов,クヴァソフ,kvasov
эмилия,エミーリア,emiliya
слабунова,スラブノワ,slabunova
вагнер,ワグネル,vagner
виталина,ビタリナ,vitalina
бацарашкина,バツァラシュキナ,bacarashkina
