김일,金日
평환,坪桓
남섭,南燮
태춘,泰春
해걸,海杰
덕배,德培
나희,娜熙
미화,美花
주수,周秀
신정,信正
선정,善贞
충호,忠浩
구연,龟渊
안나,安娜
훈희,薰姬
덕열,德烈
두석,斗锡
성엽,成叶
희민,禧敏
세원,世源
덕기,德基
국정,国定
홍준,弘濬
다경,多京
각경,珏卿
미려,美丽
시호,思浩
항기,恒基
강덕,康德
경섭,敬燮
경실,敬实
상찬,相灿
자균,滋均
자엽,滋晔
천서,天书
성덕,成德
순실,顺实
복실,馥实
덕홍,德弘
무부,茂夫
금래,锦来
기만,基万
기표,基杓
다예,多艺
기리,基利
상명,相明
은용,恩容
소환,昭焕
정건,鼎健
대근,大根
세의,世毅
일권,日权
정봉,正封
원래,元来
서은,瑞恩
라희,罗喜
문종,文钟
사덕,思德
덕중,德中
도향,道相
인하,仁夏
일균,镒均
자중,子重
창균,昌均
운정,琦拉
학표,鹤杓
혜걸,会杰
본준,本俊
명연,明渊
문용,汶镛
수람,成熙
호경,镐庆
결호,决镐
노현,鲁炫
현화,玄和
병하,炳夏
통숙,通淑
춘모,春模
종세,钟世
안중,安重
송정,松静
수휴,秀烋
아린,雅璘
희락,熙洛
계안,启安
계진,季振
규효,圭孝
근희,根希
금림,琴琳
기권,基权
방방,芳芳
우형,愚衡
원범,元范
상곤,相坤
상만,相满
차식,车植
원전,元全
문권,文权
봉근,奉根
돈명,敦明
종대,钟大
애심,爱心
초원,曹原
을한,乙汉
기운,基云
상숙,尚玉
인실,仁实
자영,智英
범룡,范龙
병묵,昞默
사권,思权
자춘,滋春
재서,载书
학재,鹤宰
해봉,海凤
향원,鄕园
춘선,春先
충렬,忠烈
칸희,管姬
승지,秀智
대웅,大雄
인명,寅明
홍복,洪福
탁근,铎根
경빈,庆彬
원효,元孝
일수,日秀
쌍숙,双淑
명관,明官
재학,在鹤
제석,济锡
종남,种南
종백,钟伯
일중,日中
한헌,汉宪
중위,重纬
희웅,熙雄
종표,钟杓
세춘,世春
민관,敏冠
헌태,宪泰
충빈,忠彬
남열,南烈
용명,勇明
민도,旻道
학도,学度
학의,学义
행자,幸子
현웅,贤雄
우일,宇日
근지,根知
제하,祭夏
문표,文杓
필근,弼根
왕석,王石
범승,范升
익흥,益兴
종태,钟泰
본능,本绫
두영,杜英
부택,富泽
호일,浩日
봉덕,凤德
준유,准宥
철부,哲夫
의택,义泽
혜,惠
종례,钟丽
리유,里佑
헌일,宪日
중화,重和
세진,世真
혜훈,惠薰
홍규,弘圭
환의,桓仪
푸른,智由
진재,镇载
승숙,承淑
대진,大振
원훈,元勋
종준,钟俊
진각,镇珏
태동,泰东
신자,信子
양우,良雨
종달,钟怛
민금,玟琴
미봉,美奉
두열,斗烈
복기,复基
경추,勍趋
광남,光南
여송,如松
동채,东采
석모,石谟
봉홍,奉弘
광한,光汉
송웅,松雄
희갑,熹甲
현남,玄南
흥채,兴采
규찬,圭赞
남호,南镐
덕제,德济
호식,浩植
홍성,洪成
홍신,洪信
화중,花中
흥기,兴基
규원,奎媛
금열,今烈
남신,南臣
순봉,舜凤
범덕,凡悳
웅렬,雄烈
형규,亨奎
여울,俪宛
웅전,雄田
진갑,镇甲
규용,圭龙
철기,哲基
철석,铁石
화,申
수목,旼情
석조,锡肇
중기,仲基
소열,沼烈
창제,昶济
궁연,宫演
포동,浦洞
설현,雪炫
기율,基律
길태,吉泰
운학,云鹤
충선,忠善
학기,学其
명재,明在
병윤,炳润
노규,鲁珪
노욱,鲁旭
옥담,玉丹
이순,彛淳
원정,媛祯
현덕,贤德
복남,福男
성초,盛妍
하문,夏文
항리,姮丽
남혁,南赫
연혜,然惠
범식,范植
효명,敏书
낙수,洛洙
경익,京益
주만,柱满
설봉,雪峰
춘광,春光
유립,裕岦
정학,正赫
유태,惟台
령우,令宇
완영,完永
형자,炯子
종익,宗益
행석,幸锡
덕흠,德钦
근욱,槿旭
오석,旿锡
의락,宜洛
흥신,兴信
하남,河男
재천,在天
이니,升美
건표,建杓
록기,录基
서범,瑞范
승일,承日
희필,熙弼
현송,显松
준,硕灿
장경,章庆
규재,奎载
보화,宝花
인자,仁子
균동,畇东
붕준,朋濬
세황,世晃
단율,丹律
홍수,弘绶
한서,汉书
자홍,滋洪
인원,仁远
봉성,峰性
명정,明廷
원벽,元璧
승미,胜美
남영,南英
이우,怡雨
준근,峻根
채환,彩欢
호림,虎林
봉승,奉承
승권,承权
강후,康厚
병권,秉权
관제,宽济
의현,义贤
안진,岸津
이화,离和
한표,汉杓
윤권,允权
보애,宝爱
계덕,桂徳
도안,道安
형원,炯琬
현보,贤宝
몽윤,梦允
문헌,文宪
근상,根祥
현균,贤均
계용,桂容
소호,少浩
준목,俊睦
덕남,德南
제건,帝建
덕용,德镛
제혁,帝赫
홍용,洪镛
수련,水莲
초현,俏贤
찬종,灿钟
덕재,德在
세랑,世朗
낙준,乐濬
용백,龙伯
종왕,钟旺
진목,振木
환경,焕庆
내현,来玄
현훈,炫训
영문,英文
건수,建秀
도아,道雅
애실,爱实
광기,光基
보비,普妃
복영,福荣
시몬,时孟
용실,容实
의갑,义甲
흥재,兴载
점희,贞熙
휘준,辉俊
한상,汉相
하석,夏植
태광,泰光
희광,喜光
인춘,仁春
양은,扬杨恩泳
수권,秀权
기숙,基淑
재삼,在森
탁번,铎藩
정광,正光
신아,申雅
재도,在焘
성섭,星燮
금찬,锦灿
해룡,海龙
종임,钟姙
호섭,虎燮
종재,忠载
신명,信明
봉곤,凤坤
진곤,振坤
지명,智明
호찬,浩灿
부기,富基
예준,艺俊
정도,正道
하민,河旼
태령,泰岭
슬비,瑟美
미성,美星
희나,希那
용표,容杓
은태,恩泰
초은,初恩
숙현,淑铉
시유,诗柔
정율,基姆
정향,正香
택림,泽林
한필,汉弼
명갑,明峡
설빈,楔傧
소녀,少女
윤민,允民
인근,恩槿
석연,锡然
희대,喜大
경응,庆应
상재,相在
니나,妮娜
모임,慕妊
건락,健乐
원용,原踊
상남,祥楠
가애,佳爱
두이,杜利
사명,根燮
완표,完杓
극천,极天
배차,裴车
지음,智音
을영,乙英
근홍,根洪
규미,奎媄
재식,财植
원채,源采
진부,珍富
정출,正出
용상,龙相
병일,炳逸
남억,南檍
길조,吉祚
승번,升蕃
요상,尧相
경동,璟东
왕근,基姆
우경,遇敬
비,金
아이,韩彬
금녀,金女
두하,枓厦
국무,国茂
대욱,大旭
신환,晨焕
훈평,训平
은새,恩玺
필성,弼成
채이,彩伊
갑상,甲相
도순,道顺
극성,极星
극윤,极允
서빈,瑞斌
서경,瑞庆
제원,济源
계훈,启勋
광자,光子
석순,硕淳
영탁,荣卓
봉규,奉圭
새아,诗雅
경심,洋心
도경,度京
두섭,斗燮
권수,权洙
상록,相禄
재평,载平
진길,镇吉
길형,吉衡
길만,佶满
도엽,度烨
래정,来正
문화,文和
시채,时采
연식,言植
은총,银铳
희춘,喜春
준녕,俊宁
석홍,锡洪
오승,吾承
두수,斗守
미조,美朝
계현,桂贤
경애,敬爱
제언,提彦
하복,河福
여운,世亨
계윤,桂润
광세,光世
도련,度炼
병식,佑信
궁윤,宫允
광영,光英
웅모,雄模
경이,京洢
제식,济植
공일,空壹
보용,宝容
모개,模介
옥신,沃申
시온,时温
완정,婉晶
범희,泛美
문철,文哲
범택,范泽
대령,大凌
현돈,铉惇
승걸,胜杰
강찬,强灿
남훈,楠勋
한천,汉天
흥만,兴万
갑종,甲钟
장환,昌焕
체언,素妍
주철,柱哲
사철,思哲
홍순,弘淳
지설,智雪
규태,圭泰
세득,世得
낙철,洛喆
상업,相嶪
옥현,玉铉
사향,丝响
순흥,舜兴
해령,海岭
광업,光业
화룡,和龙
규은,奎訚
유상,宥尚
재문,杰文
기종,基宗
길상,吉相
신효,新孝
지상,智尚
륜도,龙道
만대,万大
근록,根禄
아미,雅美
근현,近铉
주용,周勇
귀식,贵植
호,扈
혁호,赫浩
세례,世礼
선혁,善赫
요셉,永世
도성,道成
노벽,鲁璧
혜문,慧文
성보,成宝
의섭,义燮
상전,尚全
애,阿
슐리,什利
흥집,兴集
남현,南铉
찬오,灿伍
창직,昌直
한호,汉镐
희우,熹雨
도헌,度宪
기재,杞载
덕건,德健
복숙,福淑
대흥,大兴
동남,东南
진권,振权
다슬,达素
희창,熙昌
귀정,贵晶
종하,宗夏
항나,航娜
홍제,洪载
찬비,灿菲
성표,成杓
순홍,顺洪
광득,光得
두경,斗敬
담영,谭咏
동범,东范
국서,国舒
기두,基斗
행하,幸夏
귀순,归顺
운섭,云燮
백경,栢京
구택,久泽
기무,基茂
돈규,敦奎
혜라,慧罗
우창,禹昌
이문,异汶
율호,育浩
하예,荷艺
남원,南沅
정영,正英
병천,柄天
웅호,雄镐
중효,重孝
예승,艺胜
철균,铁均
창달,昌达
천,吴
백선,白善
운교,云教
은설,恩雪
승학,升鹤
지일,支壹
병익,柄翊
인조,仁昭
지하,志夏
필선,必善
환영,桓永
대곤,大坤
두만,斗万
범진,凡振
응석,应锡
시열,时烈
영롱,永龙
하유,夏宥
정생,正生
승유,胜裕
명지,明智
일원,日源
같이,永俊
보정,宝静
상휘,尚辉
완배,完培
획수,笔划数
애국가,爱国歌
동평양대극장,东平壤大剧院
로력영웅,朝鲜民主主义人民共和国劳动英雄
현정릉,恭愍王陵
조선콤퓨터쎈터,朝鲜电脑研究中心
승리자동차종합기업소,胜利汽车制造厂
평양민속공원,平壤民俗公园
할하,喀尔喀蒙古族
홍의선,洪仪线
평양국제영화회관,平壤国际映画会馆
무수단리,舞水端里
철령,铁岭
세천선,细川线
쌍영총,双楹冢
연백군,延白郡
외국문출판사,外文综合出版社
남북공동연락사무소,南北共同联络事务所
청남선,清南线
상감령,上甘岭
조선기계무역총회사,朝鲜机械贸易总会社
조선그리스도교연맹,朝鲜基督教联盟
헌릉,高丽宪陵
평양빙상관,平壤滑冰馆
북한인민해방전선,北韩人民解放战线
관리소,管理所
조선사회주의여성동맹,朝鲜民主女性同盟
숭령전,崇灵殿
갈마각,葛麻角
두만강동,豆满江洞
김일성종합대학출판사,金日成综合大学出版社
봉화화학공장,烽火化学工厂
천지삭도,白头山天地索道
한국휴전협정,朝鲜停战协定
조선중앙식물원,朝鲜中央植物园
강계군,江界郡
리명수폭포,鲤明水瀑布
기린굴,麒麟窟
구장읍,球场邑
대원수,朝鲜民主主义人民共和国大元帅
김정일훈장,金正日勋章
군우동,军隅里
장산곶,长山岬
평양대극장,平壤大剧院
후릉,朝鲜厚陵
의주비행장,义州空军基地
제임스타운선,詹姆斯敦防线
북한법,朝鲜民主主义人民共和国法律
창광원,苍光院
대관리선,大馆里线
두언선,豆彦线
봉산선,凤山线
봉천탄광선,凤泉煤矿线
도지리선,岛智里线
고비선,高飞线
평양화전선,平壤火电线
대향선,大乡线
량천사,梁泉寺
봉수교회,凤岫教堂
함흥대극장,咸兴大剧院
송도원국제소년단야영소,松涛园国际少年团夏令营
임남댐,任南水坝
녕변선,宁边线
잠진리선,箴津里线
송암동굴,松岩洞窟
승지백암,承旨白岩
청류관,清流馆
금강정치학원,金刚政治学院
조선무역은행,朝鲜贸易银行
국가우주개발국,朝鲜民主主义人民共和国宇宙开发局
운산읍,云山邑
장선강선,长鲜江线
고려왕릉,高丽王陵
룡흥사,龙兴寺
령통사,灵通寺
내곡온천,内曲温泉
월향전시관,月香展示馆
송남청년탄광선,松南青年煤矿线
조양탄광선,朝阳煤矿线
보안대,保安队
보산선,保山线
김일성김정일주의,金日成金正日主义
대안친선유리공장,大安友谊琉璃工厂
룡곡서원,龙谷书院
숭양서원,崧阳书院
조선로동당출판사,朝鲜劳动党出版社
청화력선,清火力线
운하선,运河线
김만유병원,金万有医院
령대선,灵台线
조선민족보험총회사,朝鲜国民保险公司
판문군,板门区域
서창선,西仓线
성진제강련합기업소,城津制钢联合企业所
천성탄광선,天圣煤矿线
형봉선,亨凤线
률동체조,律动体操
신성선,新城线
신흥철도,新兴铁道
보위사령부,朝鲜人民军保卫司令部
운봉댐,云峰水库
국방과학원,朝鲜国防科学院
중앙식물원,中央植物园
청산리방법,青山里方式
마평선,马坪线
강건종합군관학교,姜健军官综合学校
문수거리,纹绣街
식수절,植树节
청춘거리,青春街
락원거리,乐园街
청년거리,青年街
장진읍,长津邑
대동강려관,大同江旅馆
대성산아이스크림공장,大城山冰淇淋厂
조선영화수출입사,朝鲜电影进出口公
외국어서점,外文书店
말전,末箭
해방산려관,解放山旅馆
목란광명회사,木兰光明会社
경현서원,景贤书院
국가관광총국,旅游总局
류경동,柳京洞
종다리,云雀
대동강수산물식당,大同江水产品餐馆
국가디지털콘텐츠식별체계,韩国国家数码内容识别体系
하회마을,河回村
한진중공업,韩进重工业
동수로,对马海峡
코리아중앙데일리,韩国中央日报
투니버스,多乐巴士
평창알펜시아스키점프센터,阿尔卑西亚度假村
언양읍,彦阳邑
신분당선주식회사,新盆唐线株式会社
서울반도체,首尔半导体
하회별신굿탈놀이,河回别神祭祀戏
창원축구센터,昌原足球中心
잠수교,潜水桥
문화훈장,文化勋章
암사동,岩寺洞
임진각평화누리공원,临津阁
르노삼성자동차,雷诺韩国汽车
방학동,放鹤洞
송중동,松中洞
명일동,明逸洞
수유동,水逾洞
번동,樊洞
갈현동,葛岘洞
수서동,水西洞
용신동,龙新洞
수색동,水色洞
대조동,大枣洞
역촌동,驿村洞
응암동,鹰岩洞
청량리동,淸凉里洞
사직동,社稷洞
중곡동,中谷洞
신림동,新林洞
송천동,松泉洞
화양동,华阳洞
인수동,仁寿洞
자양동,紫阳洞
제기동,祭基洞
미아동,弥阿洞
오류동,梧柳洞
등촌동,登村洞
상도동,上道洞
청운효자동,清云孝子洞
증산동,缯山洞
고척동,高尺洞
장안동,长安洞
구산동,龟山洞
흑석동,黑石洞
시흥동,始兴洞
우이동,牛耳洞
수궁동,水宫洞
길동,吉洞
마곡동,麻谷洞
불광동,佛光洞
신설동,新设洞
청운동,淸云洞
신대방동,新大方洞
사당동,舍堂洞
독산동,秃山洞
고덕동,高德洞
방화동,傍花洞
월출산국립공원,月出山国立公园
설악산국립공원,雪岳山国立公园
응봉동,鹰峰洞
금호동,金湖洞
종암동,钟岩洞
행당동,杏堂洞
월계동,月溪洞
한국생산기술연구원,韩国生产技术研究院
휘경동,徽庆洞
녹번동,碌磻洞
염창동,盐仓洞
군자동,君子洞
도봉동,道峰洞
화곡동,禾谷洞
개봉동,开峰洞
올레길,济州偶来
둔촌동,遁村洞
이문동,里门洞
논현동,论岘洞
발산동,内钵山洞
성내동,城内洞
광장동,广壮洞
양동마을,良洞村
이화동,梨花洞
중계동,中溪洞
묵동,墨洞
신내동,新内洞
공덕동,孔德洞
성산동,城山洞
가회동,嘉会洞
용답동,龙踏洞
미근동,渼芹洞
연희동,延禧洞
서교동,西桥洞
중화동,中和洞
대흥동,大兴洞
월곡동,月谷洞
도화동,桃花洞
하계동,下溪洞
혜화동,惠化洞
상봉동,上凤洞
하이트,海特啤酒
달성공원,达城公园
대외경제정책연구원,对外经济政策硏究院
북한산국립공원,北汉山国立公园
덕유산국립공원,德裕山国立公园
신도림동,新道林洞
세곡동,细谷洞
궁동,宫洞
진관동,津宽洞
봉천동,奉天洞
가리봉동,加里峰洞
남현동,南岘洞
회기동,回基洞
전농동,典农洞
사직실내체육관,釜山社稷室内体育馆
대한무역투자진흥공사,韩国贸易振兴公社
아현동,阿岘洞
망원동,望远洞
옥수동,玉水洞
면목동,面牧洞
석관동,石串洞
교남동,平洞
성수동,圣水洞
마장동,马场洞
홍제동,弘济洞
홍은동,弘恩洞
천연동,天然洞
군산공항,群山空军基地
한국교육학술정보원,韩国教育学术信息院
수덕사,修德寺
남가좌동,南加佐洞
망우동,忘忧洞
서강동,西江洞
북아현동,北阿岘洞
돈암동,敦岩洞
정릉동,贞陵洞
보문동,普门洞
대경대학교,大庆大学校
태평무,太平舞
구몬학습,公文式
반포동,盘浦洞
염리동,盐里洞
신수동,新水洞
안암동,安岩洞
동선동,东仙洞
잠원동,蚕院洞
상암동,上岩洞
한국고속철도,韩国高速铁道
가야산국립공원,伽倻山国立公园
롯데타운타워,釜山乐天塔
속리산국립공원,俗离山国立公园
능곡고등학교,陵谷高等学校
부암동,付岩洞
상계동,上溪洞
합정동,合井洞
공릉동,孔陵洞
길음동,吉音洞
평창동,平仓洞
성북동,城北洞
가곡,歌曲
서울세계불꽃축제,首尔世界烟花节
차전놀이,安东车战戏
창신동,昌信洞
두산중공업,斗山重工
옥포동,玉浦洞
대산읍,大山邑
황룡사,皇龙寺
목동,木洞
서울공항,首尔空军基地
의궤,朝鲜王室仪轨
국민은행,国民银行
대우조선해양,大宇造船海洋
무예제보,武艺诸谱
무당,巫堂
서울프랑스학교,首尔法国学校
중앙동,中央洞
천안여자고등학교,天安女子高等学校
청구고등학교,青丘高等学校
원,韩圆
팬택계열,泛泰
대한불교천태종,韩国天台宗
부산경상대학교,釜山经商大学校
부산항만공사,釜山港湾公社
부산장신대학교,釜山长神大学校
부산과학고등학교,釜山科学高中
풍덕천동,豊德川洞
내일신문,明日新闻
치악산국립공원,雉岳山国立公园
혜민서,惠民署
한국켄트외국인학교,韩国肯特外语学校
쿠쿠전자,福库电子
대천동,大川洞
작은형제회,方济会小修士
한국씨티은행,花旗银行韩国分行
컴투스,来找我们
서낭당,城隍堂
경방,京城纺织株式会社
한미연합사령부,韩美联合军司令部
이순신대교,李舜臣大桥
국립춘천박물관,国立春川博物馆
문산읍,文山邑
청심국제고등학교,清心国际高等学校
대관령면,大关岭面
대한육상경기연맹,大韩陆上联盟
교동면,乔桐面
충렬사,忠烈祠
춘사영화상,春史电影节
춘양면,春阳面
부산영화평론가협회상,釜山电影评论协会奖
국제대학교,国际大学校
미탄면,美滩面
시사저널,时事杂志
국군정보사령부,大韩民国国军情报司令部
저작권법,大韩民国著作权法
평안운수,平安运输
대구남송초등학교,大邱南松初等学校
국토지리정보원,国家地理资讯研究院
한화솔라원,韩华新能源
당주동,唐珠洞
당산동,堂山洞
단성사,团成社
대림동,大林洞
대륜고등학교,大伦高等学校
상원고등학교,上元高等学校
동주대학교,东洲大学校
두산건설,斗山建设
도림동,道林
방림면,芳林面
대구고등학교,大邱高等学校
대구체육고등학교,大邱体育高校
대구오페라하우스,大邱歌剧院
대한신학대학원대학교,大韩神学大学院大学校
대곡소사선,大谷素砂线
청주공업고등학교,淸州工业高等学校
자생한방병원,自生韩方医院
줄타기,传统的韩国走绳索
소목장,小木匠
도선사,道诜寺
두류동,头流洞
두류공원,头流公园
동빙고동,东冰库洞
한화에어로스페이스,韩华航空航天公司
경기과학고등학교,京畿科学高等学校
대덕동,大德洞
공산동,公山洞
굿네이버스,好邻居
핸드볼코리아리그,韩国手球联赛
부산광역시경찰청,釜山广域市警察厅
한성고등학교,汉城高等学校
가득봉,可得峰
광주고등학교,光州高等学校
광주국제영화제,光州国际电影节
광주과학고등학교,光州科学高等学校
광통관,广通馆
귀목봉,鬼木峰
소양강댐,昭阳江水坝
소백산국립공원,小白山国立公园
남산도서관,南山图书馆
대원여객,大元旅客
학남고등학교,鹤南高等学校
대원교통,大元交通
북부운수,北部运输
한라홀딩스,汉拏建设
한림성심대학교,翰林圣心大学校
함창읍,咸昌邑
가산동,加山洞
가락동,可乐洞
가로림조력발전소,加露林湾潮汐发电厂
쌍계사,双磎寺
맥심커피배,麦馨杯
서악서원,西岳书院
포석정,鲍石亭
경기북과학고등학교,京畿北科学高等学校
계룡산국립공원,鸡龙山国立公园
해방촌,解放村
안정리,安停里
한영외국어고등학교,汉荣外国语高中
희원엔터테인먼트,喜元娱乐
허준박물관,许浚博物馆
전국축구선수권대회,韩国全国足球锦标赛
거제포로수용소,巨济岛战俘营
금곡동,金谷洞
진해경찰서,镇海警察署
광운인공지능고등학교,光云电子工业高等学校
경북고등학교,庆北高等学校
교수신문,教授新闻
경복고등학교,景福高等学校
경남고등학교,庆南高等学校
세계일보,世界日报
아포읍,牙浦邑
아트선재센터,善宰艺术中心
서울아산병원,首尔峨山医院
국립김해박물관,国立金海博物馆
한국걸스카우트연맹,韩国女童军联盟基地
은광여자고등학교,恩光女子高中
은산별신굿놀이,恩山别神祭
은수사,银水寺
궁정동,宫井洞
국망봉,国望峰
과천외국어고등학교,果川外国语高等学校
문산면,文山面
서울예술고등학교,首尔艺术高等学校
만도,万都
강북고등학교,江北高中
서래마을,瑞来村
화명동,华明洞
대구혜화여자고등학교,大邱惠和女子高等学校
낙산사,洛山寺
국민훈장,国民勋章
고등과학원,韩国高等科学院
백률사,栢栗寺
경기고등학교,京畿高等学校
국립전주박물관,国立全州博物馆
마로니에공원,马罗尼埃公园
문경새재,闻庆鸟岭
방이동,芳荑洞
반송동,盘松洞
아카데미과학,科学塑料模型
공항철도주식회사,机场铁道
대영고등학교,大永高等学校
전주예술고등학교,全州艺术高中
김유신묘,金庾信墓
롯데시네마,乐天娱乐
정부대전청사,政府大田厅舍
구기동,旧基洞
영산재,灵山斋
분당동,盆唐洞
분당중앙공원,城南中央公园
부산예술대학교,釜山艺术大学校
부산은행,釜山银行
경기고속,京畿高速
대원고속,大元高速
금호고속,锦湖高速
신촌동,新村
경남신문,庆南新闻
보문관광단지,普门湖度假地
봉하마을,烽下村
북청사자놀음,北青狮子舞
북평면,北坪面
현대제철,现代钢铁
리라아트고등학교,里拉艺术高等学校
영산전투,灵山战役
국립청주박물관,国立清州博物馆
기림사,祗林寺
한국공항공사,韩国机场公社
홍대앞,弘大
홍릉수목원,洪陵树木园
이서면,伊西面
청해부대,清海部队
내셔널리그,韩国国家联赛
평창읍,平昌邑
제천고등학교,堤川高等学校
잠실동,蚕室洞
마천동,马川洞
매전면,梅田面
효창공원,孝昌公园
현대카드,现代卡
현대청운고등학교,现代青云高等学校
미륵사,弥勒寺
평창올림픽스타디움,横溪奥林匹克公园
온양동,温阳洞
도산서원,陶山书院
장전동,长箭洞
장지동,长旨洞
국립대구박물관,国立大邱博物馆
국립광주박물관,国立光州博物馆
제주고등학교,济州高等学校
제주국제자유도시방송,济州国际自由都市放送
적선동,积善洞
점촌동,新机洞
정동,贞洞
정동진,正东津
현대중공업,现代重工业
서울고등학교,首尔高等学校
선종영가집,禅宗永嘉集
묵정동,墨井洞
문래동,文来洞
문정동,文井洞
물야면,物野面
파주시민축구단,坡州市民
참여연대,参与连带
봉평면,蓬坪面
봉성면,凤城面
김포운수,金浦运输
경기방송,京畿放送
안양체육관,安养体育馆
목포,木浦市足球俱乐部
황미리,黄美利
추풍령,秋风岭
성남아트센터,城南艺术中心
직지사,直指寺
북가좌동,加佐洞
신흥사,新兴寺
소수서원,绍修书院
국립과천과학관,国立果川科学馆
천지연폭포,天地渊瀑布
중동고등학교,中东高等学校
보해양조,宝海酿造株式会社
해군작전사령부,大韩民国海军作战司令部
서울서대문경찰서,首尔西大门警察署
서울남대문경찰서,首尔南大门警察署
서생면,西生面
서울용산경찰서,首尔龙山警察署
서울서부경찰서,首尔西部警察署
뮤직팜,音乐农庄
한국과학기술한림원,韩国科学技术翰林院
한국아마추어무선연맹,韩国业余无线电联盟
한국영상자료원,韩国电影资料馆
중앙해양안전심판원,韩国海事安全法庭
한국해양연구원,韩国海洋研究院
살레시오고등학교,慈幼会高等学校
정자동,亭子洞
전주향교,全州乡校
진부면,珍富面
진주층,晋州层
국립진주박물관,国立晋州博物馆
지평리,砥平里
종로타워,钟路塔
한국폴리텍대학,韩国理工学院
가곡면,柯谷面
중앙탑면,中央塔面
가남면,加南邑
가수원동,佳水院洞
가야면,伽倻面
가재울고등학교,加借偶高中
가정동,佳停洞
가좌동,佳佐洞
국제고등학교,国际高等学校
국제신문,国际新闻
꼭지,小盖子
국가기록원,大韩民国国家纪录院
조원동,枣园洞
주교동,舟桥洞
죽전동,竹田洞
서울교통네트워크,首尔交通网
김포교통,金浦交通
한국수자원공사,韩国水资源公社
한국전력기술,韩国电力工程建设公司
오금동,梧琴洞
옥인동,玉仁洞
경기감영도,京畿监营图
경기도남부경찰청,京畿道南部地方警察厅
풀무원,圃美多
풍기읍,丰基邑
벡스코,釜山会展中心
서울랜드,首尔乐园
공군공중기동정찰사령부,大韩民国空军北部战斗司令部
국가보위입법회의,国家保卫立法会议
국립어린이과학관,国立儿童科学馆
국립수산과학원,国立水产科学院
국민보도연맹,国民保导联盟
국민일보,韩国国民日报
한국경제신문,韩国经济新闻
청평면,清平面
남항대교,南港大桥
한국해양수산연수원,韩国海洋水产硏修院
한국과학기술정보연구원,韩国科学技术情报研究院
나사렛대학교,拿撒勒大学校
팬오션,泛洋海运
내장산국립공원,内藏山国立公园
예금보험공사,韩国存款保险公司
가평읍,加平邑
가포동,架浦洞
가호동,加虎洞
갈마동,葛马洞
갈말읍,葛末邑
국립공주박물관,国立公州博物馆
대한민국면,面
한국방송예술진흥원,韩国放送艺术教育振兴院
한화토탈,韩华道达尔
상인고등학교,尚仁高等学校
삽교읍,插桥邑
내소사,来苏寺
서울마포경찰서,首尔麻浦警察署
성인봉,圣人峰
선산읍,善山邑
서울외국인학교,首尔外国人学校
이천시민축구단,利川市民
현대미포조선,现代尾浦造船
풍납동,风纳洞
풍산읍,丰山邑
부산외국어고등학교,釜山外国语高等学校
공군교육사령부,大韩民国空军教育司令部
충현동,忠岘洞
국립농산물품질관리원,国立农产物品质管理院
국립문화재연구원,国立文化财硏究所
국립보건연구원,国立保健研究院
국립산림과학원,国立山林科学院
국립아시아문화전당,国立亚洲文化殿堂
국립암센터,国立癌症中心
국립재활원,国立康复院
국립중앙의료원,国立中央医疗院
대전고등학교,大田高等学校
백범일지,白凡逸志
봉담읍,峰潭邑
봉림산문,凤林山斀
봉산탈춤,凤山假面舞
부산고등학교,釜山高等学校
부산전차,釜山有轨电车
한성과학고등학교,汉城科学高等学校
융건릉,隆健陵
개포고등학교,开浦高等学校
신갈동,新葛洞
신길동,新吉洞
신정동,新亭洞
신탄진동,新滩津洞
신월동,新月洞
소천면,小川面
강구면,江口面
강남동,江南洞
강내면,江内面
강동도서관,江东图书馆
강릉농악,江陵农乐
서울일본인학교,首尔日本人学校
옥산서원,玉山书院
한국원자력연구원,韩国原子能研究院
경동고등학교,京东高等学校
창원종합운동장,昌原运动公园
서현동,书岘洞
석촌동,石村洞
석포면,石浦面
신천동,新川洞
간절곶,艮绝串
강경읍,江景邑
강원도경찰청,江原道地方警察厅
금남면,金南面
금남여객,锦南旅客运输
금남호남정맥,锦南湖南正脉
금당면,金塘面
금마면,金马面
서울여자고등학교,首尔女子高中
서울국제금융센터,首尔国际金融中心
서울국제학교,首尔国际学校
서울특별시교육청,首尔教育厅
서울특별시립미술관,首尔市立美术馆
분당서울대학교병원,盆唐首尔大学医院
서울과학고등학교,首尔科学高等学校
강현면,降岘面
강화읍,江华邑
개군면,介军面
개태사,开泰寺
병산서원,屏山书院
그라비티,重力社
동지고등학교,同志高等学校
로드,路德国际综合格斗大赛
매일신문,每日新闻
매일유업,每日乳业
문경읍,闻庆邑
미황사,美黄寺
신륵사,神勒寺
월간조선,月刊朝鲜
월드컵공원,世界杯公园
자유공원,仁川自由公园
한국체육대학교,韩国体大
남면,南面
남산동,南山洞
남산면,南山面
남성중학교,南城中学校
남양동,南阳洞
아시아자동차공업,亚洲汽车
갈산동,葛山洞
감은사지,感恩寺址
감지금니대방광불화엄경입불사의해탈경계보현행원품,绀纸金泥大方广佛华严经入不思议解脱境界普贤行愿品贞元本
독립기념관,韩国独立纪念馆
경산버스,庆山巴士
경상북도교육청,庆尚北道教育厅
경상북도청,庆尚北道厅
경상일보,庆尙日报
이트라이브,奥林匹克歌谣祭
국민장,国民葬
국방일보,韩国国防日报
국방홍보원,大韩民国国防宣传院
국악고등학교,国乐高等学校
국토연구원,国土硏究院
강상면,江上面
강서동,江西洞
