热比娅,레비야,rebiya
香港华民航空,에어홍콩,eeohongkong
麦盖提县,마이가이티현,maigaitihyeon
大箐山县,다칭산현,dacingsanhyeon
屯昌县,툰창현,tuncanghyeon
华为,화웨이,hwawei
衡阳县,헝양현,heongyanghyeon
帕米尔高原,파미르고원,pamireugoweon
阿合奇县,아허치현,aheocihyeon
会泽县,후이쩌현,huijjeohyeon
双湖县,솽후현,swanghuhyeon
海原县,하이위안현,haiwianhyeon
英吉沙县,잉지사현,ingjisahyeon
路环,콜로아느섬,kolroaneuseom
改则县,가이쩌현,gaijjeohyeon
中国铁路高速列车,중국철로고속,junggugceolrogosog
随县,쑤이현,ssuihyeon
阿克陶县,아커타오현,akeotaohyeon
额敏县,어민현,eominhyeon
泽普县,포스캄현,poseukamhyeon
奇台县,치타이현,citaihyeon
尉犁县,위리현,wirihyeon
霍城县,훠청현,hweoceonghyeon
吉县,지현,jihyeon
富蕴县,푸윈현,puwinhyeon
疏附县,수푸현,supuhyeon
当雄县,당슝현,dangsyunghyeon
彝良县,이량현,iryanghyeon
连平县,롄핑현,ryenpinghyeon
献县,셴현,syenhyeon
察隅县,차위현,cawihyeon
望江县,왕장현,wangjanghyeon
盱眙县,쉬이현,swiihyeon
东平洲,둥핑자우섬,dungpingjauseom
赤柱,첵취,cegcwi
砚山县,옌산현,yensanhyeon
裕民县,위민현,wiminhyeon
叶城县,카길리크현,kagilrikeuhyeon
鄯善县,산산현,sansanhyeon
和静县,허징현,heojinghyeon
巴楚县,마랄베시현,maralbesihyeon
青河县,칭허현,cingheohyeon
玛纳斯县,마나쓰현,manasseuhyeon
温宿县,원쑤현,weonssuhyeon
托里县,퉈리현,tweorihyeon
伽师县,가스현,gaseuhyeon
沙雅县,사야현,sayahyeon
若羌县,뤄창현,rweocanghyeon
疏勒县,수러현,sureohyeon
轮台县,룬타이현,runtaihyeon
谷姐网,구제,guje
浮山县,푸산현,pusanhyeon
灵丘县,링추현,ringcuhyeon
庆云县,칭윈현,cingwinhyeon
郸城县,단청현,danceonghyeon
马山县,마산현,masanhyeon
隆安县,룽안현,runganhyeon
上海市历史博物馆,상하이역사박물관,sanghaiyeogsabagmulgwan
横断山脉,헝돤산맥,heongdwansanmaeg
静乐县,징러현,jingreohyeon
中国铝业,중국알루미늄주식유한공사,junggugalruminyumjusigyuhangongsa
阿拉善盟,아라산맹,arasanmaeng
白朗县,바이랑현,bairanghyeon
安多县,안둬현,andweohyeon
黄鹤楼,황학루,hwanghagru
星光大道,성광대도,seonggwangdaedo
人人网,런런왕,reonreonwang
重阳节,중양절,jungyangjeol
共和县,궁허현,gungheohyeon
泌阳县,비양현,biyanghyeon
德昂族,따앙족,ddaangjog
博白县,보바이현,bobaihyeon
博爱县,보아이현,boaihyeon
闽侯县,민허우현,minheouhyeon
安岳县,안웨현,anwehyeon
清丰县,칭펑현,cingpeonghyeon
南皮县,난피현,nanpihyeon
呼图壁县,후투비현,hutubihyeon
鼓浪屿,구랑위,gurangwi
和硕县,허숴현,heosweohyeon
彝族,이족,ijog
响水县,샹수이현,syangsuihyeon
中日和平友好条约,중일평화우호조약,jungilpyeonghwauhojoyag
建宁县,젠닝현,jenninghyeon
北回归线,북회귀선,bughoegwiseon
汤阴县,탕인현,tanginhyeon
殷墟,은허,eunheo
元上都,상도,sangdo
稷山县,지산현,jisanhyeon
霍邱县,훠추현,hweocuhyeon
淮滨县,화이빈현,hwaibinhyeon
通河县,퉁허현,tungheohyeon
延寿县,옌서우현,yenseouhyeon
曹县,차오현,caohyeon
繁体字,정체자,jeongceja
西峡县,시샤현,sisyahyeon
吴桥县,우차오현,ucaohyeon
巴东县,바둥현,badunghyeon
南岔县,난차현,nancahyeon
雷山县,레이산현,reisanhyeon
博兴县,보싱현,bosinghyeon
博野县,보예현,boyehyeon
梁山泊,양산박,yangsanbag
勃利县,보리현,borihyeon
博湖县,보후현,bohuhyeon
波密县,보미현,bomihyeon
吉木萨尔县,지무싸얼현,jimussaeolhyeon
依兰县,이란현,iranhyeon
饶河县,라오허현,raoheohyeon
成县,청현,ceonghyeon
黟县,이현,ihyeon
类乌齐县,레이우치현,reiucihyeon
索县,쒀현,ssweohyeon
定日县,딩르현,dingreuhyeon
玛沁县,마친현,macinhyeon
江达县,장다현,jangdahyeon
申扎县,선자현,seonjahyeon
嘉黎县,자리현,jarihyeon
佛坪县,포핑현,popinghyeon
佛冈县,포강현,poganghyeon
东北边疆历史与现状系列研究工程,동북변강역사여현상계열연구공정,dongbugbyeongangyeogsayeohyeonsanggyeyeolyeongugongjeong
阿穆尔板块,아무르판,amureupan
社会民主连线,사회민주련선,sahoeminjuryeonseon
新昌县,신창현,sincanghyeon
噶尔县,가얼현,gaeolhyeon
中国银行,중국은행,junggugeunhaeng
聂荣县,녜룽현,nyerunghyeon
洛隆县,뤄룽현,rweorunghyeon
昂仁县,앙런현,angreonhyeon
中国网,중국망,junggugmang
巴青县,바칭현,bacinghyeon
岗巴县,강바현,gangbahyeon
尼玛县,니마현,nimahyeon
南木林县,난무린현,nanmurinhyeon
贡觉县,궁줴현,gungjwehyeon
阿瓦提县,아와티현,awatihyeon
中国海洋石油,중국해양석유총공사,junggughaeyangseogyuconggongsa
府谷县,푸구현,puguhyeon
中日联合声明,중일공동성명,jungilgongdongseongmyeong
青藏高原,티베트고원,tibeteugoweon
工布江达县,궁부장다현,gungbujangdahyeon
阳关,양관,yanggwan
夏河县,샤허현,syaheohyeon
中国人民志愿军,중국인민지원군,jungguginminjiweongun
中央人民政府和西藏地方政府关于和平解放西藏办法的协议,십칠조협의,sibciljohyeobyi
民航空运公司,민항공운공사,minhanggongungongsa
交通银行,교통은행,gyotongeunhaeng
旗,기,gi
班戈县,반거현,bangeohyeon
牛郎织女,견우직녀,gyeonujignyeo
秦始皇陵,진시황릉,jinsihwangreung
班玛县,반마현,banmahyeon
边坝县,볜바현,byenbahyeon
白河县,바이허현,baiheohyeon
傲游浏览器,맥스톤,maegseuton
回族,후이족,huijog
柏乡县,바이샹현,baisyanghyeon
白水县,바이수이현,baisuihyeon
保靖县,바오징현,baojinghyeon
保德县,바오더현,baodeohyeon
宝丰县,바오펑현,baopeonghyeon
保康县,바오캉현,baokanghyeon
宝清县,바오칭현,baocinghyeon
皮山县,피산현,pisanhyeon
日土县,르투현,reutuhyeon
临高县,린가오현,ringaohyeon
聂拉木县,녜라무현,nyeramuhyeon
昆仑山脉,쿤룬산맥,kunrunsanmaeg
香港电影金紫荆奖,금자형장,geumjahyeongjang
中国民生银行,중국민생은행,junggugminsaengeunhaeng
康平县,캉핑현,kangpinghyeon
木兰县,무란현,muranhyeon
墨脱县,모퉈현,motweohyeon
亚东县,야둥현,yadunghyeon
宝兴县,바오싱현,baosinghyeon
宝应县,바오잉현,baoinghyeon
周口店遗址,저우커우뎬,jeoukeoudyen
巴彦县,바옌현,bayenhyeon
拜城县,바이청현,baiceonghyeon
宜章县,이장현,ijanghyeon
莘县,선현,seonhyeon
龙游县,룽유현,rungyuhyeon
凉城县,량청현,ryangceonghyeon
和田县,호탄현,hotanhyeon
班公错,판공호,pangongho
渭河平原,관중,gwanjung
中原,중원,jungweon
博格达峰,보거다펑,bogeodapeong
车师,차사,casa
兰陵县,창산현,cangsanhyeon
龙门县,룽먼현,rungmeonhyeon
苍溪县,창시현,cangsihyeon
苍梧县,창우현,canguhyeon
大屿山,란터우섬,ranteouseom
中国石油天然气股份,페트로차이나,peteurocaina
河南足球俱乐部,허난,heonan
辉南县,후이난현,huinanhyeon
汝南县,루난현,runanhyeon
江苏足球俱乐部,장쑤,jangssu
长白山脉,창바이산맥,cangbaisanmaeg
保安族,바오안족,baoanjog
龙山县,룽산현,rungsanhyeon
洛浦县,뤄푸현,rweopuhyeon
南乐县,난러현,nanreohyeon
澄迈县,청마이현,ceongmaihyeon
中国泛蓝联盟,중국범람연맹,junggugbeomramyeonmaeng
炎陵县,옌링현,yenringhyeon
红旗渠,홍기거,honggigeo
东方红,동방홍,dongbanghong
西安清真大寺,시안다칭전사,siandacingjeonsa
都江堰,두장옌,dujangyen
红卫兵,홍위병,hongwibyeong
香港邮政,홍콩우정,hongkongujeong
沁水县,친수이현,cinsuihyeon
察雅县,차야현,cayahyeon
泽州县,쩌저우현,jjeojeouhyeon
网易,넷이즈,nesijeu
文县,원현,weonhyeon
中国围棋天元战,중국위기천원전,junggugwigiceonweonjeon
新野县,신예현,sinyehyeon
先行者,선행자,seonhaengja
克木族,크무족,keumujog
西单民主墙,민주벽,minjubyeog
岢岚县,커란현,keoranhyeon
南城县,난청현,nanceonghyeon
扎囊县,자낭현,jananghyeon
张北县,장베이현,jangbeihyeon
漳县,장현,janghyeon
方正县,팡정현,pangjeonghyeon
自治旗,자치기,jacigi
观塘,군통,guntong
锡伯族,시버족,sibeojog
北角,박곡,baggog
新浪,시나닷컴,sinadaskeom
涟水县,롄수이현,ryensuihyeon
漳浦县,장푸현,jangpuhyeon
彰武县,장우현,janguhyeon
长子县,장쯔현,jangjjeuhyeon
新乡县,신샹현,sinsyanghyeon
安福县,안푸현,anpuhyeon
昭觉县,자오줴현,jaojwehyeon
昭平县,자오핑현,jaopinghyeon
唐昭陵,소릉,soreung
昭苏县,자오쑤현,jaossuhyeon
诏安县,자오안현,jaoanhyeon
赵县,자오현,jaohyeon
西吉县,시지현,sijihyeon
柳城县,류청현,ryuceonghyeon
康马县,캉마현,kangmahyeon
中国科学院,중국과학원,jungguggwahagweon
习水县,시수이현,sisuihyeon
祁连县,치롄현,ciryenhyeon
羊卓雍错,얌드록초호,yamdeurogcoho
白玉县,바이위현,baiwihyeon
肇州县,자오저우현,jaojeouhyeon
柞水县,자수이현,jasuihyeon
肇源县,자오위안현,jaowianhyeon
江永县,장융현,jangyunghyeon
永修县,융슈현,yungsyuhyeon
广汽吉奥,고나우,gonau
柘城县,저청현,jeoceonghyeon
承德避暑山庄及其周围寺庙,피서산장,piseosanjang
大雁塔,대안탑,daeantab
江孜县,장쯔현,jangjjeuhyeon
舒城县,수청현,suceonghyeon
邵氏兄弟,쇼브라더스,syobeuradeoseu
河西走廊,하서주랑,haseojurang
册亨县,처헝현,ceoheonghyeon
正安县,정안현,jeonganhyeon
正宁县,정닝현,jeongninghyeon
正定县,정딩현,jeongdinghyeon
政和县,정허현,jeongheohyeon
郑国渠,정국거,jeongguggeo
镇巴县,전바현,jeonbahyeon
镇安县,전안현,jeonanhyeon
贞丰县,전펑현,jeonpeonghyeon
芒康县,망캉현,mangkanghyeon
山海关,산해관,sanhaegwan
家庭联产承包责任制,가정연산승포책임제,gajeongyeonsanseungpocaegimje
中山纪念堂,중산기념당,jungsanginyeomdang
越王勾践剑,월왕구천검,weolwangguceongeom
荐福寺,천복사,ceonbogsa
人民英雄纪念碑,인민영웅기념비,inminyeongungginyeombi
丘北县,추베이현,cubeihyeon
容城县,룽청현,rungceonghyeon
镇雄县,전슝현,jeonsyunghyeon
镇赉县,전라이현,jeonraihyeon
镇平县,전핑현,jeonpinghyeon
镇康县,전캉현,jeonkanghyeon
镇坪县,전핑현,jeonpinghyeon
正阳县,정양현,jeongyanghyeon
正阳门,정양문,jeongyangmun
镇远县,전위안현,jeonwianhyeon
镇原县,전위안현,jeonwianhyeon
柘荣县,저룽현,jeorunghyeon
宁远县,닝위안현,ningwianhyeon
中国人民解放军北部战区海军,북해함대,bughaehamdae
平乐县,핑러현,pingreohyeon
肃宁县,쑤닝현,ssuninghyeon
萝北县,뤄베이현,rweobeihyeon
建始县,젠스현,jenseuhyeon
鄂伦春族,오로촌족,oroconjog
茶陵县,차링현,caringhyeon
中关村,중관춘,junggwancun
中江县,중장현,jungjanghyeon
中国棋院,중국기원,jungguggiweon
中华书局有限公司,중화서국,junghwaseogug
易县,이현,ihyeon
中牟县,중무현,jungmuhyeon
江口县,장커우현,jangkeouhyeon
重庆足球俱乐部,충칭,cungcing
安吉县,안지현,anjihyeon
扶绥县,푸쑤이현,pussuihyeon
搜狐,소후,sohu
桐柏县,퉁바이현,tungbaihyeon
灵渠,영거,yeonggeo
中宁县,중닝현,jungninghyeon
钟山县,중산현,jungsanhyeon
玉佛寺,위포쓰,wiposseu
安龙县,안룽현,anrunghyeon
长海县,창하이현,canghaihyeon
长岛县,창다오현,cangdaohyeon
长丰县,창펑현,cangpeonghyeon
昌乐县,창러현,cangreohyeon
中通客车,중통버스,jungtongbeoseu
环球时报,환구시보,hwangusibo
东山县,둥산현,dungsanhyeon
靖边县,징볜현,jingbyenhyeon
昌宁县,창닝현,cangninghyeon
长岭县,창링현,cangringhyeon
昌黎县,창리현,cangrihyeon
长宁县,창닝현,cangninghyeon
长顺县,창순현,cangsunhyeon
长沙县,창사현,cangsahyeon
常山县,창산현,cangsanhyeon
周宁县,저우닝현,jeouninghyeon
中阳县,중양현,jungyanghyeon
周原遗址,주원,juweon
庄浪县,좡랑현,jwangranghyeon
周至县,저우즈현,jeoujeuhyeon
舟曲县,저우취현,jeoucwihyeon
虎跑泉,호포천,hopoceon
治多县,즈둬현,jeudweohyeon
志丹县,즈단현,jeudanhyeon
黄竹坑,웡죽항,weongjughang
织金县,즈진현,jeujinhyeon
中方县,중팡현,jungpanghyeon
仲巴县,중바현,jungbahyeon
忠县,중현,junghyeon
安化县,안화현,anhwahyeon
丹凤县,단펑현,danpeonghyeon
宁晋县,닝진현,ningjinhyeon
长汀县,창팅현,cangtinghyeon
徽县,후이현,huihyeon
昌图县,창투현,cangtuhyeon
大沽口炮台,다구포대,dagupodae
长武县,창우현,canguhyeon
长兴县,창싱현,cangsinghyeon
卢沟桥,루거우차오,rugeoucao
涿鹿县,줘루현,jweoruhyeon
甘南县,간난현,gannanhyeon
竹山县,주산현,jusanhyeon
卓资县,줘쯔현,jweojjeuhyeon
竹溪县,주시현,jusihyeon
朝阳县,차오양현,caoyanghyeon
蒙山县,멍산현,meongsanhyeon
安平县,안핑현,anpinghyeon
安仁县,안런현,anreonhyeon
宝安县,보안현,boanhyeon
岑巩县,천궁현,ceongunghyeon
大报恩寺琉璃塔,영곡탑,yeonggogtab
国家开发银行,국가개발은행,guggagaebaleunhaeng
中国气象局,중국기상국,jungguggisanggug
临县,린현,rinhyeon
新华社,신화통신사,sinhwatongsinsa
兴山县,싱산현,singsanhyeon
连江县,롄장현,ryenjanghyeon
中国美术学院,중국미술학원,junggugmisulhagweon
中国联通,중국연합통신,junggugyeonhabtongsin
街道办事处,가도변사처,gadobyeonsaceo
江铃汽车,랜드윈드,raendeuwindeu
香蕉糕,헝지우고우,heongjiugou
卤水墨鱼,로우서이막위,rouseoimagwi
淳化县,춘화현,cunhwahyeon
淳安县,춘안현,cunanhyeon
秭归县,쯔구이현,jjeuguihyeon
紫金县,쯔진현,jjeujinhyeon
中国邮政,중국우정,junggugujeong
甘德县,간더현,gandeohyeon
梓潼县,쯔퉁현,jjeutunghyeon
反分裂国家法,반분열국가법,banbunyeolguggabeob
锡林郭勒盟,시린궈러맹,siringweoreomaeng
龙井茶,용정차,yongjeongca
成安县,청안현,ceonganhyeon
承德县,청더현,ceongdeohyeon
成都武侯祠,무후사,muhusa
澄城县,청청현,ceongceonghyeon
磁县,츠현,ceuhyeon
慈利县,츠리현,ceurihyeon
资溪县,쯔시현,jjeusihyeon
资中县,쯔중현,jjeujunghyeon
资源县,쯔위안현,jjeuwianhyeon
紫阳县,쯔양현,jjeuyanghyeon
子洲县,쯔저우현,jjeujeouhyeon
新源县,신위안현,sinwianhyeon
城口县,청커우현,ceongkeouhyeon
城固县,청구현,ceongguhyeon
成武县,청우현,ceonguhyeon
隆回县,룽후이현,runghuihyeon
永靖县,융징현,yungjinghyeon
东丰县,둥펑현,dungpeonghyeon
灵隐寺,링인쓰,ringinsseu
仁化县,런화현,reonhwahyeon
中国商用飞机,중국상용항공공사,junggugsangyonghanggonggongsa
庆城县,칭청현,cingceonghyeon
措美县,춰메이현,cweomeihyeon
雅江县,야장현,yajanghyeon
邻水县,린수이현,rinsuihyeon
西充县,시충현,sicunghyeon
南部县,난부현,nanbuhyeon
石棉县,스몐현,seumyenhyeon
中国中央电视台,중국중앙텔레비전,junggugjungangtelrebijeon
塔河县,타허현,taheohyeon
中央人民广播电台,중앙인민방송국,junganginminbangsonggug
河套,허타오,heotao
友谊县,유이현,yuihyeon
靖宇县,징위현,jingwihyeon
炉霍县,루훠현,ruhweohyeon
江安县,장안현,janganhyeon
乐至县,러즈현,reojeuhyeon
武胜县,우성현,useonghyeon
开江县,카이장현,kaijanghyeon
南江县,난장현,nanjanghyeon
宣汉县,쉬안한현,swianhanhyeon
天全县,톈취안현,tyencwianhyeon
丹巴县,단바현,danbahyeon
青神县,칭선현,cingseonhyeon
洪雅县,훙야현,hungyahyeon
乡城县,샹청현,syangceonghyeon
理县,리현,rihyeon
岳池县,웨츠현,weceuhyeon
泸定县,루딩현,rudinghyeon
汉源县,한위안현,hanwianhyeon
国家电网,국가전망공사,guggajeonmanggongsa
称多县,청둬현,ceongdweohyeon
赤𫚭角,첵랍콕섬,cegrabkogseom
托克逊县,토크순현,tokeusunhyeon
中国货运航空,중국화물항공,junggughwamulhanggong
祁连山,치롄산맥,ciryensanmaeg
从江县,충장현,cungjanghyeon
措勤县,춰친현,cweocinhyeon
石渠县,스취현,seucwihyeon
色达县,써다현,sseodahyeon
筠连县,쥔롄현,jwinryenhyeon
金阳县,진양현,jinyanghyeon
普格县,푸거현,pugeohyeon
沐川县,무촨현,mucwanhyeon
绥阳县,쑤이양현,ssuiyanghyeon
盐源县,옌위안현,yenwianhyeon
注射死刑,독살형,dogsalhyeong
赛里斯,세리카,serika
封开县,펑카이현,peongkaihyeon
葵涌,쿠이충,kuicung
中国交通建设公司,중국교통건설유한공사,jungguggyotonggeonseolyuhangongsa
中国西北航空,중국서북항공,junggugseobughanggong
永胜县,융성현,yungseonghyeon
中国邮政航空,중국우편항공,junggugupyeonhanggong
华坪县,화핑현,hwapinghyeon
独山县,두산현,dusanhyeon
普安县,푸안현,puanhyeon
麻江县,마장현,majanghyeon
巧家县,차오자현,caojahyeon
云县,윈현,winhyeon
湄潭县,메이탄현,meitanhyeon
甘洛县,간뤄현,ganrweohyeon
冕宁县,몐닝현,myenninghyeon
雷波县,레이보현,reibohyeon
会东县,후이둥현,huidunghyeon
越西县,웨시현,wesihyeon
喜德县,시더현,sideohyeon
珙县,궁현,gunghyeon
凤冈县,펑강현,peongganghyeon
普定县,푸딩현,pudinghyeon
汗腾格里峰,한텡그리봉,hantenggeuribong
中国电信,중국전신,junggugjeonsin
中国西部航空,서부항공,seobuhanggong
泸溪县,루시현,rusihyeon
晴隆县,칭룽현,cingrunghyeon
凤庆县,펑칭현,peongcinghyeon
中国北方航空,중국북방항공,junggugbugbanghanggong
师宗县,스쭝현,seujjunghyeon
金沙县,진사현,jinsahyeon
荔波县,리보현,ribohyeon
黄平县,황핑현,hwangpinghyeon
贵定县,구이딩현,guidinghyeon
新界,신제,sinje
香港文化中心,홍콩문화중심,hongkongmunhwajungsim
西部大开发,서부대개발,seobudaegaebal
午门,오문,omun
深圳市足球俱乐部,선전,seonjeon
望谟县,왕모현,wangmohyeon
纳雍县,나융현,nayunghyeon
富源县,푸위안현,puwianhyeon
华宁县,화닝현,hwaninghyeon
永善县,융산현,yungsanhyeon
榕江县,룽장현,rungjanghyeon
威信县,웨이신현,weisinhyeon
桐梓县,퉁쯔현,tungjjeuhyeon
余庆县,위칭현,wicinghyeon
氹仔,타이파섬,taipaseom
中国社会科学院,중국사회과학원,junggugsahoegwahagweon
香港上海汇丰银行,홍콩상하이은행,hongkongsanghaieunhaeng
网络评论员,우마오당,umaodang
大中华,중화권,junghwagweon
鹤庆县,허칭현,heocinghyeon
绥江县,쑤이장현,ssuijanghyeon
龙陵县,룽링현,rungringhyeon
武定县,우딩현,udinghyeon
罗平县,뤄핑현,rweopinghyeon
施甸县,스뎬현,seudyenhyeon
通海县,퉁하이현,tunghaihyeon
易门县,이먼현,imeonhyeon
云贵高原,윈구이고원,winguigoweon
达斡尔族,다우르족,daureujog
极乐寺,지러쓰,jireosseu
望京街道,왕징,wangjing
元阳县,위안양현,wianyanghyeon
永仁县,융런현,yungreonhyeon
东坡肉,동파육,dongpayug
剑川县,젠촨현,jencwanhyeon
大唐西域记,대당서역기,daedangseoyeoggi
上栗县,상리현,sangrihyeon
绿春县,뤼춘현,rwicunhyeon
永平县,융핑현,yungpinghyeon
姚安县,야오안현,yaoanhyeon
双柏县,솽바이현,swangbaihyeon
洱源县,얼위안현,eolwianhyeon
永德县,융더현,yungdeohyeon
祥云县,샹윈현,syangwinhyeon
弥渡县,미두현,miduhyeon
云龙县,윈룽현,winrunghyeon
陇川县,룽촨현,rungcwanhyeon
中国国家博物馆,중국국가박물관,junggugguggabagmulgwan
飞跃,페이유에,peiyue
中国铁道博物馆东郊展馆,중국철도박물관,junggugceoldobagmulgwan
盈江县,잉장현,ingjanghyeon
红河县,훙허현,hungheohyeon
南华县,난화현,nanhwahyeon
牟定县,머우딩현,meoudinghyeon
弋阳县,이양현,iyanghyeon
阜宁县,푸닝현,puninghyeon
如东县,루둥현,rudunghyeon
安图县,안투현,antuhyeon
墨竹工卡县,모주궁카현,mojugungkahyeon
崇仁县,충런현,cungreonhyeon
若尔盖县,뤄얼가이현,rweoeolgaihyeon
左贡县,쭤궁현,jjweogunghyeon
寿宁县,서우닝현,seouninghyeon
黄陵县,황링현,hwangringhyeon
蒲城县,푸청현,puceonghyeon
武功县,우궁현,ugunghyeon
眉县,메이현,meihyeon
太白县,타이바이현,taibaihyeon
凤县,펑현,peonghyeon
建水县,젠수이현,jensuihyeon
麟游县,린유현,rinyuhyeon
岐山县,치산현,cisanhyeon
宁强县,닝창현,ningcanghyeon
拙政园,졸정원,joljeongweon
崇阳县,충양현,cungyanghyeon
崇义县,충이현,cungihyeon
永昌县,융창현,yungcanghyeon
武山县,우산현,usanhyeon
定边县,딩볜현,dingbyenhyeon
延长县,옌창현,yencanghyeon
秦安县,친안현,cinanhyeon
兴隆县,싱룽현,singrunghyeon
阴山,인산산맥,insansanmaeg
凤台县,펑타이현,peongtaihyeon
枞阳县,쭝양현,jjungyanghyeon
宜君县,이쥔현,ijwinhyeon
寒山寺,한산사,hansansa
夏县,샤현,syahyeon
茂县,마오현,maohyeon
福贡县,푸궁현,pugunghyeon
陇县,룽현,runghyeon
梁河县,량허현,ryangheohyeon
石屏县,스핑현,seupinghyeon
安乡县,안샹현,ansyanghyeon
安义县,안이현,anihyeon
安远县,안위안현,anwianhyeon
安新县,안신현,ansinhyeon
安溪县,안시현,ansihyeon
安阳县,안양현,anyanghyeon
安泽县,안쩌현,anjjeohyeon
泾县,징현,jinghyeon
平原省,핑위안성,pingwianseong
吴起县,우치현,ucihyeon
淇县,치현,cihyeon
古浪县,구랑현,guranghyeon
会宁县,후이닝현,huininghyeon
留坝县,류바현,ryubahyeon
绥德县,쑤이더현,ssuideohyeon
汉阴县,한인현,haninhyeon
米脂县,미즈현,mijeuhyeon
清水县,칭수이현,cingsuihyeon
东方明珠广播电视塔,동방명주탑,dongbangmyeongjutab
乌恰县,우차현,ucahyeon
惠水县,후이수이현,huisuihyeon
剑河县,젠허현,jenheohyeon
永寿县,융서우현,yungseouhyeon
锦屏县,진핑현,jinpinghyeon
天柱县,톈주현,tyenjuhyeon
黎平县,리핑현,ripinghyeon
勉县,몐현,myenhyeon
仪陇县,이룽현,irunghyeon
施秉县,스빙현,seubinghyeon
高台县,가오타이현,gaotaihyeon
宁陕县,닝산현,ningsanhyeon
吴堡县,우부현,ubuhyeon
佳县,자현,jahyeon
合阳县,허양현,heoyanghyeon
泾源县,징위안현,jingwianhyeon
延川县,옌촨현,yencwanhyeon
洋县,양현,yanghyeon
清涧县,칭젠현,cingjenhyeon
靖远县,징위안현,jingwianhyeon
景泰县,징타이현,jingtaihyeon
全国公安工作信息化工程,금순공정,geumsungongjeong
平塘县,핑탕현,pingtanghyeon
罗甸县,뤄뎬현,rweodyenhyeon
富县,푸현,puhyeon
黄龙县,황룽현,hwangrunghyeon
西和县,시허현,siheohyeon
康乐县,캉러현,kangreohyeon
陇西县,룽시현,rungsihyeon
临潭县,린탄현,rintanhyeon
左云县,쭤윈현,jjweowinhyeon
左权县,쭤취안현,jjweocwianhyeon
阿克赛钦,악사이친,agsaicin
少林寺,소림사,sorimsa
香港电台,홍콩라디오텔레비전,hongkongradiotelrebijeon
宜川县,이촨현,icwanhyeon
思南县,쓰난현,sseunanhyeon
甘泉县,간취안현,gancwianhyeon
隆德县,룽더현,rungdeohyeon
旬邑县,쉰이현,swinihyeon
商南县,상난현,sangnanhyeon
郧西县,윈시현,winsihyeon
礼泉县,리취안현,ricwianhyeon
康县,캉현,kanghyeon
石泉县,스취안현,seucwianhyeon
甘谷县,간구현,ganguhyeon
略阳县,뤠양현,rweyanghyeon
彭阳县,펑양현,peongyanghyeon
金塔县,진타현,jintahyeon
泾阳县,징양현,jingyanghyeon
平利县,핑리현,pingrihyeon
始兴县,스싱현,seusinghyeon
瓮安县,웡안현,weonganhyeon
芦山县,루산현,rusanhyeon
荥经县,잉징현,ingjinghyeon
玛旁雍错,마나사로와르호,manasarowareuho
中国美术馆,중국미술관,junggugmisulgwan
平遥县,핑야오현,pingyaohyeon
孔林,공림,gongrim
雷峰塔,뇌봉탑,noebongtab
民乐县,민러현,minreohyeon
宁县,닝현,ninghyeon
静宁县,징닝현,jingninghyeon
干县,첸현,cenhyeon
广河县,광허현,gwangheohyeon
环县,환현,hwanhyeon
和平县,허핑현,heopinghyeon
惠来县,후이라이현,huiraihyeon
新丰县,신펑현,sinpeonghyeon
广南县,광난현,gwangnanhyeon
西畴县,시처우현,siceouhyeon
马关县,마관현,magwanhyeon
富宁县,푸닝현,puninghyeon
北京太庙,태묘,taemyo
夹江县,자장현,jajanghyeon
繁峙县,판스현,panseuhyeon
嵩明县,쑹밍현,ssungminghyeon
罗霄山脉,뤄샤오산맥,rweosyaosanmaeg
伊吾县,이우현,iuhyeon
盐池县,옌츠현,yenceuhyeon
岷县,민현,minhyeon
大城县,다청현,daceonghyeon
临泽县,린쩌현,rinjjeohyeon
同心县,퉁신현,tungsinhyeon
瓜州县,과저우현,gwajeouhyeon
华池县,화츠현,hwaceuhyeon
唐古拉山脉,탕구라산맥,tanggurasanmaeg
大关县,다관현,dagwanhyeon
大方县,다팡현,dapanghyeon
大巴山,다바산맥,dabasanmaeg
陕甘宁盆地,오르도스고원,oreudoseugoweon
玛曲县,마취현,macwihyeon
通渭县,퉁웨이현,tungweihyeon
大别山,다볘산맥,dabyesanmaeg
大埔县,다부현,dabuhyeon
焉耆,카라샤르,karasyareu
霞浦县,샤푸현,syapuhyeon
宕昌县,당창현,dangcanghyeon
砀山县,당산현,dangsanhyeon
宁城县,닝청현,ningceonghyeon
泽库县,쩌쿠현,jjeokuhyeon
突泉县,투취안현,tucwianhyeon
碌曲县,루취현,rucwihyeon
和政县,허정현,heojeonghyeon
礼县,리현,rihyeon
泾川县,징촨현,jingcwanhyeon
惠民县,후이민현,huiminhyeon
阳信县,양신현,yangsinhyeon
灵台县,링타이현,ringtaihyeon
合水县,허수이현,heosuihyeon
山阳县,산양현,sanyanghyeon
嫩江省,넌장성,neonjangseong
辽北省,랴오베이성,ryaobeiseong
寿县,서우현,seouhyeon
刚察县,강차현,gangcahyeon
大荔县,다리현,darihyeon
岱山县,다이산현,daisanhyeon
代县,다이현,daihyeon
丹寨县,단자이현,danjaihyeon
丹棱县,단렁현,danreonghyeon
陆良县,루량현,ruryanghyeon
滘西洲,카우사이차우섬,kausaicauseom
濮阳县,푸양현,puyanghyeon
新邵县,신사오현,sinsaohyeon
阳高县,양가오현,yanggaohyeon
小金县,샤오진현,syaojinhyeon
和县,허현,heohyeon
