leandro,레안드루,reandeuru
bahia,바이아,baia
foxxx,폭스,pogseu
leopoldo,레오포우두,reopoudu
nachbin,나시빙,nasibing
gissoni,지소니,jisoni
agnaldo,아그날도,ageunaldo
katiuscia,카치우시아,kaciusia
canoro,카노루,kanoru
aloísio,알로이시우,alroisiu
tofolo,토폴루,topolru
cauã,카우앙,kauang
reymond,헤이몬드,heimondeu
heberty,헤베르치,hebereuci
louis,루이스,ruiseu
chirillo,치릴로,cirilro
guta,구타,guta
stresser,스트레세르,seuteuresereu
nicette,니세치,niseci
nanini,나니니,nanini
ary,아리,ari
fontoura,폰토라,pontora
ramon,하몬,hamon
lopez,로페스,ropeseu
pelicles,펠리클레스,pelrikeulreseu
célio,셀리우,selriu
dani,다니,dani
ludmila,루드밀라,rudeumilra
dayer,다이,dai
herlison,에를리송,ereulrisong
caion,카이옹,kaiong
natanael,나타나에우,natanaeu
marcílio,마르실리우,mareusilriu
lovinho,로비뉴,robinyu
marçal,마르사우,mareusau
justen,주스텡,juseuteng
mart'nália,마르트날리아,mareuteunalria
maximiano,마시미아누,masimianu
eriberto,이리베르투,iribereutu
giaretta,지아레타,jiareta
oliva,올리바,olriba
adnet,아드네트,adeuneteu
krigsner,크리그스네르,keurigeuseunereu
nando,난두,nandu
thaís,타이스,taiseu
alfredo,알프레도,alpeuredo
lamy,라미,rami
tonico,토니쿠,toniku
heleno,엘레누,elrenu
moska,모스카,moseuka
carmona,카르모나,kareumona
merabet,메라베트,merabeteu
catia,카티아,katia
penélope,페넬로피,penelropi
william,윌리앙,wilriang
ada,아다,ada
pellegrini,펠레그리니,pelregeurini
grinover,그리노베르,geurinobereu
chay,샤이,syai
suede,수에지,sueji
gullane,굴라니,gulrani
ornellas,오르넬라스,oreunelraseu
kotscho,코추,kocu
yū,카미야,kamiya
boechat,보에샤트,boesyateu
ricupero,히쿠페루,hikuperu
gaúcho,가우슈,gausyu
toffoli,토폴리,topolri
rubenilson,후베니우송,hubeniusong
vilela,빌렐라,bilrelra
selmir,세우미르,seumireu
bezerra,베제하,bejeha
armando,아르만두,areumandu
babaioff,바바이오프,babaiopeu
fonteles,폰텔리스,pontelriseu
paz,파스,paseu
joelisson,조엘리손,joelrison
fluvia,플루비아,peulrubia
garrafa,가하파,gahapa
eryk,이리크,irikeu
henan,에낭,enang
porchat,포르샤트,poreusyateu
jeferson,제페르송,jepereusong
wainer,와이네르,wainereu
loreto,로레토,roreto
rildo,히우두,hiudu
felicissimo,펠리시시무,pelrisisimu
juliano,줄리아누,julrianu
cazarré,카자헤,kajahe
jussara,주사라,jusara
luiza,루이자,ruija
valdetaro,바우데타루,baudetaru
ambiel,암비에우,ambieu
klara,클라라,keulrara
castanho,카스타뉴,kaseutanyu
saback,사바크,sabakeu
marcius,마르시우스,mareusiuseu
melhem,멜롕,melryeng
hassum,아숭,asung
karnal,카르나우,kareunau
pitombo,피톤보,pitonbo
marcia,마르시아,mareusia
tiburi,치부리,ciburi
veras,베라스,beraseu
clara,클라라,keulrara
gueiros,게이루스,geiruseu
britto,브리투,beuritu
neusinha,네우지냐,neujinya
ney,네이,nei
latorraca,라토하카,ratohaka
onyx,오니스,oniseu
lorenzoni,로렌조니,rorenjoni
barum,바룽,barung
suely,수엘리,suelri
suzana,수자나,sujana
herculanohouzel,허큘라노하우젤,heokyulranohaujel
sueli,수엘리,suelri
márcico,마르시쿠,mareusiku
quitéria,키테리아,kiteria
projota,프로조타,peurojota
nicanor,니카노르,nikanoreu
rebeca,레베카,rebeka
thalita,탈리타,talrita
carauta,카라우타,karauta
theodoro,테오도루,teodoru
cochrane,코시라니,kosirani
cipreste,시프레스치,sipeureseuci
silvino,시우비누,siubinu
thalles,탈리스,talriseu
penha,페냐,penya
rincon,힝콩,hingkong
sapiencia,사피엔시아,sapiensia
ricky,리키,riki
cé,세,se
pardal,파르다우,pareudau
karanga,카랑가,karangga
josiel,조시에우,josieu
marlene,마를레니,mareulreni
lancellotti,란첼로티,rancelroti
fuscão,푸스캉,puseukang
soler,솔레르,solrereu
reiner,헤이네르,heinereu
gedoz,제도스,jedoseu
marcio,마르시우,mareusiu
takara,다카라,dakara
nathan,나당,nadang
albina,아우비나,aubina
clèmerson,클레메르송,keulremereusong
merlin,메를링,mereulring
clève,클레비,keulrebi
clóvis,클로비스,keulrobiseu
maméde,마메지,mameji
lucco,루쿠,ruku
manhente,마녠치,manyenci
casadevall,카자데바우,kajadebau
cristovam,크리스토방,keuriseutobang
barbio,바비오,babio
willyan,윌리앙,wilriang
farley,파를리,pareulri
virginio,비르지니우,bireujiniu
baldin,바우징,baujing
stefano,스테파누,seutepanu
pinho,피뉴,pinyu
cauly,카울리,kaulri
lobianco,로비앙코,robiangko
rainer,하이네르,hainereu
cadete,카데치,kadeci
nathaly,나탈리,natalri
kurata,쿠라타,kurata
galvão,가우방,gaubang
macris,마크리스,makeuriseu
lukian,루키앙,rukiang
zaneratto,자네라투,janeratu
ratão,하탕,hatang
kuc,쿠크,kukeu
fellipe,펠리프,pelripeu
bertoldo,베르톨두,bereutoldu
samira,사미라,samira
jonatas,조나타스,jonataseu
belusso,벨루수,belrusu
diana,지아나,jiana
abla,아블라,abeulra
meligeni,멜리제니,melrijeni
olivir,올리비르,olribireu
gabardo,가바르두,gabareudu
goiano,고이아누,goianu
allano,알라누,alranu
gaitán,가이탕,gaitang
elmôr,이우모르,iumoreu
enedina,이네지나,inejina
edinho,이지뉴,ijinyu
mandetta,만데타,mandeta
dalavia,달라비아,dalrabia
whindersson,윈데르송,windereusong
romarinho,호마링요,homaringyo
ronielson,호니에우송,honieusong
popp,포프,popeu
helga,에우가,euga
nemeczyk,네메치크,nemecikeu
gebran,제브랑,jebeurang
belloli,벨롤리,belrolri
liniker,리니카,rinika
dalbert,다우베르트,daubereuteu
sauer,사우에르,sauereu
walterson,바우테르송,bautereusong
lamas,라마스,ramaseu
kayzer,카이제르,kaijereu
hygor,이고르,igoreu
baio,바이우,baiu
matzembacher,마트젬바케르,mateujembakereu
bichette,비솃,bisyes
job,조브,jobeu
nezinho,네지뉴,nejinyu
kalil,카리우,kariu
abdala,아브달라,abeudalra
ava,아바,aba
djamila,자밀라,jamilra
deltan,데우탕,deutang
dallagnol,달라그노우,dalrageunou
jefferson,제페르송,jepereusong
silvero,시우베루,siuberu
jucimar,주시마르,jusimareu
hikari,히카리,hikari
dandara,단다라,dandara
mailson,마이우송,maiusong
farías,파라이스,paraiseu
cynthia,신시아,sinsia
aparecida,세네크,senekeu
luisa,루이자,ruija
arraes,아하이스,ahaiseu
serrato,세라토,serato
tom,통,tong
karabachian,카라바시앙,karabasiang
seyboth,세이보트,seiboteu
wild,위우드,wiudeu
mc,엠씨,emssi
fioti,피오티,pioti
yara,야라,yara
charry,샤리,syari
maranhão,마라냥,maranyang
góes,고이스,goiseu
oriovisto,오리오비스투,oriobiseutu
laryssa,라리사,rarisa
ayres,아이리스,airiseu
vintecinco,빈치싱쿠,bincisingku
zambelli,잠벨리,jambelri
damares,다마리스,damariseu
henry,엔히,enhi
bugalho,부갈류,bugalryu
marcella,마르첼라,mareucelra
bragio,브라기오,beuragio
milos,밀루스,milruseu
jurema,주레마,jurema
thati,타치,taci
lucio,루시오,rusio
wajngarten,바잉가르텡,bainggareuteng
angélica,안젤리카,anjelrika
senra,센라,senra
guajajara,구아자라,guajara
flavio,플라비오,peulrabio
pitaluga,피탈루가,pitalruga
marinho,마리뉴,marinyu
thelma,델마,delma
nyeme,니에미,niemi
endrick,엔드리키,endeuriki
deivid,데이비드,deibideu
kudiess,쿠지에스,kujieseu
fred,프레드,peuredeu
nicácio,니카시오,nikasio
sander,샌더,saendeo
isnairo,이스나이루,iseunairu
soveral,소베랄,soberal
éderzito,에데르지투,edereujitu
pessanha,페사냐,pesanya
portas,포르타스,poreutaseu
lídia,리디아,ridia
eliseu,엘리세우,elriseu
pia,피아,pia
saboia,사보이아,saboia
florbela,플로르벨라,peulroreubelra
espanca,이스팡카,iseupangka
pimparel,핌파렐,pimparel
tê,테,te
sergey,세르게이,sereugei
yuran,유란,yuran
francis,프랜시스,peuraensiseu
obikwelu,오비퀠루,obikwelru
boa,보아,boa
morte,모르트,moreuteu
agostinho,아고스티뉴,agoseutinyu
antónia,포르투갈,poreutugal
dominguez,도밍게스,dominggeseu
constâncio,콘스탄시우,konseutansiu
adans,아단스,adanseu
peres,페레스,pereseu
liza,리자,rija
orlando,오를란두,oreulrandu
gedeão,제데앙,jedeang
capela,카펠라,kapelra
cristóvão,크리스토방,keuriseutobang
varanda,바란다,baranda
moedas,모에다스,moedaseu
barge,바르제,bareuje
durão,두랑,durang
carvalhas,카르발랴스,kareubalryaseu
pete,피트,piteu
tha,타,ta
zouk,주크,jukeu
patrick,파트리크,pateurikeu
mille,밀,mil
nemésio,네메지우,nemejiu
gastão,가스탕,gaseutang
alberta,알베르타,albereuta
menéres,메네르스,menereuseu
suzanne,쉬잔,swijan
daveau,다보,dabo
mily,밀리,milri
possoz,포소스,pososeu
victória,빅토리아,bigtoria
mimicat,미미캣,mimikaes
suzy,수지,suji
grada,그라다,geurada
kilomba,킬롬바,kilromba
djaló,잘로,jalro
lamelaslópez,라멜라스로페스,ramelraseuropeseu
manor,마노르,manoreu
solomon,솔로몬,solromon
josué,조주에,jojue
pinharanda,피냐란다,pinyaranda
jaime,제이미,jeimi
floresta,아마존,amajon
amazônica,우림,urim
furacão,사이클론,saikeulron
sinop,시노프,sinopeu
cascavel,방울뱀,bangulbaem
pampas,팜파스,pampaseu
tv,헤지,heji
amazônia,아마조니아,amajonia
erechim,에레심,eresim
lindas,린다스,rindaseu
lauro,로우로,rouro
ubá,우바,uba
embu,엥부,engbu
artes,아르테스,areuteseu
montes,몬테스,monteseu
claros,클라로스,keulraroseu
diadema,디아데마,diadema
dourados,도우라두스,douraduseu
ibirité,이비리테,ibirite
pacaembu,파카엠부,pakaembu
itapecerica,이타페세리카,itapeserika
divinópolis,디비노폴리스,dibinopolriseu
jacareí,자카리,jakari
jocum,예수전도단,yesujeondodan
claro,클라로,keulraro
ribeirão,히베로,hibero
parintins,파린틴스,parintinseu
miss,미스,miseu
itaquaquecetuba,이따꽈께세뚜바,iddaggwaggesedduba
guarapuava,구라아푸아바,guraapuaba
mauá,마우아,maua
colatina,콜라티나,kolratina
pernambuco,페르남부쿠,pereunambuku
iguatu,이구아투,iguatu
brusque,부르스크,bureuseukeu
paragominas,파라고미나스,paragominaseu
tucuruí,투쿠루이,tukurui
uberaba,우베라바,uberaba
gravataí,그라바타이,geurabatai
barreiras,바헤이라스,baheiraseu
sapucaia,사푸카이아,sapukaia
sumaré,수마레,sumare
poá,포아,poa
ituiutaba,이투이우타바,ituiutaba
taguatinga,타구아팅가,taguatingga
hortolândia,올토랜디아,oltoraendia
itaguaí,이타구아이,itaguai
itapevi,이타페비,itapebi
cabo,카보,kabo
frio,프리오,peurio
incêndio,조엘마,joelma
no,빌딩,bilding
joelma,사고,sago
akan,아칸족,akanjog
alvorada,알보라다,alborada
altamira,알타미라,altamira
jê,제어족,jeeojog
sabará,사바라,sabara
luziânia,루지아니아,rujiania
macaé,마카에,makae
mogi,모지,moji
guaçu,구아수,guasu
cachoeirinha,카슈이리냐,kasyuirinya
guaraná,과라나,gwarana
abaetetuba,아베테투바,abetetuba
palácio,팔라시우,palrasiu
planalto,플라나우투,peulranautu
botucatu,보투카투,botukatu
imperatriz,임페라트리즈,imperateurijeu
muriaé,무리아에,muriae
palhoça,팔료사,palryosa
araguari,아라과리,aragwari
juazeiro,주아제이루,juajeiru
pindamonhangaba,삔다모냥가바,bbindamonyanggaba
lavras,라브라스,rabeuraseu
itabira,이타비라,itabira
parnaíba,파르나이바,pareunaiba
barretos,바레투스,baretuseu
carazinho,카라지뉴,karajinyu
caraguatatuba,카라구아타투바,karaguatatuba
garanhuns,가라늉스,garanyungseu
valinhos,발린호스,balrinhoseu
jaú,자우,jau
ariquemes,아리퀘메스,arikwemeseu
valparaíso,발파라이소,balparaiso
morato,모라토,morato
várzea,바르제아,bareujea
itatiba,이따찌바,iddajjiba
ferraz,페라즈,perajeu
passo,파소,paso
fundo,풍두,pungdu
catanduva,카탄두바,katanduba
rondonópolis,론도노폴리스,rondonopolriseu
grande,그란지,geuranji
varginha,바르지냐,bareujinya
mesquita,메스키타,meseukita
patos,파토스,patoseu
minas,미나스,minaseu
castanhal,카스탄할,kaseutanhal
samambaia,사맘바이아,samambaia
itajubá,이타주바,itajuba
senador,세나도르,senadoreu
ourinhos,오리뇨스,orinyoseu
barra,바라,bara
mansa,만사,mansa
caucaia,카우카야,kaukaya
arapongas,아라폰가,araponga
taboão,타바아오,tabaao
cariacica,카리아시카,kariasika
araras,아라라스,araraseu
almirante,알미란테,almirante
tamandaré,타만다레,tamandare
limeira,리메이라,rimeira
itaboraí,이타보라이,itaborai
parnamirim,파르나미림,pareunamirim
magé,마제,maje
araxá,아락사,aragsa
petrolina,페트롤리나,peteurolrina
praia,프라이아,peuraia
itajaí,이타자이,itajai
jaraguá,자라구아,jaragua
camaragibe,카마라지베,kamarajibe
itapiranga,이타피랑가,itapirangga
umuarama,우무아라마,umuarama
prata,프라타,peurata
caxias,카시아스,kasiaseu
ceilândia,세일랑지아,seilrangjia
crato,크라토,keurato
américo,아메리쿠,ameriku
timon,티몬,timon
largo,라고,rago
açailândia,아사일란디아,asailrandia
ostras,오스트라스,oseuteuraseu
igarassu,이가라수,igarasu
japeri,자페리,japeri
cametá,카메타,kameta
indaiatuba,인다이아투바,indaiatuba
são,상,sang
mateus,마테우스,mateuseu
araguaína,아라구아이나,araguaina
araçatuba,아라사투바,arasatuba
pinhais,피냐이스,pinyaiseu
barcarena,바카레나,bakarena
cambé,깜베,ggambe
araucária,아라우까리아,arauggaria
parauapebas,파라우아페바스,parauapebaseu
comitê,브라질,beurajil
brasileiro,위원회,wiweonhoe
lagarto,라가르토,ragareuto
tailândia,타일랜디아,tailraendia
bacabal,바카바우,bakabau
codó,코도,kodo
torneio,투르누아,tureunua
tubarão,투바랑,tubarang
fronteira,가이아나브라질,gaianabeurajil
brasilguiana,국경,guggyeong
maracanaú,마라카나우,marakanau
planaltina,플란날티나,peulrannaltina
maranguape,마란구아페,maranguape
tatuí,타투이,tatui
sertãozinho,세르타오지노,sereutaojino
eunápolis,유나폴리스,yunapolriseu
brasilcolômbia,국경,guggyeong
itapipoca,이타피포카,itapipoka
brasilsuriname,국경,guggyeong
brasilvenezuela,국경,guggyeong
queimados,케이마도스,keimadoseu
bolíviabrasil,국경,guggyeong
claras,클라라스,keulraraseu
salto,살토,salto
brasilparaguai,국경,guggyeong
argentinabrasil,국경,guggyeong
brasilperu,국경,guggyeong
recanto,레칸토,rekanto
emas,데마스,demaseu
na,나이트클럽,naiteukeulreob
boate,화재,hwajae
kiss,사고,sago
guará,구아라,guara
catanduvense,카탄두벤세,katandubense
queijo,코알류,koalryu
coalho,치즈,cijeu
marituba,마리투바,marituba
prato,치즈,cijeu
paio,파이우,paiu
tucupi,투쿠피,tukupi
ação,브라질,beurajil
integralista,통일주의,tongiljuyi
brasileira,행동당,haengdongdang
campeonato,캄페오나투,kampeonatu
feminino,페미니누,pemininu
maravilhosa,찬가,canga
capivariano,카피바리아누,kapibarianu
alagoinhas,알라구이냐스,alraguinyaseu
três,트레스,teureseu
lagoas,라고아스,ragoaseu
zalla,잘라,jalra
che,시,si
hostel,오스테우,oseuteu
galinhas,갈리냐스,galrinyaseu
lamego,라메고,ramego
d,동,dong
henriques,엔히크스,enhikeuseu
lourinhã,로리냥,rorinyang
oleiros,올레이루스,olreiruseu
prémio,카몽이스,kamongiseu
estado,이스타두,iseutadu
capelinha,성모마리아,seongmomaria
aparições,대성당,daeseongdang
serradura,세하두라,sehadura
última,최후의,coehuyi
ceia,만찬,mancan
congonhassão,콩고냐스,konggonyaseu
airport,공항,gonghang
viracopos,비라코푸스,birakopuseu
international,캄피나스,kampinaseu
lisbon,리스본,riseubon
madeira,마데이라,madeira
europe,유럽,yureob
