hebe,ɛbɛ
hailé,ajle
accioly,ɐksiolj
hipismo,ipiʃmo
estadual,ɛʃtɐduɐl
lourival,lowuɾivɐl
datafolha,dɐtɐfolɐ
guinle,ɡʷinlɛ
baixa,bajksɐ
deckdisc,dɛkkdiʃk
alair,ɐlajɾ
bandsports,bɐndspoɾtʃ
bragantino,bɾɐɡɐntino
ilha,ilɐ
cobras,kobʁɐʃ
ato,ɐto
adicional,ɐdizionɐl
tiro,tiɾo
prefeito,pɾɛfɛjto
dilzon,dilzõ
brazilian,bɾɐziliɐ̃
decimetric,dɛzimɛtʁik
array,ɐʁɐj
boca,bokɐ
castor,kɐʃtoɾ
cifuentes,sifuɛntɛʃ
stédile,stedilɛ
aniceto,ɐnizɛto
moscoso,moʃkozo
vitta,vittɐ
engenheiro,ɛnʒɛnɛjɾo
araripe,ɐɾɐɾipɛ
godofredo,ɡodofʁɛdo
giulite,ʒiwlitɛ
doutor,dowutoɾ
benigno,bɛniɡno
jaboticabal,ʒɐbotikɐbɐl
proletário,pɾolɛtaɾio
professor,pɾofɛʃsoɾ
dario,dɐɾio
hóquei,ɔkʷɛj
jabaquara,ʒɐbɐkɐɾɐ
itautec,itawtɛk
érton,eɾtõ
roriz,ʁoɾiʒ
radialista,ʁɐdiɐliʃtɐ
helênio,ɛlenio
comunitário,komunitaɾio
colosso,koloʃso
onésio,onezio
brasileiro,bɾɐzilɛjɾo
alvarenga,ɐlvɐɾɛnɡɐ
regional,ʁɛʒionɐl
busatto,buzɐtto
crespi,kɾɛʃpi
anacleto,ɐnɐklɛto
campanella,kɐmpɐnɛllɐ
canoagem,kɐnowɐʒɛ̃
slalom,slɐlõ
campeonato,kɐmpɛonɐto
team,tɛɐ̃
canal,kɐnɐl
telecine,tɛlɛzinɛ
abaporu,ɐbɐpoɾu
filmes,filmɛʃ
kolynos,koljnoʃ
quarteto,kɐɾtɛto
lindolfo,lindolfo
uakti,uɐkti
dr,dɾ
olhodagüense,olodɐɡ̈ɛnsɛ
paraibano,pɐɾajbɐno
zona,zonɐ
malandragem,mɐlɐndɾɐʒɛ̃
cinemateca,sinɛmɐtɛkɐ
aerotáxi,ɐɛɾotaksi
hering,ɛɾinɡ
mandonismo,mɐndoniʃmo
lóide,lõj̃dɛ
aéreo,ɐeɾɛo
slipstream,slipstɾɛɐ̃
elmo,ɛlmo
burning,buɾninɡ
hell,ɛll
maniçoba,mɐnisobɐ
sport,spoɾt
alfenim,ɐlfɛnĩ
coaracy,kowɐɾɐzj
edgard,ɛdɡɐɾd
luthero,lutɛɾo
epifânio,ɛpifanio
d'abadia,dʼɐbɐdiɐ
bianco,biɐnko
junco,ʒunko
tamba,tɐmbɐ
trio,tɾio
d'areia,dʼɐɾɛjɐ
farache,fɐɾɐkɛ
genervino,ʒɛnɛɾvino
krüger,kɾüʒɛɾ
farina,fɐɾinɐ
bauer,bawɛɾ
frederiquense,fɾɛdɛɾikʷɛnsɛ
troféu,tɾofɛw
total,totɐl
cine,sinɛ
dupla,duplɐ
sertaneja,sɛɾtɐnɛʒɐ
caramurus,kɐɾɐmuɾuʃ
horácio,oɾazio
maio,mɐjo
discos,diʃkoʃ
valdeir,vɐldɛjɾ
zezinho,zɛzino
dapuzzo,dɐpuʒzo
gonzales,ɡonzɐlɛʃ
expresso,ɛspɾɛʃso
turístico,tuɾiʃtiko
casa,kɐzɐ
reale,ʁɛɐlɛ
iliê,ilie
toscano,toʃkɐno
janguito,ʒɐnɡʷito
malucelli,mɐluzɛlli
olímpio,olimpio
hercílio,ɛɾsilio
hermínio,ɛɾminio
ometto,omɛtto
ulbra,ulbɾɐ
cima,simɐ
bacurau,bɐkuɾaw
sobrinho,sobʁino
sesi,sɛzi
comércio,komeɾsio
fares,fɐɾɛʃ
mato,mɐto
grosso,ɡɾoʃso
vereador,vɛɾɛɐdoɾ
ferez,fɛɾɛʒ
amaros,ɐmɐɾoʃ
florentina,floɾɛntinɐ
mineiros,minɛjɾoʃ
mundiais,mundiajʃ
hematita,ɛmɐtitɐ
templo,tɛmplo
fluminense,fluminɛnsɛ
aprazível,ɐpʁɐzivɛl
japão,ʒɐpɐ̃w̃
torrense,toʁɛnsɛ
mangaratibense,mɐnɡɐɾɐtibɛnsɛ
jockey,ʒokkɛj
jongo,ʒonɡo
lulismo,luliʃmo
jahu,ʒaw
krona,kɾonɐ
kinkakuji,kinkɐkuʒi
marreco,mɐʁɛko
torto,toɾto
moçambique,mosɐmbikʷɛ
patriota,pɐtʁiotɐ
pelo,pɛlo
telefone,tɛlɛfonɛ
jovem,ʒovɛ̃
ribeira,ʁibɛjɾɐ
super,supɛɾ
rádio,ʁadio
reserva,ʁɛzɛɾvɐ
marapendi,mɐɾɐpɛndi
galinhas,ɡɐlinɐʃ
início,inizio
rocco,ʁokko
hiroshima,iɾoʃimɐ
veador,vɛɐdoɾ
madrigal,mɐdʁiɡɐl
talha,tɐlɐ
operária,opɛɾaɾiɐ
teleférico,tɛlɛfeɾiko
araguainense,ɐɾɐɡajnɛnsɛ
waldemiro,wɐldɛmiɾo
pirarrãs,piɾɐʁɐ̃ʃ
quermesse,kʷɛɾmɛʃsɛ
academia,ɐkɐdɛmiɐ
barroco,bɐʁoko
angu,ɐnɡ
maringaense,mɐɾinɡɐɛnsɛ
condá,konda
bumbum,bumbũ
mumbuca,mumbukɐ
borbense,boɾbɛnsɛ
mana,mɐnɐ
coxinha,koksinɐ
recopa,ʁɛkopɐ
interior,intɛɾioɾ
cartoon,kɐɾtowõ
network,nɛtwoɾk
barretto,bɐʁɛtto
liberatti,libɛɾɐtti
santanense,sɐntɐnɛnsɛ
tapecar,tɐpɛkɐɾ
natalense,nɐtɐlɛnsɛ
olympia,oljmpiɐ
catarinense,kɐtɐɾinɛnsɛ
solidariedade,solidɐɾiɛdɐdɛ
gamercom,ɡɐmɛɾkõ
tuiuti,tujuti
terenos,tɛɾɛnoʃ
tapiraí,tɐpiɾaj́
uruçuí,uɾusuj́
altos,ɐltoʃ
una,unɐ
igarapé,iɡɐɾɐpe
corinto,koɾinto
cajuru,kɐʒuɾu
ubatã,ubɐtɐ̃
tucano,tukɐno
tapiramutá,tɐpiɾɐmuta
anhumas,ɐnumɐʃ
almeirim,ɐlmɛjɾĩ
nubank,nubɐnk
clássico,klaʃsiko
matuto,mɐtuto
sony,sonj
music,muzik
futuro,futuɾo
campinarana,kɐmpinɐɾɐnɐ
mortadela,moɾtɐdɛlɐ
anônima,ɐnonimɐ
beneficente,bɛnɛfizɛntɛ
catalana,kɐtɐlɐnɐ
ouvidorense,owuvidoɾɛnsɛ
saletta,sɐlɛttɐ
entrada,ɛntɾɐdɐ
estrella,ɛʃtɾɛllɐ
tismoo,tiʃmowo
palmeiras,pɐlmɛjɾɐʃ
enkoji,ɛnkoʒi
mesa,mɛzɐ
bhering,bɛɾinɡ
rotunda,ʁotundɐ
arenoso,ɐɾɛnozo
pix,pis
imovision,imoviziõ
forma,foɾmɐ
vitrine,vitʁinɛ
nabote,nɐbotɛ
europa,ewɾopɐ
hospital,oʃpitɐl
che,kɛ
hostel,oʃtɛl
inconfidência,inkonfidensiɐ
coleção,kolɛsɐ̃w̃
algodres,ɐlɡodʁɛʃ
tendais,tɛndajʃ
alcáçova,ɐlkasovɐ
seia,sɛjɐ
espadanedo,ɛʃpɐdɐnɛdo
matosinhos,mɐtozinoʃ
ribatejo,ʁibɐtɛʒo
côa,koɐ
camacha,kɐmɐkɐ
covilhã,kovilɐ̃
foia,fowjɐ
odivelas,odivɛlɐʃ
ourique,owuɾikʷɛ
vedras,vɛdʁɐʃ
xira,ʃiɾɐ
loures,lowuɾɛʃ
tábua,tabuɐ
marvão,mɐɾvɐ̃w̃
alenquer,ɐlɛnkʷɛɾ
alportel,ɐlpoɾtɛl
vendas,vɛndɐʃ
entroncamento,ɛntɾonkɐmɛnto
cabeceiras,kɐbɛzɛjɾɐʃ
moimenta,mowimɛntɐ
beira,bɛjɾɐ
vimioso,vimiozo
terras,tɛʁɐʃ
bouro,bowuɾo
bárrio,baʁio
portimão,poɾtimɐ̃w̃
foral,foɾɐl
tarouca,tɐɾowukɐ
bombarral,bombɐʁɐl
boliqueime,bolikʷɛjmɛ
odemira,odɛmiɾɐ
alburitel,ɐlbuɾitɛl
sabugal,sɐbuɡɐl
vidigueira,vidiɡʷɛjɾɐ
mogadouro,moɡɐdowuɾo
minho,mino
baleira,bɐlɛjɾɐ
sor,soɾ
famalicão,fɐmɐlikɐ̃w̃
mirandela,miɾɐndɛlɐ
vide,vidɛ
cacém,kɐzẽ
reguengos,ʁɛɡʷɛnɡoʃ
monsaraz,monsɐɾɐʒ
seixal,sɛjksɐl
penamacor,pɛnɐmɐkoɾ
ródão,ʁɔdɐ̃w̃
pampilhosa,pɐmpilozɐ
vizela,vizɛlɐ
esposende,ɛʃpozɛndɛ
constância,konstansiɐ
lousã,lowuzɐ̃
pouca,powukɐ
cuba,kubɐ
furnas,fuɾnɐʃ
aljustrel,ɐlʒuʃtɾɛl
arouca,ɐɾowukɐ
charneca,kɐɾnɛkɐ
caparica,kɐpɐɾikɐ
vinho,vino
ansião,ɐnsiɐ̃w̃
anta,ɐntɐ
nordeste,noɾdɛʃtɛ
redondo,ʁɛdondo
almodôvar,ɐlmodovɐɾ
paços,pɐsoʃ
agraço,ɐɡʁɐso
ordem,oɾdɛ̃
penela,pɛnɛlɐ
povoação,povowɐsɐ̃w̃
graciosa,ɡɾɐziozɐ
coles,kolɛʃ
aginter,ɐʒintɛɾ
press,pɾɛsʃ
citânia,sitaniɐ
briteiros,bɾitɛjɾoʃ
penacova,pɛnɐkovɐ
velas,vɛlɐʃ
pombal,pombɐl
cova,kovɐ
mesão,mɛzɐ̃w̃
corroios,koʁowjoʃ
oleiros,olɛjɾoʃ
mós,mɔʃ
pedrógão,pɛdʁɔɡɐ̃w̃
castanheira,kɐʃtɐnɛjɾɐ
penafiel,pɛnɐfiɛl
cávado,kavɐdo
cadaval,kɐdɐvɐl
lourinhã,lowuɾinɐ̃
grândola,ɡɾandolɐ
curtas,kuɾtɐʃ
manteigas,mɐntɛjɡɐʃ
alcanena,ɐlkɐnɛnɐ
gondomar,ɡondomɐɾ
mangualde,mɐnɡɐldɛ
valongo,vɐlonɡo
frades,fɾɐdɛʃ
quarteira,kɐɾtɛjɾɐ
lousada,lowuzɐdɐ
lajes,lɐʒɛʃ
arieiro,ɐɾiɛjɾo
central,sɛntɾɐl
ii,ii
divisão,divizɐ̃w̃
diamang,diɐmɐnɡ
iria,iɾiɐ
monsanto,monsɐnto
levada,lɛvɐdɐ
olival,olivɐl
ermesinde,ɛɾmɛzindɛ
barreiros,bɐʁɛjɾoʃ
pinhal,pinɐl
lobos,loboʃ
canaveses,kɐnɐvɛzɛʃ
mouro,mowuɾo
notícias,notiziɐʃ
ave,ɐvɛ
milfontes,milfontɛʃ
mondego,mondɛɡo
ala,ɐlɐ
misericórdia,mizɛɾikɔɾdiɐ
litoral,litoɾɐl
zibreira,zibʁɛjɾɐ
fronteira,fɾontɛjɾɐ
vinhateiro,vinɐtɛjɾo
ericeira,ɛɾizɛjɾɐ
covo,kovo
energias,ɛnɛɾʒiɐʃ
figueiró,fiɡʷɛjɾɔ
vinhos,vinoʃ
carcavelos,kɐɾkɐvɛloʃ
justa,ʒuʃtɐ
machico,mɐkiko
restelo,ʁɛʃtɛlo
alandroal,ɐlɐndɾowɐl
trafaria,tɾɐfɐɾiɐ
arrentela,ɐʁɛntɛlɐ
arronches,ɐʁonkɛʃ
festroia,fɛʃtɾowjɐ
loriga,loɾiɡɐ
lagos,lɐɡoʃ
doula,dowulɐ
estremadura,ɛʃtɾɛmɐduɾɐ
médio,medio
tejo,tɛʒo
rana,ʁɐnɐ
leça,lɛsɐ
alcabideche,ɐlkɐbidɛkɛ
olhão,olɐ̃w̃
ourém,owuɾẽ
monforte,monfoɾtɛ
lourosa,lowuɾozɐ
baixo,bajkso
livraria,livʁɐɾiɐ
avanca,ɐvɐnkɐ
azeitão,ɐzɛjtɐ̃w̃
mafamude,mɐfɐmudɛ
mozelos,mozɛloʃ
lezíria,lɛziɾiɐ
hanno,ɐnno
avis,ɐviʃ
marrancos,mɐʁɐnkoʃ
linha,linɐ
tondela,tondɛlɐ
azinhaga,ɐzinɐɡɐ
óbidos,ɔbidoʃ
marinha,mɐɾinɐ
massarelos,mɐʃsɐɾɛloʃ
vouga,vowuɡɐ
cónegos,kɔnɛɡoʃ
muge,muʒɛ
ílhavo,ilɐvo
tâmega,tamɛɡɐ
almancil,ɐlmɐnsil
montijo,montiʒo
corvo,koɾvo
barrancos,bɐʁɐnkoʃ
cacilhas,kɐzilɐʃ
damaia,dɐmɐjɐ
estarreja,ɛʃtɐʁɛʒɐ
mealhada,mɛɐlɐdɐ
salvaterra,sɐlvɐtɛʁɐ
magos,mɐɡoʃ
caminha,kɐminɐ
portus,poɾtuʃ
cale,kɐlɛ
pax,pɐs
anadia,ɐnɐdiɐ
algarvia,ɐlɡɐɾviɐ
judeu,ʒudew
orbest,oɾbɛʃt
arganil,ɐɾɡɐnil
queima,kʷɛjmɐ
fitas,fitɐʃ
góis,ɡõj̃ʃ
monção,monsɐ̃w̃
poiares,powjɐɾɛʃ
vilamoura,vilɐmowuɾɐ
alcáçovas,ɐlkasovɐʃ
air,ajɾ
atlantis,ɐtlɐntiʃ
ajuda,ɐʒudɐ
ovar,ovɐɾ
azeméis,ɐzɛmɛjʃ
alte,ɐltɛ
figueira,fiɡʷɛjɾɐ
alvaiázere,ɐlvɐjazɛɾɛ
pragal,pɾɐɡɐl
alvor,ɐlvoɾ
segura,sɛɡʁɐ
pontinha,pontinɐ
amareleja,ɐmɐɾɛlɛʒɐ
amora,ɐmoɾɐ
via,viɐ
alter,ɐltɛɾ
chão,kɐ̃w̃
barraca,bɐʁɐkɐ
alvito,ɐlvito
cetóbriga,sɛtɔbʁiɡɐ
psr,psɾ
torre,toʁɛ
melgaço,mɛlɡɐso
aero,ɐɛɾo
agroar,ɐɡʁowɐɾ
tentúgal,tɛntuɡɐl
diário,diaɾio
sandomil,sɐndomil
querença,kʷɛɾɛnsɐ
benafim,bɛnɐfĩ
berrão,bɛʁɐ̃w̃
sousel,sowuzɛl
feminina,fɛmininɐ
penhas,pɛnɐʃ
saúde,saẃdɛ
algar,ɐlɡɐɾ
carvão,kɐɾvɐ̃w̃
canelas,kɐnɛlɐʃ
rugby,ʁuɡbj
galveias,ɡɐlvɛjɐʃ
politécnico,politekniko
lágrimas,laɡʁimɐʃ
sogrape,soɡʁɐpɛ
pevidem,pɛvidɛ̃
zoomarine,zowomɐɾinɛ
parchal,pɐɾkɐl
ditadura,ditɐduɾɐ
autorretrato,awtoʁɛtʁɐto
delicado,dɛlikɐdo
olisipo,olizipo
farol,fɐɾol
carapacho,kɐɾɐpɐko
entre,ɛntɾɛ
furna,fuɾnɐ
enxofre,ɛnksofʁɛ
geopark,ʒɛopɐɾk
naturtejo,nɐtuɾtɛʒo
albergaria,ɐlbɛɾɡɐɾiɐ
paiã,pɐjɐ̃
ordenanças,oɾdɛnɐnsɐʃ
lisnave,liʃnɐvɛ
ouguela,owuɡʷɛlɐ
meã,mɛɐ̃
cevide,sɛvidɛ
montalvo,montɐlvo
luxor,luksoɾ
tá,ta
na,nɐ
beiras,bɛjɾɐʃ
convento,konvɛnto
serradura,sɛʁɐduɾɐ
livre,livʁɛ
infraestruturas,infɾɐɛʃtɾutuɾɐʃ
trásosmontes,tɾazoʃmontɛʃ
chega,kɛɡɐ
iniciativa,iniziɐtivɐ
liberal,libɛɾɐl
belcanto,bɛlkɐnto
volt,volt
lisbon,liʃbõ
europe,ewɾopɛ
bessa,bɛʃsɐ
rossio,ʁoʃsio
damião,dɐmiɐ̃w̃
ignez,iɡnɛʒ
hulk,ulk
villalobos,villɐloboʃ
bebeto,bɛbɛto
ramires,ʁɐmiɾɛʃ
dieckmann,diɛkkmɐn
elano,ɛlɐno
cléo,kleo
lemmertz,lɛmmɛɾtʒ
fumagalli,fumɐɡɐlli
grafite,ɡɾɐfitɛ
tite,titɛ
jor,ʒoɾ
sammir,sɐmmiɾ
zeca,zɛkɐ
pagodinho,pɐɡodino
liedson,liɛdsõ
djalminha,dʒɐlminɐ
marangon,mɐɾɐnɡõ
oséas,ozeɐʃ
tartá,tɐɾta
moritz,moɾitʒ
piazón,piɐzɔ̃
elkeson,ɛlkɛzõ
sheik,sɛjk
leiva,lɛjvɐ
arósio,ɐɾɔzio
lachowski,lɐkowski
tabata,tɐbɐtɐ
hickmann,ikkmɐn
hoyama,owjɐmɐ
milene,milɛnɛ
tuta,tutɐ
muriqui,muɾikʷi
lina,linɐ
echigo,ɛkiɡo
ubaldo,ubɐldo
birkheuer,biɾkewɛɾ
jucilei,ʒuzilɛj
ziad,ziɐd
fazah,fɐzɐ
lucélia,luzeliɐ
perla,pɛɾlɐ
haneyjardine,ɐnɛjʒɐɾdinɛ
lisa,lizɐ
ono,ono
deco,dɛko
brazil,bɾɐzil
daishiro,dajʃiɾo
yoshimura,joʃimuɾɐ
taison,tajzõ
derlei,dɛɾlɛj
sabatella,sɐbɐtɛllɐ
odilo,odilo
sylvinho,sjlvino
naldo,nɐldo
hernanes,ɛɾnɐnɛʃ
ganso,ɡɐnso
keirrison,kɛjʁizõ
cortês,koɾteʃ
aracy,ɐɾɐzj
balabanian,bɐlɐbɐniɐ̃
kelly,kɛllj
key,kɛj
nenê,nɛne
gullar,ɡllɐɾ
kobayashi,kobɐjɐʃi
tita,titɐ
baptistão,bɐptiʃtɐ̃w̃
nelsinho,nɛlsino
leuenroth,lewɛnʁot
cicarelli,sikɐɾɛlli
mattioni,mɐttioni
regiane,ʁɛʒiɐnɛ
bolzan,bolzɐ̃
cury,kuɾj
nem,nɛ̃
athos,ɐtoʃ
schwantes,skwɐntɛʃ
toldo,toldo
bá,ba
leticia,lɛtiziɐ
spiller,spillɛɾ
jadson,ʒɐdsõ
damiris,dɐmiɾiʃ
manieri,mɐniɛɾi
chierighini,kiɛɾiɡini
agresta,ɐɡʁɛʃtɐ
astrojildo,ɐʃtɾoʒildo
pimpão,pimpɐ̃w̃
matuzalém,mɐtuzɐlẽ
lília,liliɐ
cionek,sionɛk
francischini,fɾɐnsiʃkini
knust,knuʃt
pretinha,pɾɛtinɐ
dira,diɾɐ
castán,kɐʃtã
fronckowiak,fɾonkkowiɐk
sorrah,soʁɐ
serrado,sɛʁɐdo
falavigna,fɐlɐviɡnɐ
giácomo,ʒiakomo
leomar,lɛomɐɾ
giba,ʒibɐ
comparato,kompɐɾɐto
isis,iziʃ
preguinho,pɾɛɡʷino
welliton,wɛllitõ
peticov,pɛtikov
titow,titow
dorothy,doɾotj
stang,stɐnɡ
falabella,fɐlɐbɛllɐ
céu,sɛw
finn,fin
chuva,kuvɐ
pepe,pɛpɛ
sophie,sopiɛ
charlotte,kɐɾlottɛ
vendrechovski,vɛndɾɛkovski
luna,lunɐ
cleonésio,klɛonezio
waguinho,wɐɡʷino
héverton,evɛɾtõ
durães,duɾɐ̃j̃ʃ
matsunaga,mɐtsunɐɡɐ
uvini,uvini
sormani,soɾmɐni
leandra,lɛɐndɾɐ
dellal,dɛllɐl
christine,kɾiʃtinɛ
lua,luɐ
blanco,blɐnko
piovani,piovɐni
alinne,ɐlinnɛ
pillar,pillɐɾ
nathalie,nɐtɐliɛ
moellhausen,mowɛllawzɛ̃
andréa,ɐndɾeɐ
roberson,ʁobɛɾsõ
tainá,tajna
sabotage,sɐbotɐʒɛ
caco,kɐko
ciocler,sioklɛɾ
didone,didonɛ
manoela,mɐnowɛlɐ
gero,ʒɛɾo
ingra,inɡɾɐ
lyberato,ljbɛɾɐto
gamalho,ɡɐmɐlo
marieta,mɐɾiɛtɐ
hilbert,ilbɛɾt
isabelle,izɐbɛllɛ
sidarta,sidɐɾtɐ
arolde,ɐɾoldɛ
brichta,bɾiktɐ
vadão,vɐdɐ̃w̃
yuu,juu
kamiya,kɐmijɐ
dalcin,dɐlsĩ
carvana,kɐɾvɐnɐ
gléguer,ɡleɡʷɛɾ
zorzin,zoɾzĩ
joelison,ʒowɛlizõ
maisa,majzɐ
murtinho,muɾtino
berger,bɛɾʒɛɾ
bromfman,bɾomfmɐ̃
marcélia,mɐɾseliɐ
cartaxo,kɐɾtɐkso
yago,jɐɡo
pikachu,pikɐku
maiolino,mɐjolino
prateat,pɾɐtɛɐt
agnelli,ɐɡnɛlli
vitinho,vitino
sophia,sopiɐ
abrahão,ɐbʁɐɐ̃w̃
alcir,ɐlsiɾ
sereno,sɛɾɛno
jemerson,ʒɛmɛɾsõ
cebolinha,sɛbolinɐ
ludmilla,ludmillɐ
santoni,sɐntoni
guizé,ɡʷize
jimmy,ʒimmj
durano,duɾɐno
joelinton,ʒowɛlintõ
gorito,ɡoɾito
richarlison,ʁikɐɾlizõ
márdila,maɾdilɐ
tanque,tɐnkʷɛ
neres,nɛɾɛʃ
hamú,ɐmu
gloria,ɡloɾiɐ
groove,ɡɾowovɛ
rodrygo,ʁodʁjɡo
iza,izɐ
gadiol,ɡɐdiol
sonza,sonzɐ
militão,militɐ̃w̃
naomi,nɐomi
munakata,munɐkɐtɐ
becão,bɛkɐ̃w̃
royal,ʁowjɐl
tetê,tɛte
veron,vɛɾõ
estevão,ɛʃtɛvɐ̃w̃
cristas,kɾiʃtɐʃ
vieirinha,viɛjɾinɐ
egas,ɛɡɐʃ
petit,pɛtit
eanes,ɛɐnɛʃ
villasboas,villɐʃbowɐʃ
galrinho,ɡɐlʁino
agustina,ɐɡʃtinɐ
bessaluís,bɛʃsɐluj́ʃ
nani,nɐni
siza,sizɐ
viriato,viɾiɐto
pereirinha,pɛɾɛjɾinɐ
tasha,tɐʃɐ
pizzi,piʒzi
róró,ʁɔɾɔ
cabrita,kɐbʁitɐ
dalila,dɐlilɐ
deslandes,dɛʃlɐndɛʃ
merche,mɛɾkɛ
pichardo,pikɐɾdo
elvis,ɛlviʃ
verona,vɛɾonɐ
cid,sid
victoria,viktoɾiɐ
ella,ɛllɐ
nor,noɾ
vitinha,vitinɐ
ibirapuera,ibiɾɐpuɛɾɐ
redentor,ʁɛdɛntoɾ
martim,mɐɾtĩ
condor,kondoɾ
panamericana,pɐnɐmɛɾikɐnɐ
adidas,ɐdidɐʃ
brazuca,bɾɐzukɐ
momo,momo
avenida,ɐvɛnidɐ
mirante,miɾɐntɛ
os,oʃ
mutantes,mutɐntɛʃ
panambi,pɐnɐmbi
oi,owi
israelita,iʃɾɐɛlitɐ
einstein,ɛjnstɛj̃
acãs,ɐkɐ̃ʃ
marginal,mɐɾʒinɐl
hispanofonia,iʃpɐnofoniɐ
ciclo,siklo
borracha,boʁɐkɐ
business,buzinɛsʃ
tower,towɛɾ
guajarámirim,ɡɐʒɐɾamiɾĩ
fome,fomɛ
mangaratiba,mɐnɡɐɾɐtibɐ
bradesco,bɾɐdɛʃko
caso,kɐzo
serrinha,sɛʁinɐ
estrada,ɛʃtɾɐdɐ
beirario,bɛjɾɐɾio
teresópolis,tɛɾɛzɔpoliʃ
happy,ɐppj
frias,fɾiɐʃ
vídeo,vidɛo
brinquedo,bɾinkʷɛdo
pardos,pɐɾdoʃ
hypera,jpɛɾɐ
pharma,pɐɾmɐ
derby,dɛɾbj
upaonaçu,upɐonɐsu
rebeldes,ʁɛbɛldɛʃ
bife,bifɛ
juqueí,ʒukʷɛj́
linguiça,linɡʷisɐ
calabresa,kɐlɐbʁɛzɐ
pavê,pɐve
pirão,piɾɐ̃w̃
estradas,ɛʃtɾɐdɐʃ
europeias,ewɾopɛjɐʃ
ilhas,ilɐʃ
selvagens,sɛlvɐʒɛnʃ
desertas,dɛzɛɾtɐʃ
aeroporto,ɐɛɾopoɾto
vinhais,vinajʃ
armada,ɐɾmɐdɐ
inglesa,inɡlɛzɐ
benavente,bɛnɐvɛntɛ
sátão,satɐ̃w̃
salpicão,sɐlpikɐ̃w̃
portel,poɾtɛl
hino,ino
açores,ɐsoɾɛʃ
alcochete,ɐlkokɛtɛ
colonial,koloniɐl
deolinda,dɛolindɐ
desaparecimento,dɛzɐpɐɾɛzimɛnto
madeleine,mɐdɛlɛjnɛ
mccann,mkkɐn
calheta,kɐlɛtɐ
império,impeɾio
jogos,ʒoɡoʃ
nelas,nɛlɐʃ
águeda,aɡʷɛdɐ
valpaços,vɐlpɐsoʃ
província,pɾovinsiɐ
ultramarina,ultɾɐmɐɾinɐ
cantanhede,kɐntɐnɛdɛ
lusotropicalismo,luzotʁopikɐliʃmo
iii,iji
cimeiras,simɛjɾɐʃ
ibéricas,ibeɾikɐʃ
museu,muzew
ferroviário,fɛʁoviaɾio
azores,ɐzoɾɛʃ
airlines,ajɾlinɛʃ
bacalhau,bɐkɐlaw
erwin,ɛɾwĩ
kräutler,kɾɐ̈utlɛɾ
kochweser,kokwɛzɛɾ
bamba,bɐmbɐ
monica,monikɐ
iozzi,ioʒzi
liédson,liedsõ
teliana,tɛliɐnɐ
calcanhotto,kɐlkɐnotto
aron,ɐɾõ
simis,simiʃ
rincón,ʁinkɔ̃
behrend,bɛʁɛnd
orani,oɾɐni
tempesta,tɛmpɛʃtɐ
juary,ʒuɐɾj
lafer,lɐfɛɾ
itaperuna,itɐpɛɾunɐ
aliste,ɐliʃtɛ
clodovis,klodoviʃ
eumir,ewmiɾ
margareth,mɐɾɡɐɾɛt
wenceslau,wɛnsɛʃlaw
francinilson,fɾɐnsinilsõ
izídio,izidio
mecking,mɛkkinɡ
rafinha,ʁɐfinɐ
brizola,bɾizolɐ
konder,kondɛɾ
jádson,ʒadsõ
alecsandro,ɐlɛksɐndɾo
negueba,nɛɡʷɛbɐ
nívea,nivɛɐ
rosinei,ʁozinɛj
geremias,ʒɛɾɛmiɐʃ
lêdo,ledo
sthefany,stɛfɐnj
abdias,ɐbdiɐʃ
zen,zɛ̃
blairo,blajɾo
dondé,donde
requião,ʁɛkʷiɐ̃w̃
richarlyson,ʁikɐɾljzõ
abdenur,ɐbdɛnuɾ
sonda,sondɐ
guinga,ɡʷinɡɐ
negão,nɛɡɐ̃w̃
baleiro,bɐlɛjɾo
richa,ʁikɐ
cleo,klɛo
winits,winitʃ
anysio,ɐnjzio
elon,ɛlõ
leivinha,lɛjvinɐ
tássio,taʃsio
alexandro,ɐlɛksɐndɾo
hericles,ɛɾiklɛʃ
wando,wɐndo
mika,mikɐ
someya,somɛjɐ
reynaldo,ʁɛjnɐldo
gianecchini,ʒiɐnɛkkini
totia,totiɐ
elizabeth,ɛlizɐbɛt
savalla,sɐvɐllɐ
lori,loɾi
sandri,sɐndɾi
damasceno,dɐmɐʃsɛno
polessa,polɛʃsɐ
dominguinhos,dominɡʷinoʃ
daúde,daẃdɛ
barrows,bɐʁowʃ
malvino,mɐlvino
philipe,pilipɛ
puccinelli,puksinɛlli
eraldo,ɛɾɐldo
pepeu,pɛpew
adão,ɐdɐ̃w̃
babi,bɐbi
bemvindo,bɛmvindo
thomás,tomaʃ
bedinelli,bɛdinɛlli
micheline,mikɛlinɛ
bill,bill
alfradique,ɐlfɾɐdikʷɛ
linzmeyer,linʒmɛjɛɾ
nachbin,nɐkbĩ
gissoni,ʒiʃsoni
agnaldo,ɐɡnɐldo
katiuscia,kɐtiwʃsiɐ
canoro,kɐnoɾo
tofolo,tofolo
cauã,kawɐ̃
reymond,ʁɛjmond
stresser,stɾɛʃsɛɾ
nicette,nizɛttɛ
nanini,nɐnini
pelicles,pɛliklɛʃ
célio,selio
ludmila,ludmilɐ
dayer,dɐjɛɾ
herlison,ɛɾlizõ
caion,kɐjõ
marcílio,mɐɾsilio
lovinho,lovino
justen,ʒuʃtɛ̃
mart'nália,mɐɾtʼnaliɐ
eriberto,ɛɾibɛɾto
