douglas,dʌɡləs
jordison,d͡ʒɔɹdɪsən
crayton,kɹejtən
mandelbaum,mændəlbawm
ondine,ɑndajn
hartwell,hɑɹtwɛl
goldenberg,ɡowldənbɹ̩ɡ
cousin,kʌzən
lorayne,lɔɹejn
bechtle,bɛt͡ʃtəl
meštrović,mištɹowvić
miske,mɪsk
travie,tɹɑvi
hyneman,hajnmən
ferlinghetti,fɹ̩lɪŋɛti
goodrich,ɡʊdɹɪt͡ʃ
volman,vɑlmən
sealy,sili
washboard,wɑʃbɔɹd
donlon,dɑnlən
bachardy,bækɹdi
landreth,lændɹɪθ
ipatieff,ajpætif
kulberg,kʌlbɹ̩ɡ
koslowski,kəslɔfski
wingy,wɪnd͡ʒi
manone,mɑnowni
whit,wɪt
bissell,bɪsəl
wansbrough,wɑnzbɹaw
baseman,bejsmən
kral,kɹæl
eugène,juɡèni
mignon,mɪɡnən
ardbeg,ɑɹdbɪɡ
breighton,bɹejtən
kilchoman,kɪlkhəmən
ludgvan,lʌd͡ʒvɑn
clarendon,klɛɹəndən
wellington,wɛlɪŋtən
strathdon,stɹæθdən
stoneyburn,stownibɹ̩n
wansdyke,wɑnsdajk
chard,t͡ʃɑɹd
skene,skin
kirknewton,kɹ̩knɛtən
croxley,kɹowksli
poynton,pojntʌn
hackney,hækni
wick,wɪk
ruxley,ɹʌksli
fitzrovia,fɪtsɹowviə
husvik,hʌsvɪk
shortlands,ʃɔɹtlændz
greasby,ɡɹizbi
finsbury,fɪnsbɛɹi
bushey,bʊʃi
shadwell,ʃædwɛl
leamouth,liməuθ
lisson,lɪsən
farringdon,fɛɹɪŋdən
trossachs,tɹɔsəks
tring,tɹɪŋ
mottingham,mɑtɪŋhæm
newington,nuɪŋtən
chislehurst,t͡ʃɪslɪhɹ̩st
corbridge,kɔɹbɹɪd͡ʒ
barnsbury,bɑɹnzbɛɹi
ratcliff,ɹætklɪf
blackwall,blækwɔl
bethnal,bɛθnəl
nag's,næɡz
pennan,pɛnən
poplar,pɑplɹ̩
orpington,ɔɹpɪŋtən
westbourne,wɛstbɹn
limehouse,lajmhaws
canonbury,kænownbɛɹi
clerkenwell,klɹ̩kɪnwɛl
hundred,hʌndɹəd
dogs,dɑɡz
strathclyde,stɹæθklajd
trojan,tɹowd͡ʒən
hallingbury,hælɪŋbɛɹi
penge,pɛnd͡ʒ
downe,dawn
millbank,mɪlbæŋk
pentonville,pɛntənvɪl
luke's,lukəz
aberdare,æbɛɹ̩dɛɹ
aberdyfi,æbɹ̩dɪfi
aberfeldy,æbɹ̩fɛldi
stansted,stænstɪd
mountfitchet,mawntfɪt͡ʃɛt
abingdononthames,ɑbɪŋdɑnɑnθejmz
aberporth,æbɹ̩pɔɹθ
aberffraw,æbɹ̩fɹɔ
aspire,əspajɹ
aboyne,əbojn
topsham,tɑpʃəm
andover,ændowvɹ̩
maida,mejdə
travellers,tɹævəlɹ̩z
gorsedh,ɡɔɹsɛd
kernow,kɹ̩now
atholl,æθəl
efl,ɛfəl
hugh's,hʌz
silverball,sɪlvɹ̩bɔl
redenhall,ɹɛdɪnhɔl
with,wɪð
harleston,hɑɹlstən
mixmag,mɪksməɡ
cromer,kɹowmɹ̩
cathedral,kəθidɹəl
casemates,kejsmejts
cheddleton,t͡ʃɛdəltən
parker's,pɑɹkɹ̩z
piece,pis
atlantique,ætlæntik
convent,kɑnvənt
ely,ilaj
cairn,kɛɹn
provident,pɹɑvɪdənt
strontian,stɹɑntən
fraserburgh,fɹejsɹ̩bɹ̩ɡ
ponton,pɑntən
oxenholme,ɑksɪnhowlm
achnacarry,æknəkɑɹɹi
acle,ækəl
dinas,dɪnəz
invensys,ɪnvɛnsɪs
mummers,mʌmɹ̩z
play,plej
radlett,ɹejdlɪt
broxbourne,bɹɑkʃbɹn
cardross,kɑɹdɹows
adderbury,æɹ̩bɛɹi
addlestone,æəlstown
bishop's,bɪʃowpz
stortford,stɔɹtfɹ̩d
birstall,bɹ̩stəl
interzone,ɪntɹ̩zowni
yateley,jætɪli
abbots,æbɑts
berkhamsted,bɹ̩kɑmstɪd
harpenden,hɑɹpɛndən
cheshunt,t͡ʃɛʃənt
millom,mɪləm
mackem,mækəm
glevum,ɡlivəm
securities,sɪkjʊɹətiz
keyworth,kiwɹ̩θ
audible,ɑdəbəl
avalonia,ævəlowniə
borehamwood,bɔɹhæmwʊd
potters,pɑtɹ̩z
bar,bɑɹ
theobalds,θiəbəldz
sudbury,sʌdbɛɹi
stonebridge,stownbɹɪd͡ʒ
queensbury,kwinzbɛɹi
gipsy,d͡ʒɪpsi
redbourn,ɹɛdbʊɹn
verulamium,vɹəlejmiəm
tokyngton,towkɪŋktən
harlesden,hɑɹlsdən
bexley,bɛksli
junction,d͡ʒʌŋkʃən
alperton,ælpɹ̩tən
brondesbury,bɹɑndɪsbɛɹi
dollis,dɑlɪs
herne,hɹ̩n
clapham,klæfəm
royston,ɹojstən
streatham,stɹθəm
bricket,bɹɪkət
uig,ʌɪɡ
kennington,kɛnɪŋtən
willesden,wɪlsdən
sidcup,sɪdkʌp
agincourt,æd͡ʒənkɔɹt
loughton,lawtən
tupton,tʌptən
sandown,sændawn
erith,ɛɹɪθ
crayford,kɹejfɹ̩d
gog,ɡɑɡ
magog,məɡɔɡ
belvedere,bɛlvədɪɹ
kensal,kɛnsəl
tulse,tʌls
rosneath,ɹɑsnθ
bexleyheath,bɛkslihiθ
kincardineshire,kɪnkɑɹdinʃɪɹ
yarg,jɑɹɡ
credenhill,kɹədənhɪl
municipal,mjunɪsəpəl
boxmoor,bɑksmʊɹ
cleveleys,klivəliz
congestion,kənd͡ʒɛst͡ʃən
gospel,ɡɑspəl
swiss,swɪs
woodside,wʊdsajd
aldenham,ɔldənhəm
ibstock,ɪbstɑk
balderstone,bɑldɹ̩stown
skipton,skɪptən
mortehoe,mɔɹthow
isles,ajlz
monken,mʌŋkən
beauly,bowi
heavenly,hɛvənli
folkestone,fowkstown
stretford,stɹtfɹ̩d
halton,hæltən
haverstock,hejvɹ̩stɑk
barking,bɑɹkɪŋ
bovingdon,bowvɪŋdən
strangford,stɹæŋfɹ̩d
lockerbie,lɑkɹ̩bi
kimbolton,kɪmbowltən
brierfield,bɹɪɹ̩fild
kentish,kɛntɪʃ
cricklewood,kɹɪklwʊd
dartmouth,dɑɹtməθ
argoed,ɑɹɡowd
addingham,ədɪŋhæm
sarratt,sɹ̩æt
wheathampstead,wiθæmpstɛd
whetstone,wɛtstown
colindale,kowlɪndejl
burnt,bɹ̩nt
elstree,ɛlstɹi
barnet,bɑɹnɪt
golders,ɡowldɹ̩z
croome,kɹum
studland,stʌdlənd
tideswell,tajdswɛl
overhead,owvɹ̩hɛd
stapenhill,stejpənhɪl
wareham,wɛɹəm
norbury,nɔɹbɛɹi
helens,hɛlənz
fagans,fejɡənz
knockhill,nɑkhɪl
disley,dɪzli
motorsport,mowtɔɹspɔɹt
hansard,hænsɹ̩d
rossendale,ɹɑsəndejl
longford,lɔŋfɹ̩d
sevington,sɛvɪŋtən
bridlington,bɹajdəlɪŋtən
inveraray,ɪnvɹ̩ɹ̩ej
waterstones,wɔtɹ̩stownz
rodmell,ɹɑdməl
teignmouth,tnməθ
ambleside,æmblɪsajd
millport,mɪlpɔɹt
ludgate,lʌdɡejt
etive,ɛtɪv
wiston,wɪstɑn
colwyn,kowlwɪn
cricklade,kɹɪklejd
footwork,fʊtwɹ̩k
arrows,æɹowz
gifford,ɡɪfɹ̩d
belton,bɛltən
browston,bɹawstən
perranporth,pɹ̩ɹænpɔɹ̩θ
sound,sawnd
mebyon,mɛbiən
christi,kɹɪsti
colton,kowltən
knaresborough,nɛɹɪzbɹ̩ow
marlborough,mɑɹlbɹ̩ow
puzzlewood,pʌzəlwʊd
hamworthy,hæmwɹ̩ði
chancery,t͡ʃænsɹ̩i
filton,fɪltən
galactica,ɡəlæktɪkə
airworld,ɛɹwɹ̩ld
clinic,klɪnɪk
lydney,lɪdni
travel,tɹævəl
airdrie,ɛɹdɹ̩i
europe,jʊɹəp
hawick,hɑvɪk
kintore,kɪntɔɹi
whaddon,wædən
kennet,kɛnət
southsea,sawθsiə
tobermory,tɑbɹ̩mɹ̩i
montrose,mɑntɹowz
willingham,wɪlɪŋhæm
helvellyn,hɛlvəlɪn
penarth,pɛnɑɹθ
kempston,kɛmpstən
dorking,dɔɹkɪŋ
oadby,owdbi
spurn,spɹ̩n
tyres,tajɹz
jermyn,d͡ʒɹ̩mɪn
killyleagh,kɪlajliɡ
dunadd,dunəd
molton,mowltən
duns,dʌnz
bangor,bæŋɡɹ̩
aylsham,ejlʃəm
fakenham,fejkənhəm
buteshire,butʃɪɹ
thetford,θɛtfɹ̩d
corbet,kɔɹbɪt
wimblington,wɪmbəlɪŋtən
portrait,pɔɹtɹət
brentwood,bɹɛntwʊd
godolphin,ɡowdɑlfɪn
cay,kej
kirkliston,kɹ̩klɪstɑn
rams,ɹæmz
brecknockshire,bɹɛknɑkʃɹ
farnborough,fɑɹnbɹ̩ow
leamington,limɪŋtən
cotterell,kɑtɹ̩əl
arabchristians,ɹəbt͡ʃɹɪst͡ʃənz
wyre,wajɹ
marton,mɑɹtən
piddle,pɪdəl
stockbridge,stɑkbɹɪd͡ʒ
brockworth,bɹɑkwɹ̩θ
suckling,sʌklɪŋ
ickworth,ɪkwɹ̩θ
bowood,bowʊd
steelyard,stiljɑɹd
slingsby,slɪŋzbi
bala,bɑlə
yeovil,jowvəl
scotforth,skɑtfɔɹθ
wigtownshire,wɪɡtawnʃajɹ
altrincham,ɔltɹɪnt͡ʃəm
boxgrove,bɑksɡɹowv
pathfinder,pæθfajndɹ̩
altnaharra,æltnəhæɹə
broughty,bɹawti
slieve,sliv
donard,dɑnɹ̩d
corinium,kɔɹ̩ɪniəm
dobunnorum,dɑbunɹəm
godstow,ɡɑdztow
fells,fɛlz
leominster,liowmɪnstɹ̩
plants,plænts
westmorland,wɛstmɹlənd
huntingdonshire,hʌntɪŋdɑnʃajɹ
companies,kʌmpəniz
newlyn,nulɪn
anlaby,ænləbi
anjunabeats,ænd͡ʒunəbiəts
highlanders,hajlændɹ̩z
bicester,bajsɛstɹ̩
tenby,tɛnbi
bannatyne,bænətajn
berwick,bɹ̩wɪk
filofax,fɪlowfæks
bullingdon,bʊlɪŋdən
wadebridge,wejdbɹɪd͡ʒ
biomed,bajowmɛd
amesbury,æmɛzbɛɹi
exbury,ɛksbɛɹi
weslake,wɛslejk
argonaut,ɑɹɡənɔt
kemble,kɛmbəl
ringway,ɹɪŋwej
glenelg,ɡlnɛlɡ
sms,səmz
kronprinz,kɹənpɹɪnz
amicus,əmikəs
durrington,dɔɪŋtən
walls,wɔlz
trematon,tɹimətən
bnfl,bnfəl
haverhill,hævɹ̩hɪl
inverbervie,ɪnvɹ̩bɹ̩vi
malmesbury,mɑlmzbɛɹi
ravenglass,ɹejvɪŋɡlæs
carrickarede,kæɹɪkɛɹ̩id
rope,ɹowp
patriotic,pejtɹiɑtɪk
lafonia,læfowniə
lytchett,lɪt͡ʃɪt
matravers,mætɹɑvɹ̩z
blestium,blɛsʃiəm
alamy,ælæmi
oundle,awndəl
stockings,stɑkɪŋz
falmouth,fælməθ
torksey,tɔɹksi
anstruther,ænstɹʌðɹ̩
bombe,bɑmb
fenland,fɛnlənd
malvern,mælvɹ̩n
ridlington,ɹɪdəlɪŋtən
george's,d͡ʒɔɹɡɛz
ampthill,æmpθɪl
lydiard,lɪdiɹ̩d
tregoze,tɹɛɡowz
machair,mækɛɹ
shepway,ʃɛpwej
badminton,bædmɪntən
merionethshire,mɛɹiownθʃajɹ
carnforth,kɑɹnfɹ̩θ
usk,ʌsk
trowbridge,tɹowbɹɪd͡ʒ
treforest,tɹɛfɔɹəst
narberth,nɑɹbɹ̩θ
camblesforth,kæmblsfɔɹθ
ballyronan,bælɪɹənən
times,tajmz
sunsilk,sʌnsɪlk
tresco,tɹɛskow
prees,pɹiz
maker,mejkɹ̩
cotswold,kɑtswowld
crowland,kɹowlənd
translink,tɹænzlɪŋk
rothbury,ɹɔθbɛɹi
breckland,bɹɛklənd
scorchers,skɔɹkɹ̩z
tonbridge,tɑnbɹɪd͡ʒ
malling,mælɪŋ
tarbet,tɑɹbɪt
peterculter,pitɹ̩kəltɹ̩
moelwynion,mowlwɪnjən
falfield,fælfild
phosphate,fɑsfejt
commission,kəmɪʃən
broseley,bɹɑsɪli
chigwell,t͡ʃɪɡwɛl
pricewaterhousecoopers,pɹajswɔtɹ̩hawsəkupɹ̩z
kimmeridge,kɪmɹ̩ɪd͡ʒ
stokesley,stowksli
hethersett,hɛðɹ̩sɪt
hundreds,hʌndɹədz
flore,flɔɹ
coton,kowtən
elms,ɛlmz
hernhill,hɹ̩nhɪl
evesham,ivɛʃəm
mercian,mɹ̩t͡ʃən
ayresome,ɛɹsəm
bawtry,bɔtɹi
ceres,sɪɹiz
shackerstone,ʃækɹ̩stown
gaydon,ɡejdən
tockwith,tɑkwɪθ
mundesley,mʌndɪsli
earley,ɹ̩li
blaby,blejbi
zechstein,zɛkstajn
bagshot,bæɡʃɑt
chillingham,t͡ʃɪlɪŋhæm
cattle,kætəl
wolverton,wʊlvɹ̩tən
catalan,kætələn
brides,bɹajdz
defford,dɪfɹ̩d
mapledurwell,mejplɪdɹ̩wɛl
barnt,bɑɹnt
station,stejʃən
newbattle,nubætəl
broxtowe,bɹɑkstaw
capita,kæpɪtə
maybole,mejbəl
cleethorpes,kliθɔɹps
edwardstone,ɛdwɔɹdstown
queenborough,kwinbɹ̩ow
seahenge,sihɪnd͡ʒ
sustrans,sʌstɹənz
coalport,kowlpɔɹt
bryanston,bɹajənstən
strepsils,stɹpsəlz
wapiti,wæpiti
mitcheldean,mɪt͡ʃɪldən
standon,stændən
edmundsbury,ɛdməndzbɛɹi
harthill,hɑɹθɪl
sonning,sɑnɪŋ
helmsdale,hɛlmzdejl
cowes,kawz
chenies,t͡ʃɛniz
claverley,klejvɹ̩li
beaulieu,bowlju
bridgeford,bɹɪd͡ʒɪfɔɹd
exmoor,ɛksmʊɹ
coker,kowkɹ̩
letterboxing,lɛtɹ̩bɑksɪŋ
ferryhill,fɛɹ̩ihɪl
gunwharf,ɡʌnwhɑɹf
quays,kejz
kesteven,kɛstəvən
flixton,flɪkstən
malton,mæltən
bescot,bɛskɑt
cadishead,kædizhɛd
harrietsham,hɛɹit͡ʃəm
seil,sajl
sawbridgeworth,sɔbɹɪd͡ʒwɹ̩θ
mexborough,mɛksbɹ̩ow
abergavenny,æbɛɹ̩ɡəvɛni
doveridge,dʌvɹɪd͡ʒ
dunwich,dʌnwɪt͡ʃ
withyham,wɪθihəm
majorgeneral,mejd͡ʒɔɹɡɛnɹ̩əl
john's,d͡ʒɑnz
shoeburyness,ʃubɛɹajnəs
kenn,kɛn
sandwell,sændwɛl
datchet,dæt͡ʃɛt
farington,fɑɹɪŋtən
gillingham,ɡɪlɪŋhæm
colney,kowlni
egglescliffe,ɛɡəlɛsklɪf
deene,din
zennor,zɛnɹ̩
halesowen,hejlsawən
gordano,ɡɔɹdɑnow
congleton,kɑŋɡlɪtɑn
marquee,mɑɹki
roxburghshire,ɹɑksbɹ̩ɡʃajɹ
abc,æbk
wootton,wutən
assembly,əsɛmbli
bushmills,bʊʃmɪlz
tunbridge,tʌnbɹɪd͡ʒ
ledbury,lɛdbɛɹi
shenfield,ʃɛnfild
tenterden,tɛntɹ̩dən
newbottle,nubətəl
claxton,klækstən
sodbury,sɑdbɛɹi
wardle,wɔɹdəl
steyning,stejnɪŋ
dragon,dɹæɡən
driffield,dɹɪfild
faringdon,fɑɹɪŋdən
musselburgh,mʌsɪlbɹ̩ɡ
boxley,bɑksli
kidsgrove,kɪdzɡɹəv
mossley,mɑsli
dunblane,dʌnblejn
skelmersdale,skɛlmɹ̩sdejl
comet,kɑmət
bacton,bæktən
porthcawl,pɔɹθkɔl
maldon,mɑldən
movie,muvi
database,dejtəbejs
hathersage,hæðɹ̩sɪd͡ʒ
lochranza,lɑkɹɑnzə
mayor's,mejɔɹz
montgomeryshire,mɑntɡʌmɛɹ̩ɪʃajɹ
anvil,ænvəl
benderloch,bɛndɹ̩lɑk
aughton,ɔtən
claydon,klejdən
framlingham,fɹæmlɪŋhæm
lawn,lɔn
eisteddfod,ajstɛdfəd
carmel,kɑɹmɛl
poges,powd͡ʒɪz
stonehouse,stownhaws
clevedon,klivdən
stourhead,stʊɹhɛd
newtown,nutawn
mixbury,mɪksbɛɹi
rhosllanerchrugog,ɹowzlejnɹ̩kɹuɡɑɡ
beinn,bin
narnain,nɑɹnejn
cauldron,kɑldɹən
snout,snawt
cullompton,kʌlɑmptən
crondall,kɹɑndɔl
berkswich,bɹ̩kswɪt͡ʃ
killaloo,kɪləlu
newbuildings,nubɪldɪŋz
brackley,bɹækli
ivinghoe,ajvɪŋhow
sons,sʌnz
chyandour,t͡ʃajəndɔɹ
bloodstock,blʌdstɑk
treorchy,tɹiɔɹki
dereham,dɛɹihəm
barrowford,bɑɹowfɹ̩d
nene,nin
sincil,sənsəl
grangemouth,ɡɹejnd͡ʒəməθ
willenhall,wɪlənhɔl
life,lajf
sciences,sajənsəz
hunstanton,hʌnstɑntən
cutlers,kʌtlɹ̩z
hallamshire,hælæmʃajɹ
broadhall,bɹɔdəl
barmouth,bɑɹməθ
princes,pɹɪnsəz
shielfield,ʃilfild
prenton,pɹɛntən
applebyinwestmorland,æplbiɪnwɛstmɹlənd
werrington,wɛɹ̩ɪŋtən
creggan,kɹɛɡən
plainmoor,plejnmʊɹ
rainow,ɹejnow
heckington,hɛkɪŋtən
aquae,əkw
sulis,sulɪs
foyle,fojl
fusiliers,fjusəlɪɹ̩z
clovelly,klowvəli
sennen,sɛnən
user,juzɹ̩
athenaeum,æθəniəm
woodstock,wʊdstɑk
markfield,mɑɹkfild
boars,bɔɹz
braintree,bɹejntɹi
highfield,hajfild
gravesend,ɡɹejvizɛnd
bennachie,bɛnət͡ʃi
wetherby,wɛθɹ̩bi
wessex,wɛsəks
auchterarder,ɔt͡ʃtɹ̩ɑɹdɹ̩
portreath,pɔɹtɹθ
ashington,æʃɪŋtən
lindinis,lɪndiniz
annandale,ænəndejl
uppingham,ʌpɪŋhæm
winwick,wɪnwɪk
birchwood,bɹ̩kwʊd
camulodunum,kɑmulɑdənəm
arbroath,ɑɹbɹowθ
digswell,dɪɡswɛl
rollsroyce,ɹowlzɹojs
woodford,wʊdfɹ̩d
cleator,klitɹ̩
colliers,kɑljɹ̩z
brechin,bɹɛt͡ʃɪn
badenoch,bejdənək
riccarton,ɹikɑɹtən
llanyblodwel,lænajblədwəl
fairlight,fɛɹlajt
wadworth,wɑdwɹ̩θ
chesterton,t͡ʃɛstɹ̩tən
fruit,fɹut
portadown,pɔɹtədawn
queens',kwinz
wolvey,wʊlvi
chicklade,t͡ʃɪklejd
palladium,pəlejdiəm
birkdale,bɹ̩kdejl
wigston,wɪɡstən
halifax,hælɪfæks
darfield,dɑɹfild
dunnington,dʌnɪŋtən
walham,wɔlhəm
whitchurch,wɪtt͡ʃɹ̩t͡ʃ
chesterfield,t͡ʃɛstɹ̩fild
stretton,stɹɛtən
bermondsey,bɹ̩məndsi
industrial,ɪndʌstɹiəl
bozeat,bowzit
perenco,pɹ̩ɛnkow
bewdley,bɪdli
hendre,hɛndɹ
pershore,pɹ̩ʃɔɹ
youdan,jawdən
brickhill,bɹɪkhɪl
snaith,snejθ
ilkley,ɪlkli
newent,nuənt
aldingbourne,ɑldɪŋbɹn
lomond,lowmənd
bellshill,bɛlʃɪl
nonmetropolitan,nɑnmɛtɹəpɑlətən
illogan,ɪlowɡən
glengyle,ɡlɛŋajl
winfrith,wɪnfɹɪθ
loggerheads,lɑɡɹ̩hɛdz
ultra,ʌltɹə
viz,vɪz
drumoak,dɹumowk
betchworth,bɛt͡ʃwɹ̩θ
berwickupontweed,bɹ̩wɪkupɑntwid
batcave,bɑtkejv
adamstown,ædəmstawn
hovertravel,hʌvɹ̩tɹəvəl
heckmondwike,hɛkmɑndwajk
stotfold,stɑtfowld
langham,læŋhæm
farndon,fɑɹndən
amalgamated,əmælɡəmejtɪd
press,pɹɛs
rufc,ɹʌfk
westhoughton,wɛstɑtən
boldre,bowldɹə
bickerstaffe,bɪkɹ̩stæf
bachelor,bæt͡ʃəlɹ̩
esher,ɛʃɹ̩
cornubian,kɔɹnubiən
batholith,bæθələθ
tayside,tejsajd
tiverton,tajvɹ̩tən
mitcham,mɪt͡ʃəm
chepstow,t͡ʃɛpztow
garioch,ɡɑɹiək
xstrata,ztɹɑtə
silton,sɪltən
holybrook,howlibɹʊk
chippenham,t͡ʃɪpənhəm
austell,awstəl
banff,bænf
harrow,hæɹow
operation,ɑpɹ̩ejʃən
tixall,tiksɔl
kingsbridge,kɪŋzbɹɪd͡ʒ
laphroaig,læfɹowejɡ
cadair,kədɹ
fallowfield,fælawfild
chesham,t͡ʃɛʃəm
bois,bwɑ
crockenhill,kɹɑkənhɪl
ardglass,ɑɹd͡ʒlæs
ardrossan,ɑɹdɹowsən
casterton,kɑstɹ̩tən
winshill,wɪnʃɪl
aurigny,ɔɹɪɡni
anthorn,ænθɹ̩n
ryde,ɹɪd
whitburn,wɪtbɹ̩n
hawkshead,hɔkzhɛd
gidding,ɡɪdɪŋ
magdalene,mæɡdəlin
crieff,kɹif
selkirk,sɛlkɹ̩k
thirsk,θɹ̩sk
hunsdon,hʌnsdən
brindle,bɹɪndəl
cushendun,kʊʃhɛndʌn
watchet,wɑt͡ʃɛt
cavehill,kejvhɪl
ashwell,æʃwɛl
keynsham,kinʃəm
claygate,klejɡejt
ampney,æmpni
kirkcaldy,kɹ̩kkɑldi
sturminster,stɹ̩mɪnstɹ̩
percussion,pɹ̩kʌʃən
offroad,ɑfɹowd
edmund's,ɛdmʌndz
arlesey,ɑɹlɪsi
castlewellan,kæsəlɛlən
banbridge,bænbɹɪd͡ʒ
daventry,dævəntɹi
ricoh,ɹikow
cartoon,kɑɹtun
cardigan,kɑɹdɪɡən
dickin,dɪkɪn
lyddington,lɪdɪŋtən
stanmer,stænmɹ̩
maryport,mɛɹipɔɹt
victorian,vɪktɔɹiən
blandford,blændfɔɹd
forum,fɔɹəm
georgetown,d͡ʒɔɹd͡ʒtawn
waveney,wævɪni
welham,wɛləm
rowntree's,ɹowntɹiz
wallasey,wɔləsi
sherford,ʃɹ̩fɹ̩d
gresham's,ɡɹɛʃɑmz
annalong,ænəlɔŋ
ludgershall,lʌd͡ʒɹ̩ʃəl
linwood,lɪnwʊd
electrostar,ɪlɛktɹəstɑɹ
oving,owvɪŋ
greensleeves,ɡɹinzlivz
pontrilas,pɑntɹiləs
grendon,ɡɹɪndən
wanstead,wɑnstɛd
reliant,ɹɪlajənt
cardiganshire,kɑɹdɪɡənʃajɹ
tamworth,tæmwɹ̩θ
sport,spɔɹt
colne,kowln
yaxley,jæksli
rustington,ɹʌstɪŋtən
birchanger,bɹ̩kejnɹ̩
merevale,mɹɛvejl
henfield,hɛnfild
porthcurno,pɔɹθkɹnow
grittleton,ɡɹɪtəltən
nunnington,nunɪŋtən
jarrow,d͡ʒɛɹow
christ's,kɹɪsts
privacy,pɹajvəsi
culmore,kʌlmɔɹ
boscastle,bowskæsəl
priors,pɹajɹ̩z
kidderminster,kɪɹ̩mɪnstɹ̩
turbomeca,tɹ̩bəmɛkə
harland,hɑɹlənd
sullom,suləm
voe,vow
hamoaze,hæmowz
lostwithiel,lɑstwɪθil
craster,kɹæstɹ̩
sileby,sajlɪbi
chagford,t͡ʃæɡfɹ̩d
barloworld,bɑɹlowɹ̩ld
tribal,tɹajbəl
hidage,hajdɪd͡ʒ
hams,hæmz
bracknell,bɹæknɛl
hooton,hutən
pagnell,pæɡnəl
harborough,hɑɹbɹ̩ow
argo,ɑɹɡow
whitehill,wajthɪl
sipson,sɪpsən
gravenhurst,ɡɹejvənhɹ̩st
ramsbury,ɹæmsbɛɹi
iceland,ajslənd
caldicot,kɑldɪkɑt
tadcaster,tɑdkæstɹ̩
brightling,bɹajtəlɪŋ
kegworth,kɛɡwɹ̩θ
traders,tɹejdɹ̩z
aviemore,ejvimɔɹ
langport,læŋpɔɹt
thrapston,θɹɑpstən
pembroke,pɛmbɹowk
dock,dɑk
ashburton,æʃbɹ̩tən
ascot,æskɑt
souldrop,sʊldɹɑp
llanfairfechan,lænfɛɹfkən
forton,fɔɹtən
dragons,dɹæɡənz
stony,stowni
souls,sowlz
bewcastle,bɪkæsəl
swanwick,swɑnwɪk
swale,swejl
buryan,bɛɹjən
tetney,tɛtni
betws,bɛtwz
geordie,d͡ʒiɹ̩di
llandovery,lændowvɹ̩i
ripponden,ɹɪpɑndən
berwickshire,bɹ̩wɪkʃɹ
crigglestone,kɹɪəlstown
thornabyontees,θɔɹnɑbiɑntiz
rubber,ɹʌbɹ̩
axbridge,əksbɹɪd͡ʒ
inklings,ɪŋkəlɪŋz
invergowrie,ɪnvɹ̩ɡowɹ̩i
linacre,lɪnəkɹ̩
ayston,ejstən
gresham,ɡɹɛʃəm
burntwood,bɹ̩ntwʊd
castledawson,kæsəldɔsən
oriel,ɔɹil
caernarfonshire,kɛɹnɑɹfɑnʃajɹ
farncombe,fɑɹnkowm
aspley,æspli
guise,ɡajz
icklesham,ɪklʃəm
streetly,stɹitli
beddgelert,bɛd͡ʒəlɹ̩t
axminster,æksmɪnstɹ̩
winford,wɪnfɹ̩d
chatham,t͡ʃætəm
roos,ɹuz
sarehole,sɹ̩howl
newbury,nubɛɹi
portmahomack,pɔɹtməhɑmæk
filey,fɪli
byward,bajwɹ̩d
lampeter,læmpitɹ̩
cotgrave,kɑtɡɹejv
karrier,kæɹiɹ̩
bildeston,bɪldstən
peerless,pɪɹlɪs
wilsonpilcher,wɪlsənpɪlt͡ʃɹ̩
aylesford,ejlɪsfɹ̩d
acton,æktən
perivale,pɛɹ̩ajvɑl
northolt,nɔɹθowlt
edale,ɛdejl
clydesdale,klajdzdejl
taverham,tɑvɛɹ̩hæm
kelso,kɛlsow
greenford,ɡɹinfɹ̩d
hanwell,hænwɛl
withdean,wɪθdiən
uffculme,ʌfkəlm
holderness,howldɹ̩nəs
grosmont,ɡɹɑzmɑnt
jesus,d͡ʒizəs
warminster,wɔɹmɪnstɹ̩
pett,pɛt
coxwold,kɑkswowld
stretham,stɹθəm
babergh,bæbɹ̩ɡ
dormers,dɔɹmɹ̩z
medway,mɛdwej
dada,dɑdɑ
dartford,dɑɹtfɹ̩d
girton,ɡɹ̩tən
carharrack,kɑɹhæək
kilkeel,kɪlkil
scone,skown
binstead,bɪnstɛd
otley,ɑtli
colan,kowlən
gonville,ɡɑnvɪl
caius,kejəs
strathspey,stɹæθspi
billericay,bɪlɹək
billingham,bɪlɪŋhæm
path,pæθ
raynham,ɹejnhəm
fitzwilliam,fɪtswɪljəm
magnum,mæɡnəm
ashprington,æʃpɹɪŋtən
ayton,ejtən
scrooby,skɹubi
birchingtononsea,bɹ̩t͡ʃɪŋtɑnɑnsiə
commer,kəmɹ̩
design,dɪzajn
longmorn,lɔŋmɔɹ̩n
mendip,mɛndɪp
ryedale,ɹajɛdejl
morpeth,mɔɹpɪθ
berkswell,bɹ̩kswɛl
shilling,ʃɪlɪŋ
stourbridge,stʊɹ̩bɹɪd͡ʒ
crimea,kɹajmiə
penrith,pɛnɹɪθ
permira,pɹ̩majɹə
stratfordonavon,stɹætfɔɹdownəvən
cum,kʌm
newport,nupɔɹt
cardington,kɑɹdɪŋtən
abbotts,æbəts
werburgh,wɹ̩bɹ̩ɡ
walsingham,wɔlsɪŋhæm
teignbridge,tnbɹɪd͡ʒ
puffing,pʌfɪŋ
bishopbriggs,bɪʃɑpbɹɪɡz
